Land Value ($),Building Value ($),Longitude,Latitude
679916.0,45289.0,-81.93429705,26.5914827
102500.0,0.0,-81.94540658,26.56526638
158655.0,0.0,-81.95429449,26.56421925
100091.0,560407.0,-81.95429691,26.5639351
173809.0,992081.0,-81.95148628,26.56399251
62730.0,664145.0,-81.95177563,26.56399133
97246.0,119772.0,-81.96942582,26.56558528
48623.0,0.0,-81.96960969,26.56592921
1285883.0,0.0,-81.97557346,26.54197205
178276.0,134998.0,-81.8930821,26.59174362
0.0,0.0,-81.9175722,26.55279372
55714.0,107978.0,-81.97158729,26.49509514
2644100.0,300155.0,-81.93752702,26.56320348
927940.0,1450841.0,-81.89900615,26.54481623
441945.0,102790.0,-81.94012916,26.56996739
441945.0,0.0,-81.94043249,26.56996835
502669.0,35432.0,-81.99876587,26.57236201
90279.0,0.0,-81.99492913,26.56939421
69445.0,0.0,-81.99530879,26.56944865
520976.0,0.0,-81.93312715,26.50582877
80000.0,0.0,-81.93168773,26.50605933
80000.0,0.0,-81.9316863,26.50598369
80000.0,0.0,-81.93168475,26.50590116
80000.0,0.0,-81.93168319,26.50581864
80000.0,0.0,-81.93168163,26.50573612
80000.0,0.0,-81.93168007,26.50565359
80000.0,0.0,-81.93167852,26.50557107
80000.0,0.0,-81.93167696,26.50548855
80000.0,0.0,-81.9316754,26.50540602
80000.0,0.0,-81.93167384,26.5053235
80000.0,0.0,-81.93167242,26.50524785
80000.0,0.0,-81.9321036,26.50605642
80000.0,0.0,-81.93210243,26.50599452
80000.0,0.0,-81.93210126,26.50593263
80000.0,0.0,-81.9320999,26.50586042
80000.0,0.0,-81.93209834,26.5057779
80000.0,0.0,-81.93209678,26.50569538
80000.0,0.0,-81.93209523,26.50561285
80000.0,0.0,-81.93209386,26.50554065
80000.0,0.0,-81.93209252,26.5054694
80000.0,0.0,-81.9322366,26.5053581
80000.0,0.0,-81.93295179,26.50527904
80000.0,0.0,-81.9329505,26.50520449
80000.0,0.0,-81.93294909,26.50512307
80000.0,0.0,-81.93294767,26.50504054
80000.0,0.0,-81.93294624,26.50495802
80000.0,0.0,-81.93294481,26.50487549
80000.0,0.0,-81.93294338,26.50479297
80000.0,0.0,-81.93294196,26.50471044
80000.0,0.0,-81.93294055,26.50462902
80000.0,0.0,-81.93293926,26.50455447
0.0,0.0,-81.93231478,26.50526948
4087281.0,4108829.0,-81.95110567,26.51402808
15000.0,0.0,-81.88835998,26.60380483
213552.0,202178.0,-81.88800867,26.60382137
227392.0,0.0,-81.94995711,26.58099005
198967.0,0.0,-81.94986159,26.58089374
291656.0,125217.0,-81.88871729,26.51525697
749522.0,0.0,-81.96641326,26.54838809
597146.0,304169.0,-81.96641076,26.54882465
146965.0,540050.0,-81.89842818,26.56808521
146965.0,0.0,-81.89844226,26.56830294
93436.0,201158.0,-81.974804,26.49967554
93436.0,0.0,-81.97503411,26.49967416
93436.0,0.0,-81.97503942,26.50022317
93436.0,0.0,-81.97480949,26.50022434
111920.0,0.0,-81.96779945,26.51277018
8831851.0,4062276.0,-81.94079156,26.49179374
198967.0,0.0,-81.94994358,26.58140141
241604.0,0.0,-81.95006844,26.58136014
130818.0,336044.0,-81.96921884,26.59712791
353458.0,286459.0,-81.8951198,26.57379933
32297.0,0.0,-81.8787099,26.57233838
629850.0,0.0,-81.94004385,26.55977112
2069649.0,1460028.0,-81.95309952,26.51185784
1063107.0,40870.0,-81.8784501,26.60154967
16150.0,488745.0,-81.87783803,26.56939096
16150.0,0.0,-81.8778387,26.56925341
0.0,0.0,-81.97227953,26.51353143
0.0,0.0,-81.97379975,26.51424994
0.0,0.0,-81.97226002,26.51232122
0.0,0.0,-81.97345506,26.51346558
0.0,0.0,-81.97292148,26.51317043
78005.0,0.0,-81.97244035,26.51291148
78005.0,0.0,-81.97244306,26.51304902
78005.0,0.0,-81.97244577,26.51318656
78005.0,0.0,-81.97244847,26.5133241
78005.0,0.0,-81.97245117,26.51346164
80233.0,0.0,-81.97245401,26.51360605
80233.0,0.0,-81.97245699,26.51375734
78005.0,0.0,-81.97245983,26.51390176
78005.0,0.0,-81.97246253,26.5140393
78005.0,0.0,-81.97246501,26.51417678
