household_id_1,household_id_2,link_type,timestep
1,9,2,0
1,10,2,0
1,55,2,0
1,71,1,0
1,98,2,0
1,174,2,0
1,200,2,0
2,110,2,0
2,117,1,0
3,137,1,0
3,192,2,0
4,74,2,0
4,196,1,0
4,199,2,0
5,64,2,0
5,75,2,0
5,91,2,0
5,130,2,0
5,140,2,0
5,179,1,0
6,20,2,0
6,45,2,0
6,172,1,0
6,190,2,0
7,38,2,0
7,68,2,0
7,179,2,0
7,183,1,0
8,37,2,0
8,68,2,0
8,83,2,0
8,93,2,0
8,111,2,0
8,123,1,0
8,156,2,0
8,158,1,0
9,32,2,0
9,53,1,0
10,32,2,0
10,63,1,0
10,95,2,0
10,123,2,0
11,92,2,0
12,42,2,0
12,46,2,0
12,96,2,0
12,98,2,0
12,113,2,0
12,129,2,0
12,136,2,0
12,195,1,0
12,199,1,0
13,34,1,0
13,46,2,0
13,59,2,0
13,73,1,0
14,68,2,0
14,122,2,0
14,139,1,0
14,163,1,0
14,181,1,0
15,21,2,0
15,30,2,0
15,51,2,0
15,124,2,0
15,140,2,0
15,148,2,0
15,195,1,0
16,46,1,0
16,53,2,0
16,137,2,0
17,27,2,0
17,35,1,0
17,42,1,0
17,60,2,0
17,66,2,0
17,73,1,0
17,89,1,0
17,143,2,0
17,148,2,0
17,193,2,0
17,194,2,0
18,28,2,0
18,112,2,0
18,172,2,0
19,36,1,0
19,55,2,0
19,91,2,0
19,161,2,0
19,179,2,0
19,180,1,0
20,29,1,0
20,97,2,0
20,109,2,0
21,53,2,0
21,62,1,0
21,134,2,0
21,148,1,0
21,162,2,0
21,199,2,0
22,26,2,0
22,35,2,0
22,76,1,0
22,179,2,0
22,183,2,0
22,187,2,0
23,45,2,0
23,78,1,0
23,98,2,0
23,152,2,0
23,162,2,0
24,99,2,0
24,124,2,0
24,180,2,0
25,64,2,0
25,128,2,0
26,72,2,0
26,101,2,0
27,39,2,0
27,72,2,0
27,93,2,0
27,190,2,0
27,195,2,0
28,60,2,0
28,76,1,0
28,84,2,0
28,124,1,0
