household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnc29k,2.0,0
dqcp176g,dqcnfpuz,2.0,0
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcncvkb,2.0,0
dqcp176g,dqcne6ct,2.0,0
dqcp176g,dqcncf4c,2.0,0
dqcp176g,dqcp4kgx,2.0,0
dqcp176g,dqcncwc5,2.0,0
dqcp176g,dqcncf6c,2.0,0
dqcp176g,dqcne1qu,2.0,0
dqcnc7hq,dqcngqhc,2.0,0
dqcnc7hq,dqcncsjm,1.0,0
dqcnc7hq,dqcnbchm,2.0,0
dqcnc7hq,dqcnfpuz,2.0,0
dqcnc7hq,dqcp473c,2.0,0
dqcnc7hq,dqcp1yv9,2.0,0
dqcnc7hq,dqcne6ct,2.0,0
dqcnc7hq,dqcngjkj,2.0,0
dqcnc7hq,dqcner94,2.0,0
dqcnc7hq,dqcnf6cg,2.0,0
dqcnc7hq,dqcncf4c,2.0,0
dqcnc7hq,dqcnf3uz,2.0,0
dqcnc7hq,dqcnc6tb,2.0,0
dqcnc7hq,dqcncdq7,2.0,0
dqcnc7hq,dqcp1rzr,2.0,0
dqcnc7hq,dqcncf6c,2.0,0
dqcnc7hq,dqcng4te,1.0,0
dqcnc7hq,dqcnfqc3,2.0,0
dqcnc7hq,dqcp1wg8,2.0,0
dqcnc7hq,dqcnenmf,2.0,0
dqcnc29k,dqcngqhc,2.0,0
dqcnc29k,dqcnbbdq,2.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcnf6cj,2.0,0
dqcnc29k,dqcp1z6r,2.0,0
dqcnc29k,dqcnc0y3,2.0,0
dqcnc29k,dqcnfqc3,2.0,0
dqcnc29k,dqcn9xvx,2.0,0
dqcngqhc,dqcng43b,2.0,0
dqcngqhc,dqcnfpuz,2.0,0
dqcngqhc,dqcp473c,2.0,0
dqcngqhc,dqchf7jt,2.0,0
dqcngqhc,dqcncu6f,2.0,0
dqcngqhc,dqcncvkb,2.0,0
dqcngqhc,dqcnctbb,2.0,0
dqcngqhc,dqcne6ct,2.0,0
dqcngqhc,dqcnf6cg,2.0,0
dqcngqhc,dqcnf3uz,2.0,0
dqcngqhc,dqcnc7bc,2.0,0
dqcngqhc,dqcncdq7,2.0,0
dqcngqhc,dqcnfffs,2.0,0
dqcngqhc,dqcng4te,1.0,0
dqcngqhc,dqcncx6x,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcnbbdq,dqcncsjm,1.0,0
