household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.5862512905839623,0.7557637562987444,0.0,0.7142857142857143,0.39533221439299265,0.0,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.6645353083220038,0.4408580074741682,0.0,0.14285714285714285,0.16310474186520532,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.4172240533152547,0.03946551412523801,0.0,0.42857142857142855,0.19891817286366556,0.0,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.4823260604654006,0.705480364438386,0.0,0.42857142857142855,0.8551412835638128,0.5,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.5906420978006172,0.3640726659098824,0.25,0.8571428571428571,0.5361400350510501,0.0,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.6617736352696048,0.5346892085782772,0.25,1.0,0.24675868848124302,0.0,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.41302999361016723,0.6837601747925715,0.0,0.8571428571428571,0.5512372001993289,0.0,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.5029115174059362,0.38345561848309556,0.0,0.14285714285714285,0.24124132606147844,1.0,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.4154410883274511,0.45669436172746314,1.0,0.8571428571428571,0.5628538326861093,0.0,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.6791576667813929,0.6226254762717656,0.25,0.14285714285714285,0.8326821568514259,0.25,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.4876821291396416,0.03778609553161705,0.0,0.2857142857142857,0.635742037681662,0.0,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.8118388539590925,0.5128507298618764,0.75,1.0,0.7680589007980425,0.5,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.3725174407534176,0.8263811374724085,0.25,0.8571428571428571,0.869686535387394,0.0,39.1841983795166,-77.26015090942383
dqcnfk5z,dqcnfk,0.31357341032685687,0.7000275801065973,0.25,0.7142857142857143,0.20981939960362145,0.0,39.17853355407715,-77.23955154418945
dqcp1rx0,dqcp1r,0.4769723643568564,0.4356869995312853,0.5,0.5714285714285714,0.5561190287875564,1.0,39.24050331115723,-77.27903366088867
dqcp1yv9,dqcp1y,0.5503738822029925,0.2712703777841078,0.0,0.7142857142857143,0.25604526433671426,0.0,39.236555099487305,-77.25912094116211
dqcnctbb,dqcnct,0.4750311906461599,0.9063911628738981,0.75,0.14285714285714285,0.5860411304001121,0.5,39.18694496154785,-77.27663040161133
dqcne6ct,dqcne6,0.4825954837290266,0.7251899084803374,0.0,0.5714285714285714,0.49057368265363,0.25,39.12737846374512,-77.19869613647461
dqcngjkj,dqcngj,0.4880907251370766,0.7846668105715787,0.0,0.5714285714285714,0.49287492508423497,1.0,39.18505668640137,-77.20624923706055
dqcner94,dqcner,0.5104316435043272,0.17785190734714512,0.0,0.5714285714285714,0.4672395934192891,0.0,39.15295600891113,-77.19938278198242
dqcnf6cg,dqcnf6,0.721778924619484,0.0,0.0,0.5714285714285714,0.7100896539806569,0.0,39.17098045349121,-77.2422981262207
dqcncf4c,dqcncf,0.5352253655871897,0.0,0.0,1.0,0.7984309147906617,1.0,39.16651725769043,-77.26289749145508
