time_step,dimension,dimension_name,p_ji_nonzero_mean,nonzero_count
0,0,repair_state,1.324922928141655e-06,676
0,1,vacancy_state,1.324922928141655e-06,676
0,2,sales_state,1.324922928141655e-06,676
1,0,repair_state,7.960019146335424e-07,1124
1,1,vacancy_state,7.960019146335424e-07,1124
1,2,sales_state,7.960019146335424e-07,1124
2,0,repair_state,6.633610568009798e-07,1332
2,1,vacancy_state,6.633610568009798e-07,1332
2,2,sales_state,6.633610568009798e-07,1332
3,0,repair_state,5.904096019481356e-07,1478
3,1,vacancy_state,5.904096019481356e-07,1478
3,2,sales_state,5.904096019481356e-07,1478
4,0,repair_state,5.468210855030816e-07,1576
4,1,vacancy_state,5.468210855030816e-07,1576
4,2,sales_state,5.468210855030816e-07,1576
5,0,repair_state,5.31930722599917e-07,1600
5,1,vacancy_state,5.31930722599917e-07,1600
5,2,sales_state,5.31930722599917e-07,1600
6,0,repair_state,5.156571166034781e-07,1630
6,1,vacancy_state,5.156571166034781e-07,1630
6,2,sales_state,5.156571166034781e-07,1630
7,0,repair_state,5.175088623932149e-07,1604
7,1,vacancy_state,5.175088623932149e-07,1604
7,2,sales_state,5.175088623932149e-07,1604
8,0,repair_state,5.13001799132493e-07,1598
8,1,vacancy_state,5.13001799132493e-07,1598
8,2,sales_state,5.13001799132493e-07,1598
9,0,repair_state,5.059984203878028e-07,1600
9,1,vacancy_state,5.059984203878028e-07,1600
9,2,sales_state,5.059984203878028e-07,1600
10,0,repair_state,4.984690906142553e-07,1604
10,1,vacancy_state,4.984690906142553e-07,1604
10,2,sales_state,4.984690906142553e-07,1604
11,0,repair_state,4.916663474989028e-07,1606
11,1,vacancy_state,4.916663474989028e-07,1606
11,2,sales_state,4.916663474989028e-07,1606
12,0,repair_state,4.843547348670348e-07,1610
12,1,vacancy_state,4.843547348670348e-07,1610
12,2,sales_state,4.843547348670348e-07,1610
13,0,repair_state,4.777467741759503e-07,1612
13,1,vacancy_state,4.777467741759503e-07,1612
13,2,sales_state,4.777467741759503e-07,1612
14,0,repair_state,4.718143145091771e-07,1612
14,1,vacancy_state,4.718143145091771e-07,1612
14,2,sales_state,4.718143145091771e-07,1612
15,0,repair_state,4.659554945919707e-07,1612
15,1,vacancy_state,4.659554945919707e-07,1612
15,2,sales_state,4.659554945919707e-07,1612
16,0,repair_state,4.601694010002514e-07,1612
16,1,vacancy_state,4.601694010002514e-07,1612
16,2,sales_state,4.601694010002514e-07,1612
17,0,repair_state,4.544551316235304e-07,1612
17,1,vacancy_state,4.544551316235304e-07,1612
17,2,sales_state,4.544551316235304e-07,1612
18,0,repair_state,4.4881179552518743e-07,1612
18,1,vacancy_state,4.4881179552518743e-07,1612
18,2,sales_state,4.4881179552518743e-07,1612
19,0,repair_state,4.4323851280446175e-07,1612
19,1,vacancy_state,4.4323851280446175e-07,1612
19,2,sales_state,4.4323851280446175e-07,1612
20,0,repair_state,4.377344144601432e-07,1612
20,1,vacancy_state,4.377344144601432e-07,1612
20,2,sales_state,4.377344144601432e-07,1612
21,0,repair_state,4.322986422559328e-07,1612
21,1,vacancy_state,4.322986422559328e-07,1612
21,2,sales_state,4.322986422559328e-07,1612
22,0,repair_state,4.269303485874581e-07,1612
22,1,vacancy_state,4.269303485874581e-07,1612
22,2,sales_state,4.269303485874581e-07,1612
