time_step,dimension,dimension_name,p_self_mean
0,0,repair_state,0.5038166544866042
0,1,vacancy_state,0.5038166544866042
0,2,sales_state,0.5038166544866042
1,0,repair_state,0.5006917702747056
1,1,vacancy_state,0.5006917702747056
1,2,sales_state,0.5006917702747056
2,0,repair_state,0.4975668320225565
2,1,vacancy_state,0.4975668320225565
2,2,sales_state,0.4975668320225565
3,0,repair_state,0.4944420838451295
3,1,vacancy_state,0.4944420838451295
3,2,sales_state,0.4944420838451295
4,0,repair_state,0.49131776979800973
4,1,vacancy_state,0.49131776979800973
4,2,sales_state,0.49131776979800973
5,0,repair_state,0.48819413380116095
5,1,vacancy_state,0.48819413380116095
5,2,sales_state,0.48819413380116095
6,0,repair_state,0.4850714195627825
6,1,vacancy_state,0.4850714195627825
6,2,sales_state,0.4850714195627825
7,0,repair_state,0.4819498705033065
7,1,vacancy_state,0.4819498705033065
7,2,sales_state,0.4819498705033065
8,0,repair_state,0.47882972967958615
8,1,vacancy_state,0.47882972967958615
8,2,sales_state,0.47882972967958615
9,0,repair_state,0.4757112397093246
9,1,vacancy_state,0.4757112397093246
9,2,sales_state,0.4757112397093246
10,0,repair_state,0.4725946426957944
10,1,vacancy_state,0.4725946426957944
10,2,sales_state,0.4725946426957944
11,0,repair_state,0.46948018015289833
11,1,vacancy_state,0.46948018015289833
11,2,sales_state,0.46948018015289833
12,0,repair_state,0.4663680929306182
12,1,vacancy_state,0.4663680929306182
12,2,sales_state,0.4663680929306182
13,0,repair_state,0.46325862114090327
13,1,vacancy_state,0.46325862114090327
13,2,sales_state,0.46325862114090327
14,0,repair_state,0.4601520040840426
14,1,vacancy_state,0.4601520040840426
14,2,sales_state,0.4601520040840426
15,0,repair_state,0.4570484801755746
15,1,vacancy_state,0.4570484801755746
15,2,sales_state,0.4570484801755746
16,0,repair_state,0.4539482868737745
16,1,vacancy_state,0.4539482868737745
16,2,sales_state,0.4539482868737745
17,0,repair_state,0.4508516606077706
17,1,vacancy_state,0.4508516606077706
17,2,sales_state,0.4508516606077706
18,0,repair_state,0.44775883670633354
18,1,vacancy_state,0.44775883670633354
18,2,sales_state,0.44775883670633354
19,0,repair_state,0.4446700493273832
19,1,vacancy_state,0.4446700493273832
19,2,sales_state,0.4446700493273832
20,0,repair_state,0.44158553138825724
20,1,vacancy_state,0.44158553138825724
20,2,sales_state,0.44158553138825724
21,0,repair_state,0.43850551449678604
21,1,vacancy_state,0.43850551449678604
21,2,sales_state,0.43850551449678604
22,0,repair_state,0.43543022888321414
22,1,vacancy_state,0.43543022888321414
22,2,sales_state,0.43543022888321414
