home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.3110088519663828,0.06906913678876823,0.03288600600443061,0.1471685470110171,0.4284996401588514,0.2371364243996829,0.00630554203775987,0.4867726946164689,0.3453555910471409,2.4571146274414168e-29,0.1740023136653377,0.32272097482323436,0.29779309445418806,0.06090830822651722,0.41159039673540904,0.3305329278341669,0.004986045416980554,0.01423023620213114,0.014024429812160604,0.057159574385984034,0.005832859071427621,0.042499189166138505,0.009619764519949206,0.002681880226999235,0.01576096411477675,0.10137930798049619,0.09705356866954028,0.3682895843090977,0.16979286947035302,0.0859674377785346,0.026873563657302986,0.13301046208374664,0.26606696189199724,0.09890890339891169,0.1391076919560464,0.0984422117557876,0.5327017371169239,0.005192777291448565,0.03814235691291508,0.057085059973068175,0.09613217978866442,0.26799918888334473,0.25844384229050166,0.0006835452981804137,0.05807423222087671,0.027806153222894994,0.24238855755650282,0.14155688637321479,0.01375434429416432
dqcnc7hq,0.3110088519663828,1.0,0.6339104578796759,0.021413589391388644,0.5725302628950568,0.9185120470412291,0.5231933674563192,0.026312831989137253,0.39720431182019744,0.08642208796200307,3.338011798019063e-23,0.216163716930765,0.19050118544432518,0.5329763464567194,0.01107287922375139,0.15356751384876832,0.20908364189702822,0.04298636520887287,0.01360265877847619,0.1070982870828708,0.21640351205144073,0.02318030703796732,0.14110052819304533,0.028483294176140758,0.05572939208121835,0.15902875856794282,0.25996966881322736,0.27118275287475535,0.9579486413131278,0.05343559755585532,0.25081653616014576,0.014704598684173526,0.05736384542172423,0.9423270025641133,0.2886606149410636,0.2045205428988295,0.14883476938890652,0.1016599025300915,0.017938842820088785,0.23115439739456659,0.1842042585050936,0.1524878615050414,0.24804611531050338,0.36076681469626953,0.01640169623851174,0.47034824679566656,0.010390541930822773,0.093086121941534,0.3951828506246843,0.0715706809069549
dqcnc29k,0.06906913678876823,0.6339104578796759,1.0,0.006541215402112168,0.546368792109095,0.456043589781497,0.2688759216553319,0.01716529069705185,0.1805724122963185,0.024248969008797118,2.4574254655333487e-21,0.11864792912327893,0.056080822102806856,0.18176162460418066,0.0034548492051000913,0.06199082132820502,0.050829131596638946,0.024248836977263925,0.0036092209760491445,0.12269040471771224,0.317123726989693,0.037812723777650374,0.2101722827734029,0.03370922741636563,0.09858442309680683,0.21979498400738717,0.20975106845712466,0.35412679136074954,0.6307543840400026,0.03656595289951323,0.3266394053168577,0.007926737099799318,0.0322675943275509,0.7662041514697171,0.24232580610495202,0.25382888440826445,0.06022309455009622,0.034087960397115286,0.029208348072033534,0.30089661354450253,0.09457407883472917,0.07197536606384775,0.14127248578176343,0.2502737158316052,0.040682368638369465,0.7895419472003365,0.006559594462114132,0.055309827363169965,0.20309765691711593,0.030851684202792065
dqcngqhc,0.03288600600443061,0.021413589391388644,0.006541215402112168,1.0,0.010452507212205073,0.052475734722836634,0.01716562425644249,0.14947689226996372,0.1842124661842406,0.3454571656747858,1.6157640159871022e-25,0.27486440058747985,0.18727599917799165,0.12677304866777533,0.022366058872719603,0.02256656695507775,0.14676743114126634,0.13911912875954724,0.396346915617815,0.12599836828976807,0.08661712555435308,0.046631435497362775,0.13641172419181546,0.08780970905416517,0.05962894876074326,0.05299277149520554,0.21334596683793033,0.03638686394762343,0.02441402422040764,0.017018891407562672,0.0560903938236271,0.011906609956415053,0.15091610331731906,0.01413385009864389,0.2315149571555804,0.03450771640135516,0.06863925917314535,0.01728773568944519,0.04802100545455898,0.06496039999712432,0.3011298183600505,0.05868195401308333,0.24443406079694618,0.08001456707264129,0.0248102531826564,0.022123069934287098,0.015055151380998416,0.08781413575886414,0.03377874513760252,0.22837953911393696
dqcnbbdq,0.1471685470110171,0.5725302628950568,0.546368792109095,0.010452507212205073,1.0,0.4761544173802301,0.7877556240975377,0.007645768252586857,0.2218743440294397,0.05417941013299842,1.4420381639021751e-21,0.24822086978522784,0.21280838284809503,0.16780581583744072,0.005567161968082033,0.040291931004544916,0.16576050848433832,0.023373106522913273,0.004185140645849525,0.051392762373034764,0.22985691596295096,0.03860315330262049,0.18265146377257685,0.042096700857882606,0.04083238659626758,0.05622373730256775,0.2682246822243215,0.5677758043395029,0.6908118479980614,0.030551872488355593,0.46683719860320994,0.003563597298879179,0.025954730559977383,0.5961432332377382,0.1795539832161696,0.3061382296951127,0.27631446089086187,0.046226496752411174,0.03399558763308255,0.08947278692139927,0.049404405921737504,0.32144222969026004,0.20169600607220706,0.2284173988494945,0.022134698149307155,0.5430271731502068,0.005467349664711186,0.085491245759171,0.6229413514662577,0.023896160397630973
dqcncsjm,0.4284996401588514,0.9185120470412291,0.456043589781497,0.052475734722836634,0.4761544173802301,1.0,0.5160683570253087,0.03705507969806285,0.5877156785902634,0.17167730622208288,8.884681402321022e-24,0.29896745583438106,0.3257555139460051,0.741441140426619,0.01617357321941262,0.20664976479750138,0.3041007755663654,0.06905886143305448,0.027509424040009802,0.15001110817327562,0.2569904317165544,0.024656643665897756,0.17399806905102588,0.03365755007837846,0.0654154527460542,0.1847580966193825,0.3685889007342432,0.2822332747726109,0.8968620681831568,0.07363645608047541,0.27920608524326285,0.01756387223567072,0.09133067804857387,0.7980950539954623,0.3529553098102681,0.2263245528977649,0.1845806468483191,0.14373303211040467,0.019827728060738674,0.26809739289917406,0.2862938721918914,0.18058153241772992,0.38892623123937664,0.3908048977493289,0.020440243755699746,0.40721628230243934,0.013053662282705299,0.14774928858155167,0.43750456203482607,0.11297024575011949
dqcnbchm,0.2371364243996829,0.5231933674563192,0.2688759216553319,0.01716562425644249,0.7877556240975377,0.5160683570253087,1.0,0.007054175178875054,0.2357999341065067,0.07837751630057711,3.845343714227087e-22,0.27337158077692886,0.37857318038285637,0.24094294301476446,0.006008369872358494,0.034124505013341216,0.3197282870219085,0.033693571334926654,0.007351699182415577,0.035047060725972475,0.12049335330370065,0.019619135208289094,0.09641934256418642,0.027292881840841415,0.02367590090415976,0.03049716488256789,0.23621186620080545,0.3433831742236382,0.6135393677603146,0.017923793299317526,0.2841961267004933,0.002377099227741182,0.0193832136235191,0.4395332850914853,0.13598959911333497,0.16169104327896963,0.44979108912111887,0.04578164589061663,0.01742892245987628,0.046987022293454805,0.05463794904308832,0.4635135594297712,0.19511539209520826,0.17221115800817569,0.011065287362822728,0.27385435295239235,0.003437285215761857,0.06807779071382827,0.8647076716326413,0.03602911092702691
dqcng43b,0.00630554203775987,0.026312831989137253,0.01716529069705185,0.14947689226996372,0.007645768252586857,0.03705507969806285,0.007054175178875054,1.0,0.03604706861751404,0.03073002705184574,2.6116308242864075e-23,0.13566873184695422,0.012557444751106003,0.06161248047856226,0.027975420540514506,0.0078394275271201,0.06550039763929348,0.09216445754930948,0.5288012197078886,0.07346099183283819,0.03360650804998237,0.1741692083450928,0.06875691699820198,0.2397196282609074,0.10538238488549231,0.0738967205295934,0.044361853452229504,0.010823201340865302,0.02196094552693693,0.002827264863960447,0.015345431619596969,0.0697852957707907,0.07019184299966952,0.020962463394648915,0.3577051773189251,0.008861163542885492,0.034099951890276564,0.0026585879034676635,0.13813482494808718,0.07039716719114006,0.26579193845934235,0.030636573910001543,0.03168293393632909,0.13140713292046377,0.01366873338011743,0.026076068640979673,0.03630441532093169,0.00724998278318363,0.010511366215843537,0.34268487917859725
dqcnfpuz,0.4867726946164689,0.39720431182019744,0.1805724122963185,0.1842124661842406,0.2218743440294397,0.5877156785902634,0.2357999341065067,0.03604706861751404,1.0,0.595503285036992,3.515493398035451e-26,0.4127483103539472,0.5232708295157615,0.5404443194003867,0.04074132418499155,0.4115221720624935,0.27821354962040246,0.04790441354538075,0.04629731574860549,0.18773385827731093,0.42307429426069837,0.03448541730141225,0.3346115760134493,0.048370368845790684,0.05169220730629216,0.16999396788338145,0.5557323847932645,0.35210377558569517,0.4663102940155152,0.2906298858250132,0.3923594128586894,0.030791969577140265,0.3317628014094789,0.3637676343074212,0.39526250935972845,0.442104508407804,0.12553369733050773,0.3598334605889951,0.03208843226073001,0.3032462321459563,0.3022580134211198,0.12821209436335143,0.8730268101223806,0.4145329910876817,0.02365929545601962,0.2658597678867661,0.03557145159078458,0.5768419140592205,0.22165653942250624,0.07643182791195839
dqcp473c,0.3453555910471409,0.08642208796200307,0.024248969008797118,0.3454571656747858,0.05417941013299842,0.17167730622208288,0.07837751630057711,0.03073002705184574,0.595503285036992,1.0,6.422224937825927e-29,0.4147389379112556,0.4651045024000048,0.19063912245181877,0.12393528632838384,0.2455765497025114,0.3231398526820209,0.017420897244970354,0.09531249033719891,0.047973608833653494,0.14409506833099014,0.03585501251083958,0.17415510298128473,0.059536279931056646,0.011406556736853821,0.03015946209246818,0.25013755968220225,0.1342709585327404,0.11880245784782224,0.2391714152724864,0.15435107245236573,0.044113885891299394,0.468701125086449,0.0731118864860243,0.22729559827117013,0.2115014183665898,0.11261514520383173,0.3254225575285919,0.03780209841510539,0.0660146463698791,0.12894442604053097,0.11217093837629909,0.5895532646300715,0.27088134109651735,0.004727750915177357,0.04948008708495049,0.07554898108601729,0.5673324060727589,0.07750134317355578,0.03815453125718826
