home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.13733441174540123,0.06537509835343588,0.053264253895625654,0.12843012795666736,0.3968491466701852,0.08642161338290887,0.05190117826874582,0.44776983486883365,0.5997107389583933,7.821437296535213e-29,0.45086033903267086,0.3081179484832621,0.18872027550842027,0.29094186725790966,0.3313863353936239,0.5361418960586832,0.000536629408784777,0.007813547348721491,0.030134786794689904,0.1556064734808855,0.1705312794800687,0.2708205781569918,0.1425444388153943,0.006582269469931972,0.036858034917828596,0.024163286725112323,0.20500848036443317,0.08741462489080419,0.22130556946807414,0.03865299500777264,0.2898453421701689,0.3282023982526347,0.14567885513623188,0.02620785017762291,0.562666278856501,0.11319162017876042,0.5782749922038729,0.01856888387348469,0.10314267575829753,0.009516593211593411,0.1369468716511264,0.43348847427101356,0.06089889619941203,0.0017933570232788968,0.09937596744141523,0.09318069238248235,0.09337062276154459,0.06644819708980243,0.015490712068245191
dqcnc7hq,0.13733441174540123,1.0,0.32873137375388045,0.027099738523506445,0.5629231549938283,0.6582838970755571,0.833200715864717,0.039010979014667685,0.4394668043391112,0.13470705515647524,2.5073754704020586e-23,0.3208967544475836,0.6864550165273446,0.2981648827078203,0.06407224172066645,0.15633044125067636,0.5873675509101006,0.007113184793320177,0.022728756777324843,0.05833126659075976,0.12640061429508143,0.23535935285053325,0.16973317654131853,0.17377156979603522,0.018929214156082973,0.04591633919928762,0.015916657657154557,0.172204863627096,0.9364395308895822,0.01741214670356386,0.03420486943480401,0.1748673753273199,0.0951725402590875,0.9877179055556126,0.027401871796017427,0.16384204669628974,0.20898653111318077,0.06468837518444183,0.02548382963584018,0.07027327596329545,0.009991953103917735,0.18470696370866682,0.07952660835789015,0.05003454756877659,0.011925872365152381,0.3059544100541377,0.005574410275375388,0.011737357586804194,0.14571802227414776,0.0433734573254626
dqcnc29k,0.06537509835343588,0.32873137375388045,1.0,0.034295715563063114,0.2125223599912201,0.36085402149652246,0.38325550795702035,0.07325746420268141,0.1730333113898708,0.04127184885547709,1.3908556531237444e-21,0.2804193111210968,0.19019986415671675,0.13850273738054633,0.06160967401859359,0.033700737338392364,0.22338687237725718,0.036334986525275476,0.08555041406375798,0.04752663759483649,0.2353115914683898,0.3907959000484311,0.13527209367335893,0.33424023165516786,0.04094869459663028,0.08002985367117828,0.12050812548946323,0.5729480553921869,0.24715677418259438,0.0406789591668751,0.32616207913837986,0.03706074626758638,0.012557981895917485,0.3293315421709953,0.26798928634022273,0.2955376613933058,0.44790866206429625,0.023395343530588024,0.37565989903143027,0.10427055396931281,0.04204184670499878,0.4015014084328557,0.07864678756697856,0.30697478321351007,0.06320115721506886,0.49583569591928045,0.026177401624547757,0.059488587250310934,0.6072706471239956,0.07747696714441749
dqcngqhc,0.053264253895625654,0.027099738523506445,0.034295715563063114,1.0,0.006222454234021335,0.1260100094495521,0.00978688189752373,0.2059505923154802,0.23553063920915435,0.17004214837910184,3.534703547449778e-25,0.2348064984813113,0.08221022255860584,0.10105934378135328,0.022077141872642113,0.05122864455042634,0.06986209992510485,0.010323531790996638,0.05891245670441981,0.3541501708919356,0.1433074357144087,0.2553618836538011,0.26506201281915354,0.3023035135198748,0.18325393748547877,0.6333359660383543,0.03632460476918393,0.06706023065791487,0.013349457543172438,0.06117343777425212,0.022513559145392822,0.046318192545462114,0.04472093058258284,0.022501807623449742,0.06161529043821119,0.14634405343441326,0.06945281696911224,0.017440984465310914,0.03216107373198045,0.719378670853726,0.04357057039063233,0.05903232830468586,0.3669155491126495,0.020826202827932013,0.07244732828674304,0.14163790171651314,0.008844147664007485,0.026569237572294863,0.057453133477526785,0.4642233006890693
dqcnbbdq,0.12843012795666736,0.5629231549938283,0.2125223599912201,0.006222454234021335,1.0,0.48447708974667075,0.6684822685333874,0.030834188905127142,0.1765880711342593,0.07122453295518742,1.1428765828991841e-21,0.2686464574954257,0.4369602929267753,0.23414226690978343,0.01903772917186679,0.03449456535837949,0.5357611078151714,0.004204202046227685,0.004187714103432901,0.035699813796610226,0.12634879731752774,0.14361235730090666,0.1778556218289293,0.09196392288538623,0.01544218693034748,0.02107460838545254,0.016876916046130844,0.20504370484596332,0.43448860754240526,0.004791460047231733,0.03489611422401832,0.036020646499333384,0.04763635070960469,0.5508719730809776,0.01332559631967917,0.14242618516261707,0.17122986468130952,0.03605479925721804,0.013777142626311337,0.034654180302005524,0.006350803603091555,0.18845366720371454,0.0657069831541267,0.022821426652220398,0.008380240134532672,0.19809550994115133,0.003053022756245268,0.006242339894735304,0.1350592269155286,0.01781164016410511
dqcncsjm,0.3968491466701852,0.6582838970755571,0.36085402149652246,0.1260100094495521,0.48447708974667075,1.0,0.49449218183306815,0.15593561923854776,0.7405648525740519,0.3823900642885137,1.5587695716426582e-23,0.832584755483223,0.8075934121817934,0.5124358970825456,0.11002106566407255,0.205678848620861,0.8930177937818802,0.01185436881180137,0.036490864187957835,0.19243467658654503,0.3724337014174981,0.5653601648908719,0.5798465595857882,0.4590223157865538,0.07724364013455602,0.1888462928993646,0.060047711813017685,0.4298000921378177,0.4574396859256816,0.06389308551741373,0.0912442472599082,0.20493083713089183,0.1895161723709135,0.6291631709686824,0.07442318608050348,0.5285401124706512,0.4048172004760023,0.14051923580141124,0.06137997732392218,0.3003540345657372,0.0330251458621951,0.4022430382751013,0.4019481556674519,0.0890408404216871,0.03576836485131661,0.5357951312490442,0.02183507502165585,0.044267544538136853,0.30144786977408716,0.14205590671268345
dqcnbchm,0.08642161338290887,0.833200715864717,0.38325550795702035,0.00978688189752373,0.6684822685333874,0.49449218183306815,1.0,0.016796727563702832,0.21636318723277687,0.050940366605808696,3.33588581469952e-22,0.23645360080252067,0.39713107405978754,0.14282928506019038,0.031387069165227065,0.059790108077828655,0.4131190372708828,0.0037304278615207347,0.008270121928955376,0.026313724103162725,0.07521592277855285,0.21384612811661463,0.10484653517998742,0.15273895758603548,0.01296580652606107,0.025087400754958727,0.009931963668007419,0.17209914355625375,0.7797498617998091,0.008338757256110184,0.030539564566924613,0.06867902054083753,0.028624069156862487,0.8576214048778318,0.01811782650650606,0.12949500500878872,0.28006416123327665,0.02813322699631301,0.023392060831762766,0.03796775333830717,0.0038940080151245353,0.2566593379307711,0.04340088121275693,0.03655040384563573,0.008196061530246827,0.3259696535814863,0.002810985231803238,0.0056905070086706025,0.2049481387725564,0.02488159881306562
dqcng43b,0.05190117826874582,0.039010979014667685,0.07325746420268141,0.2059505923154802,0.030834188905127142,0.15593561923854776,0.016796727563702832,1.0,0.1605239111050502,0.1534236228276967,4.11454281049624e-22,0.23222708649930557,0.1462937450063813,0.45151954221288915,0.01697340403014638,0.01681480495608913,0.12741740965632534,0.1970519095333621,0.17270169275214722,0.49751549415339025,0.7534616389748185,0.12534234610276054,0.438432277998202,0.11179782030049604,0.21869810020458375,0.31141347762380084,0.4654453278681833,0.23078896079997235,0.0174384509596708,0.022213915957345527,0.19479045420800467,0.014528383952289966,0.06754475584740748,0.02978425689104246,0.23485456428672333,0.16640190807902913,0.03731496261519262,0.02240787409555008,0.09974595580084183,0.3454296862559163,0.5689263994048942,0.03866280053232217,0.2900543063168879,0.07049852991648432,0.2688620106655738,0.08616588778593341,0.02609800292918396,0.09728618489624496,0.06056479881099988,0.23789704990876048
dqcnfpuz,0.44776983486883365,0.4394668043391112,0.1730333113898708,0.23553063920915435,0.1765880711342593,0.7405648525740519,0.21636318723277687,0.1605239111050502,1.0,0.6890926335435678,3.3734847481984317e-26,0.6325619228432692,0.7577158285103194,0.5067525809460043,0.22450006502595923,0.5044148699953478,0.7030061602481021,0.007821036752847383,0.06464986673899077,0.17916961310591975,0.2944422921590858,0.3639026443429263,0.4481029202238965,0.31914160406755665,0.04218891773965136,0.17580427085005043,0.04440176605335098,0.2259033709309814,0.32206494766489474,0.14203601806346036,0.05349270938171821,0.4920941381240951,0.42252201850116994,0.4180315393178579,0.06728349703043492,0.43183590652795556,0.17527374621907515,0.2756897388483425,0.040887216363512564,0.30918639788575314,0.03834733385580638,0.1636467548094821,0.435835170307789,0.08845370190820975,0.018461440770842292,0.27339918280253345,0.03857418777710403,0.07026151698687277,0.1148486807923569,0.11789789238976511
dqcp473c,0.5997107389583933,0.13470705515647524,0.04127184885547709,0.17004214837910184,0.07122453295518742,0.3823900642885137,0.050940366605808696,0.1534236228276967,0.6890926335435678,1.0,1.52392323669124e-28,0.4138752527138288,0.45247910064659047,0.4102353214495008,0.2212393103609791,0.45630959615035327,0.48683956830855574,0.0025668484545474583,0.02989341433723618,0.11184242286912946,0.23823748361661357,0.13862737481241885,0.37657483340128833,0.12027450529470744,0.01678940584133122,0.08860637284038933,0.035768461629887255,0.12305140321844506,0.08526429888114513,0.16441787344005332,0.029391006867827422,0.39824364012285823,0.7404988000065225,0.12646017885510177,0.033562795909263504,0.3434333846087549,0.04986070837515753,0.4768379560288578,0.014641613821377008,0.1965040137651199,0.034215781373378225,0.05351893854602352,0.5106029375623152,0.04623020433571604,0.005568645037046409,0.07552649241710452,0.06207033743011913,0.09160205497227779,0.030684672889457924,0.043494886462471
