Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,BldgValue,EstLoss
single_family,Major,Flood,58,Major,112721,56360.5
single_family,Major,Flood,62,Major,93212,46606
single_family,Minor,Non-Flood,,Minor,203721,50930.25
single_family,Major,Flood,66,Major,71303,35651.5
single_family,Major,Flood,54,Major,381738,190869
single_family,Minor,Non-Flood,,Minor,118348,29587
single_family,Affected,Non-Flood,,Affected,167121,25068.15
single_family,Major,Flood,45,Major,149491,74745.5
single_family,Major,Flood,43,Major,272825,136412.5
single_family,Affected,Non-Flood,,Affected,198843,29826.45
single_family,Major,Flood,76,Major,521940,260970
multi_family,Major,Flood,58,Major,107503,53751.5
single_family,Affected,Non-Flood,,Affected,198843,29826.45
single_family,Major,Flood,77,Major,289989,144994.5
single_family,Major,Flood,69,Major,131585,65792.5
single_family,Affected,Non-Flood,,Affected,207261,31089.15
single_family,Minor,Non-Flood,,Minor,181186,45296.5
multi_family,Major,Flood,46,Major,186972,93486
single_family,Affected,Non-Flood,,Affected,200750,30112.5
single_family,Major,Flood,74,Major,108112,54056
single_family,Major,Flood,45,Major,93820,46910
single_family,Affected,Non-Flood,,Affected,279916,41987.4
single_family,Affected,Non-Flood,,Affected,231362,34704.3
single_family,Major,Flood,38,Major,161119,80559.5
single_family,Major,Flood,40,Major,74120,37060
single_family,Inaccessible,Inaccessible,,,103207,0
single_family,Inaccessible,Inaccessible,,,233877,0
single_family,Minor,Non-Flood,,Minor,75533,18883.25
single_family,Major,Flood,76,Major,232652,116326
single_family,Affected,Non-Flood,,Affected,150034,22505.1
single_family,Major,Flood,45,Major,71734,35867
single_family,Affected,Non-Flood,,Affected,389691,58453.65
single_family,Minor,Non-Flood,,Minor,57052,14263
single_family,Major,Flood,78,Major,80478,40239
single_family,Major,Flood,53,Major,45272,22636
single_family,Inaccessible,Inaccessible,,,117941,0
single_family,Minor,Non-Flood,,Minor,158097,39524.25
single_family,Major,Flood,76,Major,325399,162699.5
single_family,Minor,Non-Flood,,Minor,84420,21105
