home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf,dqcnc2sv,dqcncgsj,dqcncfjz,dqcp4k9b,dqcncv9e,dqcncvy0,dqcng23k,dqcncf69,dqcng0x3,dqcnc9vh,dqcncvhv,dqcng0rh,dqcnf1g2,dqcp4hth,dqcnf559,dqcp1wk6,dqcng5m8,dqcnc3fk,dqcnfkw0,dqcp1yek,dqcnc1m6,dqcnfkys,dqcp1wbz,dqcnc6ht,dqcnc8ft,dqcngqwq,dqcp1xyv,dqcnfmdf,dqcnfs2t,dqcnfpuy,dqcnfmyp,dqcnc778,dqcp1gmx,dqcp4jxf,dqcn7m99,dqcp1gsz,dqcnc77d,dqcncum1,dqcncuc6,dqcp4j1c,dqcncfne,dqcnfq3v,dqcncu74,dqcnf69x,dqcp1ym5,dqcnc5jg,dqcnep20,dqcnfnyk,dqcnczy0,dqcnft40
dqcp176g,1.0,0.1515436564659612,0.06126895193024972,0.009834125457773766,0.08220734162318748,0.17584572807768126,0.12379303958970223,0.021050083338481313,0.29858670996295383,0.2412197290237322,7.276296990902542e-37,0.10160010506976089,0.0679907507451961,0.1970926166454034,0.1147501765269678,0.30400871990280925,0.10577890237440667,0.00047346657165457087,0.027064192754940618,0.008361419666788746,0.06889154002075763,0.10360514685069037,0.10282752659494841,0.11002454338891822,0.0005654090292970536,0.010582106721479828,0.018390060801449754,0.08434213816980606,0.18623489486698314,0.3396259300052926,0.23891719757169225,0.3280501066564299,0.25911795691110256,0.22798947398969074,0.08875974575638142,0.02058971846616655,0.010920287930071092,0.5159871434406692,0.08999550123923916,0.004133729474529399,0.010496937485330107,0.02952180460168235,0.07100014141323926,0.058008364842773705,0.00013429106182301655,0.0640156593713667,0.062329009121071005,0.2860049641352456,0.06195031567570561,0.0021954553445625623,0.04203862466591341,0.07885670663995467,0.07172846326272213,0.22649460662838378,0.08785939768167741,0.05768610603718657,0.003882304607833734,0.08353479101012297,0.01032035453690349,0.059688287632061666,0.05142822351169419,0.01251073620130564,0.02055829890888625,0.18320192446474262,0.1543706757234629,0.06875465287060431,0.003860552164125745,0.04020870807256155,0.1750201319998883,0.07330781844852531,0.006814785127474673,0.16701239558804098,0.04435670316695233,0.08826562472670989,0.09673618891773315,0.005810871491276902,0.3043329330612314,0.05743443660965058,0.02686437006713228,0.4151099335628327,0.08791385145657342,0.115175565114118,0.17803202893322873,0.018154120092455334,3.407095915684074e-05,0.1979749703306545,0.17730427693682216,0.12856983818243128,0.08900454962839989,0.19346327294590293,0.09867551000702357,0.043447492326682324,0.1295238319385998,0.06900204671979013,0.3235350483636602,0.0559132751764846,0.00978864837183746,0.1262487722154269,0.5620011472009674,0.14680987554088903
dqcnc7hq,0.1515436564659612,1.0,0.8663792653936265,0.007752827447181608,0.22887604048103055,0.16968240136476762,0.19566570838443179,0.1795719889259455,0.1063146817174304,0.14502888739877595,3.552114448394501e-29,0.6979763134456854,0.01286359388409365,0.1339518225924496,0.0018227436652318459,0.0940976399001498,0.2548819909998316,0.004869084799384806,0.13211420590395415,0.036146942136945824,0.15601071690317073,0.2635665612360586,0.18324720362523758,0.3712732942048358,0.029091095961569318,0.05314471995719621,0.2867008386989969,0.3557062064231797,0.984970248366696,0.013501846219603382,0.5183414910630718,0.1162130716582522,0.029914155702858557,0.9249098647763148,0.5938398668621244,0.006029931569365914,0.28232886659560874,0.03664202614189354,0.27345020357998157,0.007188763566919962,0.11928326065232372,0.48526228607098615,0.030270376367477772,0.1131911258728289,0.008444570044186687,0.5658683833697133,0.03809530604735614,0.030641353791224697,0.6358327334385957,0.053481411770599764,0.7509378466551976,0.24907893386491747,0.15050467302937998,0.029919249449774258,0.016283641664348394,0.008358769481836543,0.08083892642746292,0.2562781210637256,0.014895748139622444,0.2147547446435415,0.01285553400956857,0.044715369674629454,0.15540445287894664,0.12819217511321354,0.2474029827202088,0.04974489792917156,0.001463377103443101,0.4964373556391779,0.1304602635590991,0.005053708373664325,0.006437637658771439,0.15815143218483507,0.035300160072586795,0.4873229805088872,0.2054922139806438,0.003520502265610224,0.0232221298410064,0.24566039827450112,0.23126752550743396,0.1987384883915169,0.19553208664318694,0.9569099176206958,0.04605529425441477,0.001697915331689199,0.0016311711120376444,0.04563034981918221,0.9843913343708286,0.6959047459145543,0.4961378100836823,0.06796444301966802,0.33073656327530965,0.04820479229872191,0.7176888741362698,0.12992501129071585,0.12154386219808118,0.16987948090813543,0.045185602503353614,0.20832829777252107,0.1145946962920259,0.11092347394342515
dqcnc29k,0.06126895193024972,0.8663792653936265,1.0,0.006033454663024669,0.28225284994012423,0.16289323823210364,0.22546832605884534,0.1459623677775177,0.061787451223765215,0.07048488554858215,6.102948686767128e-27,0.6264688677100866,0.009310399040091708,0.09431910046504646,0.000616262684928308,0.027072239960916226,0.25222631821404273,0.008434829629050159,0.09016047745690248,0.034402467144001206,0.1543986460466606,0.2796832247855211,0.16390906523734064,0.3947893786981396,0.051997287116787715,0.05755755053936108,0.32801988922836856,0.4263157665682377,0.8105672660784516,0.004776180238560227,0.45885253925906716,0.03870311270925603,0.011770138391435776,0.7221581949529798,0.4838121856697203,0.005753773828616085,0.4541951768605232,0.011518650702278548,0.2945396588014852,0.007396261812458087,0.1049951628525258,0.6949545479445866,0.0250088848063882,0.10223391595555567,0.0186634710742597,0.6973462371555845,0.019166186413832224,0.015470953682034687,0.7548126509377922,0.07177988062592273,0.9346961785159101,0.26809214450014596,0.17046139625483664,0.013917469267797697,0.011157230213258679,0.006044771476762406,0.08419956340452477,0.2817990086544372,0.0141466991989324,0.2647517061112701,0.010383139402282464,0.04073599991776063,0.20891729676599533,0.058683979479683394,0.2089343297172726,0.025321229067251157,0.001260298764311235,0.6532527599100941,0.09485644556318544,0.001385092466828829,0.009690381521778545,0.10791940624819213,0.017622755437618598,0.5824527351862823,0.24380243160222567,0.0027415615509815473,0.008267845412244255,0.217220646906222,0.2182184804588669,0.10744940450952689,0.1578863830133118,0.8888446650722492,0.026259733637184098,0.0008609888831746279,0.003961361773600447,0.0251204240009517,0.8107853785785722,0.6068496201550014,0.4760981042484932,0.0328578854249369,0.36164313800965603,0.04366025450818401,0.6314298163387926,0.13494214016973735,0.03986196900932303,0.21827915908740222,0.05191923286394305,0.1630836265550921,0.05455859693559441,0.07119913836767255
dqcngqhc,0.009834125457773766,0.007752827447181608,0.006033454663024669,1.0,0.006254815120974192,0.13722715222988896,0.008977384453933517,0.11664066173918423,0.17845362393941724,0.1331745825967939,1.7718633048123012e-31,0.04097012839862022,0.02672833652165476,0.20204514317812117,0.002839337304737059,0.00400769157919906,0.07791661026843079,0.10911166873650592,0.17431527152884954,0.1983068106059769,0.3013081570148277,0.08327500404716913,0.2287932953585787,0.14292881763717086,0.04917417347263677,0.3907851354296318,0.09464904167639734,0.05422150584040535,0.006041951650566153,0.03362668855967826,0.04566609475832198,0.009726363879148305,0.13564991326398876,0.005316729889114929,0.06331073457525778,0.022774060384417462,0.006819270864635408,0.00859604489254344,0.07942353847696224,0.07708142117349075,0.14669884072940564,0.007398338761051369,0.3960160145820277,0.03381351900213549,0.05122264927315197,0.03759644522123435,0.011944047368579078,0.1350002717932272,0.00459629001907002,0.11247902034775659,0.009255510460504353,0.16382900468212658,0.146498618237976,0.22829503481876798,0.01848981747616398,0.03379540255010046,0.10622404076782209,0.08304584020130855,0.32009879619287773,0.06326409304466622,0.038032326370973056,0.2437410329942249,0.17061129878148562,0.054839803341955186,0.13981405312037803,0.012570309842988198,0.14588900253079304,0.017446448051435002,0.29639611904713853,0.0005307119042762116,0.006921459263786112,0.2222291164688268,0.005656144042392415,0.03875610267900209,0.06997189938985963,0.7995739099071244,0.025783135082121624,0.1975688238200373,0.13641761933577376,0.12583659999580063,0.339766709868636,0.0082170507838164,0.14068826776827936,0.02637636827873657,0.010814271376562316,0.1276718756079249,0.006561855185327794,0.059155673447260027,0.06390516106559613,0.09694878207413929,0.1543037931454955,0.3971392148352234,0.051536865222804075,0.36942750390217693,0.008392807047441282,0.036269605742615625,0.22254904806880332,0.26262719162328463,0.040623072979045126,0.20862132966473212
dqcnbbdq,0.08220734162318748,0.22887604048103055,0.28225284994012423,0.006254815120974192,1.0,0.40700995750753455,0.8264141103702387,0.018920909787745303,0.14764060319412753,0.030055028993592872,2.0781150155602315e-27,0.13160194809191803,0.019900946046887406,0.15151575648044746,0.0014141846806116954,0.004923676197239649,0.2518138561242495,0.006070251053090327,0.010009226821888805,0.024823793286122508,0.22430056364233836,0.1866074353536191,0.25679137431492005,0.27566853455958157,0.0072371375455450035,0.042520828904771074,0.05155466423121467,0.5272015999149989,0.23936607175149507,0.00872133417124246,0.393048361567297,0.008856687706093028,0.022754383113173144,0.27559424234259244,0.08472421249784191,0.011305541790608614,0.12665484880408012,0.018825127739532873,0.15312712548468413,0.002046027264517161,0.010320435148871395,0.2715857458481589,0.0479996996927877,0.030219244312951875,0.006916837751484595,0.4596840225610235,0.005895703801338528,0.029904283080047767,0.2704417811320352,0.008152481770181338,0.22402641765181974,0.29063677573931646,0.16755746567708651,0.022300184710541363,0.020694644952336867,0.017229006770206924,0.00742477572776436,0.1525128008493347,0.015033964976114186,0.1684657892356569,0.02010030947416067,0.0307372939258843,0.14942918356245752,0.014589707107335705,0.33353164210050795,0.006738254356837854,0.0016602384276075497,0.2550592835150066,0.13713952234532567,0.0002527929924044476,0.029198344580069854,0.14812741595915002,0.0036119612170929806,0.5207400661872494,0.5748765898866661,0.0022289436065933057,0.01612482129973243,0.06385833943501705,0.03262979545470304,0.14188331510296992,0.08501228979454745,0.2017242327710018,0.05737951171898992,0.0005278589105764817,0.0029142284819025422,0.057113731205445446,0.2366992474146937,0.1640384666627178,0.14846336412617078,0.023634766111371337,0.283323467209816,0.08004021387158844,0.17022058419150582,0.17686019468264505,0.008250715500541048,0.48936986806397287,0.02225725065913618,0.11277587163378164,0.1120614558861584,0.11029805482533388
dqcncsjm,0.17584572807768126,0.16968240136476762,0.16289323823210364,0.13722715222988896,0.40700995750753455,1.0,0.520624174980198,0.07551565569066268,0.49459922039935733,0.18848662467523672,1.0631315407118611e-29,0.23475177804639621,0.15427857444637222,0.5208069411549971,0.02167732848006886,0.018077035936030765,0.5438136565309747,0.04311863932215679,0.06930089489407143,0.09496030865917361,0.6313756408053968,0.5447444354706913,0.6030884562568094,0.6895968449426777,0.02870562661383849,0.1951754249729492,0.1543084401881147,0.6424117189320988,0.16511742750101183,0.10622444909449598,0.5409739541400373,0.03774383973391069,0.17055704832371987,0.16850390972502416,0.18322496115828843,0.13080711173510784,0.11842636286215807,0.06759802976903934,0.4824321725936358,0.04650467782584407,0.05847880395835802,0.19397676051073837,0.5274570575821195,0.1778648078792454,0.021835671161394267,0.41691245045686787,0.038386737342160124,0.3253004884773222,0.16379069908692448,0.04844941973612394,0.16806668799373453,0.6709501467380067,0.6503991568258043,0.2632305690209972,0.1396610199231263,0.1597053276464943,0.03749909788988388,0.4935376550646725,0.1412696737287047,0.48846429449976386,0.18255814382325936,0.12342432770283794,0.4103149952436349,0.09361919018163621,0.5943064285429486,0.041176630288315995,0.04952889405637443,0.26160988266786084,0.5782503937221165,0.0031858472149220033,0.12346633450716844,0.4363635743703225,0.021696045524978915,0.5470678922999773,0.8238860692176199,0.08629976797008868,0.09431477541613649,0.28092421915273086,0.14686199426723823,0.40819708966905266,0.4104308314766715,0.16496405340337753,0.3287282380633864,0.02449652774742653,0.006939568966288044,0.31893200584573933,0.16202883247162703,0.3043985908759004,0.3208538994456931,0.16883101101371606,0.7158335065889304,0.46465890321105324,0.29926671828658713,0.7406478427146671,0.03349507277322752,0.5836939944826356,0.1546377444825696,0.48336409375196693,0.27996321645302924,0.3469707571038208
dqcnbchm,0.12379303958970223,0.19566570838443179,0.22546832605884534,0.008977384453933517,0.8264141103702387,0.520624174980198,1.0,0.01792395838735603,0.15267754709844758,0.030209150006280685,1.011074957832791e-27,0.11162851565754166,0.08188203618361999,0.22022064949554063,0.006483256483412871,0.005380236285726287,0.2100996846669914,0.01074825357606071,0.00966207438143168,0.0246961794653335,0.20504073804185094,0.3281735215350494,0.2429290064482091,0.3392276708372523,0.008298214595675932,0.039659062379974214,0.04240215234673825,0.43000652582313736,0.20618197610297878,0.019420518141250575,0.5108160634797991,0.009300579931158163,0.025347444187526283,0.24371393496791469,0.07634302799780479,0.04063119099990568,0.08984625994701598,0.020634535361581875,0.2649538513490419,0.007586014905737518,0.009455222698933842,0.2010130449925325,0.09197296527103276,0.05037498552554746,0.005454413823320662,0.3803885856755036,0.005343791378554801,0.06263922043162139,0.31426728282657496,0.009842082979570387,0.17455089440931354,0.24732248572457222,0.2928596699722421,0.03353777643351944,0.0854752710333914,0.07130089707430215,0.006625733537424787,0.2623049537314692,0.030665024018001547,0.2790462721825551,0.07955148832249043,0.030662198842998332,0.12069048800629846,0.01434038124458716,0.3183023203685533,0.0060951387781613044,0.006977856462903006,0.19443616783861248,0.1966084755879519,0.001181404770172074,0.09575243992157552,0.15056837032221357,0.0032148200008322073,0.4214748186664185,0.7079710480281844,0.004522156462153607,0.0172887772548567,0.055740397628120095,0.027923007808789792,0.14747646768962527,0.07808625420200486,0.16729279317707205,0.05633566071246624,0.002162778277483217,0.00343659326661578,0.05656448455237626,0.20590361017611253,0.14227130727335913,0.12366657081832423,0.023370173346636727,0.3480728426182161,0.07271605190462398,0.14661351455599952,0.2274286853996498,0.00870439115762887,0.3893028579689559,0.041466971003922305,0.10297169283079807,0.17504634506841604,0.11541874336188215
dqcng43b,0.021050083338481313,0.1795719889259455,0.1459623677775177,0.11664066173918423,0.018920909787745303,0.07551565569066268,0.01792395838735603,1.0,0.10375946669717782,0.16082851424099143,4.447598572648575e-28,0.3391895527114783,0.007904724218410465,0.2085475923967593,0.0003470371505801507,0.03256701914249607,0.08159612385251316,0.07462238177947467,0.8078069224615568,0.40122770530152735,0.25573576914431034,0.15151122625239663,0.2694017943589452,0.26861461895263544,0.26514458634122373,0.4265847755856901,0.500346320352678,0.10001599325960325,0.1387500438872097,0.005480393782550683,0.20179629608863622,0.042132765084333806,0.03896407729698979,0.12441634848929797,0.6752163434107166,0.0020987659734823206,0.04873858075322948,0.006614451252345885,0.15594793424410688,0.03154161716872619,0.8832569125160422,0.06470104651218195,0.048009470935113416,0.03552593980921569,0.11468674943990277,0.24075581999340653,0.010339141662451742,0.02088109773276216,0.10433637338224694,0.48882360825412197,0.16555011774945147,0.1711554256119,0.11508110147597528,0.03766855114845343,0.007725769857108898,0.005805217576700837,0.8075132441566102,0.14629720619604045,0.15602942898631209,0.09222855334045021,0.008401086961633828,0.43191561204002177,0.18442492003750638,0.09759676361510626,0.24371688680753803,0.013958614135747949,0.013914598724484695,0.1037542127415601,0.24028948312090248,0.001452582154455849,0.0012657089909141035,0.28981575527092357,0.007672533407980681,0.12097035310618931,0.08065738268891758,0.05811131534337422,0.007625024986727303,0.36553150451281113,0.4807003837790974,0.1744636432112882,0.36391369162761483,0.16901496565550042,0.029515026458149837,0.0018540437998197778,0.02762964487554898,0.027440436190267613,0.16461856997424118,0.3945637879442948,0.23979876409997422,0.048321558443856445,0.2533332487397754,0.08293521827131267,0.3584085170004081,0.21355477175196688,0.04449385646378964,0.03152401147189589,0.2946617911867625,0.23713206566187361,0.0611973426611933,0.2500377790272823
dqcnfpuz,0.29858670996295383,0.1063146817174304,0.061787451223765215,0.17845362393941724,0.14764060319412753,0.49459922039935733,0.15267754709844758,0.10375946669717782,1.0,0.4164250346563911,2.6041199566240623e-33,0.15353669141722237,0.047465753978610796,0.6131980177777534,0.01687865999383408,0.07681845022660036,0.2875931316654238,0.011506465494230957,0.11980033793810636,0.14217740447817392,0.5466509899277301,0.15553652639835489,0.6382551053230658,0.29069456702554064,0.007921159572521295,0.19961664993245906,0.0835540468950376,0.2612641279611349,0.10828540920225271,0.17503722160429092,0.3057410381734616,0.12233194965954437,0.6526627238348442,0.12622927629542355,0.17754007570285024,0.018258531160943343,0.021887201865647254,0.24324515037954852,0.1285190482051622,0.00908271146322051,0.06856958855310331,0.04487794458177183,0.27745257377711113,0.045603757833410176,0.006984918332041598,0.1840373820033238,0.04913581975124071,0.33236703072783014,0.04447768053284342,0.02070435230128077,0.05614569210724236,0.3827887049804159,0.1754454768902137,0.4891331056876789,0.044618227654548634,0.05059045917994256,0.035691686392718046,0.12626589294932472,0.1013589545992072,0.0956662863267057,0.04466404003340837,0.19091180274853622,0.16985924274570163,0.19482036585432128,0.6555620517600671,0.052102955832677114,0.018795553193693425,0.07582345729817495,0.6413704006474925,0.0034649842971161493,0.0078284652394106,0.776409587982978,0.02574857628873195,0.21531200724045796,0.29260255874087987,0.07542420940033424,0.29754908159039156,0.22963914534848312,0.11041937030198508,0.8942183428725634,0.4427334565873853,0.087144797385357,0.5353112043465275,0.010843344512187075,0.0016925042393482281,0.5487197957408053,0.11203581873756624,0.2239457542646412,0.18400497964688953,0.3343690727392439,0.29396265765456736,0.4240074562686534,0.21034118069768132,0.4020065489737886,0.1121895665726279,0.19377209668402834,0.0654450458472671,0.4966131869094009,0.5374367548034304,0.7374509321453989
dqcp473c,0.2412197290237322,0.14502888739877595,0.07048488554858215,0.1331745825967939,0.030055028993592872,0.18848662467523672,0.030209150006280685,0.16082851424099143,0.4164250346563911,1.0,4.584680606223934e-36,0.33560619639788025,0.016381202423190064,0.19202431379226922,0.018104871234943774,0.34033518348760283,0.3317834528759689,0.0030477539350430957,0.3277351193576731,0.04227491141378255,0.23328874392642443,0.11137781940935416,0.22185384266846186,0.21640425083815468,0.007536687712660454,0.08927690360705355,0.18908682318156583,0.1645382405061908,0.14453858688360338,0.23388488601523422,0.14664722538446437,0.5445168512845826,0.5397214250694451,0.1252616355704619,0.3115217346343162,0.015569367952944762,0.045138001835618446,0.3321816575762638,0.12023616253772196,0.013831097091814817,0.16016510235117215,0.062178465812828064,0.18134744845981554,0.1663062900553026,0.0031468904385979677,0.10527157162392894,0.3703356923060342,0.30827730787921737,0.031789980802241456,0.03162055710382454,0.08194753839359632,0.28685364009746195,0.10927065620576727,0.5482573426514139,0.01702616369909876,0.015831593216117157,0.07020711201018022,0.11864681748994978,0.028410801377244478,0.08805488590402627,0.019404496888762,0.06207134206747889,0.1573174069899566,0.8722421847372911,0.21229145826287873,0.40147438403475333,0.007280844002103793,0.11299085602909356,0.2436685588658992,0.013676526509961342,0.002837221253131169,0.3015938135019115,0.27325920955548283,0.15845911234948767,0.07687589921309931,0.0785112169874308,0.42625959776744293,0.5017850819679918,0.33402100200231954,0.5088918795117493,0.5845311157393391,0.15136231518344828,0.5309533565116659,0.03660596031702547,0.00021633712419842686,0.529866556692015,0.13474865574151676,0.3836656858318309,0.3777638795590723,0.8257525958479632,0.1982472551589618,0.304789267682271,0.37007319546875944,0.19455053178045942,0.5051878220854357,0.1024760301817413,0.036557343060958376,0.6481009220767263,0.17321013343657365,0.24298289885325164
