household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnc7hq,2.0,0
dqcp176g,dqcnc29k,2.0,0
dqcp176g,dqcncsjm,2.0,0
dqcp176g,dqcp473c,2.0,0
dqcp176g,dqcncu6f,2.0,0
dqcp176g,dqcncvkb,2.0,0
dqcp176g,dqcp1rx0,2.0,0
dqcp176g,dqcnctbb,2.0,0
dqcp176g,dqcnf6cj,2.0,0
dqcp176g,dqcng06w,2.0,0
dqcp176g,dqcp4kgx,2.0,0
dqcp176g,dqcne1qu,2.0,0
dqcp176g,dqcnenmf,2.0,0
dqcp176g,dqcnc2sv,2.0,0
dqcp176g,dqcncfjz,2.0,0
dqcp176g,dqcp4k9b,2.0,0
dqcp176g,dqcncvhv,2.0,0
dqcp176g,dqcnf1g2,2.0,0
dqcp176g,dqcp1wk6,2.0,0
dqcp176g,dqcnc3fk,2.0,0
dqcp176g,dqcp1yek,2.0,0
dqcp176g,dqcnc1m6,2.0,0
dqcp176g,dqcngqwq,2.0,0
dqcp176g,dqcp1xyv,2.0,0
dqcp176g,dqcnfpuy,2.0,0
dqcp176g,dqcp1gmx,2.0,0
dqcp176g,dqcp1gsz,1.0,0
dqcnc7hq,dqcng43b,2.0,0
dqcnc7hq,dqcp1yv9,2.0,0
dqcnc7hq,dqcng06w,2.0,0
dqcnc7hq,dqcnc6tb,2.0,0
dqcnc7hq,dqcp1z6r,2.0,0
dqcnc7hq,dqcp4kgx,2.0,0
dqcnc7hq,dqcncx6x,2.0,0
dqcnc7hq,dqcnc2sv,2.0,0
dqcnc7hq,dqcp4k9b,2.0,0
dqcnc7hq,dqcnc9vh,2.0,0
dqcnc7hq,dqcp1wk6,2.0,0
dqcnc7hq,dqcnfkw0,2.0,0
dqcnc7hq,dqcnfs2t,2.0,0
dqcnc7hq,dqcnc77d,2.0,0
dqcnc7hq,dqcnf69x,2.0,0
dqcnc7hq,dqcnep20,2.0,0
dqcnc7hq,dqcnczy0,2.0,0
dqcnc29k,dqcncsjm,2.0,0
dqcnc29k,dqcng43b,2.0,0
dqcnc29k,dqcnfpuz,2.0,0
dqcnc29k,dqcp473c,2.0,0
dqcnc29k,dqcncvkb,2.0,0
dqcnc29k,dqcne6ct,2.0,0
dqcnc29k,dqcnf6cg,2.0,0
dqcnc29k,dqcncf4c,2.0,0
dqcnc29k,dqcnf6cj,2.0,0
dqcnc29k,dqcne4gy,2.0,0
dqcnc29k,dqcnf3uz,2.0,0
dqcnc29k,dqcp4kgx,2.0,0
dqcnc29k,dqcnfqc3,2.0,0
dqcnc29k,dqcne1qu,2.0,0
dqcnc29k,dqcp4k9b,2.0,0
dqcnc29k,dqcncvy0,2.0,0
dqcnc29k,dqcnf1g2,2.0,0
