household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnfpuz,2.0,0
dqcp176g,dqcncf4c,2.0,0
dqcp176g,dqcng06w,2.0,0
dqcp176g,dqcnc0y3,2.0,0
dqcp176g,dqcp1rzr,1.0,0
dqcp176g,dqcncf6c,1.0,0
dqcp176g,dqcnc0gn,2.0,0
dqcp176g,dqcp1gxv,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcnbbdq,2.0,0
dqcnc7hq,dqcncf4c,1.0,0
dqcnc7hq,dqcncfq5,2.0,0
dqcnc7hq,dqcnc6tb,1.0,0
dqcnc7hq,dqcnfffs,2.0,0
dqcnc7hq,dqcnc0gn,2.0,0
dqcnc7hq,dqcn9xvx,2.0,0
dqcnc7hq,dqcnenmf,2.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcncf4c,2.0,0
dqcnc29k,dqcncdq7,2.0,0
dqcnc29k,dqcnf794,2.0,0
dqcnc29k,dqcncf6c,2.0,0
dqcnc29k,dqcng4te,2.0,0
dqcnc29k,dqcn9xvx,2.0,0
dqcnc29k,dqcp1gxv,2.0,0
dqcngqhc,dqcnf6cg,2.0,0
dqcngqhc,dqcnf6cj,2.0,0
dqcngqhc,dqcncfq5,2.0,0
dqcngqhc,dqcp1wg8,2.0,0
dqcnbbdq,dqcnfk5z,2.0,0
dqcnbbdq,dqcp1ys8,2.0,0
dqcnbbdq,dqcnc0y3,1.0,0
dqcnbbdq,dqcnc0gn,2.0,0
dqcncsjm,dqcnfk5z,2.0,0
dqcncsjm,dqcnf6cg,2.0,0
dqcncsjm,dqcne4gy,2.0,0
dqcncsjm,dqcncf6c,2.0,0
dqcnbchm,dqcncf4c,2.0,0
dqcnbchm,dqcncfq5,2.0,0
dqcnbchm,dqcnf794,2.0,0
dqcnbchm,dqcncwc5,2.0,0
dqcnbchm,dqcnc0y3,2.0,0
dqcnbchm,dqcnfffs,2.0,0
dqcnbchm,dqcnfqc3,2.0,0
dqcnbchm,dqcn9xvx,2.0,0
dqcnbchm,dqcp1gxv,2.0,0
dqcng43b,dqcnfpuz,2.0,0
dqcng43b,dqcp473c,2.0,0
dqcng43b,dqcnctbb,2.0,0
dqcng43b,dqcnc0y3,2.0,0
dqcng43b,dqcng4te,1.0,0
dqcng43b,dqcnc0gn,2.0,0
dqcnfpuz,dqcp473c,2.0,0
dqcnfpuz,dqcp1rx0,2.0,0
dqcnfpuz,dqcp1yv9,1.0,0
dqcnfpuz,dqcnc7bc,2.0,0
dqcnfpuz,dqcnf794,2.0,0
dqcnfpuz,dqcp1gxv,2.0,0
dqcp473c,dqcnctbb,2.0,0
dqcp473c,dqcng06w,2.0,0
dqcp473c,dqcnc6tb,2.0,0
dqcp473c,dqcp1ys8,2.0,0
dqcp473c,dqcncf6c,1.0,0
dqcp473c,dqcnfffs,2.0,0
dqcp473c,dqcnc0gn,2.0,0
dqcncu6f,dqcnc7bc,1.0,0
dqcncu6f,dqcp1rzr,2.0,0
dqcncu6f,dqcp1gxv,2.0,0
dqcncvkb,dqcp1ys8,2.0,0
dqcnfk5z,dqcncf4c,2.0,0
dqcnfk5z,dqcnc6tb,2.0,0
