household_id,community,building_value,income,damage_level,population_scaled,age,race
dqcp176g,dqcp17,0.403318579820802,0.4132973310786998,0.5,0.42857142857142855,0.18649992528453505,0.0
dqcnc7hq,dqcnc7,0.5628745089153386,0.10073393066174913,0.5,0.7142857142857143,0.14366523523591795,0.0
dqcnc29k,dqcnc2,0.7943623663653149,0.12032422578799465,0.0,1.0,0.5905298283416306,0.25
dqcngqhc,dqcngq,0.5338858611761748,0.743597032754918,0.0,0.5714285714285714,0.18038751542478598,0.5
dqcnbbdq,dqcnbb,0.3751236521556613,0.24571840826530306,0.0,0.8571428571428571,0.16476426605942857,0.25
dqcncsjm,dqcncs,0.7722437675951779,0.5781396272143885,1.0,0.8571428571428571,0.8224716289596956,0.0
dqcnbchm,dqcnbc,0.5334917094315736,0.4866919045927503,0.75,0.14285714285714285,0.14949494235843053,1.0
dqcng43b,dqcng4,0.6399586896519595,0.25063549314680605,0.0,0.7142857142857143,0.5385205159613444,0.0
dqcnfpuz,dqcnfp,0.4269448890464693,0.21168083431635326,0.0,1.0,0.5036967542499129,0.0
dqcp473c,dqcp47,0.45446105376093227,0.5586482211865337,0.0,0.42857142857142855,0.4408062042255001,0.0
dqchf7jt,dqchf7,0.5627694612615031,0.6689098301468545,0.0,0.7142857142857143,0.2310716177646116,0.0
dqcncu6f,dqcncu,0.35413791511096154,0.3503144247339757,0.0,0.2857142857142857,0.27263876169947254,0.25
dqcncvkb,dqcncv,0.6695334522789186,0.7269780080666812,0.0,0.14285714285714285,0.5520848593032733,0.0
dqcnfk5z,dqcnfk,0.8252775146604779,0.4711008158559076,0.0,0.2857142857142857,0.20291381491236024,0.5
dqcp1rx0,dqcp1r,0.6101677345662486,0.47616793492074827,0.0,0.5714285714285714,0.9120089415919481,0.0
dqcp1yv9,dqcp1y,0.5013233927688318,0.4059135656271881,0.5,0.14285714285714285,0.28525765733069663,1.0
dqcnctbb,dqcnct,0.7826285687774477,0.4801793367969207,0.25,0.8571428571428571,0.24090713068536201,1.0
dqcne6ct,dqcne6,0.4396317280346347,0.45354963860749026,0.75,0.5714285714285714,0.8116843265226258,0.25
dqcngjkj,dqcngj,0.6704202066436736,0.4863848608897552,0.75,0.14285714285714285,0.8067438872852484,0.25
dqcner94,dqcner,0.7334871647267382,0.4675425173832366,1.0,0.2857142857142857,0.2599506775885982,0.5
dqcnf6cg,dqcnf6,0.4163105091312784,0.5564472329674071,0.25,0.8571428571428571,0.346685808227965,0.0
dqcncf4c,dqcncf,0.7400138725630977,0.3902211012448148,0.0,0.2857142857142857,0.7876548346285521,1.0
dqcnf6cj,dqcnf6,0.5452516045081185,0.6472832122108332,0.0,0.8571428571428571,0.38161969931268513,0.0
dqcncfq5,dqcncf,0.8014731569782015,0.3726503343013811,0.0,0.14285714285714285,0.8295414205175943,0.5
dqcne4gy,dqcne4,0.4590058675079978,1.0,1.0,0.2857142857142857,0.11510768912247092,1.0
dqcng06w,dqcng0,0.5564868641730133,0.5407338331409414,0.75,0.5714285714285714,0.7377088390335074,0.5
dqcnf3uz,dqcnf3,0.4847693453462431,0.7162548055416031,0.0,0.42857142857142855,0.16670187516048127,0.0
dqcnc6tb,dqcnc6,0.3234479254602786,0.4134213048653344,0.0,0.8571428571428571,0.20901578657550715,0.0
dqcnc7bc,dqcnc7,0.5120101514047227,0.012605890730640001,0.75,0.2857142857142857,0.23675758577869857,0.0
dqcp1z6r,dqcp1z,0.5965126446502138,0.3131525603906532,0.75,0.5714285714285714,0.7642386717080263,0.0
dqcncdq7,dqcncd,0.7156593212904152,0.37322800655122973,0.0,0.14285714285714285,0.4516716005856001,0.0
dqcp1ys8,dqcp1y,0.6258308612219746,0.5567810456296721,0.0,0.7142857142857143,0.1945594210361969,1.0
dqcp4kgx,dqcp4k,0.7673129837285563,0.3813135720794421,0.0,0.2857142857142857,0.780350836645472,0.0
dqcnc78q,dqcnc7,0.4723568959824021,0.02461580911053704,1.0,0.14285714285714285,0.18984501677909804,0.0
dqcnf794,dqcnf7,0.6181618697919733,0.6856005770991315,0.0,1.0,0.215867587638934,1.0
dqcncwc5,dqcncw,0.6609118969370786,0.6005883445771523,0.0,1.0,0.1816221561642984,0.0
dqcnc0y3,dqcnc0,0.5411337306688594,0.6027131043212209,0.0,0.5714285714285714,0.5522350621702494,0.5
dqcp1rzr,dqcp1r,0.5805287833046546,0.6781192649996794,0.0,0.14285714285714285,0.7778465316892488,0.5
dqcncf6c,dqcncf,0.6732109301019604,0.2898718889687478,0.0,0.8571428571428571,0.8177031385599081,0.0
dqcnfffs,dqcnff,0.7973649772702891,0.6494227757864409,0.25,1.0,0.8613263769176495,0.0
dqcng4te,dqcng4,0.6481139984318947,0.22932294672463022,0.5,0.2857142857142857,0.4727747159548913,0.0
dqcnc0gn,dqcnc0,0.5477223084965206,0.7985921358269248,0.5,0.7142857142857143,0.5601301445645255,0.0
