household_id,community,building_value,income,damage_level,population_scaled,age,race
dqcp176g,dqcp17,0.6688173468043285,0.4140205176291119,0.75,0.2857142857142857,0.5186252239959132,0.25
dqcnc7hq,dqcnc7,0.6500879183378986,0.3053338525744902,0.75,0.7142857142857143,0.19283026962769895,0.0
dqcnc29k,dqcnc2,0.5004518493761307,0.459860701185068,1.0,0.42857142857142855,0.820293747990505,1.0
dqcngqhc,dqcngq,0.4533543231848066,0.3914264820636125,0.0,0.2857142857142857,0.20967016786900036,0.0
dqcnbbdq,dqcnbb,0.7437803615972698,0.6935111385926168,0.25,0.7142857142857143,0.48402735789645307,0.0
dqcncsjm,dqcncs,0.47658634323544447,0.7971450172588879,0.0,0.7142857142857143,0.8304292363943485,0.0
dqcnbchm,dqcnbc,0.7671291534757435,0.41318028570639004,0.0,0.5714285714285714,0.22576414535334172,0.0
dqcng43b,dqcng4,0.3732889599723088,0.7163653572774338,0.5,1.0,0.7437761019695158,0.0
dqcnfpuz,dqcnfp,0.32551223351575287,0.25146152033689634,1.0,0.8571428571428571,0.7807071228567476,0.5
dqcp473c,dqcp47,0.5773608795036744,0.82255028574366,0.0,0.8571428571428571,0.7991142848195871,1.0
dqchf7jt,dqchf7,0.5379794431771032,0.2729790023201056,0.0,1.0,0.796324878524552,1.0
dqcncu6f,dqcncu,0.5247635937976091,0.7859078748075814,0.5,0.14285714285714285,0.8412078377839043,0.25
dqcncvkb,dqcncv,0.67895610902937,0.48747014277618034,0.0,0.8571428571428571,0.7063618843817131,0.5
dqcnfk5z,dqcnfk,0.6781733755071829,0.6071994066807374,0.0,0.5714285714285714,0.47817333220422775,1.0
dqcp1rx0,dqcp1r,0.6048422365477993,0.17681694352037508,0.0,0.2857142857142857,0.5870109733643398,0.25
dqcp1yv9,dqcp1y,0.4784217224877132,0.7922296946395262,0.0,0.5714285714285714,0.7869325376285582,0.0
dqcnctbb,dqcnct,0.27493141567265644,0.2351600181656068,0.0,0.7142857142857143,0.11925237413216447,0.25
dqcne6ct,dqcne6,0.5223126179098032,0.9725805332069364,0.0,0.14285714285714285,0.2670393048644269,0.25
dqcngjkj,dqcngj,0.33447841416829915,0.5806816673177724,0.0,0.7142857142857143,0.16032888615963622,0.5
dqcner94,dqcner,0.9942340840633194,0.33412327542380565,0.0,0.14285714285714285,0.714953803075753,0.0
dqcnf6cg,dqcnf6,0.48448363703287795,0.16336511834838402,0.5,0.2857142857142857,0.7531664948728172,0.0
dqcncf4c,dqcncf,0.6185022278912045,0.6577942968596671,0.25,0.8571428571428571,0.7411322023096643,0.0
dqcnf6cj,dqcnf6,0.5745029763066648,0.0,0.25,0.2857142857142857,0.7688288156862684,0.0
dqcncfq5,dqcncf,0.6115903823590767,0.7507013328049137,0.0,0.8571428571428571,0.8225424525196045,0.0
dqcne4gy,dqcne4,0.43265388146684974,0.05738204128824842,0.5,0.7142857142857143,0.2510016858515599,0.0
dqcng06w,dqcng0,0.5482677820651274,0.07702251467650142,1.0,0.7142857142857143,0.17727158258779985,0.0
dqcnf3uz,dqcnf3,0.34328298694647935,0.0,0.0,0.14285714285714285,0.802568390605687,0.5
dqcnc6tb,dqcnc6,0.47350787106320597,0.21675510410838242,0.0,1.0,0.20237104766722688,0.0
dqcnc7bc,dqcnc7,0.6229327403352171,0.25227344910747623,1.0,0.7142857142857143,0.1526193525634204,0.5
dqcp1z6r,dqcp1z,0.5162613663613944,0.4086426809644425,0.5,1.0,0.530513208299728,1.0
dqcncdq7,dqcncd,0.39537342213374155,0.10902692472395906,0.0,0.42857142857142855,0.14308327650303682,0.0
