home,community,building_value,income,damage_level,population_scaled,age,race,household_id
dqcp176g,dqcp17,0.49996331863495885,0.41418228533794493,0.5,0.5714285714285714,0.28243344685161825,0.0,41
dqcnc7hq,dqcnc7,0.40978078872938034,0.7493316802542105,0.75,0.5714285714285714,0.7898337421787454,0.0,12
dqcnc29k,dqcnc2,0.3801237334712217,0.39902979274622113,0.0,0.5714285714285714,0.7620687858943457,0.0,8
dqcngqhc,dqcngq,0.5015983232920668,0.6651907067135449,0.0,0.5714285714285714,0.797445260189971,0.5,40
dqcnbbdq,dqcnbb,0.6752864220627007,0.7125058704614264,0.0,0.14285714285714285,0.14809900285844624,0.0,4
dqcncsjm,dqcncs,0.5204979589011566,0.381300866557649,1.0,0.5714285714285714,0.1924423531837778,0.25,17
dqcnbchm,dqcnbc,0.569692398844925,0.3631279258976183,1.0,0.14285714285714285,0.7956376522590601,0.0,5
dqcng43b,dqcng4,0.43308007427652817,0.7336989139736665,0.0,0.2857142857142857,0.5087463187103403,0.0,37
dqcnfpuz,dqcnfp,0.7023577508569684,0.6008627219714604,0.0,0.7142857142857143,0.2178948363199573,0.0,34
dqcp473c,dqcp47,0.31559537157265516,0.4926692850496083,0.0,0.42857142857142855,0.2243649395681799,0.0,49
dqchf7jt,dqchf7,0.6898717596810381,0.7325881599587258,0.0,0.42857142857142855,0.6643646412103884,0.25,1
dqcncu6f,dqcncu,0.25916480057296143,0.6398589214638626,0.0,0.2857142857142857,0.20385776026492247,0.0,19
dqcncvkb,dqcncv,0.49269186894319283,0.45123074257366896,1.0,0.14285714285714285,0.3966305477643203,1.0,20
dqcnfk5z,dqcnfk,0.3134109874088148,0.6652085138601258,0.0,0.42857142857142855,0.7877248638398846,0.0,33
dqcp1rx0,dqcp1r,0.9047764308854132,0.7498665597390677,0.75,0.42857142857142855,0.5904610843887509,0.0,43
dqcp1yv9,dqcp1y,0.6381492181956567,0.8722962388174291,1.0,0.2857142857142857,0.7711962601121388,0.25,47
dqcnctbb,dqcnct,0.28056818277262363,0.5820485856489319,0.0,0.14285714285714285,0.3848356242580384,0.5,18
dqcne6ct,dqcne6,0.6050327690974815,0.25861291637792416,0.5,0.42857142857142855,0.7904819589394557,0.25,25
dqcngjkj,dqcngj,0.6505834820359196,0.2083572849884978,0.0,0.5714285714285714,0.20310111377885628,0.5,39
dqcner94,dqcner,0.48159079550056416,0.5545743181861646,1.0,1.0,0.17036894752705678,1.0,27
dqcnf6cg,dqcnf6,0.7140492067879323,0.0582633777316105,0.0,0.14285714285714285,0.48289880669619556,0.5,29
dqcncf4c,dqcncf,0.6874685745764013,0.20486162768819619,0.0,0.8571428571428571,0.7340914811283155,0.0,14
dqcnf6cj,dqcnf6,0.8464122903536453,0.0,0.5,0.42857142857142855,0.5945649120759784,0.25,30
dqcncfq5,dqcncf,0.6199171019035021,0.3677245679087581,0.0,0.2857142857142857,0.7909317642671698,0.0,16
dqcne4gy,dqcne4,0.4978573397966437,0.0,0.0,1.0,0.9451330768071878,0.0,24
dqcng06w,dqcng0,0.48868286773032743,0.0,0.0,0.7142857142857143,0.16936230200133362,0.25,36
dqcnf3uz,dqcnf3,0.4611305743807813,0.0,0.0,0.8571428571428571,0.48236730054270516,0.0,28
dqcnc6tb,dqcnc6,0.7666187074016667,0.24717444534787608,0.25,0.14285714285714285,0.22478356331738553,0.0,9
dqcnc7bc,dqcnc7,0.3925433908944158,0.7782725457267722,0.25,0.14285714285714285,0.7933886829104104,0.0,11
dqcp1z6r,dqcp1z,0.5267697754873555,0.0,0.0,1.0,0.4851601764547118,0.0,48
