household_id,community,latitude,longitude
dqcnemk2,dqcnem,39.1402530670166,-77.19491958618164
dqcp1c62,dqcp1c,39.2061710357666,-77.26358413696289
dqcp40qh,dqcp40,39.201364517211914,-77.2474479675293
dqcnc78n,dqcnc7,39.175615310668945,-77.28864669799805
dqcp1z6j,dqcp1z,39.23998832702637,-77.2639274597168
dqcp41tf,dqcp41,39.20788764953613,-77.2477912902832
dqcngmd5,dqcngm,39.186086654663086,-77.1980094909668
dqcnf79h,dqcnf7,39.17527198791504,-77.24332809448242
dqcng57p,dqcng5,39.17441368103027,-77.20762252807617
dqcp4ndn,dqcp4n,39.236040115356445,-77.2529411315918
dqcp1sf1,dqcp1s,39.225568771362305,-77.2749137878418
dqcp4hyd,dqcp4h,39.22574043273926,-77.24676132202148
dqcng331,dqcng3,39.162397384643555,-77.19938278198242
dqcnc63u,dqcnc6,39.168405532836914,-77.2862434387207
dqcncv69,dqcncv,39.184370040893555,-77.26324081420898
dqcn55rf,dqcn55,39.04171943664551,-77.20109939575195
dqcng6jx,dqcng6,39.16754722595215,-77.19320297241211
dqcp1u1b,dqcp1u,39.22127723693848,-77.2642707824707
dqcng4ss,dqcng4,39.16977882385254,-77.20556259155273
dqcng700,dqcng7,39.17183876037598,-77.20075607299805
dqcnc0gj,dqcnc0,39.16033744812012,-77.29551315307617
dqcncxuy,dqcncx,39.19896125793457,-77.27113723754883
dqcp4ndf,dqcp4n,39.23535346984863,-77.25191116333008
dqcncywq,dqcncy,39.192094802856445,-77.25809097290039
dqcnc61s,dqcnc6,39.16703224182129,-77.28658676147461
dqcng8js,dqcng8,39.15604591369629,-77.18221664428711
dqcngqwm,dqcngq,39.19192314147949,-77.19217300415039
dqcnfgeq,dqcnfg,39.175615310668945,-77.21826553344727
dqcnentd,dqcnen,39.14746284484863,-77.20418930053711
dqcng6z4,dqcng6,39.17080879211426,-77.19114303588867
dqcp325z,dqcp32,39.24445152282715,-77.28349685668945
dqcnct3x,dqcnct,39.18540000915527,-77.27560043334961
dqcnf19v,dqcnf1,39.16445732116699,-77.2532844543457
dqcnf523,dqcnf5,39.173383712768555,-77.25534439086914
dqcnc8h1,dqcnc8,39.15553092956543,-77.27216720581055
dqcng153,dqcng1,39.16102409362793,-77.20727920532227
dqcnbbnu,dqcnbb,39.15604591369629,-77.30134963989258
dqcnctve,dqcnct,39.18745994567871,-77.27010726928711
dqcp4qsd,dqcp4q,39.23535346984863,-77.23852157592773
dqcng2bt,dqcng2,39.16033744812012,-77.20006942749023
dqcnfqsr,dqcnfq,39.1922664642334,-77.23886489868164
dqcncx8t,dqcncx,39.19741630554199,-77.27697372436523
dqcnfedt,dqcnfe,39.17544364929199,-77.23028182983398
dqcng4ep,dqcng4,39.1702938079834,-77.20762252807617
dqcnfkxp,dqcnfk,39.1812801361084,-77.23508834838867
dqcng0fu,dqcng0,39.160165786743164,-77.20796585083008
dqcncvxw,dqcncv,39.186601638793945,-77.25637435913086
dqcp43hq,dqcp43,39.205827713012695,-77.23886489868164
dqcp5j8u,dqcp5j,39.23020362854004,-77.21071243286133
dqcp1bsz,dqcp1b,39.2032527923584,-77.26015090942383
dqcng1mm,dqcng1,39.16308403015137,-77.20453262329102
dqcncv68,dqcncv,39.1841983795166,-77.26324081420898
dqcnu38f,dqcnu3,39.16394233703613,-77.15578079223633
dqcnft8d,dqcnft,39.18591499328613,-77.23302841186523
dqcngjj5,dqcngj,39.183340072631836,-77.20487594604492
dqcnfnd7,dqcnfn,39.191579818725586,-77.25259780883789
dqcnfsce,dqcnfs,39.18196678161621,-77.23165512084961
dqcne2ec,dqcne2,39.11433219909668,-77.19560623168945
dqcnfs2c,dqcnfs,39.178876876831055,-77.23268508911133
dqcp1gxe,dqcp1g,39.219045639038086,-77.25637435913086
dqcp1w3h,dqcp1w,39.234323501586914,-77.27628707885742
dqcnf1dt,dqcnf1,39.16445732116699,-77.25225448608398
dqcngktv,dqcngk,39.18093681335449,-77.1928596496582
dqcng718,dqcng7,39.17183876037598,-77.19869613647461
dqcp32pb,dqcp32,39.24324989318848,-77.27800369262695
dqcng4dv,dqcng4,39.16995048522949,-77.20796585083008
dqcnfsbj,dqcnfs,39.18231010437012,-77.23371505737305
dqcncqmm,dqcncq,39.19054985046387,-77.28143692016602
dqcnfss1,dqcnfs,39.18025016784668,-77.22822189331055
dqcp1m1z,dqcp1m,39.22797203063965,-77.2862434387207
dqcncq72,dqcncq,39.1896915435791,-77.28418350219727
dqcp412g,dqcp41,39.20668601989746,-77.25465774536133
dqcnc5f8,dqcnc5,39.17595863342285,-77.29619979858398
dqcneksd,dqcnek,39.13647651672363,-77.19457626342773
dqcp4kg7,dqcp4k,39.22591209411621,-77.24023818969727
dqcp1x5h,dqcp1x,39.23844337463379,-77.27354049682617
dqcne2cx,dqcne2,39.11673545837402,-77.19869613647461
dqcncd0f,dqcncd,39.16668891906738,-77.27663040161133
dqcp1c1u,dqcp1c,39.20548439025879,-77.2642707824707
dqcncrpy,dqcncr,39.194841384887695,-77.27800369262695
dqcp4qe1,dqcp4q,39.23518180847168,-77.24058151245117
dqcp422y,dqcp42,39.20170783996582,-77.24367141723633
dqcng5m0,dqcng5,39.1732120513916,-77.20487594604492
dqcp4q65,dqcp4q,39.23415184020996,-77.2419548034668
dqcngqk3,dqcngq,39.189863204956055,-77.19491958618164
dqcnfc86,dqcnfc,39.16394233703613,-77.22238540649414
dqcp43hm,dqcp43,39.20565605163574,-77.23886489868164
dqcnctxh,dqcnct,39.18625831604004,-77.26804733276367
dqcnfqyx,dqcnfq,39.19363975524902,-77.23577499389648
dqcp4hv8,dqcp4h,39.22539710998535,-77.24813461303711
dqcp542q,dqcp54,39.21269416809082,-77.21139907836914
dqcng4fg,dqcng4,39.17098045349121,-77.20796585083008
dqcp4nhc,dqcp4n,39.23243522644043,-77.24916458129883
dqcnf5du,dqcnf5,39.17527198791504,-77.25191116333008
dqcnduss,dqcndu,39.13681983947754,-77.21654891967773
dqcp4ne6,dqcp4n,39.23535346984863,-77.25122451782227
dqcp38rr,dqcp38,39.24582481384277,-77.26770401000977
dqcnfmt8,dqcnfm,39.18557167053223,-77.23714828491211
dqcnfq3y,dqcnfq,39.19072151184082,-77.2422981262207
dqcnfurn,dqcnfu,39.17973518371582,-77.21311569213867
dqcnchkc,dqcnch,39.178876876831055,-77.29310989379883
dqcp42bz,dqcp42,39.20462608337402,-77.24367141723633
dqcngmjx,dqcngm,39.18402671813965,-77.19320297241211
dqcp1qtz,dqcp1q,39.2362117767334,-77.2807502746582
dqcnc7qe,dqcnc7,39.17372703552246,-77.27972030639648
dqcp4mk9,dqcp4m,39.228315353393555,-77.23852157592773
dqcncxkk,dqcncx,39.195871353149414,-77.27182388305664
dqcnc6t2,dqcnc6,39.16909217834473,-77.28143692016602
dqcnfc5n,dqcnfc,39.161882400512695,-77.21860885620117
dqcndv8n,dqcndv,39.142656326293945,-77.22272872924805
dqcnc5rh,dqcnc5,39.173898696899414,-77.29001998901367
dqcng0t5,dqcng0,39.158620834350586,-77.20487594604492
dqcng0tp,dqcng0,39.1593074798584,-77.20487594604492
dqcp1sdw,dqcp1s,39.225053787231445,-77.27422714233398
dqcnftkb,dqcnft,39.1841983795166,-77.22719192504883
dqcng4eh,dqcng4,39.16977882385254,-77.20762252807617
dqcnu4cm,dqcnu4,39.17132377624512,-77.16608047485352
dqcng4dt,dqcng4,39.16995048522949,-77.20830917358398
dqcp414u,dqcp41,39.20548439025879,-77.25191116333008
dqcnf1h2,dqcnf1,39.16085243225098,-77.24985122680664
dqcn9ks8,dqcn9k,39.13613319396973,-77.28246688842773
dqcncxbm,dqcncx,39.19878959655762,-77.27731704711914
dqcnfkkm,dqcnfk,39.17956352233887,-77.23886489868164
dqcngqje,dqcngq,39.188833236694336,-77.19320297241211
dqcncskf,dqcncs,39.17904853820801,-77.27113723754883
dqcp42y0,dqcp42,39.20342445373535,-77.2364616394043
dqcng262,dqcng2,39.1567325592041,-77.19766616821289
dqcp1zyb,dqcp1z,39.24187660217285,-77.25740432739258
dqcp32pc,dqcp32,39.24342155456543,-77.27800369262695
dqcng6j1,dqcng6,39.16651725769043,-77.19388961791992
dqcp4n30,dqcp4n,39.2336368560791,-77.25431442260742
dqcp42f1,dqcp42,39.203596115112305,-77.2419548034668
dqcng4kn,dqcng4,39.16874885559082,-77.20624923706055
dqcngks7,dqcngk,39.180593490600586,-77.19491958618164
dqcnczh2,dqcncz,39.19381141662598,-77.26083755493164
dqcng0tx,dqcng0,39.1593074798584,-77.20418930053711
dqcne1t9,dqcne1,39.11982536315918,-77.20418930053711
dqcng1m5,dqcng1,39.16274070739746,-77.20487594604492
dqcnffs7,dqcnff,39.169607162475586,-77.21689224243164
dqcnft2p,dqcnft,39.18540000915527,-77.23371505737305
dqcp38pz,dqcp38,39.24445152282715,-77.26701736450195
dqcp1m3b,dqcp1m,39.2281436920166,-77.2862434387207
dqcngqk6,dqcngq,39.19003486633301,-77.19491958618164
dqcp4935,dqcp49,39.20668601989746,-77.23234176635742
dqcp170y,dqcp17,39.216814041137695,-77.28761672973633
dqcngf7g,dqcngf,39.16823387145996,-77.17363357543945
dqcnd3zv,dqcnd3,39.12188529968262,-77.23405838012695
dqcngrhf,dqcngr,39.19415473937988,-77.19423294067383
dqcnfshh,dqcnfs,39.17801856994629,-77.22822189331055
dqcnfbhu,dqcnfb,39.15604591369629,-77.21620559692383
dqcnft5p,dqcnft,39.18402671813965,-77.22959518432617
dqcngmjh,dqcngm,39.18351173400879,-77.19388961791992
dqcp4qe6,dqcp4q,39.23535346984863,-77.24023818969727
dqcne0em,dqcne0,39.11501884460449,-77.20727920532227
dqcngnx2,dqcngn,39.19106483459473,-77.20178604125977
dqcp1suq,dqcp1s,39.22642707824707,-77.27182388305664
dqcng78d,dqcng7,39.17492866516113,-77.20006942749023
dqcp38jd,dqcp38,39.24359321594238,-77.27010726928711
dqcp609q,dqcp60,39.247026443481445,-77.25397109985352
dqcngdu9,dqcngd,39.170637130737305,-77.18358993530273
dqcnf1vy,dqcnf1,39.16600227355957,-77.2477912902832
dqcnf1dw,dqcnf1,39.164628982543945,-77.25225448608398
dqcndsjg,dqcnds,39.133901596069336,-77.2258186340332
dqcp63nh,dqcp63,39.24942970275879,-77.2364616394043
dqcp701n,dqcp70,39.244279861450195,-77.21036911010742
dqcnggbu,dqcngg,39.176645278930664,-77.17775344848633
dqcp4308,dqcp43,39.20479774475098,-77.24401473999023
dqcngrp5,dqcngr,39.194326400756836,-77.19114303588867
dqcp42y2,dqcp42,39.20342445373535,-77.23611831665039
dqcngkme,dqcngk,39.17922019958496,-77.19320297241211
dqcp32jq,dqcp32,39.244279861450195,-77.28143692016602
dqcngnmb,dqcngn,39.1896915435791,-77.2038459777832
dqcndypc,dqcndy,39.14454460144043,-77.21208572387695
dqcnfwg0,dqcnfw,39.19243812561035,-77.22959518432617
dqcngjvq,dqcngj,39.18797492980957,-77.20453262329102
dqcngh57,dqcngh,39.177846908569336,-77.20727920532227
dqcp4qwr,dqcp4q,39.2362117767334,-77.23611831665039
dqcnf6f8,dqcnf6,39.17046546936035,-77.24126815795898
dqcp5pcs,dqcp5p,39.242563247680664,-77.20968246459961
dqcp15r0,dqcp15,39.2171573638916,-77.29001998901367
dqcncum7,dqcncu,39.17922019958496,-77.25946426391602
dqcncy6u,dqcncy,39.190378189086914,-77.26289749145508
dqcp71cz,dqcp71,39.25406455993652,-77.2093391418457
dqcp1mq5,dqcp1m,39.22865867614746,-77.2804069519043
dqcndqr1,dqcndq,39.145917892456055,-77.23508834838867
dqcnff29,dqcnff,39.167890548706055,-77.22204208374023
dqcp492c,dqcp49,39.206342697143555,-77.23268508911133
dqcndwsd,dqcndw,39.14746284484863,-77.22753524780273
dqcp701g,dqcp70,39.243764877319336,-77.2093391418457
dqcnu3ep,dqcnu3,39.1648006439209,-77.15269088745117
dqcncwuw,dqcncw,39.19346809387207,-77.27148056030273
dqcp7hnr,dqcp7h,39.26642417907715,-77.20315933227539
dqcp1sgx,dqcp1s,39.22659873962402,-77.27285385131836
dqcp4mkt,dqcp4m,39.22900199890137,-77.23852157592773
dqcngjhn,dqcngj,39.183855056762695,-77.20624923706055
dqcngfs4,dqcngf,39.16943550109863,-77.17329025268555
