home,time,repair_state,vacancy_state,sales_state
dqchf7jt,0,1,1,0
dqcn7m99,0,0,0,0
dqcn9r0y,0,0,0,0
dqcn9xvx,0,1,0,0
dqcnbbdq,0,0,0,0
dqcnbchm,0,0,0,0
dqcnc0gn,0,0,0,0
dqcnc0y3,0,0,0,0
dqcnc1m6,0,1,1,0
dqcnc29k,0,0,1,0
dqcnc2sv,0,0,0,0
dqcnc3fk,0,0,0,0
dqcnc5jg,0,1,1,0
dqcnc6ht,0,0,0,0
dqcnc6tb,0,1,0,0
dqcnc778,0,1,0,0
dqcnc77d,0,0,0,0
dqcnc78q,0,0,0,0
dqcnc7bc,0,0,0,0
dqcnc7hq,0,1,0,1
dqcnc8ft,0,0,0,1
dqcnc9vh,0,0,0,0
dqcncdq7,0,1,0,0
dqcncf4c,0,1,0,0
dqcncf69,0,0,1,0
dqcncf6c,0,0,0,0
dqcncfjz,0,0,1,0
dqcncfne,0,0,0,0
dqcncfq5,0,0,0,0
dqcncgsj,0,0,0,0
dqcncsjm,0,0,0,0
dqcnctbb,0,0,0,0
dqcncu6f,0,0,0,0
dqcncu74,0,0,0,0
dqcncuc6,0,0,0,0
dqcncum1,0,0,0,0
dqcncv9e,0,1,1,0
dqcncvhv,0,0,0,1
dqcncvkb,0,0,1,0
dqcncvy0,0,0,0,0
dqcncwc5,0,0,1,0
dqcncx6x,0,0,0,0
dqcnczy0,0,0,0,0
dqcne1qu,0,0,0,0
dqcne4gy,0,0,0,0
dqcne6ct,0,0,0,0
dqcnenmf,0,0,1,1
dqcnep20,0,0,0,0
dqcner94,0,0,0,0
dqcnf1g2,0,0,0,0
dqcnf3uz,0,1,0,1
dqcnf559,0,0,0,0
dqcnf69x,0,1,1,0
dqcnf6cg,0,0,0,0
dqcnf6cj,0,0,0,0
dqcnf794,0,0,0,0
dqcnfffs,0,0,0,0
dqcnfk5z,0,1,0,0
dqcnfkw0,0,0,1,0
dqcnfkys,0,0,0,0
dqcnfmdf,0,0,0,0
dqcnfmyp,0,0,0,0
dqcnfnyk,0,0,0,0
dqcnfpuy,0,1,0,0
dqcnfpuz,0,1,0,0
dqcnfq3v,0,1,1,1
dqcnfqc3,0,1,0,0
dqcnfs2t,0,1,1,0
dqcnft40,0,0,0,0
dqcng06w,0,0,0,0
dqcng0rh,0,0,0,0
dqcng0x3,0,0,0,0
dqcng23k,0,0,0,0
dqcng43b,0,1,0,0
dqcng4te,0,0,0,1
