home,time,repair_state,vacancy_state,sales_state
dqchf7jt,0,1,0,1
dqcjghk2,0,0,0,0
dqcn71f0,0,0,0,0
dqcn7m93,0,0,0,0
dqcn7m99,0,0,0,0
dqcn7pg9,0,0,0,0
dqcn8zhh,0,0,0,0
dqcn8zhj,0,0,0,0
dqcn9pzt,0,0,0,0
dqcn9r0y,0,1,1,0
dqcn9rge,0,0,0,0
dqcn9rqs,0,0,0,0
dqcn9xvx,0,0,0,0
dqcnbbdk,0,0,0,0
dqcnbbdq,0,1,0,1
dqcnbbe7,0,0,0,0
dqcnbbzc,0,0,0,0
dqcnbchm,0,0,0,0
dqcnbchx,0,0,0,0
dqcnc0gn,0,0,0,0
dqcnc0y3,0,0,0,0
dqcnc16p,0,0,0,0
dqcnc1m6,0,0,0,0
dqcnc29k,0,0,0,0
dqcnc2sv,0,1,0,0
dqcnc2w6,0,0,0,0
dqcnc3fk,0,0,0,0
dqcnc48z,0,0,0,0
dqcnc4u8,0,0,0,0
dqcnc5hk,0,0,0,0
dqcnc5jg,0,0,0,0
dqcnc5r3,0,0,0,0
dqcnc5rf,0,0,0,0
dqcnc60q,0,0,0,0
dqcnc6ex,0,0,0,0
dqcnc6ht,0,0,1,0
dqcnc6tb,0,0,0,0
dqcnc778,0,0,0,0
dqcnc77d,0,0,0,0
dqcnc78q,0,1,1,0
dqcnc78x,0,0,0,0
dqcnc7bc,0,1,1,0
dqcnc7bd,0,0,0,0
dqcnc7hq,0,1,1,0
dqcnc7y0,0,0,0,0
dqcnc8ft,0,0,0,0
dqcnc9je,0,1,0,1
dqcnc9vh,0,0,0,0
dqcncb21,0,0,0,0
dqcncc0t,0,0,0,0
dqcncc0x,0,0,0,0
dqcncdq7,0,1,1,0
dqcncesv,0,0,0,0
dqcncf22,0,0,0,0
dqcncf4c,0,0,0,0
dqcncf58,0,1,0,1
dqcncf69,0,0,0,0
dqcncf6c,0,0,0,0
dqcncfjz,0,0,0,0
dqcncfne,0,0,0,0
dqcncfq5,0,1,0,1
dqcncfu4,0,0,0,0
dqcncgpy,0,0,0,0
dqcncgsj,0,0,0,0
dqcncjbv,0,0,0,0
dqcncrp5,0,0,0,0
dqcncsjm,0,0,0,0
dqcncssg,0,0,0,0
dqcncsvg,0,0,0,0
dqcnct4r,0,0,0,0
dqcnct6t,0,0,0,0
dqcnctbb,0,0,0,0
dqcnctex,0,0,0,0
dqcnctq4,0,0,0,0
dqcncu6f,0,1,0,0
dqcncu6h,0,0,0,0
dqcncu74,0,0,0,0
dqcncuc6,0,0,0,0
dqcncucd,0,0,0,0
dqcncueg,0,0,0,0
dqcncum1,0,1,1,0
dqcncv53,0,0,0,0
dqcncv9e,0,0,0,0
dqcncv9s,0,0,0,0
dqcncvhv,0,0,0,0
dqcncvkb,0,0,0,0
dqcncvy0,0,0,0,0
dqcncwc5,0,0,0,0
dqcncx46,0,0,0,0
dqcncx6x,0,1,1,0
dqcncxc2,0,0,0,0
dqcncxsz,0,0,0,0
dqcncxy1,0,0,0,0
dqcnczy0,0,1,0,1
dqcndk23,0,0,0,0
dqcndte4,0,0,0,0
dqcndtxt,0,0,0,0
dqcne0v2,0,0,0,0
dqcne1qu,0,0,0,0
dqcne28u,0,0,0,0
dqcne4gx,0,0,0,0
dqcne4gy,0,1,0,0
dqcne6ct,0,1,0,1
dqcnem9f,0,0,0,0
dqcnenmf,0,0,0,0
dqcnennp,0,0,0,0
dqcnep20,0,0,0,0
dqcner94,0,1,1,0
dqcnf1g2,0,0,0,0
dqcnf3uz,0,0,0,0
