household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnc29k,2.0,0
dqcp176g,dqcnbchm,2.0,0
dqcp176g,dqcng43b,1.0,0
dqcp176g,dqcnfpuz,1.0,0
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcncu6f,2.0,0
dqcp176g,dqcncvkb,2.0,0
dqcp176g,dqcp1rx0,1.0,0
dqcp176g,dqcp1yv9,1.0,0
dqcp176g,dqcnctbb,1.0,0
dqcp176g,dqcnf6cg,2.0,0
dqcp176g,dqcnf6cj,1.0,0
dqcp176g,dqcne4gy,2.0,0
dqcp176g,dqcnc6tb,2.0,0
dqcp176g,dqcnc0y3,1.0,0
dqcp176g,dqcng4te,1.0,0
dqcp176g,dqcp1wg8,1.0,0
dqcp176g,dqcp1gxv,1.0,0
dqcnc7hq,dqcncvkb,2.0,0
dqcnc7hq,dqcnfk5z,1.0,0
dqcnc7hq,dqcngjkj,1.0,0
dqcnc7hq,dqcnf6cg,1.0,0
dqcnc7hq,dqcng06w,1.0,0
dqcnc7hq,dqcp1rzr,2.0,0
dqcnc7hq,dqcncf6c,2.0,0
dqcnc7hq,dqcng4te,1.0,0
dqcnc7hq,dqcp1wg8,1.0,0
dqcnc29k,dqcnctbb,1.0,0
dqcnc29k,dqcngjkj,1.0,0
dqcnc29k,dqcncf4c,2.0,0
dqcnc29k,dqcnf6cj,2.0,0
dqcnc29k,dqcne4gy,1.0,0
dqcnc29k,dqcnc0gn,2.0,0
dqcnc29k,dqcnfqc3,1.0,0
dqcnc29k,dqcn9xvx,1.0,0
dqcngqhc,dqcnbbdq,2.0,0
dqcngqhc,dqcncf4c,2.0,0
dqcngqhc,dqcnf6cj,1.0,0
dqcngqhc,dqcne4gy,1.0,0
dqcngqhc,dqcnc7bc,2.0,0
dqcngqhc,dqcn9r0y,1.0,0
dqcnbbdq,dqcnfk5z,1.0,0
dqcnbbdq,dqcncfq5,2.0,0
dqcnbbdq,dqcnc0y3,1.0,0
dqcnbbdq,dqcnfffs,1.0,0
dqcnbbdq,dqcng4te,2.0,0
dqcnbbdq,dqcnfqc3,1.0,0
dqcncsjm,dqcnbchm,1.0,0
dqcncsjm,dqcng43b,1.0,0
dqcncsjm,dqcnfk5z,2.0,0
dqcncsjm,dqcnctbb,1.0,0
dqcncsjm,dqcne6ct,1.0,0
dqcncsjm,dqcngjkj,2.0,0
dqcncsjm,dqcncf4c,1.0,0
dqcncsjm,dqcnc7bc,2.0,0
dqcncsjm,dqcp1ys8,2.0,0
dqcncsjm,dqcncx6x,2.0,0
dqcncsjm,dqcp1gxv,1.0,0
dqcnbchm,dqcncu6f,1.0,0
dqcnbchm,dqcnf6cj,2.0,0
dqcnbchm,dqcnc78q,2.0,0
dqcnbchm,dqcnc0y3,2.0,0
dqcnbchm,dqcnfffs,2.0,0
dqcnbchm,dqcnc0gn,1.0,0
dqcnbchm,dqcncx6x,2.0,0
dqcnbchm,dqcnenmf,1.0,0
dqcng43b,dqcnfpuz,2.0,0
dqcng43b,dqcp1rx0,2.0,0
dqcng43b,dqcp1z6r,1.0,0
dqcng43b,dqcncdq7,2.0,0
dqcng43b,dqcp4kgx,1.0,0
dqcng43b,dqcnc0y3,1.0,0
dqcng43b,dqcp1rzr,2.0,0
dqcng43b,dqcncf6c,2.0,0
dqcng43b,dqcne1qu,1.0,0
dqcng43b,dqcp1wg8,2.0,0
dqcnfpuz,dqcp1rx0,2.0,0
dqcnfpuz,dqcnf6cj,2.0,0
dqcnfpuz,dqcncdq7,2.0,0
dqcnfpuz,dqcnc0y3,2.0,0
dqcp473c,dqcner94,1.0,0
dqcp473c,dqcnf6cj,2.0,0
dqcp473c,dqcnf3uz,1.0,0
dqcp473c,dqcnc78q,1.0,0
dqcp473c,dqcncwc5,1.0,0
dqcp473c,dqcnenmf,1.0,0
dqchf7jt,dqcne6ct,1.0,0
dqchf7jt,dqcner94,2.0,0
dqchf7jt,dqcnf6cj,2.0,0
dqchf7jt,dqcne4gy,2.0,0
dqchf7jt,dqcnf3uz,2.0,0
dqchf7jt,dqcp1z6r,2.0,0
dqchf7jt,dqcp1rzr,1.0,0
dqchf7jt,dqcncf6c,2.0,0
dqchf7jt,dqcn9xvx,2.0,0
dqchf7jt,dqcn9r0y,1.0,0
dqcncu6f,dqcne4gy,1.0,0
dqcncu6f,dqcng06w,1.0,0
dqcncu6f,dqcnc7bc,2.0,0
dqcncu6f,dqcp1ys8,2.0,0
dqcncu6f,dqcnf794,1.0,0
dqcncu6f,dqcp1rzr,1.0,0
dqcncu6f,dqcng4te,1.0,0
dqcncu6f,dqcn9r0y,1.0,0
dqcncvkb,dqcp1rx0,2.0,0
dqcncvkb,dqcnctbb,1.0,0
dqcncvkb,dqcnf6cg,1.0,0
dqcncvkb,dqcncf4c,1.0,0
dqcncvkb,dqcncdq7,2.0,0
dqcncvkb,dqcnc0y3,2.0,0
dqcncvkb,dqcnc0gn,1.0,0
dqcncvkb,dqcn9r0y,1.0,0
dqcnfk5z,dqcp1rx0,1.0,0
dqcnfk5z,dqcngjkj,2.0,0
dqcnfk5z,dqcner94,1.0,0
dqcnfk5z,dqcnf6cj,2.0,0
dqcnfk5z,dqcncfq5,2.0,0
dqcnfk5z,dqcncdq7,2.0,0
dqcnfk5z,dqcncf6c,2.0,0
dqcnfk5z,dqcnfffs,2.0,0
dqcnfk5z,dqcne1qu,2.0,0
dqcnfk5z,dqcn9r0y,1.0,0
dqcnfk5z,dqcnenmf,2.0,0
dqcp1rx0,dqcp1yv9,2.0,0
dqcp1rx0,dqcne6ct,2.0,0
dqcp1rx0,dqcnf794,2.0,0
dqcp1rx0,dqcncwc5,1.0,0
dqcp1rx0,dqcnc0y3,1.0,0
dqcp1rx0,dqcp1wg8,2.0,0
dqcp1rx0,dqcp1gxv,2.0,0
dqcp1rx0,dqcnenmf,1.0,0
dqcp1yv9,dqcnctbb,2.0,0
dqcp1yv9,dqcnc7bc,2.0,0
dqcp1yv9,dqcncdq7,1.0,0
dqcp1yv9,dqcp1ys8,1.0,0
dqcp1yv9,dqcncwc5,1.0,0
dqcp1yv9,dqcp1rzr,2.0,0
dqcp1yv9,dqcncf6c,1.0,0
dqcp1yv9,dqcnc0gn,2.0,0
dqcp1yv9,dqcne1qu,2.0,0
dqcp1yv9,dqcp1wg8,2.0,0
