household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnfpuz,2.0,0
dqcp176g,dqchf7jt,2.0,0
dqcp176g,dqcne4gy,2.0,0
dqcp176g,dqcp1z6r,2.0,0
dqcp176g,dqcnf794,2.0,0
dqcp176g,dqcncwc5,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcp176g,dqcncx6x,2.0,0
dqcp176g,dqcp1wg8,2.0,0
dqcp176g,dqcnenmf,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcnfpuz,2.0,0
dqcnc7hq,dqcncvkb,2.0,0
dqcnc7hq,dqcnf3uz,2.0,0
dqcnc7hq,dqcng4te,2.0,0
dqcnc7hq,dqcp1gxv,2.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcng43b,2.0,0
dqcnc29k,dqcncvkb,2.0,0
dqcnc29k,dqcn9r0y,2.0,0
dqcngqhc,dqcncsjm,2.0,0
dqcngqhc,dqcp473c,2.0,0
dqcngqhc,dqcnctbb,2.0,0
dqcngqhc,dqcng06w,2.0,0
dqcngqhc,dqcnf794,2.0,0
dqcngqhc,dqcp1gxv,2.0,0
dqcngqhc,dqcnenmf,2.0,0
dqcnbbdq,dqcncu6f,2.0,0
dqcnbbdq,dqcncvkb,2.0,0
dqcnbbdq,dqcp1rx0,2.0,0
dqcnbbdq,dqcnf3uz,2.0,0
dqcnbbdq,dqcnc6tb,2.0,0
dqcnbbdq,dqcp4kgx,2.0,0
dqcnbbdq,dqcnf794,2.0,0
dqcnbbdq,dqcnc0gn,2.0,0
dqcnbbdq,dqcnfqc3,2.0,0
dqcncsjm,dqcnf6cj,1.0,0
dqcncsjm,dqcnc6tb,1.0,0
dqcncsjm,dqcp1z6r,2.0,0
dqcncsjm,dqcp4kgx,2.0,0
dqcncsjm,dqcnf794,2.0,0
dqcncsjm,dqcncwc5,2.0,0
dqcncsjm,dqcnc0y3,2.0,0
dqcncsjm,dqcnfffs,2.0,0
dqcnbchm,dqcng43b,2.0,0
dqcnbchm,dqcnfk5z,2.0,0
dqcnbchm,dqcne4gy,2.0,0
dqcnbchm,dqcnc6tb,2.0,0
dqcnbchm,dqcp1rzr,2.0,0
dqcnbchm,dqcncf6c,2.0,0
dqcnbchm,dqcncx6x,2.0,0
dqcnbchm,dqcn9xvx,2.0,0
dqcng43b,dqcp473c,2.0,0
dqcng43b,dqcnf3uz,1.0,0
dqcng43b,dqcnc0y3,2.0,0
dqcng43b,dqcp1rzr,2.0,0
dqcng43b,dqcncx6x,2.0,0
dqcng43b,dqcp1wg8,2.0,0
dqcnfpuz,dqcngjkj,2.0,0
dqcnfpuz,dqcn9r0y,2.0,0
dqcp473c,dqcncvkb,2.0,0
dqcp473c,dqcng06w,2.0,0
dqcp473c,dqcp4kgx,2.0,0
dqcp473c,dqcncwc5,1.0,0
dqcp473c,dqcncf6c,2.0,0
dqcp473c,dqcp1wg8,2.0,0
dqcp473c,dqcp1gxv,2.0,0
dqcp473c,dqcnenmf,2.0,0
dqchf7jt,dqcp1yv9,2.0,0
dqchf7jt,dqcnf6cg,2.0,0
dqchf7jt,dqcp1wg8,2.0,0
dqcncu6f,dqcp1rx0,2.0,0
dqcncu6f,dqcp1z6r,2.0,0
dqcncu6f,dqcncf6c,2.0,0
dqcncu6f,dqcncx6x,2.0,0
dqcncvkb,dqcnfk5z,2.0,0
dqcncvkb,dqcp1yv9,2.0,0
dqcncvkb,dqcnf3uz,2.0,0
dqcncvkb,dqcnc6tb,2.0,0
dqcncvkb,dqcncdq7,1.0,0
dqcncvkb,dqcncwc5,2.0,0
dqcncvkb,dqcnc0y3,2.0,0
dqcncvkb,dqcncf6c,2.0,0
dqcncvkb,dqcng4te,2.0,0
dqcncvkb,dqcncx6x,2.0,0
dqcncvkb,dqcne1qu,2.0,0
dqcncvkb,dqcn9xvx,2.0,0
dqcnfk5z,dqcp1rx0,2.0,0
dqcnfk5z,dqcnctbb,2.0,0
dqcnfk5z,dqcncfq5,1.0,0
dqcnfk5z,dqcnc7bc,2.0,0
dqcp1rx0,dqcnctbb,1.0,0
dqcp1rx0,dqcnf3uz,2.0,0
dqcp1rx0,dqcp1ys8,2.0,0
dqcp1rx0,dqcnc0y3,2.0,0
dqcp1rx0,dqcp1wg8,1.0,0
dqcp1yv9,dqcne6ct,2.0,0
dqcp1yv9,dqcng06w,2.0,0
dqcp1yv9,dqcncf6c,2.0,0
dqcp1yv9,dqcng4te,2.0,0
dqcp1yv9,dqcnfqc3,2.0,0
dqcp1yv9,dqcnenmf,2.0,0
dqcnctbb,dqcngjkj,2.0,0
dqcnctbb,dqcnf794,2.0,0
dqcnctbb,dqcncwc5,1.0,0
dqcnctbb,dqcng4te,2.0,0
dqcnctbb,dqcncx6x,1.0,0
dqcnctbb,dqcne1qu,2.0,0
dqcne6ct,dqcncwc5,2.0,0
dqcne6ct,dqcncf6c,2.0,0
dqcne6ct,dqcn9xvx,2.0,0
dqcne6ct,dqcnenmf,2.0,0
dqcngjkj,dqcncf4c,2.0,0
dqcngjkj,dqcp1z6r,2.0,0
dqcngjkj,dqcnc0gn,2.0,0
dqcner94,dqcnf6cj,2.0,0
dqcner94,dqcnc78q,2.0,0
dqcner94,dqcncwc5,2.0,0
dqcner94,dqcnfqc3,2.0,0
dqcner94,dqcn9r0y,2.0,0
dqcnf6cg,dqcncfq5,2.0,0
dqcnf6cg,dqcnf3uz,2.0,0
dqcnf6cg,dqcncdq7,1.0,0
dqcnf6cg,dqcnc0gn,2.0,0
dqcncf4c,dqcne4gy,2.0,0
dqcncf4c,dqcnc0y3,1.0,0
dqcncf4c,dqcncf6c,1.0,0
dqcncf4c,dqcnc0gn,2.0,0
dqcncf4c,dqcne1qu,2.0,0
dqcnf6cj,dqcne4gy,2.0,0
dqcnf6cj,dqcncf6c,1.0,0
dqcnf6cj,dqcnfffs,2.0,0
dqcncfq5,dqcnf3uz,1.0,0
dqcncfq5,dqcnc6tb,2.0,0
dqcncfq5,dqcp1ys8,2.0,0
dqcncfq5,dqcncwc5,2.0,0
dqcncfq5,dqcn9r0y,2.0,0
dqcne4gy,dqcp1rzr,2.0,0
dqcne4gy,dqcn9xvx,2.0,0
dqcne4gy,dqcn9r0y,2.0,0
dqcng06w,dqcnc7bc,2.0,0
dqcng06w,dqcnf794,2.0,0
dqcng06w,dqcnfffs,2.0,0
dqcng06w,dqcnfqc3,2.0,0
dqcnf3uz,dqcnc7bc,1.0,0
dqcnf3uz,dqcp1z6r,2.0,0
dqcnf3uz,dqcp1ys8,2.0,0
dqcnf3uz,dqcncwc5,1.0,0
dqcnf3uz,dqcne1qu,1.0,0
dqcnc6tb,dqcncdq7,2.0,0
dqcnc6tb,dqcnc0gn,2.0,0
dqcnc6tb,dqcn9xvx,2.0,0
dqcnc7bc,dqcnc0y3,2.0,0
dqcnc7bc,dqcncx6x,2.0,0
dqcnc7bc,dqcn9xvx,2.0,0
dqcnc7bc,dqcn9r0y,1.0,0
