home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.173062932307024,0.13600010785234656,0.021965523267414154,0.16674616938037012,0.4202964287485852,0.12938341950520288,0.06089096451848473,0.5768132668843797,0.6268823054425423,4.156990168292344e-29,0.41903080407183463,0.04187531629300937,0.14495051259024203,0.4743226175802986,0.20166730184804885,0.3225270140055815,0.0024584700149559782,0.06721074167765224,0.0022320184043875127,0.0920265095964565,0.16357472561186412,0.11820230271147435,0.16110213213715513,0.0017451044256300264,0.029624677297489025,0.11671797340016754,0.35210452465519415,0.18256402339683891,0.42405334238663545,0.017568191172801166,0.274580902973341,0.19698340607073092,0.008767974442605516,0.148627571604994,0.7287946642675524,0.21014475269562122,0.4642606133581997,0.16734628296151727,0.11969584841542895,0.06020556398642551,0.24040510926860803,0.30822408302337273,0.26579744419368156,0.00027914401391829316,0.10766715592372395,0.25542483912072445,0.38046683343846055,0.050365542914755534,0.013589370296814209
dqcnc7hq,0.173062932307024,1.0,0.6720963025315801,0.06930805639108484,0.28024744010388125,0.23381891643235167,0.5790203535766285,0.21608718444002506,0.23660068334901926,0.11281938081512417,6.607487096956497e-23,0.3635010011747728,0.035965565809661496,0.6133917771514455,0.13999420093583584,0.13731002292787345,0.29856749870342325,0.03536422684507441,0.023776346937560956,0.004240761283768808,0.083492836773615,0.4182660078504964,0.12767731298295895,0.592912330330785,0.023746212034641206,0.0182264490598259,0.11462291102637584,0.23381524512704932,0.9879395263511949,0.02734778137229104,0.007370443985437818,0.15673998636403927,0.053358114118779276,0.07224955210886812,0.24551974416553998,0.2292671694388497,0.3158223695185243,0.09488399825758098,0.5494830055702846,0.27294921293725494,0.17989596801100077,0.2827567622027065,0.10146734537439336,0.3024529801759091,0.0015839367293866704,0.21301359923293642,0.05158472910299558,0.21274911922183276,0.1967088095725455,0.014138710148535781
dqcnc29k,0.13600010785234656,0.6720963025315801,1.0,0.03776559193999487,0.27070014200514897,0.30123131589485164,0.9161436188092182,0.14204800908489612,0.15506481892898308,0.07165366600675016,2.389576989090235e-21,0.2882805301739675,0.03636324901293775,0.41112724896580405,0.04419658769045407,0.0341884272704133,0.24019259074538235,0.0806162549945145,0.033744621458805135,0.004661867767910313,0.18789684895819397,0.7687150782296708,0.313064292395741,0.7869590342345849,0.08497099474668152,0.051630615813886144,0.2997425084916394,0.4310373119996686,0.6132425062178763,0.03217047418558615,0.02086934959759574,0.05096671137454919,0.0440444977591634,0.03472460697419652,0.4606603745585764,0.300725160119908,0.3302377206487445,0.032857116922593466,0.821396091864462,0.26447930842587675,0.15207963844554462,0.3719199098736647,0.19925628315640967,0.40555097247174576,0.0039061964793193774,0.6186990530973581,0.057627402848635045,0.17254309673883303,0.6455528421405835,0.045134913955026564
dqcngqhc,0.021965523267414154,0.06930805639108484,0.03776559193999487,1.0,0.005535363741635966,0.06376458401873918,0.015838800288213523,0.33720935988105294,0.10256431029475126,0.08693206169594131,7.135145951117776e-25,0.066165578696852,0.10802659132696378,0.3086170743232256,0.02684187500454397,0.10669230587876413,0.12128164893566205,0.12223664383831831,0.23167066472168693,0.11309820944170876,0.15371464381875785,0.07973067328327572,0.1234604336847242,0.13106245164306213,0.03483966965741805,0.06657373747573202,0.0686240776827238,0.020462295117617317,0.05725700593679755,0.013998537593292178,0.014754697895475156,0.11940344650372457,0.20566391144301027,0.04785221159771355,0.12629309220039883,0.032600138193543494,0.013196348921598254,0.036828717670309624,0.10217154551699706,0.31947085449360585,0.38665815159558076,0.010407391566070553,0.06891230497659653,0.09815401441462573,0.0266953618594193,0.02742955588763015,0.016790635092595308,0.10270126369952091,0.011525701645602654,0.05411159213586171
dqcnbbdq,0.16674616938037012,0.28024744010388125,0.27070014200514897,0.005535363741635966,1.0,0.39653158031349367,0.2528878289737016,0.06589781471944062,0.21690593235053393,0.07761038842405302,8.172058359444649e-22,0.5117006736888154,0.02560201068965492,0.09778591554164326,0.03363054462282585,0.014725105228425097,0.25510653890671625,0.006507467383699265,0.01713264932611582,0.0041958196469437025,0.04513006086475237,0.13119549520290757,0.04896112503051841,0.13940992145878306,0.0030471748836653372,0.021184906786654672,0.06298252882675737,0.45896308446152423,0.2781828882638093,0.008842101882761405,0.01474944963402944,0.01773674192834997,0.007736531000044876,0.016428080325116414,0.05622728379309478,0.2983956193850091,0.9250565122885895,0.027507629176524277,0.1423002413179283,0.0845443170206898,0.041863993658544374,0.8741179199124778,0.05144611300970911,0.05267058291243972,0.001777018772661077,0.13848470027085402,0.005855929364374707,0.025145110734592534,0.07733232209697641,0.015724710277551627
dqcncsjm,0.4202964287485852,0.23381891643235167,0.30123131589485164,0.06376458401873918,0.39653158031349367,1.0,0.22789104645977967,0.18562548514842564,0.5648578031714182,0.36441142388463316,9.189997822230412e-24,0.7103570781202991,0.2055040290335128,0.22476115996003534,0.08195633825939144,0.05636027753388214,0.674067851772124,0.03859564227855161,0.28322966677733824,0.049985323510140796,0.4270295652561915,0.3502899466182481,0.3766528766790566,0.31951577713171625,0.018275082017037488,0.2267200245578113,0.3490559593338055,0.7664228326020962,0.21332428865368325,0.09764057827154596,0.16000453193057668,0.08167044623024762,0.1379874088102589,0.03488282310969254,0.28290268715133327,0.7475259893833421,0.5579897173361172,0.10571579645090674,0.32968329434163285,0.3118206585140791,0.17855444162649528,0.6136296429051958,0.38939963217413726,0.26174917192675173,0.018115406278399738,0.34696641552544455,0.05257588239969525,0.14761648308159203,0.1487904278599317,0.15357692503236975
dqcnbchm,0.12938341950520288,0.5790203535766285,0.9161436188092182,0.015838800288213523,0.2528878289737016,0.22789104645977967,1.0,0.06082908894632145,0.09880928439447012,0.04584866581906589,5.86648678825385e-22,0.19557332099617977,0.02607209941036322,0.2497251743146613,0.041822723616813606,0.0271655808731437,0.19508669253309754,0.03267219246751875,0.015312260918285534,0.0017231412499124756,0.12173607921198006,0.5994784228507458,0.21097739087839357,0.5809520236994943,0.03971952641096718,0.023079158184022924,0.18715566801526817,0.35974587919520074,0.5526831175715319,0.02993359693939066,0.016328255146696335,0.04189427066586292,0.031864298276977655,0.030959948302977738,0.31391747179438456,0.25519088459300393,0.2707971808778152,0.03121197089821841,0.6358473547609447,0.1306863048669058,0.06518638354554518,0.32561451192525387,0.13705481650657297,0.38351985586478027,0.0014542279836455166,0.5025153194007634,0.06091445450092184,0.14310469132333356,0.6342782027348017,0.0189899323187086
dqcng43b,0.06089096451848473,0.21608718444002506,0.14204800908489612,0.33720935988105294,0.06589781471944062,0.18562548514842564,0.06082908894632145,1.0,0.35050395259175143,0.19806050544749582,3.8621423379114967e-22,0.36364811994391916,0.029987214265741587,0.6189196158694269,0.034692552023285216,0.05416386381707571,0.13697720365752108,0.19779152444839182,0.18406497562848342,0.04904119006946309,0.12754358521576617,0.2146258762543075,0.16084713814645035,0.32289869952422173,0.08182455995267374,0.1567870819159078,0.20830306220801792,0.1285144120955959,0.175878817859698,0.014560871825484545,0.006604381859026636,0.059731285634698914,0.052601566275017726,0.011385285367728986,0.24748411256940445,0.12873452757435394,0.13445845556772917,0.025939189851381782,0.2595804370771911,0.8448967891485241,0.9153732271971768,0.10256058006996652,0.1487181362392608,0.07678191640426643,0.01664031477917955,0.11076709337872462,0.011819306984942591,0.09812807456606865,0.03971853410011228,0.14229058158786215
dqcnfpuz,0.5768132668843797,0.23660068334901926,0.15506481892898308,0.10256431029475126,0.21690593235053393,0.5648578031714182,0.09880928439447012,0.35050395259175143,1.0,0.8385899956442164,2.6211302094050646e-26,0.8068124334051284,0.061486853063428736,0.35784016522532497,0.26655406091289036,0.18017559199922786,0.38708043685515714,0.01824951223337907,0.21134911564707526,0.01801707394641907,0.15109206512566123,0.21214234333003398,0.17303652090786872,0.2519895497051867,0.008381239646051692,0.11270973168466376,0.20959849795050728,0.3953090968329006,0.224271416417195,0.15940165593402852,0.019601262968391948,0.2148259926627014,0.16326883203341833,0.012037045992508143,0.21978705294549972,0.6298059838716604,0.3394111669538394,0.24267700521118987,0.2308170948281433,0.4365925163298311,0.3083877438990574,0.3130238742301705,0.34686767197991514,0.17126297570631402,0.0027475901658570033,0.13124084955010193,0.07952656677343017,0.2687847244942919,0.04298814296864186,0.06586913558239944
dqcp473c,0.6268823054425423,0.11281938081512417,0.07165366600675016,0.08693206169594131,0.07761038842405302,0.36441142388463316,0.04584866581906589,0.19806050544749582,0.8385899956442164,1.0,7.994378986534359e-29,0.4694772001682783,0.04348800875075917,0.22466209435680304,0.34822895167546525,0.22325911346788008,0.2510543323686453,0.007698814359401129,0.20594824208448265,0.009229185967813677,0.11601577028801872,0.1323902691633591,0.13790075741605157,0.15004828238211074,0.003997211371015141,0.08151081397966763,0.15689248615441043,0.23195926180031495,0.10871646773356985,0.3287167986369538,0.013507539703416496,0.2794999383758558,0.2615294154451427,0.005351609902835478,0.1741341691694138,0.5257737678325196,0.13415513494356843,0.34080147606735195,0.13910149610808248,0.28540828866098256,0.2000453242016945,0.1325940906448023,0.3773582567476819,0.1618561231569549,0.0009638374883928762,0.0736184990377825,0.14880625504467465,0.35569303859857954,0.021980306709965834,0.04072816163979804
