"Record Number","Address","Description","Status","Related Records","Submittal Type",
"TMP2022-00307","235 JOEL BLVD, LEHIGH ACRES FL 33936","SALE OF AUTOMOBILESINSTALLATION OF 1200 SQ FT TENT","Ready","0","ePlan",
"ELE2022-03966","1741 SEAFAN CIR, NORTH FORT MYERS FL 33903","Mast and Meter Can Replacement","Closed-Voided","0","ePlan",
"RES2022-10714","30 NANCY LN, FORT MYERS BEACH FL 33931","COMPLETE INTERIOR, ELECTRIC, MECHANICNAL, PLUMBING, EXTERIOR DOOR","Closed-CC Issued","0","Paper Submittal",
"ROF2022-09007","6616 WAKEFIELD DR, FORT MYERS FL 33966","RE-ROOF SHINGLES","Closed-CC Issued","0","ePlan",
"ROF2022-09006","13179 REGENT CIR, FORT MYERS FL 33966","RE-ROOF SHINGLES","Closed-CC Issued","0","ePlan",
"RES2022-10713","7236 LADYFISH DR, SAINT JAMES CITY FL 33956","complete demo of mobile home after Ian destruction","Closed-Voided","0","ePlan",
"RES2022-10712","1512 CONGRESS AVE, LEHIGH ACRES FL 33972","Single Family Home","Closed-CO Issued","1","ePlan",
"ELE2022-03965","13010 LADA LN, BOKEELIA FL 33922","Over Head Service Repaired to well","Closed-CC Issued","0","ePlan",
"ROF2022-09005","57 SANDPIPER CT, CAPTIVA FL 33924","Tearoff and Re-Roof","Closed-CC Issued","0","ePlan",
"RES2022-10711","6958 OVERLOOK DR, FORT MYERS FL 33919","Replace hurricane damaged Lanai","Waiting on Applicant","0","ePlan",
"RES2022-10710","1913 LONGFELLOW DR, NORTH FORT MYERS FL 33903","replace drywall & baseboards & interior structures from flooding","Closed-CC Issued","1","ePlan",
"MEC2022-07834","7149 SHANNON BLVD, FORT MYERS FL 33908","a/c changeout","Closed-CC Issued","0","ePlan",
"RES2022-10709","15161 CORTONA WAY, FORT MYERS FL 33908","Pool enclosure replacement","Closed-CO Issued","0","ePlan",
"ROF2022-09004","701 ARIANNE CT, LEHIGH ACRES FL 33936","Reroof Shingle","Closed-CC Issued","0","ePlan",
"ROF2022-09003","18517 ORIOLE RD, FORT MYERS FL 33967","REMOVE SHINGLES AND INSTALL NEW SHINGLESREROOF","Closed-CC Issued","0","ePlan",
"MEC2022-07833","12181 KELLY SANDS WAY, 1552, FORT MYERS FL 33908","REPLACING SPLIT AC SYSTEM","Closed-CC Issued","0","ePlan",
"MEC2022-07832","4316 LEE BLVD, 6, LEHIGH ACRES FL 33971","Replace 5 ton package unit","Closed-CC Issued","0","ePlan",
"ROF2022-09002","18008 CYPRESS POINT RD, FORT MYERS FL 33967","Tear off & Re-roof Shingle","Closed-CC Issued","0","ePlan",
"ROF2022-09001","17566 PLUMERA LN, NORTH FORT MYERS FL 33917","Roof Install","Closed-Voided","0","ePlan",
"MEC2022-07831","11300 CARAVEL CIR, 103, FORT MYERS FL 33908","a/c changeout","Closed-CC Issued","0","ePlan",
"ROF2022-09000","14018 POINT JUDITH LN, FORT MYERS FL 33919","REROOF-REMOVE AND REPLACE SHINGLE ROOF","Closed-CC Issued","0","ePlan",
"MEC2022-07830","16220 DURHAM AVE, FORT MYERS FL 33908","Replace AC package unit like for like","Closed-CC Issued","0","ePlan",
"ROF2022-08999","422 NORWOOD CT, FORT MYERS FL 33919","Remove the existing damaged roof and replace it with a new roof","Closed-CC Issued","0","ePlan",
"ROF2022-08998","17586 PLUMERA LN, NORTH FORT MYERS FL 33917","Roof Install","Closed-Voided","0","ePlan",
"MEC2022-07829","9160 SOUTHMONT CV, 206, FORT MYERS FL 33908","Replacement,  condenser only","Closed-CC Issued","0","ePlan",
"RES2022-10708","5660 FOXLAKE DR, NORTH FORT MYERS FL 33917","Flood damage repairs including insulation, drywall, and finishes.","Permit Expired","0","ePlan",
"MEC2022-07828","16350 KELLY COVE DR, 298, FORT MYERS FL 33908","Replacement- condenser only","Closed-CC Issued","0","ePlan",
"ROF2022-08997","17524 PLUMERA LN, NORTH FORT MYERS FL 33917","Roof Install","Closed-Voided","0","ePlan",
"RES2022-10707","5101 LEE ST, LEHIGH ACRES FL 33971","New Single Family Home","Closed-Withdrawn","1","ePlan",
"ROF2022-08996","2914 11TH ST W, LEHIGH ACRES FL 33971","Re-Roof Shingles Hurricane Ian Damage","Closed-CC Issued","0","ePlan",
"PLU2022-00954","9250 WILLOWCREST CT, FORT MYERS FL 33908","Replumb entire property.Install new Viega Pex piping.","Closed-CC Issued","1","ePlan",
"RES2022-10706","2440 PARK RD, LEHIGH ACRES FL 33971","Convert garage in a living space","Permit Issued","0","ePlan",
"RES2022-10705","1118 RAVENSWOOD ST E, LEHIGH ACRES FL 33974","4 besdrooms,3 1/2 Bathroom new construction home","Closed-Voided","0","ePlan",
"ROF2022-08995","209 DERWENT BLVD, FORT MYERS FL 33908","Removal of existing roofing material. renailing sheathing. Install synthetic underlayment installation of 26ga Gulf Rib panels.","Closed-CC Issued","0","ePlan",
"RES2022-10704","16175 JOHN MORRIS RD, 84, FORT MYERS FL 33908","drywall, trim, insulation, ductwork, electric, vapor barrier and condenser due to hurricane damage","Closed-CC Issued","0","Paper Submittal",
"ELE2022-03964","3027 39TH ST SW, LEHIGH ACRES FL 33976","Repair meter due to hurricane damage","Closed-CC Issued","0","ePlan",
"RES2022-10703","5413 3RD ST W, LEHIGH ACRES FL 33971","New Construction of Single Family Home*RPI01- Utilizing a new truss manufacturing company called Tibbetts Lumber Co. Inc. New structural foundation to accommodate trusses*","Ready-Documents Required","2","ePlan",
"OCC2022-00634","8981 DANIELS CENTER DR, 208, FORT MYERS FL 33912","Professional Staffing/Temporary Help Services","Closed-Cert of Use Issued","0",,
"ROF2022-08994","607 WILLARD AVE, LEHIGH ACRES FL 33972","Re-Roof Shingles Hurricane Ian Damage","Closed-CC Issued","0","ePlan",
"ROF2022-08993","9589 DUNKIRK DR, FORT MYERS FL 33919","RE-ROOF","Closed-Voided","0","ePlan",
"ROF2022-08992","8809 KODIAK LN, SAINT JAMES CITY FL 33956","TEAR OFF AND RE-SHINGLE ROOF","Closed-CC Issued","0","ePlan",
"ROF2022-08991","15720 CHATFIELD DR, FORT MYERS FL 33908","Tile to Metal Re-Roof (FL29523.02-R1)(FL9777-R16)","Closed-CC Issued","0","ePlan",
"ROF2022-08990","5200 ANITA AVE N, LEHIGH ACRES FL 33971","Reroofing of property, SFR, like to like","Closed-CC Issued","0","ePlan",
"COM2022-01666","10911 LEECO CT, FORT MYERS FL 33908","Modifications to equipment on existing communication tower","Closed-Voided","0","ePlan",
"RES2021-11768-R01","6421 PARK RD, FORT MYERS FL 33908","REVISE DUE TO HURRICANE: DRYWALL, INTERIOR DOORS, PLUMBING, ELECTRIC, HVAC","Closed-Revision Approved","1","Paper Submittal",
"MEC2022-07827","9589 GLADIOLUS PRESERVE CIR, FORT MYERS FL 33908","Split System Change out","Closed-CC Issued","0","ePlan",
"ROF2022-08989","16301 VESTA LN, FORT MYERS FL 33908","5-V Metal Roof Replacement","Closed-CC Issued","0","ePlan",
"MRV2022-00245","4992 MARS ST, FORT MYERS FL 33905","Install new mobile home","Closed-CO Issued","1","ePlan",
"SOL2022-02128","635 TARAPIN AVE, LEHIGH ACRES FL 33974","ROOF MOUNTED SOLAR PANELS INSTALL","Closed-CC Issued","1","ePlan",
"OPN2022-03731","19021 ELSTON WAY, ESTERO FL 33928","Installation of motorized Hurricane Screen System to existing Residential Structure with electrical for Screens.","Closed-CC Issued","0","ePlan",
"ELE2022-03963","750 OAK ST, FORT MYERS BEACH FL 33931","Inspected electrical for FPL power reconnect","Closed-Withdrawn","0","ePlan",
"ROF2022-08988","19500 DURRANCE RD, NORTH FORT MYERS FL 33917","Metal over Shingle-FL33818-R2","Permit Expired","0","ePlan",
"RES2022-10702","16381 KELLY WOODS DR, 151, FORT MYERS FL 33908","Emergency reconstruction of damage caused by hurricane Ian.","Closed-Voided","0","ePlan",
"ELE2022-03962","18328 BLUE EYE LOOP, FORT MYERS FL 33913","Installing generator onto existing concrete pad and connecting to existing transfer switch.","Closed-Withdrawn","0","ePlan",
"ELE2022-03961","12228 SIESTA DR, FORT MYERS BEACH FL 33931","Electrical Panel & associated ground floor wiring.","Closed-Voided","0","ePlan",
"RES2022-10701","4334 HARBOUR LN, NORTH FORT MYERS FL 33903","DRYWALL, CABINETS, INTERIOR DOORS AND INSULATION","Closed-CC Issued","0","ePlan",
"ROF2022-08987","17257 PHLOX DR, FORT MYERS FL 33967","Reroof Shingles","Closed-CC Issued","0","ePlan",
"MEC2022-07826","16221 CYNTHIA CT, FORT MYERS FL 33908","INSTALL 3 TON 10 KW 14 SEER PKG REPLACEMENT","Closed-Withdrawn","0","ePlan",
"RES2022-10700","18650 S RIVER RD, ALVA FL 33920","Re-roof single-family residence from shingle to 24 gauge metal panels.","Closed-Voided","0","ePlan",
"DEM2022-00552","3802 BLUEBERRY LN, SAINT JAMES CITY FL 33956","DEMO MOBILE HOME DUE TO HURRICANE IAN","Closed-CC Issued","0","Paper Submittal",
"ELE2022-03960","17721 EGLANTINE LN, FORT MYERS BEACH FL 33931","Electric Meter/Disconnect ReplacementSupply and replace existing meter and disconnect with new meter/main combo.","Closed-Voided","0","ePlan",
"RES2022-10699","19500 DURRANCE RD, NORTH FORT MYERS FL 33917","Enclosed detached garage- 2 doors replaced. Re-roof detached garage Metal over Shingle","Closed-Abandoned","0","Paper Submittal",
"RES2022-10698","13671 PINTAIL DR, FORT MYERS FL 33908","Hurricane Ian Damage - Re-model","Closed-Administrative","0","Paper Submittal",
"RES2022-10697","12621 KELLY SANDS WAY, 308, FORT MYERS FL 33908","Emergency reconstruction of damage caused by hurricane Ian.","Closed-Voided","0","ePlan",
"RES2022-10696","4736 PINE ISLAND RD NW, MATLACHA FL 33993","Repair plumbing, electrical, replace interior from flooding including kitchen bathroom,s floors and walls, replace carport, replace front porch, fix pool and pool equipment, fix dock, roof repairs, driveway repairs","Waiting on Applicant","0","ePlan",
"ROF2022-08986","4964 SHERRY ST, FORT MYERS FL 33905","Shingle Re-Roof","Closed-CC Issued","0","ePlan",
"FIR2022-02393","17940 N TAMIAMI TRL, NORTH FORT MYERS FL 33917","Publix # 1407 FA Remodel 1-70TF99R 1. Remove existing POC to ANSUL for existing grease hood #2 which is being removed. 2. Replace (10) existing duct smoke det with (10) new duct smoke det for new AC-1 to AC-5. 3a. Replace (5) existing control relays with (5) new control relays for new AC-1 to AC-5. 3b. Provide global shutdown through programming for all AC units. Programming. Test and inspection with AHJ.","Closed-CC Issued","0","ePlan",
"ROF2022-08985","15618 LIGHT BLUE CIR, FORT MYERS FL 33908","Reroof - Shingle","Closed-CC Issued","0","ePlan",
"ROF2022-08984","1817 FLAGLER AVE, LEHIGH ACRES FL 33936","Roof replacement shingle and modified flat roof","Closed-CC Issued","0","ePlan",
"RES2022-10695","31 NANCY LN, FORT MYERS BEACH FL 33931","Remodeling of Mfg home due to damage of Hurricane Ian","Closed-Voided","0","ePlan",
"RES2022-10694","2240 DAVIS BLVD, FORT MYERS FL 33905","Drywall Repairs and re-roof underlayment","Closed-CC Issued","1","ePlan",
"MEC2022-07825","9189 GARDEN POINTE, FORT MYERS FL 33908","Split system replacement","Closed-CC Issued","0","ePlan",
"MEC2022-07824","12601 KELLY SANDS WAY, 421, FORT MYERS FL 33908","Replace Condenser Only","Closed-CC Issued","0","ePlan",
"ELE2022-03959","5245 FLAMINGO DR, SAINT JAMES CITY FL 33956","Hurricane Ian - Repair Service - No Other Work","Closed-CC Issued","0","ePlan",
"RES2022-10693","12210 KELLY GREENS BLVD, 62, FORT MYERS FL 33908","Interior Remodel","Closed-CC Issued","0","ePlan",
"RES2022-10692","847 OAK ST, FORT MYERS BEACH FL 33931","electric, insulation, drywall, cabinets, door and trim and hvac due to hurricane damage","Closed-CC Issued","0","Paper Submittal",
"ROF2022-08983","1244 JOERIN AVE, NORTH FORT MYERS FL 33903","New shingle roof","Permit Expired","1","Paper Submittal",
"MEC2022-07823","6791 MOSSY GLEN DR, FORT MYERS FL 33908","A/C change out; damaged from Hurricane Ian; like for like; 5 ton split system","Permit Expired","0","ePlan",
"RES2022-10691","17861 BRYAN CT, FORT MYERS BEACH FL 33931","Hurricane Ian Damage - Re-model","Closed-CC Issued","0","Paper Submittal",
"OPN2022-03730","11600 COURT OF PALMS, 402, FORT MYERS FL 33908","Installation of motorized Hurricane Screen System - 3 Motorized - 1 Fixed","Closed-CC Issued","0","ePlan",
"ELE2022-03958","3535 FIFTH AVE, SAINT JAMES CITY FL 33956","HURRICANE IAN EMERGENCY STORM DAMAGE PERMIT. Install temporary pole per order of LCEC. House was damaged. Pole is for RV hookup.","Closed-Voided","0","ePlan",
"ELE2022-03957","5948 EASTLING DR, BOKEELIA FL 33922","REPLACE MAST METER WITH NEW","Closed-CC Issued","0","ePlan",
"RES2022-10690","12800 KELLY GREENS BLVD, FORT MYERS FL 33908","Interior Remodel","Permit Expired","0","ePlan",
"SGN2022-00568","17650 SAN CARLOS BLVD, FORT MYERS BEACH FL 33931","Face change on existing pylon/LIKI TIKI BBQ, 17650.","Closed-CC Issued","0","ePlan",
"RES2022-10689","5500 HARBORAGE DR, FORT MYERS FL 33908","New single family residence","Closed-CO Issued","2","ePlan",
"ROF2022-08982","2320 CHANDLER AVE, FORT MYERS FL 33907","Shingle Re-Roof and Flat Re-Roof","Closed-CC Issued","0","ePlan",
"RES2022-10688","19500 DURRANCE RD, NORTH FORT MYERS FL 33917","replacing 2 doors damaged in Hurricane. Re-roof- Metal over ShingleDoor NOAI013747.030R2 AND NI009861-R5","Closed-Voided","0","Paper Submittal",
"ELE2022-03956","4573 PINE ISLAND RD NW, MATLACHA FL 33993","replacing riser, se wire and weather head that were damaged by the storm.","Closed-CC Issued","0","ePlan",
"ELE2022-03955","5921 WISCONSIN ST, BOKEELIA FL 33922","REPLACE MAST AND METER AND FEEDERS WITH NEW","Closed-CC Issued","0","ePlan",
"ROF2022-07806-R01","950 LAKEVIEW DR, NORTH FORT MYERS FL 33903","Change to Certaineed Mod Bit FL 2533-R26 exp 9/15/2023","Closed-Revision Approved","1","ePlan",
"RES2022-10687","4211 13TH ST SW, LEHIGH ACRES FL 33976","New single family home","Permit Issued","4","Paper Submittal",
"MEC2022-07822","4931 GULFGATE LN, SAINT JAMES CITY FL 33956","SPLIT SYSTEM REPLACMENT DUE TO HURRUCANE","Permit Expired","0","Paper Submittal",
"RES2022-10686","336 SHORE DR, FORT MYERS FL 33905","DRYWALL, INTERIOR DOORS, CABINETS AND ELECTRICAL OUTLETS","Closed-CC Issued","0","ePlan",
"MEC2022-07821","5574 MALT DR, 1, FORT MYERS FL 33907","Change out like for like Package Unit","Closed-CC Issued","0","ePlan",
"ELE2022-03954","13232 THIRD ST, FORT MYERS FL 33905","replace riser","Closed-CC Issued","0","ePlan",
"SGN2022-00567","17650 SAN CARLOS BLVD, FORT MYERS BEACH FL 33931","Installation of wall sign/ LIKI TIKI BBQ","Closed-CC Issued","0","ePlan",
"COM2022-01665","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir Drbuilding 1unit 118","Waiting on Applicant","0","ePlan",
"FNC2022-02979","6601 HARTLAND ST, FORT MYERS FL 33966","3FT HORIZONTAL WOOD PRIVACY FENCE, 4FT HORIZONTAL WOOD PRIVACY FENCE WITH GATES","Closed-CC Issued","0","ePlan",
"ELE2022-03174-R01","192 CRESCENT LAKE DR, NORTH FORT MYERS FL 33917","R01 2 gang meter can with 2 separate main breakers, addition of a 2nd service on a single family dwelling","Closed-Withdrawn","1","ePlan",
"ROF2022-08981","3691 GLOXINIA DR, NORTH FORT MYERS FL 33917","Tear off & Re-roof Shingle","Closed-CC Issued","0","ePlan",
"COM2022-01664","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 117","Waiting on Applicant","0","ePlan",
"RES2022-10685","4835 E RIVERSIDE DR, FORT MYERS FL 33905","New Concrete Slab for New Shed damaged by hurricane","Permit Expired","0","ePlan",
"MEC2022-07820","14075 MYSTIC SEAPORT WAY, FORT MYERS FL 33919","Air conditioning change out / like for like / 14 Seer 5 Kw 2.5 Ton","Payment Required","0","ePlan",
"MEC2022-07819","2355 BARCELONA AVE, FORT MYERS FL 33905","hvac change out 2.5 ton 14seer goodman","Closed-CC Issued","0","ePlan",
"RES2022-10684","6323 COCOS DR, FORT MYERS FL 33908","roof, drywall, insulation, cabinets, trim, windows, electric and plumbing due to hurricane damage","Closed-CC Issued","0","Paper Submittal",
"ROF2022-08980","9620 MONTEVERDI WAY, FORT MYERS FL 33912","Remove and replace tile roof system.","Closed-Voided","0","ePlan",
"RES2022-10683","17781 REBECCA AVE, FORT MYERS BEACH FL 33931","Hurricane Ian Damage - Re-model","Closed-CC Issued","0","Paper Submittal",
"COM2022-01663","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir Drbuilding 1unit 116","Waiting on Applicant","0","ePlan",
"POL2022-01466","1332 LONGWOOD DR, FORT MYERS FL 33919","inground pool no deck","Closed-CC Issued","2","ePlan",
"RES2022-10682","2918 27TH ST SW, LEHIGH ACRES FL 33976","New Carport","Closed-CO Issued","0","Paper Submittal",
"RES2022-10681","12476 KELLY SANDS WAY, FORT MYERS FL 33908","Emergency reconstruction of damage caused by hurricane Ian.","Closed-CC Issued","0","ePlan",
"RES2022-10680","19375 ELSTON WAY, ESTERO FL 33928","New pool screen enclosure","Closed-CO Issued","1","ePlan",
"DEM2022-00551","1664 S FLOSSMOOR RD, FORT MYERS FL 33919","100% Removal of single family home from the property.","Closed-CC Issued","0","ePlan",
"MEC2022-07818","17500 CANAL COVE CT, FORT MYERS BEACH FL 33931","INSTALL 4 TON 10 KW 14 SEER PKG REPLACEMENT","Closed-CC Issued","0","ePlan",
"ELE2022-03953","13260 ORANGE RIVER BLVD, FORT MYERS FL 33905","change the meter can","Closed-CC Issued","0","ePlan",
"POL2022-01465","1324 LONGWOOD DR, FORT MYERS FL 33919","inground pool, paver deck","Closed-CC Issued","3","ePlan",
"DEM2022-00550","3899 PLUMOSA DR, SAINT JAMES CITY FL 33956","Demo house and carport due to Ian","Closed-CC Issued","0","Paper Submittal",
"RES2022-10679","13786 OX BOW RD, FORT MYERS FL 33905","DRYWALL, INSULATION, INTERIOT DOORS, CABINETS, ROOFING","Permit Issued","1","ePlan",
"ELE2022-03952","2291 YORK RD, SAINT JAMES CITY FL 33956","replacing meter pole due to Hurricane Ian","Closed-CC Issued","0","ePlan",
"COM2022-01662","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 115","Waiting on Applicant","0","ePlan",
"OPN2022-03729","411 FIFTH AVE, LEHIGH ACRES FL 33972","Installation of 5 motorized roll down screens impact rated","Closed-CC Issued","0","ePlan",
"RES2021-04566-R02","8780 CASCADE PRICE CIR, NORTH FORT MYERS FL 33917","revised product approvals","Closed-Revision Approved","3","ePlan",
"ROF2022-08979","3870 RIVER POINT DR, FORT MYERS FL 33905","Remove and replace Tile Roof","Closed-CC Issued","0","ePlan",
"DEM2022-00549","5128 FLAMINGO DR, SAINT JAMES CITY FL 33956","Remove Ian destroyed home","Closed-Voided","0","ePlan",
"ROF2022-08978","1001 ROMANO KEY CIR, PUNTA GORDA FL 33955","Remove and replace tile roof system.","Closed-CC Issued","0","ePlan",
"RES2022-10678","16109 SAND RIDGE CT, FORT MYERS FL 33908","Wall outlets and one floor outlet needed to be changed out due to water damage from Ian","Closed-Voided","0","ePlan",
"DSH2022-00655","767 CAPE VIEW DR, FORT MYERS FL 33919","Rebuild 116 sq. ft. section of dock damaged by hurricane Ian.","Closed-CC Issued","0","ePlan",
"ROF2022-08977","8320 CORAL DR, FORT MYERS FL 33967","REROOF","Closed-CC Issued","0","ePlan",
"RES2022-10677","867 OAK ST, FORT MYERS BEACH FL 33931","Hurricane Ian Damage - Re-model","Closed-CC Issued","1","Paper Submittal",
"ELE2022-03951","1100 SHRIMP BOAT LN, FORT MYERS BEACH FL 33931","Inspected electrical for FPL power reconnect.","Permit Expired","0","ePlan",
"DEM2022-00548","2301 YORK RD, SAINT JAMES CITY FL 33956","Demo mobile home","Closed-CC Issued","0","Paper Submittal",
"RES2022-10676","4012 21ST ST SW, LEHIGH ACRES FL 33976","New House Construction","Closed-CO Issued","4","ePlan",
"RES2022-10675","3667 WOODSTORK CT, FORT MYERS FL 33908","DRYWALL, INTERIOR DOORS, ELECTRICAL OUTLETS, CABINETS, PLUMBING AND INSULATION","Closed-CC Issued","1","ePlan",
"COM2022-01661","9650 LITTLETON RD, NORTH FORT MYERS FL 33903","Wireless antenna upgrade to existing cell tower","Closed-CC Issued","0","ePlan",
"ROF2022-08976","1811 CORAL CIR, NORTH FORT MYERS FL 33903","Tearoff/re-roof","Permit Expired","0","ePlan",
"MEC2022-07817","6015 TIERRA ENTRADA, NORTH FORT MYERS FL 33903","Replaced A/C @ Del Tura/ 6015 Tierra Entrada","Closed-CC Issued","0","ePlan",
"ELE2022-03950","899 NORTH ST, FORT MYERS BEACH FL 33931","Hurricane Ian - Replace Breakers in Service - No other work","Closed-CC Issued","0","ePlan",
"COM2022-01660","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 114","Waiting on Applicant","0","ePlan",
"RES2022-10674","3325 IRON CT, 9, NORTH FORT MYERS FL 33917","Windows, Roof, Siding and drywall , insulation Shingles FL39780 R1, Windows FL14104.8","Permit Expired","0","Paper Submittal",
"MEC2022-07816","16475 SAN CARLOS BLVD, FORT MYERS FL 33908","Like for like 5T package unit","Closed-CC Issued","0","ePlan",
"COM2022-01659","9010 POINTE CLUB DR, FORT MYERS FL 33908","repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 113","Waiting on Applicant","0","ePlan",
"ROF2022-08975","13612 CHERRY TREE CT, FORT MYERS FL 33912","Tile Reroof","Closed-CC Issued","0","ePlan",
"ROF2022-08974","5551 LONGLEAF DR, NORTH FORT MYERS FL 33917","Shingle Re-roof","Closed-CC Issued","0","ePlan",
"ELE2022-03949","18351 PARKSVILLE DR, ESTERO FL 33928","Install 200AMP ATS and modules to control generator load.","Closed-CC Issued","0","ePlan",
"ROF2022-08973","15870 LAKE CANDLEWOOD DR, FORT MYERS FL 33908","Re-roof","Closed-CC Issued","0","ePlan",
"RES2022-10673","201 NORWICH AVE, LEHIGH ACRES FL 33936","MASTER BATHROOM REMODEL","Closed-CC Issued","0","Paper Submittal",
"ROF2022-08972","4014 AVENIDA DEL TURA, NORTH FORT MYERS FL 33903","TEAR OFF OLD SHINGLE ROOF AND REROOF WITH NEW DIMENSIONAL SHINGLES AT 4014 AVENIDA DEL TURA, NORTH FORT MYERS","Closed-CC Issued","0","ePlan",
"ELE2022-03948","11510 MURMOND LN, CAPTIVA FL 33924","ELECTRICAL METER REPLACEMENT","Closed-CC Issued","0","ePlan",
"ROF2022-08971","5425 WHISPERING WILLOW WAY, FORT MYERS FL 33908","remove and replace tile roof","Closed-CC Issued","0","ePlan",
"ROF2022-08970","18210 OLD PELICAN BAY DR, FORT MYERS BEACH FL 33931","REMOVE EXISTING CONCRETE TILE, FLAT ROOF AND UNDERLAYMENT, REPLACE WITH METAL ROOF TILE UNDERLAYMENT AND SINGLE PLY TPO","Closed-CC Issued","0","ePlan",
"OCC2022-00633","1910 PARK MEADOWS DR, FORT MYERS FL 33907","Applied Behavior Analysis (Behavior Therapy for Children)","Closed-Cert of Use Issued","0",,
"ROF2022-08969","3614 13TH ST SW, LEHIGH ACRES FL 33976","Shingle Re-Roof","Closed-CC Issued","0","ePlan",
"FIR2022-02392","18351 PARKSVILLE DR, ESTERO FL 33928","Hook up existing natural gas meter with line to new generator.","Closed-CC Issued","0","ePlan",
"ELE2022-03947","1100 SHRIMP BOAT LN, FORT MYERS BEACH FL 33931","INSPECTED ELECTRICAL FOR FPL POWER RECONNECT. 1240 MAIN ST LOCATED ON PROPERTY WITH METERS CONNECTED TO FPL ACCOUNT 52547-10295 AND 02829-33456.1280 MAIN ST ALSO LOCATED ON PROPERTY WITH METERS CONNECTED TO FPL ACCOUNTS 58895-40299, 58895-40299 AND 84865-03322","Permit Expired","0","ePlan",
"RES2022-10672","12471 KELLY SANDS WAY, FORT MYERS FL 33908","Hurricane Ian repairs. replace drywall and insulation up to 4', replace electrical outlets, replace kitchens and bathroom cabinets and counters","Closed-CC Issued","0","Paper Submittal",
"PLU2022-00953","17480 OLD HARMONY DR, 102, FORT MYERS FL 33908","REPLACE EXISTING WATER HEATER LIKE FOR LIKE","Closed-Withdrawn","0","ePlan",
