1,7436 COBB RD,BOKEEL FL,IA,33922
2,12587 STONE TOWER LOOP,FORT MYE FL,RS,33913
3,5275 CYPRESS TRAIL RESORT CIR,FORT MYE FL,RS,33905
4,56 DOUBLOON WAY,FORT MYERS BEA FL,CH,33931
5,12995 S CLEVELAND AVE,FORT MYE FL,RS,33907
6,19451 S TAMIAMI TRL,111,RS,33908
7,1507 SUNKIST WAY,FORT MYE FL,RS,33905
8,2527 BAYSHORE DR,MATLAC FL,HA,33993
9,508 AVANTI WAY BLVD,NORTH FORT MYE FL,RS,33903
10,10720 ESSEX SQUARE BLVD,FORT MYE FL,RS,33913
11,4720 TERMINAL DR,Fort Myers,FL,33907
12,4720 TERMINAL DR,Fort Myers,FL,33907
13,16970 ALICO MISSION WAY,FORT MYE FL,RS,33908
14,1233 GRAMAC DR,NORTH FORT MYE FL,RS,33917
15,5690 TRAILWINDS DR,614,RS,33907
16,2405 E 2ND ST,LEHIGH ACR FL,ES,33936
17,2514 6TH ST W,LEHIGH ACR FL,ES,33971
18,3309 ROYAL CANADIAN TRCE,3,RS,33907
19,16424 TIMBERLAKES DR,203,RS,33908
20,5124 GENESEE PKWY,BOKEEL FL,IA,33922
21,1700 IXORA DR,NORTH FORT MYE FL,RS,33917
22,1235 SUMMA BLVD,LEHIGH ACR FL,ES,33974
23,3281 ORANGETREE BND,FORT MYE FL,RS,33905
24,15150 SWEETWATER CT,FORT MYE FL,RS,33912
25,8950 ALICO TRADE CENTER RD,FORT MYE FL,RS,33912
26,18630 LYNN RD,NORTH FORT MYE FL,RS,33917
27,5349 29TH ST SW,LEHIGH ACR FL,ES,33973
28,4120 STEAMBOAT BND E,404,RS,33919
29,4753 28TH ST SW,LEHIGH ACR FL,ES,33973
30,15802 CUTTE CT,FORT MYE FL,RS,33908
31,6932 ERIN MARIE CT,FORT MYE FL,RS,33919
32,902 HENRY AVE,LEHIGH ACR FL,ES,33972
33,12251 MATLACHA BLVD,MATLACHA ISL FL,ES,33991
34,16521 BAYLEAF LN,64,RS,33908
35,3 JUTE,AL FL,VA,33920
36,500 WINDMILL BLVD,NORTH FORT MYE FL,RS,33903
37,16317 GEMINI CT,LOT 595,RS,33908
38,17257 MEADOW LAKE CIR,FORT MYE FL,RS,33967
39,4753 27TH ST SW,LEHIGH ACR FL,ES,33973
40,2220 WOODLAND BLVD,FORT MYE FL,RS,33907
41,4749 27TH ST SW,LEHIGH ACR FL,ES,33973
42,416 CANDLEWICK CIR S,LEHIGH ACR FL,ES,33936
43,8925 ELLINGTON ST,FORT MYE FL,RS,33907
44,4624 15TH ST SW,LEHIGH ACR FL,ES,33973
45,274 BLUEBIRD DR,NORTH FORT MYE FL,RS,33917
46,3240 ELEANOR WAY,NORTH FORT MYE FL,RS,33917
47,4512 18TH ST SW,LEHIGH ACR FL,ES,33973
48,200 E JASMINE RD,LEHIGH ACR FL,ES,33936
49,15371 RIVER VISTA DR,801,RS,33917
50,1018 ACROFT AVE,LEHIGH ACR FL,ES,33971
51,14240 JETPORT LOOP W,FORT MYE FL,RS,33913
52,5981 ADELE CT,FORT MYE FL,RS,33919
53,817 UNGER AVE,FORT MYE FL,RS,33913
54,12 SERENDIPITY BLVD,NORTH FORT MYE FL,RS,33903
55,8500 ALOHA RD,FORT MYE FL,RS,33967
56,18384 HAWTHORNE RD,FORT MYE FL,RS,33967
57,5147 FLAMINGO DR,SAINT JAMES CI FL,TY,33956
58,1721 MARGATE BLVD,LEHIGH ACR FL,ES,33936
59,5997 SOUTH POINTE BLVD,C7,RS,33919
60,11710 ROSEMOUNT DR,FORT MYE FL,RS,33913
61,17880 BRYAN CT,FORT MYERS BEA FL,CH,33931
62,6696 FIESTA WAY,FORT MYE FL,RS,33919
63,6860 BROKEN ARROW RD,FORT MYE FL,RS,33912
64,1520 GILBERT AVE S,LEHIGH ACR FL,ES,33973
65,709 HIGHTOWER AVE S,LEHIGH ACR FL,ES,33973
66,316 SHORELAND DR,FORT MYE FL,RS,33905
67,2330 OLEANDER ST,SAINT JAMES CI FL,TY,33956
68,603 MOORE AVE,LEHIGH ACR FL,ES,33972
69,6688 BABCOCK ST,FORT MYE FL,RS,33966
70,79 GERTRUDE ST,FORT MYE FL,RS,33908
71,124 CORTEZ WAY,FORT MYERS BEA FL,CH,33931
72,11618 ROY TEE CIR,CAPE COR FL,AL,33991
73,16172 PORTO BELLO ST,BOKEEL FL,IA,33922
74,8105 LAKE SAN CARLOS CIR,FORT MYE FL,RS,33967
75,4901 PALM BEACH BLVD,FORT MYE FL,RS,33905
76,4409 28TH ST SW,LEHIGH ACR FL,ES,33973
77,16932 TIMBERLAKES DR,FORT MYE FL,RS,33908
78,5830 HARBOUR CLUB RD,FORT MYE FL,RS,33919
79,61 DOUBLOON WAY,FORT MYERS BEA FL,CH,33931
80,5010 ISLAND ACRES CT,SAINT JAMES CI FL,TY,33956
81,12681 CREEKSIDE LN,FORT MYE FL,RS,33919
82,12766 FAIRINGTON WAY,FORT MYE FL,RS,33913
83,1045 LA PALOMA BLVD,NORTH FORT MYE FL,RS,33903
84,564 HORIZON DR,NORTH FORT MYE FL,RS,33903
85,12070 SUMMERGATE CIR,202,RS,33913
86,11288 LAKELAND CIR,FORT MYE FL,RS,33913
87,3929 20TH ST W,LEHIGH ACR FL,ES,33971
88,4522 SEMINOLE ST,FORT MYE FL,RS,33905
89,9400 TREASURE LAKE CT,SAINT JAMES CI FL,TY,33956
90,20056 HARTFORD BLVD,ESTE FL,RO,33928
91,20108 KINGMONT DR,ESTE FL,RO,33928
92,1901 PARK MEADOWS DR,FORT MYE FL,RS,33907
93,8925 CREST LN,FORT MYE FL,RS,33907
94,6801 PORTO FINO CIR,H29,RS,33912
95,19809 BEECHCREST PL,ESTE FL,RO,33928
96,3490 NORTH KEY DR,115,RS,33903
97,13190 OAKMONT DR,7,RS,33907
98,3490 NORTH KEY DR,115,RS,33903
99,14601 AERIES WAY DR,FORT MYE FL,RS,33912
100,7625 MORGAN JONES DR,NORTH FORT MYE FL,RS,33917
101,4108 18TH ST SW,LEHIGH ACR FL,ES,33976
102,18200 BLUE EYE LOOP,FORT MYE FL,RS,33913
103,1063 HALBY AVE S,LEHIGH ACR FL,ES,33974
104,19521 THE PLACE BLVD,ESTE FL,RO,33928
105,3201 45TH ST SW,LEHIGH ACR FL,ES,33976
106,311 LABREE AVE S,LEHIGH ACR FL,ES,33974
107,18266 OAK RD,FORT MYE FL,RS,33967
108,5658 BALKAN CT,FORT MYE FL,RS,33919
109,3480 CELESTIAL WAY,NORTH FORT MYE FL,RS,33903
110,18694 SPRUCE DR W,FORT MYE FL,RS,33967
111,5545 TRAILWINDS DR,114,RS,33907
112,5124 GENESEE PKWY,BOKEEL FL,IA,33922
113,18180 BLUE EYE LOOP,FORT MYE FL,RS,33913
114,8650 WESLEYAN DR,05-17,RS,33919
115,3109 MOSS WAY,AL FL,VA,33920
116,9400 TREASURE LAKE CT,SAINT JAMES CI FL,TY,33956
117,17490 OLD HARMONY DR,201,RS,33908
118,16330 LAPWING LN,FORT MYE FL,RS,33908
119,13528 BLUE BAY CIR,FORT MYE FL,RS,33913
120,4724 22ND ST SW,LEHIGH ACR FL,ES,33973
121,7466 CYPRESS DR,BOKEEL FL,IA,33922
122,8678 LAKEFRONT CT,FORT MYE FL,RS,33908
123,16175 CUTTE CT,FORT MYE FL,RS,33908
124,7762 CAMERON CIR,FORT MYE FL,RS,33912
125,3414 35TH ST SW,LEHIGH ACR FL,ES,33976
126,13352 HAMPTON PARK CT,FORT MYE FL,RS,33913
127,413 HENRY AVE,LEHIGH ACR FL,ES,33972
128,17547 ROCKEFELLER CIR,FORT MYE FL,RS,33967
129,8795 LATEEN LN,104,RS,33919
130,16590 CYPRESS VILLA LN,FORT MYE FL,RS,33908
131,200 FELIX AVE N,LEHIGH ACR FL,ES,33971
