Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
EVO. Re-roof shingle to shingle,Closed-CC Issued,0,ePlan,,-81.825763991109,26.475459996898,2023-06-01
To construct a new single family home,Closed-CO Issued,2,ePlan,,-81.683937771034,26.668495367666,2023-06-01
To Construct a new single family home,Closed-CO Issued,2,ePlan,,-81.683918699716,26.66849571547,2023-06-01
replace system with new,Closed-CC Issued,0,ePlan,,-82.051971934848,26.640776830954,2023-06-01
REPLACE AC SYSTEM,Closed-CC Issued,0,ePlan,,-81.90305312776,26.48340785993,2023-06-01
To construct a new single family house,Closed-CO Issued,2,ePlan,,-81.683899628399,26.668496063275,2023-06-01
REPLACE AC SYSTEM,Closed-CC Issued,0,ePlan,,-81.902212241901,26.526643248746,2023-06-01
404 W 15TH ST - NEW SINGLE FAMILY HOME,Permit Issued,1,ePlan,,,,2023-06-01
RE-ROOF. TEAR OFF EXISTING ROOF & REPLACE with NEW SHINGLE ROOF.,Closed-CC Issued,0,ePlan,,-81.90666585228,26.737476910852,2023-06-01
"Installing 5 Standard Alum RD MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.728649683727,26.610005571996,2023-06-01
3400 E 14TH ST - NEW SINGLE FAMILY HOME,Permit Issued,2,ePlan,,,,2023-06-01
TEST FOR ACCELA CLOUD MIGRATION,Closed-Voided,0,ePlan,,-81.871327882364,26.64279423164,2023-06-01
IVR Payments Test,Closed-Voided,0,ePlan,,-81.871327882364,26.64279423164,2023-06-01
"17.325kW PV Roof Mounted Solar - 45 panels, 45 microinverters. Line side tap interconnection.",Closed-CC Issued,0,ePlan,,-81.671941972213,26.598855478957,2023-06-01
test,Closed-Voided,0,ePlan,,-81.871327882364,26.64279423164,2023-06-01
"Installing 2 Storm Catcher Rolldown Screens MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.893654627445,26.532471359883,2023-06-01
SINGLE FAMILY RESIDENCE,Closed-CO Issued,67,ePlan,,,,2023-06-01
SINGLE FAMILY RESIDENCE,Closed-CO Issued,67,ePlan,,,,2023-06-01
NEW SINGLE FAMILY HOME,Permit Issued,3,ePlan,,,,2023-06-01
