household_id_1,household_id_2,link_type,timestep
12071001903h1016,12071001903h1040,2,2022-07
12071001903h1016,12071001903h1643,2,2022-07
12071001903h1033,12071001903h1647,2,2022-07
12071001903h1040,12071001903h1643,2,2022-07
12071001912h591,12071001923h615,2,2022-07
12071001922h1188,12071001922h1214,2,2022-07
12071001922h1190,12071001922h533,2,2022-07
12071001922h1190,12071001922h549,2,2022-07
12071001922h1190,12071001922h920,2,2022-07
12071001922h1191,12071001922h527,2,2022-07
12071001922h1191,12071001922h542,2,2022-07
12071001922h1191,12071001922h548,2,2022-07
12071001922h1191,12071001922h575,2,2022-07
12071001922h1191,12071001922h581,2,2022-07
12071001922h1191,12071001922h582,2,2022-07
12071001922h1191,12071001922h914,2,2022-07
12071001922h1196,12071001922h1216,2,2022-07
12071001922h1196,12071001922h541,2,2022-07
12071001922h1196,12071001922h571,2,2022-07
12071001922h1196,12071001922h581,2,2022-07
12071001922h1196,12071001922h914,2,2022-07
12071001922h1196,12071001923h649,2,2022-07
12071001922h1199,12071001922h1205,2,2022-07
12071001922h1199,12071001922h543,2,2022-07
12071001922h1201,12071001922h548,2,2022-07
12071001922h1202,12071001922h543,2,2022-07
12071001922h1202,12071001922h575,2,2022-07
12071001922h1203,12071001922h534,2,2022-07
12071001922h1203,12071001922h549,2,2022-07
12071001922h1203,12071001922h564,2,2022-07
12071001922h1204,12071001922h539,2,2022-07
12071001922h1204,12071001922h578,2,2022-07
12071001922h1205,12071001922h1207,2,2022-07
12071001922h1205,12071001922h533,2,2022-07
12071001922h1205,12071001922h580,2,2022-07
12071001922h1207,12071001922h538,2,2022-07
12071001922h1207,12071001922h543,2,2022-07
12071001922h1207,12071001922h560,2,2022-07
12071001922h1207,12071001922h575,2,2022-07
12071001922h1207,12071001922h587,2,2022-07
12071001922h1207,12071001922h588,2,2022-07
12071001922h1209,12071001922h1258,2,2022-07
12071001922h1209,12071001922h559,2,2022-07
12071001922h1210,12071001922h1220,2,2022-07
12071001922h1210,12071001922h533,2,2022-07
12071001922h1210,12071001922h565,2,2022-07
12071001922h1210,12071001922h580,2,2022-07
12071001922h1210,12071001922h587,2,2022-07
12071001922h1210,12071001922h918,2,2022-07
12071001922h1211,12071001922h532,2,2022-07
12071001922h1211,12071001922h533,2,2022-07
12071001922h1211,12071001922h541,2,2022-07
12071001922h1211,12071001922h572,2,2022-07
12071001922h1214,12071001922h535,2,2022-07
12071001922h1214,12071001922h588,2,2022-07
12071001922h1216,12071001922h682,2,2022-07
12071001922h1216,12071001922h914,2,2022-07
12071001922h1217,12071001922h588,2,2022-07
12071001922h1220,12071001922h533,2,2022-07
12071001922h1220,12071001922h537,2,2022-07
12071001922h1220,12071001922h557,2,2022-07
12071001922h1220,12071001922h589,2,2022-07
12071001922h1258,12071001922h563,2,2022-07
12071001922h527,12071001922h564,2,2022-07
