Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date,original_lon,original_lat,mapping_distance_meters,mapped_to_sales_idx
Please change from shingle roof to 5V metal roof. No other changes. See attached product approval.,Closed-Revision Approved,4,ePlan,,-81.95527474054961,26.514547200360727,2021-08-01,-81.955326100343,26.514493643463,8.26034131531597,487
Install QTY 2 - LP Tanks and Line to Generator,Permit Expired,4,ePlan,,-81.95527474054961,26.514547200360727,2023-06-01,-81.955326100343,26.514493643463,8.26034131531597,487
Install Generator and Transfer Switch,Permit Expired,0,ePlan,,-81.95527474054961,26.514547200360727,2023-06-01,-81.955326100343,26.514493643463,8.26034131531597,487
REPLACE AC SYSTEM,Closed-CC Issued,0,ePlan,,-81.97120917773205,26.50835833307515,2022-12-01,-81.971213662691,26.508433501306,8.382608721958627,127
"Remove hurricane damaged tile and underlayment.Re-nail decking to code.  Install self adhered underlayment and flashing,  Install tile to manufacturers specifications.",Closed-CC Issued,0,ePlan,,-81.97120917773205,26.50835833307515,2023-03-01,-81.971213662691,26.508433501306,8.382608721958627,127
Remove damaged tile and underlayment.  Re-roof 14489/14491 Laguna Dr.,Closed-CC Issued,0,ePlan,,-81.95521141831065,26.52212457736828,2022-10-01,-81.955117086449,26.522117419227,10.531212727204634,131
Tile Roof Replacement,Closed-Withdrawn,0,ePlan,,-81.97125128897979,26.50796721532951,2023-03-01,-81.971354193056,26.507962936743,11.465179222584084,295
Recover 15 squares of tpo,Closed-Withdrawn,0,ePlan,,-81.9672667673895,26.511460855793803,2023-02-01,-81.96726992692,26.511351534666,12.174709465725531,1258
replace storm damaged pool enclosure,Closed-CO Issued,0,ePlan,,-81.96881568877104,26.506749156781687,2023-02-01,-81.968853179099,26.506854873143,12.486449222102161,323
Roof replacement,Closed-CC Issued,0,ePlan,,-81.9674965745915,26.511460962427275,2022-12-01,-81.967508252895,26.511349012703,12.529867635628728,1257
A/C CHANGE OUT 2 TON 14 SEER 5 KW RUUD PACKAGE UNIT PLUS DUCT REPLACEMENT LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.96711809872122,26.510855700970083,2022-11-01,-81.967093616029,26.510742123447,12.93385875320826,1245
aluminum roofover - hurricane damage,Closed-CC Issued,0,ePlan,,-81.96711809872122,26.510855700970083,2023-05-01,-81.967093616029,26.510742123447,12.93385875320826,1245
Remove all existing shingle and underlayment and reinstall all new shingles and underlayment,Closed-CC Issued,0,ePlan,,-81.96742124160846,26.51085527533973,2023-07-01,-81.967426871585,26.510738303907,13.0363337784151,1243
Tear off and reroof shingles,Closed-CC Issued,0,ePlan,,-81.96772245192312,26.511461119619806,2022-11-01,-81.967746578869,26.51134649074,13.04007706868438,1256
"Replace 125A  panel main breaker,  relocate panel from the closet to exterior.  New weatherhead and riser. Dual grounding.",Closed-CC Issued,0,ePlan,,-81.96717905056657,26.51206775557625,2023-08-01,-81.96721599274,26.51195579313,13.124582465310526,1272
RESIDENTIAL TILE REROOF LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.95464661068955,26.522719550453584,2022-11-01,-81.954766682794,26.522726937041,13.39169510881369,716
Demolition due to Hurricane Ian,Closed-CC Issued,0,Paper Submittal,,-81.96756292790437,26.51206763526887,2023-01-01,-81.967527043886,26.511952278435,13.448479724983585,1274
TEMP FEMA MHU W/ POWER POLE,Permit Issued,0,ePlan,,-81.96756292790437,26.51206763526887,2023-03-01,-81.967527043886,26.511952278435,13.448479724983585,1274
Siding on Mobile Home.,Closed-CC Issued,0,ePlan,,-81.96741092267527,26.51206799586277,2023-04-01,-81.9674492811,26.511953157109,13.478139101588289,1273
282.3 wood fence,Closed-CC Issued,0,ePlan,,-81.96741092267527,26.51206799586277,2023-07-01,-81.9674492811,26.511953157109,13.478139101588289,1273
RE-ROOF RES SF SHINGLE & MODIFIED BITUMEN,Closed-CC Issued,0,ePlan,,-81.95630790136202,26.510500271579566,2023-07-01,-81.956418998927,26.510551935045,13.639213603715117,860
"Reroof flat roof for mobile home.*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.96681892923012,26.51085478849913,2023-03-01,-81.966760360472,26.510745942988,13.759460342783957,1247
Move electrical service from broken pole to the side of the home.,Closed-CC Issued,0,ePlan,,-81.96681892923012,26.51085478849913,2023-07-01,-81.966760360472,26.510745942988,13.759460342783957,1247
