household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.7394801837105152,0.46200246224949276,0.25,0.5714285714285714,0.1615955399700061,0.5,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.9448297431462929,0.16531863443868433,0.0,0.8571428571428571,0.5059434196946091,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.5173143787684695,0.5577087542754781,0.5,0.5714285714285714,0.7503912341574452,0.0,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.4258743648123897,0.6280804244250253,0.0,0.8571428571428571,0.462511477928886,1.0,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.470398414269242,0.7510924579980698,0.0,0.7142857142857143,0.5579124615463282,0.25,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.2790043047406733,0.7907848344952723,0.75,0.14285714285714285,0.7772391545020768,0.0,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.29728527073418576,0.448300582964573,0.5,0.14285714285714285,0.07703251940951127,0.0,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.28552561994201703,0.8505772385623032,0.0,0.2857142857142857,0.17602664511833738,1.0,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.8091431088364135,0.9097944894887579,1.0,1.0,0.22560986199479105,1.0,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.5396054859936997,0.5400230666122736,0.0,0.8571428571428571,0.2157909220513606,1.0,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.5972851821985841,0.24333458831128968,0.0,0.5714285714285714,0.558418107095201,0.0,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.5574222667401988,0.8349710747431951,0.25,0.7142857142857143,0.19522304094748694,0.0,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.2347765645834436,0.21504012991820487,0.0,0.42857142857142855,0.346781273667927,0.5,39.1841983795166,-77.26015090942383
