household_id_1,household_id_2,link_type,timestep
41,14,2.0,0
41,31,2.0,0
41,21,2.0,0
12,36,1.0,0
12,48,2.0,0
12,31,2.0,0
12,45,2.0,0
8,50,2.0,0
8,15,1.0,0
8,35,2.0,0
8,45,2.0,0
40,43,2.0,0
40,30,2.0,0
40,10,2.0,0
40,32,2.0,0
40,38,2.0,0
4,33,2.0,0
4,18,2.0,0
4,13,1.0,0
4,10,2.0,0
4,15,2.0,0
4,2,2.0,0
17,5,2.0,0
17,19,2.0,0
17,18,2.0,0
17,30,2.0,0
17,9,2.0,0
17,46,2.0,0
17,50,2.0,0
17,10,2.0,0
5,11,1.0,0
5,48,2.0,0
5,50,2.0,0
37,33,2.0,0
37,29,2.0,0
34,19,2.0,0
49,46,2.0,0
49,35,1.0,0
49,22,2.0,0
49,42,2.0,0
19,29,2.0,0
19,30,2.0,0
19,16,2.0,0
19,42,2.0,0
20,18,2.0,0
20,27,2.0,0
20,29,2.0,0
33,9,2.0,0
33,31,1.0,0
47,18,2.0,0
47,39,2.0,0
47,46,2.0,0
47,50,2.0,0
47,23,2.0,0
18,14,2.0,0
18,21,2.0,0
18,32,2.0,0
18,42,1.0,0
25,14,2.0,0
25,6,2.0,0
39,28,2.0,0
39,31,2.0,0
39,42,2.0,0
27,50,2.0,0
27,15,1.0,0
29,13,2.0,0
14,9,2.0,0
14,48,2.0,0
14,13,2.0,0
14,31,2.0,0
14,23,2.0,0
14,45,2.0,0
30,16,1.0,0
30,36,2.0,0
30,46,2.0,0
30,38,1.0,0
16,36,1.0,0
16,50,1.0,0
16,21,2.0,0
16,22,2.0,0
16,3,2.0,0
24,7,2.0,0
24,15,2.0,0
24,35,2.0,0
24,3,1.0,0
24,26,2.0,0
36,48,2.0,0
36,13,2.0,0
36,7,1.0,0
28,13,2.0,0
28,10,2.0,0
28,2,1.0,0
9,38,2.0,0
9,23,2.0,0
9,2,2.0,0
11,50,2.0,0
11,32,2.0,0
48,10,2.0,0
48,32,2.0,0
48,42,2.0,0
13,46,2.0,0
46,3,2.0,0
50,15,2.0,0
50,22,2.0,0
10,42,2.0,0
31,38,2.0,0
31,26,2.0,0
21,6,2.0,0
7,15,1.0,0
44,32,2.0,0
32,26,2.0,0
38,35,2.0,0
38,26,2.0,0
22,3,2.0,0
22,42,2.0,0
3,45,2.0,0
3,42,2.0,0
41,12,2.0,1
41,29,2.0,1
41,13,2.0,1
12,5,2.0,1
12,33,2.0,1
12,39,2.0,1
12,29,2.0,1
