home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.16369837899201167,0.06535463234472824,0.04267439058934737,0.11319210676031327,0.10165798225225893,0.1450616546335987,0.03755664605915658,0.2372208556601815,0.36590320824139433,3.3874589260300023e-29,0.20747560077571345,0.4437899744252374,0.15623784135765284,0.19217040915806144,0.23136870339599477,0.22604751860523614,0.0013252073696179204,0.0695025996964038,0.007235310250892197,0.11135601638647018,0.13619704382199974,0.11758741509118091,0.0719969397325734,0.0029316507107487117,0.015754128248351398,0.10948514231881817,0.13842322681924835,0.22463461985856412,0.3043103644858319,0.167032274725234,0.2114820819653716,0.1660075203107956,0.22009602380983895,0.0906512863008868,0.13110202018907718,0.09791329757609074,0.11241937385740705,0.07797141185827808,0.027832707261202412,0.028169685940537793,0.10654012377414625,0.23342273210584985,0.1878800505867996,0.0019833367751086435,0.027574348085937003,0.20550332916424674,0.19314805914660338,0.058649369581443116,0.011743438957430045
dqcnc7hq,0.16369837899201167,1.0,0.5775568123569023,0.009474169559209341,0.32855603563231334,0.3470414567434692,0.47605258645888404,0.00857162654280442,0.016512964346290137,0.020956338968549097,7.907049527695303e-23,0.2736063697221541,0.45788273232138327,0.5716046110180397,0.0209073637616146,0.06726237290863639,0.3149467241588117,0.056949937436735855,0.07743842360014529,0.01063280095696388,0.48879274658934574,0.6326691803184984,0.5869054177403528,0.573697974111253,0.053314529544557336,0.22689433204728737,0.3799673478423394,0.088757161448915,0.917725376287363,0.14176127645552533,0.8772699361754824,0.06339655546946343,0.1383930738473058,0.9458808192365484,0.6419257562822881,0.6934299748486235,0.8326464941695019,0.037082813211843244,0.6656188438765424,0.32131872770866937,0.0056323273958334055,0.8593930984562383,0.056603254494434777,0.7155030515285568,0.04624826997564498,0.6437232049698335,0.020122920159826915,0.32036434203372516,0.6589668592905067,0.08882120391149001
dqcnc29k,0.06535463234472824,0.5775568123569023,1.0,0.008038488279394495,0.6694492171333186,0.7123744907085272,0.3355023419036995,0.01025448150605445,0.017418249253213686,0.009326211940099393,2.8304109090671684e-21,0.3183469074711975,0.20395137471785374,0.36304155015786416,0.02812867322463411,0.05923914221967384,0.556314790320115,0.09073364480493207,0.059120234738328635,0.017140753188519778,0.5238076516898068,0.696221831746609,0.5121066398346897,0.7696293081772995,0.0497622403970683,0.12150298784239845,0.11259047544479438,0.029526872565868157,0.42216846282318427,0.03563448413412206,0.6417417231998481,0.06383680780560837,0.05567780216451762,0.48149821837612367,0.24700537682487544,0.3078291509895499,0.39378044649897886,0.044231433752397555,0.7907974313203456,0.16314830903492106,0.00780041927329653,0.4666002671870615,0.017630397103549928,0.3401712540213685,0.05999522026484884,0.46738650851473684,0.004945554271260922,0.08659551788830486,0.28070792858835714,0.04584488260628779
dqcngqhc,0.04267439058934737,0.009474169559209341,0.008038488279394495,1.0,0.008521935341869723,0.02007666838571644,0.0028910632649141016,0.5961976665789209,0.34023992548616117,0.3491393242466385,7.163605012666585e-26,0.02707470106468807,0.13364035574209038,0.056214170879680135,0.020632724447105403,0.031368900340535015,0.044948709153090724,0.016252734602163026,0.08168937686105739,0.4602340193937214,0.05561329443253254,0.05911052114275894,0.05082521269390197,0.025445981472589564,0.05549338439702963,0.03612225350365503,0.05190757670332392,0.051102105747939594,0.00761125718255082,0.007812865753544191,0.02032334925056284,0.030047256845792496,0.046832189354052284,0.007920347927616235,0.024873334137187484,0.0077074635443136474,0.003935283277827119,0.0038152047797778035,0.021209113544389663,0.03342936506405186,0.5938587283302619,0.003772591271635733,0.3026541956619293,0.011181478396799623,0.014360173523346134,0.005707352285624845,0.03790546366429673,0.012326225437715142,0.002890206144849805,0.11498274081241061
dqcnbbdq,0.11319210676031327,0.32855603563231334,0.6694492171333186,0.008521935341869723,1.0,0.48297352472186217,0.4310330553995343,0.019272556937677154,0.04976295219917886,0.018471741836945953,9.383212953573258e-22,0.33774405026880555,0.18986715910196555,0.16630777714851105,0.03863942009298688,0.04222998897415407,0.5351028936729164,0.019883186284446776,0.03523031893373481,0.013428714547479001,0.26487440734595297,0.43189181017301487,0.2383761310534667,0.340481652840021,0.017199501032591956,0.028174915953439367,0.06239711284285777,0.05403768172947906,0.2947849572491891,0.018390657128261347,0.3905172748348838,0.04703180515488227,0.021083071704695325,0.33347650051051225,0.08356541856297253,0.11677869619136408,0.25951737577343365,0.032720187818335814,0.35081959073294794,0.03612297704942269,0.014620929843295915,0.3270610091291337,0.024604071948977888,0.14358809214122922,0.023069553598839887,0.15578237610970636,0.006227044369572191,0.030447182743264294,0.18134145555193867,0.017184548720254874
dqcncsjm,0.10165798225225893,0.3470414567434692,0.7123744907085272,0.02007666838571644,0.48297352472186217,1.0,0.179351381905048,0.01978796863877755,0.042741142632047605,0.022145882287127775,1.0374205147281127e-23,0.4704179970145911,0.18162180677465506,0.4061356777933989,0.11272362509850926,0.20518453738889036,0.8359799097192145,0.06633304134811822,0.1372881765349896,0.022549903511647606,0.6234662226480727,0.5740811212611125,0.539970593078403,0.7352412401286167,0.02569058515334389,0.09553708159223515,0.07084300898041931,0.013896122365747998,0.25117934816172677,0.07409184788557245,0.4718593760578454,0.225166553760187,0.1149725611519849,0.29197142963440187,0.17792308216301725,0.23307410593309585,0.15868008930642372,0.17356166633569517,0.6753193241005604,0.14086719747224763,0.017708899535656544,0.19577359003779982,0.019007604389599926,0.3035729141906789,0.040075284132102526,0.20650184939832425,0.007767636212132567,0.11527426593642089,0.09403041305800096,0.028945528554574433
dqcnbchm,0.1450616546335987,0.47605258645888404,0.3355023419036995,0.0028910632649141016,0.4310330553995343,0.179351381905048,1.0,0.00832763915797775,0.018155243480004548,0.011729323084784105,5.596173224411002e-22,0.40388671444841867,0.22040745735825729,0.2335979840574141,0.007078689752139033,0.014782195756114834,0.16731863529963142,0.011878798762307694,0.06129737944607526,0.002310651421377501,0.22974530075499894,0.23125902332656773,0.24339032106401054,0.17889647456207675,0.009940807515225294,0.04321678956144038,0.18653192489497095,0.06003086579406036,0.6320223603205533,0.03469935009644263,0.534146852543372,0.014505347028045405,0.01421614771976109,0.6267186558052908,0.16612638241018718,0.13217953571285773,0.6063324533601439,0.010829569017567778,0.2077339921810358,0.04389069456306551,0.005364782380110596,0.6511584946089917,0.023558072979184927,0.16092245509305556,0.032260418244475154,0.14266167492337312,0.003308426396201627,0.05054010411227689,0.5419025090208964,0.01810390783695124
dqcng43b,0.03755664605915658,0.00857162654280442,0.01025448150605445,0.5961976665789209,0.019272556937677154,0.01978796863877755,0.00832763915797775,1.0,0.44818101765974294,0.2275649693735172,1.7919124668479012e-23,0.05355741702516697,0.10801210934336193,0.04401517888813255,0.007954305545440457,0.009099391860840222,0.04098935488191654,0.014046644752203276,0.09743853984835411,0.31840450137664666,0.05336965590844315,0.049458255649987834,0.043953873260390644,0.018973890267346583,0.04274736351720607,0.020273952642916655,0.049879819617577724,0.0594310411622328,0.00851291826869902,0.0021804471281324104,0.023300774986587624,0.00917394554755003,0.008423547877796396,0.008716686473460944,0.014187138783407069,0.002966710276377615,0.005387298478287637,0.0012833044046000942,0.01574066737162425,0.012936959997324778,0.9742562302504119,0.005303084673268453,0.19995318743053234,0.004695800735850709,0.031057732474358505,0.0036557078793179243,0.008282201474892593,0.0031260152586308158,0.004672486379266062,0.07585356727217148
dqcnfpuz,0.2372208556601815,0.016512964346290137,0.017418249253213686,0.34023992548616117,0.04976295219917886,0.042741142632047605,0.018155243480004548,0.44818101765974294,1.0,0.6418225955905585,1.8149117152794e-27,0.09106742387856939,0.17493526030787213,0.04361433307102741,0.10441278717168248,0.0685986808851063,0.1235231283651778,0.001844894285807415,0.0615428917897467,0.08527656301626257,0.04936085570651021,0.060957292372829264,0.040564079849502534,0.02330461593591878,0.006029283235064794,0.006146012263952549,0.030150590381284755,0.08989251668790298,0.018800290289289576,0.016096291479632863,0.03136319483446469,0.06956589012876913,0.029757686090966885,0.019578281237113446,0.012735298943908997,0.008499198717616853,0.008141073431581094,0.01765048926536741,0.020466432005013472,0.0069791704757077066,0.42650697331668835,0.009145033070252558,0.27611170293807896,0.014308072372453205,0.003287235193903667,0.003587702602101884,0.06599501396759523,0.011502267417720903,0.005100510126300678,0.015221019993602357
dqcp473c,0.36590320824139433,0.020956338968549097,0.009326211940099393,0.3491393242466385,0.018471741836945953,0.022145882287127775,0.011729323084784105,0.2275649693735172,0.6418225955905585,1.0,1.2902936334538603e-29,0.04680557752933084,0.2633545831953489,0.051527449895575034,0.10780964318053492,0.10485010715228356,0.07336618397830652,0.0011387752576843743,0.04844339620685673,0.056655701913607054,0.03796420558691705,0.05165050901185847,0.037672584509184155,0.018247289067464593,0.005664953832355962,0.0093838663293175,0.053280947644966804,0.1434217101364703,0.02487016883580651,0.05672919247939398,0.029661666304717355,0.09536788965186603,0.09489181535815291,0.02450528508031023,0.024829615250402004,0.019157357042571706,0.009805553492650118,0.021060380680652382,0.017527256075967782,0.013389867269426897,0.1968938591434157,0.010001933725751224,0.557840230406826,0.029237229372431527,0.0014671508051296576,0.00470478498835292,0.2739239846304657,0.041284212350090735,0.006067231723099881,0.022068139260791517
