household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcngqhc,2.0,0
dqcp176g,dqcng43b,2.0,0
dqcp176g,dqcner94,2.0,0
dqcp176g,dqcp1ys8,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcp176g,dqcng4te,2.0,0
dqcp176g,dqcnfqc3,2.0,0
dqcp176g,dqcp1wg8,2.0,0
dqcnc7hq,dqcncfq5,2.0,0
dqcnc29k,dqcncdq7,2.0,0
dqcnc29k,dqcng4te,2.0,0
dqcnc29k,dqcne1qu,2.0,0
dqcnc29k,dqcnenmf,2.0,0
dqcngqhc,dqcncvkb,2.0,0
dqcngqhc,dqcncfq5,2.0,0
dqcngqhc,dqcnc0y3,2.0,0
dqcngqhc,dqcnfffs,2.0,0
dqcncsjm,dqcp473c,2.0,0
dqcncsjm,dqcncf4c,2.0,0
dqcncsjm,dqcncdq7,2.0,0
dqcncsjm,dqcnc78q,2.0,0
dqcnbchm,dqcng43b,2.0,0
dqcnbchm,dqcnc0y3,2.0,0
dqcng43b,dqcnfffs,2.0,0
dqcng43b,dqcn9r0y,2.0,0
dqcnfpuz,dqcncu6f,1.0,0
dqcnfpuz,dqcnfk5z,2.0,0
dqcnfpuz,dqcnc6tb,2.0,0
dqcnfpuz,dqcnc0y3,1.0,0
dqcnfpuz,dqcnenmf,2.0,0
dqcp473c,dqcncdq7,2.0,0
dqcp473c,dqcp1ys8,2.0,0
dqcp473c,dqcp4kgx,1.0,0
dqcp473c,dqcnc0y3,2.0,0
dqcp473c,dqcnfffs,2.0,0
dqcp473c,dqcnfqc3,2.0,0
dqcp473c,dqcp1wg8,2.0,0
dqchf7jt,dqcne6ct,2.0,0
dqchf7jt,dqcngjkj,2.0,0
dqchf7jt,dqcnc7bc,2.0,0
dqcncu6f,dqcnfk5z,2.0,0
dqcncu6f,dqcng06w,1.0,0
dqcncu6f,dqcnc6tb,2.0,0
dqcncu6f,dqcnfffs,2.0,0
dqcncu6f,dqcp1gxv,2.0,0
dqcncvkb,dqcner94,2.0,0
dqcncvkb,dqcncfq5,2.0,0
dqcncvkb,dqcncf6c,2.0,0
dqcncvkb,dqcne1qu,2.0,0
dqcnfk5z,dqcng06w,1.0,0
dqcnfk5z,dqcnf3uz,2.0,0
dqcnfk5z,dqcnenmf,2.0,0
dqcp1rx0,dqcp1z6r,2.0,0
dqcp1rx0,dqcnfffs,2.0,0
dqcp1rx0,dqcnenmf,2.0,0
dqcp1yv9,dqcne6ct,2.0,0
dqcp1yv9,dqcnc7bc,2.0,0
dqcp1yv9,dqcp4kgx,1.0,0
dqcp1yv9,dqcp1gxv,2.0,0
dqcnctbb,dqcnc78q,2.0,0
dqcnctbb,dqcnc0y3,2.0,0
dqcne6ct,dqcne4gy,2.0,0
dqcne6ct,dqcnf3uz,2.0,0
dqcne6ct,dqcncf6c,2.0,0
dqcne6ct,dqcncx6x,2.0,0
dqcner94,dqcnf6cg,2.0,0
dqcner94,dqcnf3uz,2.0,0
dqcner94,dqcng4te,1.0,0
dqcner94,dqcnfqc3,2.0,0
dqcnf6cg,dqcncf6c,1.0,0
dqcnf6cg,dqcnc0gn,2.0,0
dqcnf6cg,dqcnfqc3,2.0,0
dqcncf4c,dqcne4gy,2.0,0
dqcncf4c,dqcng06w,2.0,0
dqcnf6cj,dqcng06w,1.0,0
dqcnf6cj,dqcncf6c,2.0,0
dqcnf6cj,dqcnc0gn,2.0,0
dqcncfq5,dqcng06w,2.0,0
dqcncfq5,dqcp1z6r,2.0,0
dqcncfq5,dqcp4kgx,2.0,0
dqcncfq5,dqcnc0y3,2.0,0
dqcncfq5,dqcnc0gn,2.0,0
dqcncfq5,dqcne1qu,2.0,0
dqcncfq5,dqcn9xvx,2.0,0
dqcncfq5,dqcp1wg8,2.0,0
dqcne4gy,dqcnf3uz,2.0,0
dqcne4gy,dqcp1z6r,2.0,0
dqcne4gy,dqcnc0gn,2.0,0
dqcne4gy,dqcn9r0y,2.0,0
dqcng06w,dqcp1ys8,2.0,0
dqcng06w,dqcnc78q,2.0,0
dqcnc6tb,dqcncdq7,1.0,0
dqcnc6tb,dqcp4kgx,1.0,0
dqcnc6tb,dqcnf794,2.0,0
dqcnc6tb,dqcnfffs,2.0,0
dqcnc6tb,dqcp1gxv,1.0,0
dqcnc7bc,dqcp1z6r,2.0,0
dqcnc7bc,dqcnf794,2.0,0
dqcnc7bc,dqcnenmf,2.0,0
dqcp1z6r,dqcp1ys8,2.0,0
dqcp1z6r,dqcp1rzr,2.0,0
dqcncdq7,dqcn9xvx,2.0,0
dqcp1ys8,dqcp1gxv,2.0,0
dqcp4kgx,dqcn9xvx,2.0,0
dqcp4kgx,dqcp1wg8,2.0,0
dqcnf794,dqcne1qu,2.0,0
dqcnc0y3,dqcn9xvx,2.0,0
dqcnc0y3,dqcn9r0y,2.0,0
dqcp1rzr,dqcnc0gn,2.0,0
dqcnfffs,dqcng4te,2.0,0
dqcng4te,dqcp1wg8,2.0,0
dqcnfqc3,dqcn9r0y,2.0,0
dqcnfqc3,dqcnenmf,2.0,0
dqcn9xvx,dqcn9r0y,2.0,0
dqcp1wg8,dqcn9r0y,2.0,0
dqcp1wg8,dqcnenmf,2.0,0
dqcp176g,dqcnc29k,2.0,1
dqcp176g,dqcng43b,2.0,1
dqcp176g,dqcp1rx0,2.0,1
dqcp176g,dqcner94,2.0,1
dqcp176g,dqcp1rzr,2.0,1
dqcp176g,dqcnfqc3,2.0,1
dqcnc7hq,dqcnbbdq,2.0,1
dqcnc7hq,dqcp473c,2.0,1
dqcnc7hq,dqcncf4c,2.0,1
dqcnc7hq,dqcnf6cj,2.0,1
dqcnc7hq,dqcncfq5,2.0,1
dqcnc7hq,dqcncf6c,2.0,1
dqcnc7hq,dqcne1qu,2.0,1
dqcnc29k,dqcnfqc3,2.0,1
dqcnc29k,dqcne1qu,2.0,1
dqcnc29k,dqcnenmf,2.0,1
dqcngqhc,dqcncvkb,2.0,1
dqcngqhc,dqcp1ys8,2.0,1
dqcngqhc,dqcnc0y3,2.0,1
dqcngqhc,dqcnfffs,2.0,1
dqcnbbdq,dqcnf6cj,2.0,1
dqcnbbdq,dqcnc78q,2.0,1
dqcnbbdq,dqcn9r0y,2.0,1
