home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.1688610532044405,0.19059680282739244,0.09079541241165084,0.07174354267244536,0.12128141716807306,0.20472140389395005,0.04893213245482223,0.26479660918781894,0.6055593864945391,7.425720605745562e-29,0.3936489674697821,0.20935241169248,0.11206695161997823,0.6416659144354486,0.4852599232571575,0.05174758158700969,0.004993739494196093,0.0770991491744934,0.023562952315643187,0.10856616740524468,0.008517243071300716,0.2205800711717243,0.1061786617841158,0.0018616374441682954,0.04883474882858072,0.10719420734144326,0.33180531129948787,0.10332157223662616,0.3132171523032744,0.12621816692330215,0.558870476800912,0.46853108876269106,0.19240302765697398,0.007396659460228128,0.032633986083415195,0.1586440490178106,0.5820076794641668,0.13193321825162196,0.08717787343261546,0.05766429361707836,0.16681878952941145,0.36302232545091634,0.05054096712358832,0.002695058631884465,0.15586816198134124,0.5725863927101007,0.29708970163617765,0.05072056831730392,0.011970520077080379
dqcnc7hq,0.1688610532044405,1.0,0.6955221650542054,0.07352076553463402,0.7800531611240844,0.4303315483954653,0.6278422168805778,0.09354311363276933,0.29947950615681207,0.1082587468412567,1.975284158274047e-23,0.40903262518015593,0.8354332100464277,0.36780261031113765,0.0698706110442567,0.0704666078379617,0.03321024513388345,0.022351299893755148,0.043779856065034164,0.019993290130649335,0.05557925396591134,0.017373311921840152,0.11513915339425232,0.3034471668762613,0.012721037131189463,0.04528489783872761,0.49556184245317697,0.5288817043775054,0.526031116735393,0.06595552197187475,0.5086007467098879,0.07957963113758365,0.07545011592826774,0.9862543675377494,0.013105726358137651,0.049824214395622575,0.07891485866494644,0.03708089944631364,0.20695838457300264,0.06539620569913467,0.0885678165677794,0.09503518410353325,0.14783708248762914,0.008736274370366507,0.01392927874382242,0.1615639573343419,0.03001383350917336,0.020807132506324565,0.16104690564291532,0.04846159690072756
dqcnc29k,0.19059680282739244,0.6955221650542054,1.0,0.07785112442429148,0.5997739925618925,0.29116998939668076,0.8596182716017029,0.09867811138360892,0.25905383925516107,0.10477038745152073,2.450221836543237e-21,0.5827879595193184,0.49495448840094614,0.33567152885202195,0.055651990273546115,0.041037445810367765,0.043426399886400506,0.0613604536588643,0.06287900672196148,0.06641815833970764,0.1539585843156809,0.03314179162945636,0.3074078087790927,0.4447094676913971,0.03781735407603428,0.12345646427753809,0.4053083905314079,0.8811371469004803,0.37385138455371353,0.0403403813158078,0.5833057791659289,0.048100875504106334,0.05783341713231311,0.6747716674627584,0.020541052195966733,0.04355556172381748,0.3387747277390124,0.036975226287506976,0.4235716470981222,0.15554341425766904,0.10385337075945363,0.37972574785877117,0.2512606894015961,0.020476257257223924,0.05498980465317296,0.4700702727957374,0.04071423333326964,0.03842720898789002,0.4029452023145753,0.1043165435091809
dqcngqhc,0.09079541241165084,0.07352076553463402,0.07785112442429148,1.0,0.01489357152201988,0.07527859930430973,0.035074282136813156,0.4671602270811114,0.2328795079293995,0.36659905997873593,6.518699982537404e-25,0.2569087975663873,0.18994076185121153,0.2628813974512731,0.0474970319681548,0.0987657385063861,0.01471500928484058,0.17296279759638997,0.48918822880484253,0.36693479416111036,0.17112618469934535,0.007770345627253345,0.3320288584284273,0.1235432661878642,0.04918716593168634,0.4845958864191364,0.3539378982550111,0.1263022094754476,0.03340477737093747,0.05275328028321135,0.09916427501108041,0.1093530384202343,0.26607470302522296,0.061045861698900174,0.0135718946511496,0.010234227472587454,0.034615600025989866,0.03737883475854219,0.11139219031871306,0.40917102579419934,0.6383145034887583,0.030340816427580294,0.3739578110414459,0.010300041906061685,0.09259917318270092,0.10817087478399341,0.0507043440632117,0.07710086149146717,0.02192255386486718,0.2376529925701278
dqcnbbdq,0.07174354267244536,0.7800531611240844,0.5997739925618925,0.01489357152201988,1.0,0.2948881918758782,0.6950099283609446,0.03505518090032237,0.09126522510477345,0.02943136128762181,3.46503636731808e-22,0.2042015951752752,0.43129214678001887,0.128900046950346,0.019643070218227553,0.020667913310381775,0.01966835816161626,0.009317876888307892,0.010330799199757115,0.005462282727649856,0.0204252356347144,0.007995168291046826,0.04347779128901926,0.13709453231159185,0.0046069160051352195,0.013548420059316179,0.25666938717132987,0.352314924434947,0.40541960072909644,0.01477498616253499,0.2888348561195997,0.024502290590267928,0.018292953493734967,0.8068600015242234,0.0043166232950760984,0.024066852169442154,0.05745072819617086,0.009556938546427772,0.09445363844305871,0.017236608395343377,0.02867292906398143,0.07201491145560703,0.04280644832732317,0.003545574526650721,0.005625923815100998,0.11043127408025308,0.007449719477174186,0.005120747602504451,0.11932968384170739,0.014293901632448962
dqcncsjm,0.12128141716807306,0.4303315483954653,0.29116998939668076,0.07527859930430973,0.2948881918758782,1.0,0.29503714116933516,0.13686903838362913,0.11591946761282215,0.12096997255352147,2.538445168121468e-24,0.45007433413829034,0.4188472248059992,0.13291144798401022,0.03858998820518246,0.15287096713568485,0.31091007711388946,0.03681050450482665,0.15357279554019426,0.016976588699224693,0.11828143448662784,0.05607631315470441,0.07388682521448138,0.08669206315106145,0.01596862616141098,0.037359463719251675,0.3891757023554331,0.23375395287139641,0.7028533201956525,0.027900865916562857,0.2961309931555326,0.09836931652904511,0.15977234884102726,0.43624312975486523,0.04627273619530223,0.2183902707552494,0.03639504820572578,0.02090865720857928,0.06269369195515281,0.03492997175914165,0.11895733152577165,0.039681265242710886,0.08004162201833195,0.061153245447595365,0.007523117241457368,0.18855822547508222,0.017786774616231404,0.05033991629967667,0.06860553363037639,0.02039429358129391
dqcnbchm,0.20472140389395005,0.6278422168805778,0.8596182716017029,0.035074282136813156,0.6950099283609446,0.29503714116933516,1.0,0.07048632494071691,0.12991175010284767,0.08807526742055408,5.400095607546921e-22,0.43874887804478596,0.3679423451541471,0.14769749437747662,0.047387519646726994,0.045796222213009254,0.046493777005524296,0.026228788879929497,0.03164289760120675,0.025605399463206825,0.08367603893134046,0.01507324005619583,0.17410286103757958,0.20423943587335772,0.010143054299504892,0.05353170679659375,0.296952097440119,0.6918043610706618,0.33321259802753783,0.024888651646870145,0.33848819575152683,0.056403081051329886,0.04860153591485863,0.6626990699656401,0.007788245323412304,0.03043124268747652,0.27392915632946696,0.030479996287803478,0.2028375857148312,0.058811419136255295,0.06448405436169942,0.30850197824904796,0.1307936480808571,0.015851115699771337,0.017396436952255914,0.37854576578524124,0.03104187277330308,0.025948541357413098,0.22395675649910846,0.029870221337176404
dqcng43b,0.04893213245482223,0.09354311363276933,0.09867811138360892,0.4671602270811114,0.03505518090032237,0.13686903838362913,0.07048632494071691,1.0,0.05038311144220258,0.20634185787961415,1.0606745598217897e-22,0.19539538130330447,0.15825275438656677,0.07860742034225085,0.009156267358121974,0.06242656069187031,0.01906523708426083,0.25484532181342906,0.2586060546038779,0.2002841786255123,0.07899323755297583,0.0020328078049402995,0.16815393857188737,0.03619066845272998,0.018526323657522322,0.29174956147649694,0.5823165183961373,0.10220719223556135,0.03495316855601405,0.005909647433069017,0.04855802992627526,0.07951235498993188,0.12914344091974225,0.08340114690696968,0.002494425645932107,0.004115744890588869,0.026217443713262456,0.005886343022316191,0.03163279125992424,0.10654737899685329,0.9483716830344364,0.021659492206035975,0.09813628943142895,0.004006338371263379,0.06664314225233406,0.1372500613300856,0.007833423538482927,0.016071336826569065,0.00939057543233586,0.0740560631036271
dqcnfpuz,0.26479660918781894,0.29947950615681207,0.25905383925516107,0.2328795079293995,0.09126522510477345,0.11591946761282215,0.12991175010284767,0.05038311144220258,1.0,0.24005051661156437,2.883372829083253e-26,0.4114281382047056,0.4938261300739027,0.8026699205201576,0.31260907427337703,0.11106204066609711,0.019178478906812176,0.0193962415379641,0.1257287192895364,0.06531831343947525,0.14759497055348422,0.04386215336939865,0.274019011806157,0.634160526730732,0.03414558665740092,0.11597694503638763,0.20001111613903427,0.39448521933462616,0.18717032562780983,0.4722324483161893,0.5189379625924122,0.10972077882860605,0.19195295429362927,0.2685715736099616,0.055661253100440226,0.06622458360499008,0.08841217976016098,0.23693188983984448,0.5194303999743927,0.3353716331634305,0.07596486369116748,0.10292757556031401,0.6291081960446184,0.0240515682424006,0.02388812267009561,0.10840354283141213,0.23044358562918765,0.14323796848715498,0.19136482395004323,0.16724688397320928
dqcp473c,0.6055593864945391,0.1082587468412567,0.10477038745152073,0.36659905997873593,0.02943136128762181,0.12096997255352147,0.08807526742055408,0.20634185787961415,0.24005051661156437,1.0,1.1015435454818852e-28,0.3597069065859116,0.20987611926570543,0.12602795442052375,0.3542847035762268,0.618349594973671,0.04296525777288779,0.019425835692006066,0.2429680015259605,0.07527837597428585,0.13246133597646356,0.0050726433682062744,0.2713445066849925,0.07298357372489178,0.00379115722994605,0.13365856788249036,0.20634146065040193,0.19331937650643125,0.05649371949776491,0.20392617548187097,0.07985077193186683,0.717864964137065,0.8147867333533848,0.11289429460595482,0.006442044793762898,0.018688974713822956,0.06958167394846484,0.3095980116533198,0.08169013537900256,0.14917479320017582,0.24585523753009775,0.06473967671378984,0.40101661798296995,0.031820141035546604,0.007246270407410274,0.12778715957712522,0.3372663270254917,0.262842576034095,0.018452306255973678,0.02686118052323955
