household_id_1,household_id_2,link_type,timestep
41,12,2.0,0
41,8,2.0,0
41,17,2.0,0
41,37,2.0,0
41,34,2.0,0
41,49,2.0,0
41,20,2.0,0
41,43,1.0,0
41,36,2.0,0
41,46,1.0,0
41,10,2.0,0
41,44,2.0,0
41,45,2.0,0
12,40,2.0,0
12,5,2.0,0
12,49,2.0,0
12,20,2.0,0
12,33,2.0,0
12,29,2.0,0
12,14,2.0,0
12,16,2.0,0
12,9,2.0,0
12,10,2.0,0
12,44,2.0,0
12,32,2.0,0
12,6,2.0,0
12,3,2.0,0
12,2,2.0,0
12,26,2.0,0
8,4,1.0,0
8,49,2.0,0
8,1,2.0,0
8,19,1.0,0
8,33,2.0,0
8,47,2.0,0
8,18,1.0,0
8,16,2.0,0
8,36,2.0,0
8,10,2.0,0
8,15,2.0,0
8,38,2.0,0
8,3,1.0,0
40,4,2.0,0
40,33,1.0,0
40,31,2.0,0
40,15,2.0,0
40,45,2.0,0
4,19,1.0,0
4,11,2.0,0
4,13,2.0,0
4,10,2.0,0
4,38,2.0,0
4,42,2.0,0
17,33,2.0,0
17,25,2.0,0
17,27,1.0,0
17,30,2.0,0
17,36,2.0,0
17,46,1.0,0
17,50,2.0,0
17,31,2.0,0
17,35,2.0,0
17,45,2.0,0
5,34,2.0,0
5,33,2.0,0
5,25,2.0,0
5,16,2.0,0
5,9,2.0,0
5,10,2.0,0
5,31,2.0,0
5,35,2.0,0
5,22,2.0,0
37,19,2.0,0
37,30,2.0,0
37,21,2.0,0
37,32,2.0,0
37,38,2.0,0
34,49,2.0,0
34,20,2.0,0
34,16,2.0,0
34,48,2.0,0
34,13,2.0,0
34,46,2.0,0
34,7,2.0,0
34,23,2.0,0
34,45,2.0,0
34,2,2.0,0
49,19,2.0,0
49,25,2.0,0
49,27,2.0,0
49,11,2.0,0
49,31,2.0,0
49,7,2.0,0
49,22,2.0,0
49,26,2.0,0
19,20,2.0,0
19,33,2.0,0
19,25,2.0,0
19,29,2.0,0
19,14,2.0,0
19,9,2.0,0
19,38,2.0,0
19,35,1.0,0
19,26,2.0,0
20,25,2.0,0
20,27,2.0,0
20,30,1.0,0
20,36,2.0,0
20,48,2.0,0
20,21,2.0,0
20,32,2.0,0
20,45,2.0,0
33,18,2.0,0
33,25,2.0,0
33,39,2.0,0
33,16,2.0,0
33,44,2.0,0
43,25,2.0,0
43,48,2.0,0
43,46,2.0,0
43,10,2.0,0
43,7,1.0,0
43,44,2.0,0
43,32,2.0,0
43,45,2.0,0
47,29,2.0,0
47,14,2.0,0
47,24,2.0,0
47,21,2.0,0
47,6,2.0,0
47,45,2.0,0
47,26,2.0,0
18,16,2.0,0
18,48,2.0,0
18,50,2.0,0
18,31,2.0,0
18,23,2.0,0
25,39,2.0,0
25,16,2.0,0
25,11,2.0,0
25,50,2.0,0
25,7,2.0,0
39,29,2.0,0
39,14,2.0,0
39,24,2.0,0
39,13,2.0,0
39,31,1.0,0
39,35,2.0,0
39,3,2.0,0
39,45,2.0,0
39,2,2.0,0
27,30,2.0,0
27,9,2.0,0
27,11,2.0,0
27,48,2.0,0
27,15,2.0,0
27,35,2.0,0
29,16,2.0,0
29,46,2.0,0
29,10,2.0,0
29,31,2.0,0
29,21,2.0,0
29,44,2.0,0
29,32,2.0,0
29,23,2.0,0
29,26,2.0,0
14,28,2.0,0
14,48,2.0,0
14,50,2.0,0
14,10,2.0,0
14,44,2.0,0
14,35,2.0,0
14,3,1.0,0
14,26,2.0,0
30,24,2.0,0
30,36,1.0,0
30,11,2.0,0
30,50,2.0,0
30,7,2.0,0
30,44,2.0,0
30,15,1.0,0
30,6,2.0,0
30,23,2.0,0
16,36,2.0,0
16,48,2.0,0
16,10,2.0,0
16,44,2.0,0
16,15,2.0,0
16,23,2.0,0
16,3,2.0,0
16,45,2.0,0
16,26,2.0,0
24,44,2.0,0
24,15,2.0,0
24,26,2.0,0
36,9,1.0,0
36,46,2.0,0
36,31,2.0,0
28,31,1.0,0
28,35,1.0,0
28,26,1.0,0
9,11,2.0,0
9,21,2.0,0
9,15,2.0,0
9,2,2.0,0
11,22,2.0,0
48,10,2.0,0
48,31,2.0,0
48,7,2.0,0
48,38,2.0,0
48,3,2.0,0
48,45,2.0,0
13,46,2.0,0
13,44,2.0,0
13,32,2.0,0
13,3,2.0,0
46,21,1.0,0
46,15,2.0,0
46,35,2.0,0
46,22,2.0,0
46,42,2.0,0
50,21,2.0,0
50,15,2.0,0
50,32,2.0,0
50,38,2.0,0
50,6,2.0,0
50,45,2.0,0
50,42,1.0,0
10,21,2.0,0
10,44,2.0,0
10,32,2.0,0
10,3,2.0,0
10,2,2.0,0
31,15,2.0,0
31,32,2.0,0
31,6,2.0,0
31,23,2.0,0
31,42,2.0,0
31,26,2.0,0
21,35,2.0,0
21,22,2.0,0
7,42,2.0,0
15,6,2.0,0
15,26,2.0,0
32,2,2.0,0
38,42,2.0,0
6,22,2.0,0
35,23,2.0,0
35,42,2.0,0
22,3,2.0,0
3,42,2.0,0
3,26,2.0,0
42,26,2.0,0
41,12,2.0,1
41,37,2.0,1
41,34,2.0,1
41,49,2.0,1
41,20,2.0,1
41,43,1.0,1
41,36,2.0,1
41,46,1.0,1
41,10,2.0,1
41,44,2.0,1
41,45,2.0,1
12,40,2.0,1
12,5,2.0,1
12,34,2.0,1
12,49,2.0,1
12,20,2.0,1
12,33,2.0,1
12,29,2.0,1
12,14,2.0,1
12,16,2.0,1
12,9,2.0,1
12,10,2.0,1
12,44,2.0,1
12,32,2.0,1
12,6,2.0,1
12,3,2.0,1
12,2,2.0,1
12,26,2.0,1
8,4,1.0,1
8,19,1.0,1
8,18,1.0,1
8,3,1.0,1
40,4,2.0,1
40,33,1.0,1
40,31,2.0,1
40,15,2.0,1
40,45,2.0,1
4,19,1.0,1
4,11,2.0,1
4,13,2.0,1
4,10,2.0,1
4,38,2.0,1
4,42,2.0,1
17,27,1.0,1
17,46,1.0,1
5,34,2.0,1
5,33,2.0,1
5,43,2.0,1
5,25,2.0,1
5,16,2.0,1
5,9,2.0,1
5,46,2.0,1
5,10,2.0,1
5,31,2.0,1
5,35,2.0,1
5,22,2.0,1
37,19,2.0,1
37,30,2.0,1
37,21,2.0,1
37,32,2.0,1
37,38,2.0,1
34,49,2.0,1
34,20,2.0,1
34,16,2.0,1
34,48,2.0,1
34,13,2.0,1
34,46,2.0,1
34,7,2.0,1
34,15,2.0,1
34,23,2.0,1
34,45,2.0,1
34,42,2.0,1
34,2,2.0,1
49,19,2.0,1
49,25,2.0,1
49,27,2.0,1
49,36,2.0,1
49,11,2.0,1
49,31,2.0,1
49,7,2.0,1
49,22,2.0,1
49,26,2.0,1
19,20,2.0,1
19,33,2.0,1
19,47,2.0,1
19,25,2.0,1
19,29,2.0,1
19,14,2.0,1
19,9,2.0,1
19,38,2.0,1
19,35,1.0,1
19,3,2.0,1
19,26,2.0,1
20,25,2.0,1
20,27,2.0,1
20,30,1.0,1
20,36,2.0,1
20,48,2.0,1
20,21,2.0,1
20,32,2.0,1
20,45,2.0,1
33,25,2.0,1
33,16,2.0,1
33,44,2.0,1
43,25,2.0,1
43,48,2.0,1
43,46,2.0,1
43,10,2.0,1
43,7,1.0,1
43,44,2.0,1
43,32,2.0,1
43,45,2.0,1
47,29,2.0,1
47,14,2.0,1
47,24,2.0,1
47,21,2.0,1
47,6,2.0,1
47,45,2.0,1
47,26,2.0,1
25,16,2.0,1
25,11,2.0,1
25,50,2.0,1
25,31,2.0,1
25,7,2.0,1
39,31,1.0,1
27,30,2.0,1
27,9,2.0,1
27,11,2.0,1
27,48,2.0,1
27,15,2.0,1
27,35,2.0,1
29,16,2.0,1
29,46,2.0,1
29,10,2.0,1
29,31,2.0,1
29,21,2.0,1
29,44,2.0,1
29,32,2.0,1
29,23,2.0,1
29,26,2.0,1
14,48,2.0,1
14,50,2.0,1
14,10,2.0,1
14,44,2.0,1
14,15,2.0,1
14,35,2.0,1
14,3,1.0,1
14,26,2.0,1
30,24,2.0,1
30,36,1.0,1
30,11,2.0,1
30,50,2.0,1
30,7,2.0,1
30,44,2.0,1
30,15,1.0,1
30,6,2.0,1
30,23,2.0,1
16,36,2.0,1
16,48,2.0,1
16,10,2.0,1
16,44,2.0,1
16,15,2.0,1
16,23,2.0,1
16,3,2.0,1
16,45,2.0,1
16,26,2.0,1
24,44,2.0,1
24,15,2.0,1
24,26,2.0,1
36,9,1.0,1
36,46,2.0,1
36,31,2.0,1
28,31,1.0,1
28,35,1.0,1
28,26,1.0,1
9,11,2.0,1
9,21,2.0,1
9,15,2.0,1
9,2,2.0,1
11,22,2.0,1
48,10,2.0,1
48,31,2.0,1
48,7,2.0,1
48,38,2.0,1
48,3,2.0,1
48,45,2.0,1
13,46,2.0,1
13,44,2.0,1
13,32,2.0,1
13,3,2.0,1
46,21,1.0,1
46,15,2.0,1
46,35,2.0,1
46,22,2.0,1
46,42,2.0,1
50,21,2.0,1
50,15,2.0,1
50,32,2.0,1
