household_id,building_value,income,damage_level,population_scaled,age,race,community_dqchf7,community_dqcn9r,community_dqcn9x,community_dqcnbb,community_dqcnbc,community_dqcnc0,community_dqcnc2,community_dqcnc6,community_dqcnc7,community_dqcncd,community_dqcncf,community_dqcncs,community_dqcnct,community_dqcncu,community_dqcncv,community_dqcncw,community_dqcncx,community_dqcne1,community_dqcne4,community_dqcne6,community_dqcnen,community_dqcner,community_dqcnf3,community_dqcnf6,community_dqcnf7,community_dqcnff,community_dqcnfk,community_dqcnfp,community_dqcnfq,community_dqcng0,community_dqcng4,community_dqcngj,community_dqcngq,community_dqcp17,community_dqcp1g,community_dqcp1r,community_dqcp1w,community_dqcp1y,community_dqcp1z,community_dqcp47,community_dqcp4k
41,0.4748621127022222,0.2086283612352898,0.0,0.8571428571428571,0.5088324569420021,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,0.5457664827666111,0.7445038889371242,0.0,0.8571428571428571,0.1293073671499701,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0.5947004504470721,0.7780988353709903,0.0,0.8571428571428571,0.4216932489717887,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,0.549663660754192,0.0893687028500984,0.0,0.5714285714285714,0.7818778563573461,0.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,0.4839942240307074,0.8963025933623555,0.25,0.4285714285714285,0.7842007905173141,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0.4774224317346389,0.3332791095433284,1.0,0.4285714285714285,0.3141584842807816,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.5297341873635856,0.6278811070189421,0.0,0.4285714285714285,0.5384967596004107,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,0.5462234613945591,0.1537785462048856,0.0,0.1428571428571428,0.774769660716998,0.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
34,0.6891254544801874,0.3696723061565397,0.5,1.0,0.198331363928927,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,0.3693812105354853,0.6408198723655523,0.0,0.4285714285714285,0.1516217877475489,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
