time_step,dimension,dimension_name,household_i,household_j,p_ji_value
0,0,vacancy_state,dqcp176g,dqcnc7hq,4.748366886692053e-08
0,0,vacancy_state,dqcp176g,dqcnc29k,1.8996085880514227e-05
0,0,vacancy_state,dqcp176g,dqcncsjm,0.010003694225091543
0,0,vacancy_state,dqcp176g,dqcng43b,9.845120589598308e-06
0,0,vacancy_state,dqcp176g,dqcnfpuz,0.00043953506449819033
0,0,vacancy_state,dqcp176g,dqcp473c,1.0751004301664447e-06
0,0,vacancy_state,dqcp176g,dqcncvkb,1.1072783566087345e-08
0,0,vacancy_state,dqcp176g,dqcp1rx0,6.483748284204313e-08
0,0,vacancy_state,dqcp176g,dqcng06w,2.9530438102112205e-05
0,0,vacancy_state,dqcp176g,dqcp1ys8,4.2944053021174744e-09
0,0,vacancy_state,dqcp176g,dqcnc78q,1.5156840382487133e-11
0,0,vacancy_state,dqcp176g,dqcp1rzr,0.007766070143723141
0,0,vacancy_state,dqcp176g,dqcp1wg8,2.201071545621375e-08
0,0,vacancy_state,dqcnc7hq,dqcp176g,4.748366886692053e-08
0,0,vacancy_state,dqcnc7hq,dqcngqhc,1.7295676691696632e-14
0,0,vacancy_state,dqcnc7hq,dqcnbchm,3.470160718419942e-08
0,0,vacancy_state,dqcnc7hq,dqcp473c,0.346297720608932
0,0,vacancy_state,dqcnc7hq,dqcncvkb,2.9376675647433315e-10
0,0,vacancy_state,dqcnc7hq,dqcnfk5z,0.0032769035979976434
0,0,vacancy_state,dqcnc7hq,dqcnf6cg,3.0684206409315757e-12
0,0,vacancy_state,dqcnc7hq,dqcncf4c,0.0012475144859064333
0,0,vacancy_state,dqcnc7hq,dqcncfq5,6.158802176103992e-05
0,0,vacancy_state,dqcnc7hq,dqcnc6tb,0.00010257729646242114
0,0,vacancy_state,dqcnc7hq,dqcnc78q,0.003635102699968122
0,0,vacancy_state,dqcnc7hq,dqcp1rzr,2.564467556767332e-12
0,0,vacancy_state,dqcnc7hq,dqcnfffs,1.49049109397265e-20
0,0,vacancy_state,dqcnc7hq,dqcnc0gn,1.4101552502214773e-16
0,0,vacancy_state,dqcnc7hq,dqcn9xvx,7.6342035387381e-06
0,0,vacancy_state,dqcnc7hq,dqcn9r0y,3.2130474001460517e-09
