household_id_1,household_id_2,link_type,timestep
41,5,1.0,0
41,34,2.0,0
41,49,2.0,0
41,19,2.0,0
41,20,2.0,0
41,43,1.0,0
41,29,2.0,0
41,36,2.0,0
41,28,2.0,0
41,11,2.0,0
41,22,2.0,0
41,3,2.0,0
41,2,2.0,0
12,4,2.0,0
12,37,1.0,0
12,34,2.0,0
12,20,2.0,0
12,33,1.0,0
12,47,2.0,0
12,18,2.0,0
12,14,1.0,0
12,30,2.0,0
12,9,2.0,0
12,48,2.0,0
12,31,1.0,0
12,15,2.0,0
12,32,1.0,0
12,42,2.0,0
12,26,1.0,0
8,4,1.0,0
8,17,2.0,0
8,33,2.0,0
8,43,2.0,0
8,14,2.0,0
8,30,2.0,0
8,16,2.0,0
8,24,2.0,0
8,28,1.0,0
8,11,2.0,0
8,48,2.0,0
8,10,2.0,0
8,31,1.0,0
8,7,2.0,0
8,6,1.0,0
8,22,2.0,0
40,37,1.0,0
40,20,1.0,0
40,18,2.0,0
40,39,1.0,0
40,29,2.0,0
40,24,2.0,0
40,50,2.0,0
40,10,2.0,0
40,31,2.0,0
40,21,2.0,0
40,44,2.0,0
40,26,2.0,0
4,17,2.0,0
4,5,2.0,0
4,1,2.0,0
4,39,2.0,0
4,16,2.0,0
4,48,2.0,0
4,10,2.0,0
4,31,2.0,0
4,21,2.0,0
4,15,1.0,0
4,32,2.0,0
4,2,1.0,0
17,5,1.0,0
17,49,2.0,0
17,43,2.0,0
17,18,2.0,0
17,39,2.0,0
17,29,2.0,0
17,24,2.0,0
17,28,2.0,0
17,9,2.0,0
17,46,2.0,0
17,10,2.0,0
17,21,2.0,0
17,15,2.0,0
17,35,2.0,0
17,22,2.0,0
17,3,2.0,0
5,34,1.0,0
5,49,2.0,0
5,1,2.0,0
5,43,2.0,0
5,25,2.0,0
5,39,2.0,0
5,29,2.0,0
5,24,2.0,0
5,48,2.0,0
5,13,2.0,0
5,7,2.0,0
5,15,1.0,0
5,38,2.0,0
5,45,2.0,0
5,42,2.0,0
37,33,2.0,0
37,18,2.0,0
37,39,1.0,0
37,30,2.0,0
37,16,1.0,0
37,28,2.0,0
37,11,2.0,0
37,31,2.0,0
37,44,2.0,0
37,32,2.0,0
37,42,2.0,0
34,18,2.0,0
34,39,1.0,0
34,27,2.0,0
34,14,2.0,0
34,30,1.0,0
34,9,2.0,0
34,11,1.0,0
34,10,1.0,0
34,44,2.0,0
34,35,1.0,0
34,2,2.0,0
49,19,2.0,0
49,39,2.0,0
49,29,2.0,0
49,30,2.0,0
49,11,2.0,0
49,46,2.0,0
49,3,2.0,0
49,45,2.0,0
1,25,2.0,0
1,50,2.0,0
1,21,2.0,0
1,15,2.0,0
1,38,2.0,0
1,3,2.0,0
1,42,2.0,0
1,2,2.0,0
19,33,1.0,0
19,18,1.0,0
19,14,2.0,0
19,16,2.0,0
19,24,2.0,0
19,28,2.0,0
19,48,2.0,0
19,13,2.0,0
19,50,2.0,0
19,31,2.0,0
19,21,2.0,0
19,7,1.0,0
20,25,2.0,0
20,39,2.0,0
20,29,2.0,0
20,28,1.0,0
20,11,2.0,0
20,46,2.0,0
20,31,2.0,0
20,21,2.0,0
20,45,1.0,0
20,2,2.0,0
33,47,2.0,0
33,25,2.0,0
33,27,2.0,0
33,14,1.0,0
33,24,1.0,0
33,13,2.0,0
33,10,2.0,0
33,44,2.0,0
33,38,2.0,0
33,22,2.0,0
33,23,2.0,0
33,3,1.0,0
33,2,2.0,0
43,18,2.0,0
43,28,2.0,0
43,9,2.0,0
43,48,2.0,0
43,46,2.0,0
43,31,2.0,0
43,35,2.0,0
43,3,2.0,0
43,45,2.0,0
43,42,1.0,0
43,2,2.0,0
43,26,2.0,0
47,25,2.0,0
47,27,2.0,0
47,14,2.0,0
47,30,2.0,0
47,16,2.0,0
47,48,1.0,0
47,46,1.0,0
47,50,1.0,0
47,7,2.0,0
47,15,2.0,0
47,6,2.0,0
47,23,2.0,0
47,2,2.0,0
47,26,2.0,0
18,25,2.0,0
18,29,2.0,0
18,16,2.0,0
18,9,2.0,0
18,31,2.0,0
18,32,2.0,0
18,35,1.0,0
18,22,1.0,0
18,23,2.0,0
18,42,2.0,0
18,2,2.0,0
25,30,2.0,0
25,13,2.0,0
25,50,2.0,0
25,32,1.0,0
25,35,2.0,0
25,22,2.0,0
25,23,2.0,0
25,3,2.0,0
25,42,2.0,0
25,26,2.0,0
39,29,2.0,0
39,24,2.0,0
39,28,1.0,0
39,13,2.0,0
39,31,2.0,0
39,21,2.0,0
39,35,2.0,0
39,42,2.0,0
27,24,2.0,0
27,9,2.0,0
27,11,2.0,0
27,10,2.0,0
27,32,1.0,0
27,38,1.0,0
27,22,2.0,0
27,2,2.0,0
29,30,1.0,0
29,11,2.0,0
29,48,2.0,0
29,13,2.0,0
29,7,2.0,0
29,38,2.0,0
29,6,2.0,0
29,35,1.0,0
29,42,2.0,0
14,16,1.0,0
14,11,2.0,0
14,46,2.0,0
14,10,1.0,0
14,38,2.0,0
14,6,2.0,0
14,35,2.0,0
14,3,2.0,0
14,2,2.0,0
14,26,2.0,0
30,24,2.0,0
30,36,2.0,0
30,28,1.0,0
30,9,2.0,0
30,21,2.0,0
30,7,2.0,0
30,23,2.0,0
30,2,2.0,0
16,24,2.0,0
16,36,2.0,0
16,28,2.0,0
16,13,2.0,0
16,10,2.0,0
16,31,1.0,0
16,15,1.0,0
16,32,2.0,0
16,2,2.0,0
24,28,2.0,0
24,48,2.0,0
24,10,2.0,0
24,31,2.0,0
24,38,2.0,0
24,22,2.0,0
24,42,2.0,0
36,46,2.0,0
36,31,1.0,0
36,32,1.0,0
36,38,2.0,0
36,35,2.0,0
36,23,1.0,0
36,26,1.0,0
28,11,1.0,0
28,50,2.0,0
28,21,1.0,0
28,15,2.0,0
28,32,2.0,0
28,22,2.0,0
28,3,2.0,0
28,2,1.0,0
9,50,2.0,0
9,21,2.0,0
9,44,2.0,0
9,38,2.0,0
9,6,2.0,0
9,35,2.0,0
11,10,2.0,0
11,21,2.0,0
11,15,2.0,0
11,32,2.0,0
11,38,2.0,0
11,2,2.0,0
48,46,2.0,0
48,50,1.0,0
48,10,2.0,0
48,21,2.0,0
48,44,2.0,0
48,32,2.0,0
48,35,2.0,0
48,22,2.0,0
13,32,2.0,0
13,38,2.0,0
13,6,1.0,0
13,23,2.0,0
13,3,2.0,0
13,42,2.0,0
13,26,2.0,0
46,7,2.0,0
46,38,2.0,0
46,6,2.0,0
50,7,2.0,0
50,15,2.0,0
50,35,2.0,0
50,22,1.0,0
50,23,2.0,0
50,3,2.0,0
10,21,2.0,0
10,44,2.0,0
10,22,2.0,0
10,2,1.0,0
31,23,2.0,0
31,26,2.0,0
21,15,1.0,0
21,3,2.0,0
21,42,1.0,0
21,2,2.0,0
7,15,1.0,0
7,6,2.0,0
7,23,2.0,0
7,42,2.0,0
7,26,2.0,0
44,15,2.0,0
44,38,2.0,0
44,22,2.0,0
44,45,2.0,0
44,42,1.0,0
44,2,2.0,0
15,32,2.0,0
15,22,2.0,0
15,3,2.0,0
15,42,1.0,0
15,26,2.0,0
32,38,2.0,0
32,35,2.0,0
32,42,2.0,0
32,26,1.0,0
6,22,2.0,0
6,3,2.0,0
6,45,2.0,0
6,42,2.0,0
6,2,2.0,0
22,2,2.0,0
3,2,2.0,0
45,42,2.0,0
2,26,2.0,0
41,12,2.0,1
41,5,1.0,1
41,49,2.0,1
41,19,2.0,1
41,20,2.0,1
41,43,1.0,1
41,39,2.0,1
41,29,2.0,1
41,36,2.0,1
41,28,2.0,1
41,11,2.0,1
41,22,2.0,1
41,3,2.0,1
41,2,2.0,1
12,4,2.0,1
12,37,1.0,1
12,49,2.0,1
12,20,2.0,1
12,33,1.0,1
12,18,2.0,1
12,27,2.0,1
12,14,1.0,1
12,30,2.0,1
12,9,2.0,1
12,48,2.0,1
12,31,1.0,1
12,7,2.0,1
12,15,2.0,1
12,32,1.0,1
12,42,2.0,1
12,26,1.0,1
8,4,1.0,1
8,17,2.0,1
8,33,2.0,1
8,43,2.0,1
8,27,2.0,1
8,14,2.0,1
8,30,2.0,1
8,16,2.0,1
8,24,2.0,1
8,28,1.0,1
8,11,2.0,1
8,48,2.0,1
8,10,2.0,1
8,31,1.0,1
8,7,2.0,1
8,38,2.0,1
8,6,1.0,1
8,22,2.0,1
40,37,1.0,1
40,20,1.0,1
40,18,2.0,1
40,39,1.0,1
40,29,2.0,1
40,14,2.0,1
40,24,2.0,1
40,10,2.0,1
40,31,2.0,1
40,21,2.0,1
40,44,2.0,1
40,26,2.0,1
4,17,2.0,1
4,5,2.0,1
4,1,2.0,1
4,39,2.0,1
4,16,2.0,1
4,11,2.0,1
4,48,2.0,1
4,10,2.0,1
4,31,2.0,1
4,21,2.0,1
4,15,1.0,1
4,32,2.0,1
4,2,1.0,1
17,5,1.0,1
17,49,2.0,1
17,43,2.0,1
17,18,2.0,1
17,39,2.0,1
17,29,2.0,1
17,30,2.0,1
17,24,2.0,1
17,28,2.0,1
17,9,2.0,1
17,46,2.0,1
17,10,2.0,1
17,21,2.0,1
17,15,2.0,1
17,6,2.0,1
17,35,2.0,1
17,22,2.0,1
17,3,2.0,1
5,34,1.0,1
5,49,2.0,1
5,1,2.0,1
5,43,2.0,1
5,25,2.0,1
5,39,2.0,1
5,29,2.0,1
5,24,2.0,1
5,48,2.0,1
5,13,2.0,1
5,10,2.0,1
5,7,2.0,1
5,15,1.0,1
5,38,2.0,1
5,3,2.0,1
5,42,2.0,1
37,33,2.0,1
37,18,2.0,1
37,39,1.0,1
37,27,2.0,1
37,30,2.0,1
37,16,1.0,1
37,28,2.0,1
37,11,2.0,1
37,31,2.0,1
37,44,2.0,1
37,32,2.0,1
37,42,2.0,1
34,39,1.0,1
34,30,1.0,1
34,11,1.0,1
34,10,1.0,1
34,35,1.0,1
49,19,2.0,1
49,39,2.0,1
49,27,2.0,1
49,29,2.0,1
49,30,2.0,1
49,36,2.0,1
49,11,2.0,1
49,46,2.0,1
49,38,2.0,1
49,3,2.0,1
1,25,2.0,1
1,21,2.0,1
1,15,2.0,1
1,38,2.0,1
1,3,2.0,1
1,42,2.0,1
1,2,2.0,1
19,33,1.0,1
19,18,1.0,1
19,14,2.0,1
19,16,2.0,1
19,24,2.0,1
19,28,2.0,1
19,48,2.0,1
19,13,2.0,1
19,31,2.0,1
19,21,2.0,1
19,7,1.0,1
19,15,2.0,1
19,35,2.0,1
19,3,2.0,1
19,26,2.0,1
20,25,2.0,1
20,39,2.0,1
20,29,2.0,1
20,28,1.0,1
20,11,2.0,1
20,46,2.0,1
20,31,2.0,1
20,21,2.0,1
20,45,1.0,1
20,2,2.0,1
33,25,2.0,1
33,27,2.0,1
33,14,1.0,1
33,24,1.0,1
33,13,2.0,1
33,10,2.0,1
33,44,2.0,1
33,38,2.0,1
33,22,2.0,1
33,23,2.0,1
33,3,1.0,1
33,2,2.0,1
43,18,2.0,1
43,28,2.0,1
43,9,2.0,1
43,48,2.0,1
43,46,2.0,1
43,31,2.0,1
43,35,2.0,1
43,3,2.0,1
43,42,1.0,1
43,2,2.0,1
43,26,2.0,1
47,48,1.0,1
47,46,1.0,1
47,50,1.0,1
18,25,2.0,1
18,29,2.0,1
18,16,2.0,1
18,28,2.0,1
18,9,2.0,1
18,31,2.0,1
18,15,2.0,1
18,32,2.0,1
18,35,1.0,1
18,22,1.0,1
18,23,2.0,1
18,42,2.0,1
18,2,2.0,1
25,39,2.0,1
25,30,2.0,1
25,13,2.0,1
25,15,2.0,1
25,32,1.0,1
25,35,2.0,1
25,22,2.0,1
25,23,2.0,1
25,3,2.0,1
25,42,2.0,1
25,26,2.0,1
39,29,2.0,1
39,24,2.0,1
39,28,1.0,1
39,13,2.0,1
39,31,2.0,1
39,21,2.0,1
39,35,2.0,1
39,42,2.0,1
27,14,2.0,1
27,24,2.0,1
27,9,2.0,1
27,11,2.0,1
27,10,2.0,1
27,32,1.0,1
27,38,1.0,1
27,22,2.0,1
27,2,2.0,1
29,30,1.0,1
29,11,2.0,1
29,48,2.0,1
29,13,2.0,1
29,7,2.0,1
29,38,2.0,1
29,6,2.0,1
29,35,1.0,1
29,42,2.0,1
14,16,1.0,1
14,11,2.0,1
14,46,2.0,1
14,10,1.0,1
14,38,2.0,1
14,6,2.0,1
14,35,2.0,1
14,3,2.0,1
14,2,2.0,1
14,26,2.0,1
30,24,2.0,1
30,36,2.0,1
30,28,1.0,1
30,9,2.0,1
30,46,2.0,1
30,21,2.0,1
30,7,2.0,1
30,23,2.0,1
30,2,2.0,1
16,24,2.0,1
16,36,2.0,1
16,28,2.0,1
16,13,2.0,1
16,10,2.0,1
16,31,1.0,1
16,15,1.0,1
16,32,2.0,1
16,2,2.0,1
24,36,2.0,1
24,28,2.0,1
24,48,2.0,1
24,10,2.0,1
24,31,2.0,1
24,38,2.0,1
24,22,2.0,1
24,42,2.0,1
36,46,2.0,1
36,31,1.0,1
36,32,1.0,1
36,38,2.0,1
36,35,2.0,1
36,23,1.0,1
36,42,2.0,1
36,2,2.0,1
36,26,1.0,1
28,11,1.0,1
28,21,1.0,1
28,15,2.0,1
28,32,2.0,1
28,22,2.0,1
28,3,2.0,1
28,2,1.0,1
28,26,2.0,1
9,21,2.0,1
9,44,2.0,1
9,38,2.0,1
9,6,2.0,1
9,35,2.0,1
11,10,2.0,1
11,21,2.0,1
11,15,2.0,1
11,32,2.0,1
11,38,2.0,1
11,2,2.0,1
48,46,2.0,1
48,50,1.0,1
48,10,2.0,1
48,21,2.0,1
48,44,2.0,1
48,32,2.0,1
48,35,2.0,1
48,22,2.0,1
13,32,2.0,1
13,38,2.0,1
13,6,1.0,1
13,23,2.0,1
13,3,2.0,1
13,42,2.0,1
13,26,2.0,1
46,7,2.0,1
46,38,2.0,1
46,6,2.0,1
50,22,1.0,1
10,21,2.0,1
10,44,2.0,1
10,22,2.0,1
10,2,1.0,1
31,35,2.0,1
31,23,2.0,1
31,26,2.0,1
21,7,2.0,1
21,15,1.0,1
21,3,2.0,1
21,42,1.0,1
21,2,2.0,1
7,15,1.0,1
7,38,2.0,1
7,6,2.0,1
7,35,2.0,1
7,23,2.0,1
7,42,2.0,1
7,26,2.0,1
44,15,2.0,1
44,38,2.0,1
44,22,2.0,1
44,42,1.0,1
44,2,2.0,1
15,32,2.0,1
15,22,2.0,1
15,3,2.0,1
15,42,1.0,1
15,26,2.0,1
32,38,2.0,1
32,35,2.0,1
32,42,2.0,1
32,26,1.0,1
38,35,2.0,1
38,26,2.0,1
6,22,2.0,1
6,3,2.0,1
6,42,2.0,1
6,2,2.0,1
22,2,2.0,1
23,26,2.0,1
3,2,2.0,1
2,26,2.0,1
41,12,2.0,2
41,5,1.0,2
41,49,2.0,2
41,19,2.0,2
41,20,2.0,2
41,43,1.0,2
41,29,2.0,2
41,36,2.0,2
41,28,2.0,2
41,11,2.0,2
41,35,2.0,2
41,3,2.0,2
41,2,2.0,2
12,4,2.0,2
12,17,2.0,2
12,37,1.0,2
12,49,2.0,2
12,20,2.0,2
12,33,1.0,2
12,18,2.0,2
12,27,2.0,2
12,14,1.0,2
12,30,2.0,2
12,9,2.0,2
12,11,2.0,2
12,48,2.0,2
12,31,1.0,2
12,7,2.0,2
12,15,2.0,2
12,32,1.0,2
12,35,2.0,2
12,42,2.0,2
12,26,1.0,2
8,4,1.0,2
8,17,2.0,2
8,33,2.0,2
8,43,2.0,2
8,27,2.0,2
8,14,2.0,2
8,30,2.0,2
8,24,2.0,2
8,28,1.0,2
8,11,2.0,2
8,48,2.0,2
8,10,2.0,2
8,31,1.0,2
8,7,2.0,2
8,38,2.0,2
8,6,1.0,2
40,37,1.0,2
40,20,1.0,2
40,18,2.0,2
40,39,1.0,2
40,29,2.0,2
40,14,2.0,2
40,24,2.0,2
40,11,2.0,2
40,10,2.0,2
40,31,2.0,2
40,21,2.0,2
40,7,2.0,2
40,44,2.0,2
40,26,2.0,2
4,17,2.0,2
4,5,2.0,2
4,1,2.0,2
4,11,2.0,2
4,48,2.0,2
4,10,2.0,2
4,31,2.0,2
4,21,2.0,2
4,15,1.0,2
4,2,1.0,2
17,5,1.0,2
17,49,2.0,2
17,43,2.0,2
17,18,2.0,2
17,29,2.0,2
17,30,2.0,2
17,24,2.0,2
17,28,2.0,2
17,9,2.0,2
17,46,2.0,2
17,10,2.0,2
17,21,2.0,2
17,15,2.0,2
17,6,2.0,2
17,35,2.0,2
17,3,2.0,2
5,34,1.0,2
5,49,2.0,2
5,1,2.0,2
5,43,2.0,2
5,25,2.0,2
5,29,2.0,2
5,24,2.0,2
5,11,2.0,2
5,48,2.0,2
5,13,2.0,2
5,10,2.0,2
5,7,2.0,2
5,15,1.0,2
5,38,2.0,2
5,3,2.0,2
5,42,2.0,2
37,33,2.0,2
37,18,2.0,2
37,39,1.0,2
37,27,2.0,2
37,30,2.0,2
37,16,1.0,2
37,28,2.0,2
37,11,2.0,2
37,31,2.0,2
37,44,2.0,2
37,42,2.0,2
34,39,1.0,2
34,30,1.0,2
34,11,1.0,2
34,10,1.0,2
34,35,1.0,2
49,19,2.0,2
49,27,2.0,2
49,29,2.0,2
49,30,2.0,2
49,36,2.0,2
49,11,2.0,2
49,46,2.0,2
49,31,2.0,2
49,38,2.0,2
49,3,2.0,2
1,25,2.0,2
1,21,2.0,2
1,15,2.0,2
1,38,2.0,2
1,3,2.0,2
1,42,2.0,2
1,2,2.0,2
19,20,2.0,2
19,33,1.0,2
19,18,1.0,2
19,14,2.0,2
19,24,2.0,2
19,28,2.0,2
19,48,2.0,2
19,13,2.0,2
19,31,2.0,2
19,21,2.0,2
19,7,1.0,2
19,15,2.0,2
19,35,2.0,2
19,3,2.0,2
19,26,2.0,2
20,25,2.0,2
20,29,2.0,2
20,30,2.0,2
20,28,1.0,2
20,11,2.0,2
20,46,2.0,2
20,31,2.0,2
20,21,2.0,2
20,15,2.0,2
20,45,1.0,2
20,2,2.0,2
33,25,2.0,2
33,27,2.0,2
33,14,1.0,2
33,24,1.0,2
33,11,2.0,2
33,13,2.0,2
33,10,2.0,2
33,44,2.0,2
33,38,2.0,2
33,23,2.0,2
33,3,1.0,2
33,2,2.0,2
43,18,2.0,2
43,28,2.0,2
43,9,2.0,2
43,11,2.0,2
43,48,2.0,2
43,46,2.0,2
43,10,2.0,2
43,31,2.0,2
43,35,2.0,2
43,23,2.0,2
43,3,2.0,2
43,42,1.0,2
43,2,2.0,2
43,26,2.0,2
47,48,1.0,2
47,46,1.0,2
47,50,1.0,2
18,25,2.0,2
18,29,2.0,2
18,28,2.0,2
18,9,2.0,2
18,31,2.0,2
18,15,2.0,2
18,35,1.0,2
18,22,1.0,2
18,23,2.0,2
18,3,2.0,2
18,42,2.0,2
18,2,2.0,2
25,27,2.0,2
25,14,2.0,2
25,30,2.0,2
25,13,2.0,2
25,15,2.0,2
25,32,1.0,2
25,38,2.0,2
25,35,2.0,2
25,23,2.0,2
25,3,2.0,2
25,42,2.0,2
25,26,2.0,2
39,28,1.0,2
27,14,2.0,2
27,24,2.0,2
27,9,2.0,2
27,11,2.0,2
27,10,2.0,2
27,31,2.0,2
27,32,1.0,2
27,38,1.0,2
27,2,2.0,2
29,30,1.0,2
29,9,2.0,2
29,11,2.0,2
29,48,2.0,2
29,13,2.0,2
29,7,2.0,2
29,38,2.0,2
29,6,2.0,2
29,35,1.0,2
29,42,2.0,2
14,16,1.0,2
14,28,2.0,2
14,11,2.0,2
14,46,2.0,2
14,10,1.0,2
14,7,2.0,2
14,38,2.0,2
14,6,2.0,2
14,35,2.0,2
14,3,2.0,2
14,2,2.0,2
14,26,2.0,2
30,24,2.0,2
30,36,2.0,2
30,28,1.0,2
30,9,2.0,2
30,46,2.0,2
30,21,2.0,2
30,7,2.0,2
30,23,2.0,2
30,2,2.0,2
16,31,1.0,2
16,15,1.0,2
24,36,2.0,2
24,28,2.0,2
24,48,2.0,2
24,10,2.0,2
24,31,2.0,2
24,38,2.0,2
24,42,2.0,2
36,46,2.0,2
36,31,1.0,2
36,32,1.0,2
36,38,2.0,2
36,35,2.0,2
36,23,1.0,2
36,3,2.0,2
36,42,2.0,2
36,2,2.0,2
