household_id,building_value,income,damage_level,population_scaled,age,race,community_dqchf7,community_dqcn9r,community_dqcn9x,community_dqcnbb,community_dqcnbc,community_dqcnc0,community_dqcnc2,community_dqcnc6,community_dqcnc7,community_dqcncd,community_dqcncf,community_dqcncs,community_dqcnct,community_dqcncu,community_dqcncv,community_dqcncw,community_dqcncx,community_dqcne1,community_dqcne4,community_dqcne6,community_dqcnen,community_dqcner,community_dqcnf3,community_dqcnf6,community_dqcnf7,community_dqcnff,community_dqcnfk,community_dqcnfp,community_dqcnfq,community_dqcng0,community_dqcng4,community_dqcngj,community_dqcngq,community_dqcp17,community_dqcp1g,community_dqcp1r,community_dqcp1w,community_dqcp1y,community_dqcp1z,community_dqcp47,community_dqcp4k
41,0.4331771014062558,0.4975248747072797,0.0,0.1428571428571428,0.6006085064595748,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,0.6192836610382504,0.1562371471747442,0.0,0.7142857142857143,0.6196544829919859,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0.5325910448080058,0.3920455915745135,0.25,0.8571428571428571,0.8040386405254892,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,0.2898340515909793,0.513868680320911,0.0,0.4285714285714285,0.174888008645925,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,0.663349633232891,0.3197463487860961,0.0,1.0,0.2238389002650027,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0.7160036312344825,0.5037121051826626,0.25,0.7142857142857143,0.8720341781480276,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.5421039913462713,0.5022884843738431,1.0,0.7142857142857143,0.7933758221606564,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,0.382538624014181,0.4249711382243507,0.25,1.0,0.8957250482145687,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
34,0.5022223009920774,0.5940245569567777,0.5,0.8571428571428571,0.7755534994694494,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,0.958499745214237,0.2393539029931904,0.0,0.4285714285714285,0.4522864652517873,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
