time_step,dimension,dimension_name,p_ji_nonzero_mean,nonzero_count
0,0,vacancy_state,0.013160891675384015,738
0,1,repair_state,0.013160891675384015,738
0,2,sales_state,0.013160891675384015,738
1,0,vacancy_state,0.018232324196894564,738
1,1,repair_state,0.018232324196894564,738
1,2,sales_state,0.018232324196894564,738
2,0,vacancy_state,0.019483942721422762,702
2,1,repair_state,0.019483942721422762,702
2,2,sales_state,0.019483942721422762,702
3,0,vacancy_state,0.020066759316393044,682
3,1,repair_state,0.020066759316393044,682
3,2,sales_state,0.020066759316393044,682
4,0,vacancy_state,0.023578341175783425,704
4,1,repair_state,0.023578341175783425,704
4,2,sales_state,0.023578341175783425,704
5,0,vacancy_state,0.024977211457245536,710
5,1,repair_state,0.024977211457245536,710
5,2,sales_state,0.024977211457245536,710
6,0,vacancy_state,0.029868599663656653,670
6,1,repair_state,0.029868599663656653,670
6,2,sales_state,0.029868599663656653,670
7,0,vacancy_state,0.02925493769891034,682
7,1,repair_state,0.02925493769891034,682
7,2,sales_state,0.02925493769891034,682
8,0,vacancy_state,0.028915776789628648,690
8,1,repair_state,0.028915776789628648,690
8,2,sales_state,0.028915776789628648,690
9,0,vacancy_state,0.029769763980981565,670
9,1,repair_state,0.029769763980981565,670
9,2,sales_state,0.029769763980981565,670
10,0,vacancy_state,0.029566052508137583,686
10,1,repair_state,0.029566052508137583,686
10,2,sales_state,0.029566052508137583,686
11,0,vacancy_state,0.030171593110745035,670
11,1,repair_state,0.030171593110745035,670
11,2,sales_state,0.030171593110745035,670
12,0,vacancy_state,0.031364949025716335,636
12,1,repair_state,0.031364949025716335,636
12,2,sales_state,0.031364949025716335,636
13,0,vacancy_state,0.03126662661877565,638
13,1,repair_state,0.03126662661877565,638
13,2,sales_state,0.03126662661877565,638
14,0,vacancy_state,0.03143241227827542,644
14,1,repair_state,0.03143241227827542,644
14,2,sales_state,0.03143241227827542,644
15,0,vacancy_state,0.03143241227827542,644
15,1,repair_state,0.03143241227827542,644
15,2,sales_state,0.03143241227827542,644
16,0,vacancy_state,0.03114227579517564,650
16,1,repair_state,0.03114227579517564,650
16,2,sales_state,0.03114227579517564,650
17,0,vacancy_state,0.030883810039786953,656
17,1,repair_state,0.030883810039786953,656
17,2,sales_state,0.030883810039786953,656
18,0,vacancy_state,0.030238498616963844,670
18,1,repair_state,0.030238498616963844,670
18,2,sales_state,0.030238498616963844,670
19,0,vacancy_state,0.029996070767685207,684
19,1,repair_state,0.029996070767685207,684
19,2,sales_state,0.029996070767685207,684
20,0,vacancy_state,0.03003298237120265,688
20,1,repair_state,0.03003298237120265,688
20,2,sales_state,0.03003298237120265,688
21,0,vacancy_state,0.02977343489269444,694
21,1,repair_state,0.02977343489269444,694
21,2,sales_state,0.02977343489269444,694
22,0,vacancy_state,0.029434156235828818,702
22,1,repair_state,0.029434156235828818,702
22,2,sales_state,0.029434156235828818,702
