household_id_1,household_id_2,link_type,timestep
41,5,1.0,0
41,20,2.0,0
41,36,2.0,0
41,11,2.0,0
41,22,2.0,0
12,37,1.0,0
12,33,1.0,0
12,30,2.0,0
12,31,1.0,0
8,17,2.0,0
8,33,2.0,0
8,16,2.0,0
8,11,2.0,0
8,10,2.0,0
8,31,1.0,0
8,22,2.0,0
40,39,1.0,0
40,24,2.0,0
40,50,2.0,0
40,10,2.0,0
40,31,2.0,0
40,44,2.0,0
40,26,2.0,0
4,17,2.0,0
4,1,2.0,0
4,39,2.0,0
4,16,2.0,0
4,32,2.0,0
17,5,1.0,0
17,49,2.0,0
17,43,2.0,0
17,18,2.0,0
17,29,2.0,0
17,9,2.0,0
17,46,2.0,0
17,21,2.0,0
17,15,2.0,0
5,34,1.0,0
5,49,2.0,0
5,1,2.0,0
5,25,2.0,0
5,39,2.0,0
5,29,2.0,0
5,13,2.0,0
37,33,2.0,0
37,18,2.0,0
37,16,1.0,0
37,28,2.0,0
37,31,2.0,0
37,32,2.0,0
37,42,2.0,0
34,39,1.0,0
34,27,2.0,0
34,10,1.0,0
34,44,2.0,0
34,2,2.0,0
49,29,2.0,0
49,11,2.0,0
49,46,2.0,0
1,25,2.0,0
1,21,2.0,0
1,38,2.0,0
1,3,2.0,0
1,42,2.0,0
19,33,1.0,0
19,14,2.0,0
19,16,2.0,0
19,24,2.0,0
19,13,2.0,0
19,50,2.0,0
19,31,2.0,0
19,21,2.0,0
20,25,2.0,0
20,39,2.0,0
20,28,1.0,0
20,46,2.0,0
33,25,2.0,0
33,27,2.0,0
33,2,2.0,0
43,18,2.0,0
43,48,2.0,0
43,46,2.0,0
43,31,2.0,0
43,3,2.0,0
43,45,2.0,0
43,42,1.0,0
43,26,2.0,0
47,30,2.0,0
47,16,2.0,0
47,7,2.0,0
47,15,2.0,0
47,6,2.0,0
47,23,2.0,0
47,26,2.0,0
18,29,2.0,0
18,16,2.0,0
18,9,2.0,0
18,35,1.0,0
18,42,2.0,0
25,30,2.0,0
25,13,2.0,0
25,32,1.0,0
25,35,2.0,0
25,22,2.0,0
25,23,2.0,0
25,42,2.0,0
25,26,2.0,0
39,29,2.0,0
39,24,2.0,0
39,21,2.0,0
39,35,2.0,0
39,42,2.0,0
27,9,2.0,0
27,11,2.0,0
27,32,1.0,0
29,11,2.0,0
29,48,2.0,0
29,13,2.0,0
29,7,2.0,0
14,11,2.0,0
14,46,2.0,0
14,10,1.0,0
14,6,2.0,0
14,35,2.0,0
14,3,2.0,0
14,2,2.0,0
30,24,2.0,0
30,36,2.0,0
30,9,2.0,0
30,23,2.0,0
16,28,2.0,0
16,10,2.0,0
16,32,2.0,0
16,2,2.0,0
24,48,2.0,0
24,10,2.0,0
24,31,2.0,0
24,38,2.0,0
36,46,2.0,0
36,32,1.0,0
36,23,1.0,0
28,50,2.0,0
28,21,1.0,0
28,22,2.0,0
28,3,2.0,0
28,2,1.0,0
9,21,2.0,0
9,44,2.0,0
9,38,2.0,0
11,21,2.0,0
11,2,2.0,0
13,32,2.0,0
13,6,1.0,0
13,23,2.0,0
13,42,2.0,0
13,26,2.0,0
50,7,2.0,0
50,15,2.0,0
50,35,2.0,0
50,22,1.0,0
50,3,2.0,0
10,21,2.0,0
10,22,2.0,0
10,2,1.0,0
21,42,1.0,0
21,2,2.0,0
7,15,1.0,0
7,23,2.0,0
7,42,2.0,0
44,22,2.0,0
44,45,2.0,0
44,42,1.0,0
44,2,2.0,0
15,32,2.0,0
15,22,2.0,0
15,3,2.0,0
15,42,1.0,0
32,35,2.0,0
32,42,2.0,0
32,26,1.0,0
6,3,2.0,0
6,42,2.0,0
22,2,2.0,0
45,42,2.0,0
2,26,2.0,0
41,5,1.0,1
41,49,2.0,1
41,28,2.0,1
41,2,2.0,1
12,20,2.0,1
12,33,1.0,1
12,18,2.0,1
12,30,2.0,1
12,9,2.0,1
12,15,2.0,1
12,42,2.0,1
8,17,2.0,1
8,27,2.0,1
8,30,2.0,1
8,28,1.0,1
8,11,2.0,1
8,48,2.0,1
8,10,2.0,1
8,31,1.0,1
8,22,2.0,1
40,20,1.0,1
40,39,1.0,1
40,14,2.0,1
40,24,2.0,1
40,10,2.0,1
40,31,2.0,1
40,21,2.0,1
40,44,2.0,1
40,26,2.0,1
4,17,2.0,1
4,5,2.0,1
4,1,2.0,1
4,21,2.0,1
4,15,1.0,1
4,32,2.0,1
17,5,1.0,1
17,18,2.0,1
17,39,2.0,1
17,30,2.0,1
17,24,2.0,1
17,46,2.0,1
17,21,2.0,1
17,6,2.0,1
17,35,2.0,1
17,22,2.0,1
5,1,2.0,1
5,25,2.0,1
5,39,2.0,1
5,29,2.0,1
5,24,2.0,1
5,48,2.0,1
5,13,2.0,1
5,3,2.0,1
37,33,2.0,1
37,39,1.0,1
37,30,2.0,1
37,28,2.0,1
37,11,2.0,1
37,31,2.0,1
37,32,2.0,1
34,39,1.0,1
34,10,1.0,1
34,35,1.0,1
49,19,2.0,1
49,36,2.0,1
49,11,2.0,1
