household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcnbchm,1.0,0
dqcp176g,dqcncvkb,2.0,0
dqcp176g,dqcng06w,2.0,0
dqcp176g,dqcnc7bc,2.0,0
dqcp176g,dqcncx6x,2.0,0
dqcnc7hq,dqcng43b,1.0,0
dqcnc7hq,dqcnfk5z,1.0,0
dqcnc7hq,dqcnf6cj,2.0,0
dqcnc7hq,dqcnf794,1.0,0
dqcnc29k,dqcncsjm,2.0,0
dqcnc29k,dqcnfk5z,2.0,0
dqcnc29k,dqcncfq5,2.0,0
dqcnc29k,dqcnc7bc,2.0,0
dqcnc29k,dqcnc78q,2.0,0
dqcnc29k,dqcnf794,1.0,0
dqcnc29k,dqcncx6x,2.0,0
dqcngqhc,dqcngjkj,1.0,0
dqcngqhc,dqcne4gy,2.0,0
dqcngqhc,dqcp4kgx,2.0,0
dqcngqhc,dqcnc78q,2.0,0
dqcngqhc,dqcnf794,2.0,0
dqcngqhc,dqcp1rzr,2.0,0
dqcngqhc,dqcnenmf,2.0,0
dqcnbbdq,dqcncsjm,2.0,0
dqcnbbdq,dqchf7jt,2.0,0
dqcnbbdq,dqcngjkj,2.0,0
dqcnbbdq,dqcncfq5,2.0,0
dqcnbbdq,dqcnfffs,2.0,0
dqcncsjm,dqcnbchm,1.0,0
dqcncsjm,dqcp473c,2.0,0
dqcncsjm,dqcp1rx0,2.0,0
dqcncsjm,dqcnctbb,2.0,0
dqcncsjm,dqcnf6cg,2.0,0
dqcncsjm,dqcnc6tb,2.0,0
dqcncsjm,dqcp1ys8,2.0,0
dqcncsjm,dqcncwc5,2.0,0
dqcncsjm,dqcncf6c,2.0,0
dqcnbchm,dqcnfpuz,1.0,0
dqcnbchm,dqcp473c,2.0,0
dqcnbchm,dqchf7jt,2.0,0
dqcnbchm,dqcne6ct,2.0,0
dqcnbchm,dqcngjkj,2.0,0
dqcnbchm,dqcnf6cg,2.0,0
dqcnbchm,dqcncdq7,2.0,0
dqcng43b,dqcnfk5z,2.0,0
dqcng43b,dqcnctbb,2.0,0
dqcng43b,dqcncfq5,1.0,0
dqcng43b,dqcnf3uz,2.0,0
dqcng43b,dqcnf794,2.0,0
dqcng43b,dqcnfffs,2.0,0
dqcng43b,dqcp1gxv,2.0,0
dqcnfpuz,dqcngjkj,1.0,0
dqcnfpuz,dqcner94,2.0,0
dqcnfpuz,dqcnc78q,1.0,0
dqcnfpuz,dqcp1rzr,2.0,0
dqcnfpuz,dqcn9r0y,2.0,0
dqcp473c,dqcnf6cg,2.0,0
dqcp473c,dqcnc7bc,2.0,0
dqcp473c,dqcp1ys8,2.0,0
dqchf7jt,dqcne6ct,2.0,0
dqchf7jt,dqcncwc5,2.0,0
dqchf7jt,dqcng4te,2.0,0
dqchf7jt,dqcn9xvx,2.0,0
dqchf7jt,dqcp1gxv,2.0,0
dqcncu6f,dqcnfk5z,1.0,0
dqcncu6f,dqcncf4c,2.0,0
dqcncu6f,dqcncfq5,2.0,0
dqcncu6f,dqcne4gy,2.0,0
dqcncu6f,dqcncdq7,2.0,0
dqcncu6f,dqcp4kgx,2.0,0
