home,dqcp176g,dqcnc7hq,dqcnc29k,dqcngqhc,dqcnbbdq,dqcncsjm,dqcnbchm,dqcng43b,dqcnfpuz,dqcp473c,dqchf7jt,dqcncu6f,dqcncvkb,dqcnfk5z,dqcp1rx0,dqcp1yv9,dqcnctbb,dqcne6ct,dqcngjkj,dqcner94,dqcnf6cg,dqcncf4c,dqcnf6cj,dqcncfq5,dqcne4gy,dqcng06w,dqcnf3uz,dqcnc6tb,dqcnc7bc,dqcp1z6r,dqcncdq7,dqcp1ys8,dqcp4kgx,dqcnc78q,dqcnf794,dqcncwc5,dqcnc0y3,dqcp1rzr,dqcncf6c,dqcnfffs,dqcng4te,dqcnc0gn,dqcnfqc3,dqcncx6x,dqcne1qu,dqcn9xvx,dqcp1wg8,dqcp1gxv,dqcn9r0y,dqcnenmf
dqcp176g,1.0,0.323213902415886,0.21179467553391626,0.058526983059810786,0.07073475722683506,0.028839778808117535,0.11802427217747123,0.07017970448446018,0.5724455186027199,0.5070934914935158,2.577433285454744e-29,0.3995670273386689,0.40069979205001893,0.2891221705074323,0.41084510090312776,0.29005906774079265,0.2791662143479879,0.005883076928161446,0.11514032495828568,0.023466394615077768,0.008371774029841753,0.19985698549393063,0.014312532880419733,0.2184742862384337,0.0014144609392237391,0.024589044464542242,0.10238330395996635,0.012277636988507784,0.23380210564661336,0.4693188473447111,0.022679396248166832,0.2722114884099695,0.31608144346454337,0.19950455212337662,0.1493771240849959,0.3168703723679897,0.11762606273095373,0.29571172330327566,0.25848311211190905,0.10780539764019507,0.06245115337566643,0.015640042925906452,0.24772028504449856,0.23243976047852613,0.0018239572688642997,0.11468209883173364,0.03533954797108051,0.20788519782373927,0.05565413536807068,0.01268664891975965
dqcnc7hq,0.323213902415886,1.0,0.7235881475710654,0.05579079633636787,0.2513311446238512,0.04057814390150619,0.2910308936097176,0.17782866874668338,0.3220630824369465,0.27282222980319076,1.272284827191077e-23,0.4611918005733433,0.5007255176608519,0.33028802295761517,0.06007993916020575,0.02147648721145025,0.5301780386834886,0.05628281968966736,0.22002404557044744,0.06947678804236845,0.03918220206368005,0.884642635718585,0.04502366409054249,0.71910975228915,0.0312288013379014,0.11643520094084865,0.26208693470742556,0.05914500986504341,0.8318888301764459,0.03305752365393226,0.055786553021618675,0.02114495579275292,0.15555421744354994,0.49180309060941185,0.601638378789383,0.619753437337535,0.7905477388940515,0.04020607596671205,0.6351019808188841,0.3470446916492176,0.16224962981622332,0.05679868816431574,0.4865272357976033,0.3889403973159039,0.03922875448710829,0.2851358385600474,0.012800710332930303,0.158548741636823,0.26572517619710073,0.15072975904531438
dqcnc29k,0.21179467553391626,0.7235881475710654,1.0,0.028574554575910658,0.18623247998421763,0.05342903555058688,0.4583084114238897,0.21632851756834512,0.3255846862488767,0.10293317679647512,5.318416185246199e-22,0.6523465979159585,0.5403177701739169,0.2962247387040385,0.02844884889131524,0.012200365055343096,0.21433632411358913,0.0860062641540319,0.12006455058970777,0.12638727304760883,0.02671957589814985,0.614281892117205,0.03720061342228918,0.43974195941093436,0.017696092438273938,0.09601815124879,0.16390572979220322,0.04388093406677462,0.3944149980941524,0.02828493100693345,0.048535894360774795,0.011773731023738148,0.038876824280237546,0.34383902462382754,0.3738876699564678,0.24575705305821124,0.6609027433486689,0.013361799120449746,0.5552523381751479,0.20256166283449376,0.1760017347833481,0.06639083389899639,0.2823864119347374,0.10741385389893143,0.03375576417188819,0.3074267540638143,0.0037397541499328856,0.0455494151733113,0.2165245271427703,0.1100597135238608
dqcngqhc,0.058526983059810786,0.05579079633636787,0.028574554575910658,1.0,0.014069268614946515,0.0044125425530382335,0.006963066445904671,0.19459146007327927,0.1716580163049208,0.27007918830346345,4.392069757122452e-25,0.0888446028158984,0.09245615648708226,0.4838974716229936,0.019212923571659966,0.08982929074451922,0.10603341959026566,0.13639208057552923,0.5136434300535557,0.15218489058280268,0.005698801783009869,0.09654060180634691,0.010962627425172273,0.21985048794224293,0.05434000407472322,0.1778561402837468,0.4149862728830258,0.0016449739060322016,0.04711459576713333,0.03644156089311692,0.010742346970128124,0.09075528408417373,0.19654076881824029,0.031398723331047776,0.09920618512152145,0.06499610745535322,0.01276691891361969,0.025673276794301363,0.16260302491360487,0.46450591143882525,0.21679269061602136,0.0016119560623671493,0.09191224139105154,0.10039440454842545,0.0863247321136331,0.12589351355453185,0.002307048577495373,0.05315258873868243,0.030999015578468323,0.11831919181737979
dqcnbbdq,0.07073475722683506,0.2513311446238512,0.18623247998421763,0.014069268614946515,1.0,0.09443823872086511,0.383839323011909,0.013738006848575486,0.04234639418593904,0.03911173344129291,1.45003562975374e-21,0.07695761537491656,0.1369709400846894,0.1035207068089046,0.03739532458818903,0.00962732048536449,0.44161720657083525,0.012041211937848378,0.022974161087265414,0.007012784201590211,0.05055673595059124,0.17834874900862246,0.08097857854912095,0.25267725097862564,0.04197463160979243,0.06214943840221078,0.25062687043443765,0.12816037148221898,0.2857040718247697,0.005310820082312637,0.2799103259682051,0.010752013033889321,0.022400789002119066,0.6231674538131923,0.058285914591665294,0.27651551947223224,0.15330888874008655,0.04394284172989206,0.4065447871607752,0.0594530873164589,0.011519331172857783,0.24764056706816623,0.033848939780811674,0.16570917623119477,0.028001804414687206,0.47006623219691884,0.020439429352836484,0.07659529976543768,0.8810837056821601,0.015137130866327573
dqcncsjm,0.028839778808117535,0.04057814390150619,0.05342903555058688,0.0044125425530382335,0.09443823872086511,1.0,0.3390921097505022,0.026238170766245166,0.04978152989877031,0.015968180807024345,2.664444583564106e-24,0.06695762459002098,0.2118577967400766,0.03126925623476272,0.08181392231406548,0.00305023580717402,0.051216308130775184,0.005610108446591032,0.015322836842290457,0.014863365288330257,0.40731810961633946,0.03533332519607718,0.6241499976017154,0.026384511698548725,0.01008627100671792,0.1172800776074491,0.04413621225268837,0.47351690392328644,0.018970886878819617,0.00850187342279875,0.635825025480875,0.0027994286749970384,0.006252345993779434,0.2774046570003332,0.028655422071928997,0.0648841237427991,0.02733385897708911,0.03548389909965618,0.14067723601251106,0.017836462425399182,0.022093213085466114,0.6529981414529151,0.030334080568226226,0.007144051584962065,0.005306969762249247,0.06312797433088432,0.1189979461543847,0.08209214586041166,0.11513192591899633,0.007120196243120651
dqcnbchm,0.11802427217747123,0.2910308936097176,0.4583084114238897,0.006963066445904671,0.383839323011909,0.3390921097505022,1.0,0.0521473674231949,0.13318794585235696,0.034248143042869925,3.1774068215541325e-22,0.28633186972431696,0.41911810717984205,0.10882589583851102,0.0596541513439758,0.00745359602882231,0.16486524102852199,0.018159961193624573,0.026461532355938393,0.030619466549521943,0.09724785886162235,0.19759050951542623,0.1550266865038071,0.1484032998505473,0.011641619941819064,0.07858311907803572,0.10086545918355388,0.22266006780319025,0.15386425674802046,0.017393468966932175,0.2816860011232265,0.007276996348206564,0.011993648257224623,0.5768027868244564,0.09681965517002014,0.17555803260094524,0.25004160445971735,0.028116232795717313,0.4162686675634573,0.04808474487356871,0.039610330146999835,0.4537763646021556,0.07772268310182862,0.039758853746586574,0.012021105544233204,0.2765252990183132,0.021876175890010938,0.05644532317473169,0.3705393078950037,0.01894169966205772
dqcng43b,0.07017970448446018,0.17782866874668338,0.21632851756834512,0.19459146007327927,0.013738006848575486,0.026238170766245166,0.0521473674231949,1.0,0.40485739618923583,0.15211377352897712,4.9510030230998414e-23,0.43182575765223274,0.39732842794792184,0.3848723566503544,0.013663414273280747,0.010844735247378608,0.06109164553494536,0.38816697736011707,0.5779388729904433,0.7891162793639551,0.03236498543702905,0.30383887561995965,0.04358188572046639,0.2357299029739908,0.0447628579715653,0.3598201784510066,0.17571111660755048,0.01208507386631553,0.07289627561324208,0.027498577626273567,0.01904339986017606,0.009621029304537381,0.06180203412255989,0.06759948018212722,0.4372425472405751,0.08039802300657349,0.1143703174972093,0.00571020412069023,0.27527314404388575,0.5111030231950642,0.9844517069367499,0.010009557546728583,0.3987019304486637,0.03325693700782769,0.10124517649719073,0.09764416672214715,0.002050472922487826,0.03937868725410372,0.032473899734834936,0.4473586117824954
dqcnfpuz,0.5724455186027199,0.3220630824369465,0.3255846862488767,0.1716580163049208,0.04234639418593904,0.04978152989877031,0.13318794585235696,0.40485739618923583,1.0,0.46773348031718426,9.423511279972317e-27,0.7985697595396256,0.7061057745231374,0.5888328581313614,0.17812393609372876,0.16550197533669822,0.17375200175773922,0.05869949840177127,0.35306536379847236,0.22131415970043153,0.019373346183832227,0.30105549311839813,0.03379762919455321,0.29169102820086285,0.0065804297463023,0.1163841319367018,0.1845949236978783,0.014727519188316362,0.15584056194240326,0.36235021546612634,0.030853542399547813,0.14921886802606668,0.21885192893821145,0.16400107641347964,0.3051306320152774,0.2068247162255686,0.13468434958279354,0.09297870816663413,0.3958573431936183,0.2942893280547809,0.36641011241032473,0.018162202826607986,0.4297458708586438,0.11040872670512222,0.012424997968206513,0.168142396518169,0.014700318360603277,0.13232812490797277,0.05496333226583019,0.07332741116281413
dqcp473c,0.5070934914935158,0.27282222980319076,0.10293317679647512,0.27007918830346345,0.03911173344129291,0.015968180807024345,0.034248143042869925,0.15211377352897712,0.46773348031718426,1.0,4.7763354549500693e-29,0.23134004108666958,0.305444853835074,0.3791675258408885,0.2454356154246076,0.19367285279587723,0.37505286518732733,0.018646603303753125,0.4619912102432975,0.04739649439596652,0.017384526886850025,0.2773125728082471,0.02307564753522727,0.34485588225759656,0.010214482023135647,0.08663213769235953,0.22358280391180813,0.011594840737077691,0.2595255115157024,0.20137108527495015,0.020718566428996978,0.1824709542566228,0.8768751351078837,0.1484135191687991,0.31564322057005534,0.43024466200848777,0.09057093542725912,0.23306061238937126,0.26464653457590187,0.36682868857452894,0.1638984707061659,0.007462817654008288,0.46292368676727896,0.425144283855337,0.010300093808909058,0.0895825014762717,0.042372234145036804,0.419744692888835,0.04493501297879547,0.06608843207509833
