household_id_1,household_id_2,link_type,time_step
dqcp176g,dqcngqhc,2.0,0
dqcp176g,dqcnbbdq,2.0,0
dqcp176g,dqcnfpuz,2.0,0
dqcp176g,dqcnctbb,1.0,0
dqcp176g,dqcne6ct,2.0,0
dqcp176g,dqcnf3uz,2.0,0
dqcp176g,dqcnc6tb,2.0,0
dqcp176g,dqcp1z6r,2.0,0
dqcp176g,dqcp4kgx,2.0,0
dqcp176g,dqcnc78q,2.0,0
dqcp176g,dqcp1rzr,2.0,0
dqcnc7hq,dqcnc29k,2.0,0
dqcnc7hq,dqcncsjm,1.0,0
dqcnc7hq,dqcncu6f,1.0,0
dqcnc7hq,dqcp1rx0,2.0,0
dqcnc7hq,dqcne6ct,1.0,0
dqcnc7hq,dqcner94,2.0,0
dqcnc7hq,dqcnf6cg,1.0,0
dqcnc7hq,dqcnf6cj,2.0,0
dqcnc7hq,dqcng06w,2.0,0
dqcnc7hq,dqcnf3uz,2.0,0
dqcnc7hq,dqcp1ys8,2.0,0
dqcnc7hq,dqcncwc5,2.0,0
dqcnc7hq,dqcng4te,2.0,0
dqcnc7hq,dqcncx6x,1.0,0
dqcnc7hq,dqcp1wg8,2.0,0
dqcnc29k,dqcnbbdq,1.0,0
dqcnc29k,dqcnbchm,2.0,0
dqcnc29k,dqcng43b,2.0,0
dqcnc29k,dqcp473c,2.0,0
dqcnc29k,dqcncu6f,2.0,0
dqcnc29k,dqcncvkb,1.0,0
dqcnc29k,dqcnfk5z,2.0,0
dqcnc29k,dqcp1rx0,2.0,0
dqcnc29k,dqcnctbb,1.0,0
dqcnc29k,dqcngjkj,2.0,0
dqcnc29k,dqcnf6cg,2.0,0
dqcnc29k,dqcncf4c,2.0,0
dqcnc29k,dqcncfq5,1.0,0
dqcnc29k,dqcne4gy,2.0,0
dqcnc29k,dqcnf3uz,2.0,0
dqcnc29k,dqcnc6tb,2.0,0
dqcnc29k,dqcp1ys8,2.0,0
dqcnc29k,dqcnf794,2.0,0
dqcnc29k,dqcnfffs,2.0,0
dqcnc29k,dqcnfqc3,2.0,0
dqcnc29k,dqcp1gxv,2.0,0
dqcngqhc,dqcnbchm,2.0,0
dqcngqhc,dqcng43b,2.0,0
dqcngqhc,dqcp473c,2.0,0
dqcngqhc,dqcne6ct,2.0,0
dqcngqhc,dqcncf4c,2.0,0
dqcngqhc,dqcnf6cj,2.0,0
dqcngqhc,dqcncfq5,2.0,0
dqcngqhc,dqcp1z6r,2.0,0
dqcngqhc,dqcncf6c,2.0,0
dqcngqhc,dqcnfffs,2.0,0
dqcngqhc,dqcnfqc3,2.0,0
dqcngqhc,dqcncx6x,2.0,0
dqcngqhc,dqcne1qu,2.0,0
dqcngqhc,dqcnenmf,2.0,0
dqcnbbdq,dqcnbchm,2.0,0
dqcnbbdq,dqcnfk5z,2.0,0
dqcnbbdq,dqcnctbb,1.0,0
dqcnbbdq,dqcng06w,2.0,0
dqcnbbdq,dqcnf3uz,2.0,0
dqcnbbdq,dqcncdq7,2.0,0
dqcnbbdq,dqcp4kgx,2.0,0
dqcnbbdq,dqcp1rzr,2.0,0
dqcnbbdq,dqcnfqc3,2.0,0
dqcnbbdq,dqcn9xvx,2.0,0
dqcnbbdq,dqcn9r0y,1.0,0
dqcncsjm,dqcnbchm,2.0,0
dqcncsjm,dqcncu6f,2.0,0
dqcncsjm,dqcnfk5z,2.0,0
dqcncsjm,dqcp1rx0,2.0,0
dqcncsjm,dqcne6ct,2.0,0
dqcncsjm,dqcncf4c,2.0,0
dqcncsjm,dqcne4gy,2.0,0
dqcncsjm,dqcng06w,2.0,0
dqcncsjm,dqcncdq7,2.0,0
dqcncsjm,dqcnc78q,2.0,0
dqcncsjm,dqcncwc5,2.0,0
dqcncsjm,dqcp1rzr,2.0,0
dqcncsjm,dqcng4te,2.0,0
dqcncsjm,dqcn9xvx,2.0,0
dqcncsjm,dqcp1wg8,1.0,0
dqcnbchm,dqcnfpuz,2.0,0
dqcnbchm,dqcp473c,2.0,0
dqcnbchm,dqcncvkb,1.0,0
dqcnbchm,dqcnfk5z,2.0,0
dqcnbchm,dqcncf4c,2.0,0
dqcnbchm,dqcp4kgx,2.0,0
dqcnbchm,dqcnf794,2.0,0
dqcnbchm,dqcnfqc3,1.0,0
dqcnbchm,dqcnenmf,2.0,0
dqcng43b,dqcnfpuz,2.0,0
dqcng43b,dqcncvkb,2.0,0
dqcng43b,dqcp1yv9,2.0,0
dqcng43b,dqcne6ct,2.0,0
dqcng43b,dqcngjkj,1.0,0
dqcng43b,dqcncfq5,2.0,0
dqcng43b,dqcnc78q,2.0,0
dqcng43b,dqcncf6c,2.0,0
dqcng43b,dqcng4te,1.0,0
dqcng43b,dqcncx6x,1.0,0
dqcng43b,dqcne1qu,2.0,0
dqcng43b,dqcn9xvx,2.0,0
dqcnfpuz,dqcp473c,2.0,0
dqcnfpuz,dqcncvkb,2.0,0
dqcnfpuz,dqcnfk5z,2.0,0
dqcnfpuz,dqcp1rx0,2.0,0
dqcnfpuz,dqcnctbb,2.0,0
dqcnfpuz,dqcnf6cg,2.0,0
dqcnfpuz,dqcnf6cj,2.0,0
dqcnfpuz,dqcnf3uz,2.0,0
dqcnfpuz,dqcncdq7,2.0,0
dqcnfpuz,dqcncwc5,2.0,0
dqcnfpuz,dqcp1rzr,2.0,0
dqcnfpuz,dqcnfffs,1.0,0
dqcnfpuz,dqcnc0gn,2.0,0
dqcnfpuz,dqcncx6x,1.0,0
dqcnfpuz,dqcp1gxv,1.0,0
dqcp473c,dqcncu6f,2.0,0
dqcp473c,dqcp1rx0,2.0,0
dqcp473c,dqcnctbb,1.0,0
dqcp473c,dqcngjkj,1.0,0
dqcp473c,dqcner94,2.0,0
dqcp473c,dqcng06w,2.0,0
dqcp473c,dqcncdq7,2.0,0
dqcp473c,dqcp4kgx,2.0,0
dqcp473c,dqcncx6x,2.0,0
dqcp473c,dqcn9xvx,2.0,0
dqcp473c,dqcnenmf,2.0,0
dqchf7jt,dqcne6ct,2.0,0
dqchf7jt,dqcngjkj,2.0,0
dqchf7jt,dqcnf794,2.0,0
dqchf7jt,dqcp1gxv,2.0,0
dqcncu6f,dqcne6ct,2.0,0
dqcncu6f,dqcngjkj,2.0,0
dqcncu6f,dqcnf6cg,2.0,0
dqcncu6f,dqcncf4c,1.0,0
dqcncu6f,dqcne4gy,2.0,0
dqcncu6f,dqcnc6tb,2.0,0
dqcncu6f,dqcnc7bc,1.0,0
dqcncu6f,dqcnc78q,1.0,0
dqcncu6f,dqcnc0gn,2.0,0
dqcncu6f,dqcn9xvx,2.0,0
dqcncu6f,dqcn9r0y,2.0,0
dqcncvkb,dqcnfk5z,1.0,0
dqcncvkb,dqcnf6cj,2.0,0
dqcncvkb,dqcncfq5,2.0,0
dqcncvkb,dqcnf3uz,2.0,0
dqcncvkb,dqcnc6tb,2.0,0
dqcncvkb,dqcnc7bc,1.0,0
dqcncvkb,dqcnf794,2.0,0
dqcncvkb,dqcng4te,1.0,0
dqcnfk5z,dqcnctbb,2.0,0
dqcnfk5z,dqcnf6cg,1.0,0
dqcnfk5z,dqcnf6cj,1.0,0
dqcnfk5z,dqcne4gy,2.0,0
dqcnfk5z,dqcnc6tb,2.0,0
dqcnfk5z,dqcncdq7,2.0,0
dqcnfk5z,dqcp4kgx,2.0,0
dqcnfk5z,dqcnc78q,2.0,0
dqcnfk5z,dqcnf794,1.0,0
dqcnfk5z,dqcp1wg8,2.0,0
dqcnfk5z,dqcn9r0y,2.0,0
dqcp1rx0,dqcnf6cj,2.0,0
dqcp1rx0,dqcnc6tb,2.0,0
dqcp1rx0,dqcnc7bc,2.0,0
dqcp1rx0,dqcp1rzr,2.0,0
dqcp1rx0,dqcng4te,2.0,0
dqcp1rx0,dqcnfqc3,2.0,0
dqcp1rx0,dqcp1wg8,1.0,0
dqcp1rx0,dqcn9r0y,2.0,0
dqcp1yv9,dqcnctbb,2.0,0
dqcp1yv9,dqcner94,2.0,0
dqcp1yv9,dqcnf3uz,2.0,0
dqcp1yv9,dqcnc6tb,2.0,0
dqcp1yv9,dqcp1ys8,2.0,0
dqcp1yv9,dqcncf6c,2.0,0
dqcp1yv9,dqcne1qu,2.0,0
dqcp1yv9,dqcn9xvx,2.0,0
dqcp1yv9,dqcn9r0y,2.0,0
dqcnctbb,dqcngjkj,2.0,0
dqcnctbb,dqcncf4c,2.0,0
dqcnctbb,dqcnf6cj,2.0,0
dqcnctbb,dqcncfq5,2.0,0
dqcnctbb,dqcne4gy,2.0,0
dqcnctbb,dqcng06w,2.0,0
dqcnctbb,dqcnc6tb,2.0,0
dqcnctbb,dqcp1rzr,2.0,0
dqcnctbb,dqcncf6c,2.0,0
dqcnctbb,dqcn9r0y,2.0,0
dqcne6ct,dqcngjkj,2.0,0
dqcne6ct,dqcnf6cg,2.0,0
dqcne6ct,dqcne4gy,1.0,0
dqcne6ct,dqcng06w,2.0,0
dqcne6ct,dqcnc78q,2.0,0
dqcne6ct,dqcnf794,2.0,0
dqcne6ct,dqcnc0gn,2.0,0
dqcne6ct,dqcne1qu,2.0,0
dqcngjkj,dqcner94,2.0,0
dqcngjkj,dqcne4gy,2.0,0
dqcngjkj,dqcnf3uz,2.0,0
dqcngjkj,dqcp1z6r,2.0,0
dqcngjkj,dqcncdq7,2.0,0
dqcngjkj,dqcp1ys8,2.0,0
dqcngjkj,dqcp4kgx,2.0,0
dqcngjkj,dqcnc78q,2.0,0
dqcngjkj,dqcnf794,2.0,0
dqcngjkj,dqcncwc5,2.0,0
dqcngjkj,dqcp1gxv,2.0,0
dqcner94,dqcnf6cg,2.0,0
dqcner94,dqcnf6cj,2.0,0
dqcner94,dqcncfq5,2.0,0
dqcner94,dqcnc7bc,2.0,0
dqcner94,dqcncf6c,2.0,0
dqcner94,dqcnfffs,2.0,0
dqcner94,dqcne1qu,1.0,0
dqcner94,dqcnenmf,2.0,0
dqcnf6cg,dqcnf6cj,2.0,0
dqcnf6cg,dqcne4gy,2.0,0
dqcnf6cg,dqcp1z6r,2.0,0
dqcnf6cg,dqcp1ys8,2.0,0
dqcnf6cg,dqcnfffs,1.0,0
dqcnf6cg,dqcng4te,2.0,0
dqcnf6cg,dqcnc0gn,2.0,0
dqcnf6cg,dqcncx6x,2.0,0
dqcnf6cg,dqcp1gxv,2.0,0
dqcnf6cg,dqcn9r0y,1.0,0
dqcncf4c,dqcnf6cj,2.0,0
dqcncf4c,dqcne4gy,1.0,0
dqcncf4c,dqcng06w,2.0,0
dqcncf4c,dqcnf3uz,2.0,0
dqcncf4c,dqcncdq7,2.0,0
dqcncf4c,dqcnc78q,2.0,0
dqcncf4c,dqcnf794,2.0,0
dqcncf4c,dqcncf6c,2.0,0
dqcncf4c,dqcp1wg8,2.0,0
dqcncf4c,dqcp1gxv,1.0,0
dqcncf4c,dqcn9r0y,1.0,0
dqcnf6cj,dqcncfq5,2.0,0
dqcnf6cj,dqcng06w,2.0,0
dqcnf6cj,dqcnf3uz,2.0,0
dqcnf6cj,dqcp1ys8,2.0,0
dqcnf6cj,dqcncf6c,1.0,0
dqcnf6cj,dqcng4te,1.0,0
dqcnf6cj,dqcne1qu,2.0,0
dqcnf6cj,dqcn9r0y,2.0,0
dqcnf6cj,dqcnenmf,2.0,0
dqcncfq5,dqcncdq7,2.0,0
dqcncfq5,dqcnc78q,1.0,0
dqcncfq5,dqcncwc5,2.0,0
dqcncfq5,dqcp1rzr,2.0,0
dqcncfq5,dqcng4te,2.0,0
dqcncfq5,dqcnc0gn,1.0,0
dqcncfq5,dqcnfqc3,2.0,0
dqcncfq5,dqcncx6x,2.0,0
dqcncfq5,dqcp1wg8,2.0,0
dqcncfq5,dqcn9r0y,2.0,0
dqcncfq5,dqcnenmf,2.0,0
dqcne4gy,dqcng06w,2.0,0
dqcne4gy,dqcp1z6r,2.0,0
dqcne4gy,dqcnf794,2.0,0
dqcne4gy,dqcncwc5,2.0,0
dqcne4gy,dqcnc0y3,2.0,0
dqcne4gy,dqcncf6c,2.0,0
dqcne4gy,dqcnfqc3,2.0,0
dqcne4gy,dqcn9xvx,2.0,0
dqcne4gy,dqcp1wg8,2.0,0
dqcne4gy,dqcnenmf,1.0,0
dqcng06w,dqcnf3uz,2.0,0
dqcng06w,dqcnc6tb,1.0,0
dqcng06w,dqcp1ys8,2.0,0
dqcng06w,dqcp4kgx,2.0,0
dqcng06w,dqcncwc5,2.0,0
dqcng06w,dqcp1rzr,2.0,0
dqcng06w,dqcnc0gn,2.0,0
dqcnf3uz,dqcncdq7,1.0,0
dqcnf3uz,dqcnc78q,2.0,0
dqcnf3uz,dqcncf6c,2.0,0
dqcnf3uz,dqcnfffs,1.0,0
dqcnf3uz,dqcnc0gn,2.0,0
dqcnf3uz,dqcn9xvx,2.0,0
dqcnf3uz,dqcp1gxv,2.0,0
dqcnc6tb,dqcnc7bc,2.0,0
dqcnc6tb,dqcncdq7,1.0,0
dqcnc6tb,dqcnc78q,1.0,0
dqcnc6tb,dqcp1rzr,2.0,0
dqcnc6tb,dqcnc0gn,2.0,0
dqcnc6tb,dqcnfqc3,2.0,0
dqcnc6tb,dqcp1wg8,2.0,0
dqcnc6tb,dqcn9r0y,2.0,0
dqcnc7bc,dqcncdq7,1.0,0
dqcnc7bc,dqcp4kgx,2.0,0
dqcnc7bc,dqcnc78q,1.0,0
dqcnc7bc,dqcnc0y3,1.0,0
dqcnc7bc,dqcncx6x,1.0,0
dqcnc7bc,dqcn9xvx,1.0,0
dqcnc7bc,dqcp1wg8,2.0,0
dqcnc7bc,dqcnenmf,2.0,0
dqcp1z6r,dqcp4kgx,2.0,0
dqcp1z6r,dqcncwc5,2.0,0
dqcp1z6r,dqcnfffs,2.0,0
dqcp1z6r,dqcnc0gn,2.0,0
dqcp1z6r,dqcncx6x,1.0,0
dqcncdq7,dqcp1ys8,2.0,0
dqcncdq7,dqcncwc5,2.0,0
dqcncdq7,dqcnfqc3,1.0,0
dqcncdq7,dqcncx6x,2.0,0
dqcp1ys8,dqcp4kgx,2.0,0
dqcp1ys8,dqcncwc5,2.0,0
dqcp1ys8,dqcnc0y3,2.0,0
dqcp1ys8,dqcne1qu,2.0,0
dqcp4kgx,dqcp1rzr,2.0,0
dqcp4kgx,dqcng4te,2.0,0
dqcp4kgx,dqcnc0gn,2.0,0
dqcp4kgx,dqcn9xvx,2.0,0
dqcp4kgx,dqcp1gxv,2.0,0
dqcp4kgx,dqcn9r0y,2.0,0
dqcnc78q,dqcp1rzr,2.0,0
dqcnc78q,dqcnfffs,2.0,0
dqcnc78q,dqcng4te,2.0,0
dqcnf794,dqcng4te,2.0,0
dqcnf794,dqcn9r0y,2.0,0
dqcncwc5,dqcnc0y3,1.0,0
dqcncwc5,dqcng4te,2.0,0
dqcncwc5,dqcnc0gn,1.0,0
dqcncwc5,dqcnfqc3,2.0,0
dqcncwc5,dqcncx6x,1.0,0
dqcncwc5,dqcn9xvx,1.0,0
dqcncwc5,dqcp1wg8,2.0,0
dqcncwc5,dqcnenmf,2.0,0
dqcnc0y3,dqcne1qu,2.0,0
dqcp1rzr,dqcncf6c,2.0,0
dqcp1rzr,dqcn9xvx,2.0,0
dqcncf6c,dqcnfqc3,2.0,0
dqcncf6c,dqcn9xvx,1.0,0
dqcncf6c,dqcp1wg8,2.0,0
dqcncf6c,dqcp1gxv,1.0,0
dqcnfffs,dqcng4te,2.0,0
dqcnfffs,dqcp1gxv,1.0,0
dqcnfffs,dqcn9r0y,2.0,0
dqcng4te,dqcnc0gn,2.0,0
dqcng4te,dqcne1qu,2.0,0
dqcng4te,dqcn9xvx,1.0,0
dqcng4te,dqcn9r0y,2.0,0
dqcnc0gn,dqcncx6x,1.0,0
dqcnc0gn,dqcp1wg8,2.0,0
dqcnc0gn,dqcp1gxv,2.0,0
dqcnfqc3,dqcp1gxv,2.0,0
dqcncx6x,dqcn9xvx,1.0,0
dqcne1qu,dqcp1wg8,2.0,0
dqcn9xvx,dqcp1gxv,2.0,0
dqcn9xvx,dqcn9r0y,2.0,0
dqcp1wg8,dqcn9r0y,2.0,0
dqcp1gxv,dqcn9r0y,2.0,0
dqcp176g,dqcngqhc,2.0,1
dqcp176g,dqcnbbdq,2.0,1
dqcp176g,dqcnfpuz,2.0,1
dqcp176g,dqcnctbb,1.0,1
dqcp176g,dqcne6ct,2.0,1
dqcp176g,dqcnf3uz,2.0,1
dqcp176g,dqcnc6tb,2.0,1
dqcp176g,dqcp1z6r,2.0,1
dqcp176g,dqcp4kgx,2.0,1
dqcp176g,dqcp1rzr,2.0,1
dqcnc7hq,dqcnc29k,2.0,1
dqcnc7hq,dqcncsjm,1.0,1
dqcnc7hq,dqcncu6f,1.0,1
dqcnc7hq,dqcp1rx0,2.0,1
dqcnc7hq,dqcne6ct,1.0,1
dqcnc7hq,dqcner94,2.0,1
dqcnc7hq,dqcnf6cg,1.0,1
dqcnc7hq,dqcnf6cj,2.0,1
dqcnc7hq,dqcng06w,2.0,1
dqcnc7hq,dqcnf3uz,2.0,1
dqcnc7hq,dqcp1ys8,2.0,1
dqcnc7hq,dqcncwc5,2.0,1
dqcnc7hq,dqcng4te,2.0,1
dqcnc7hq,dqcncx6x,1.0,1
dqcnc7hq,dqcp1wg8,2.0,1
dqcnc29k,dqcnbbdq,1.0,1
dqcnc29k,dqcnbchm,2.0,1
dqcnc29k,dqcng43b,2.0,1
dqcnc29k,dqcp473c,2.0,1
dqcnc29k,dqcncu6f,2.0,1
dqcnc29k,dqcncvkb,1.0,1
dqcnc29k,dqcnfk5z,2.0,1
dqcnc29k,dqcp1rx0,2.0,1
dqcnc29k,dqcnctbb,1.0,1
dqcnc29k,dqcngjkj,2.0,1
dqcnc29k,dqcnf6cg,2.0,1
dqcnc29k,dqcncf4c,2.0,1
dqcnc29k,dqcncfq5,1.0,1
dqcnc29k,dqcne4gy,2.0,1
dqcnc29k,dqcnf3uz,2.0,1
dqcnc29k,dqcnc6tb,2.0,1
dqcnc29k,dqcp1ys8,2.0,1
dqcnc29k,dqcnf794,2.0,1
dqcnc29k,dqcnfffs,2.0,1
dqcnc29k,dqcnfqc3,2.0,1
dqcnc29k,dqcncx6x,2.0,1
dqcnc29k,dqcp1gxv,2.0,1
dqcngqhc,dqcncsjm,2.0,1
dqcngqhc,dqcnbchm,2.0,1
dqcngqhc,dqcng43b,2.0,1
dqcngqhc,dqcp473c,2.0,1
dqcngqhc,dqcncu6f,2.0,1
dqcngqhc,dqcne6ct,2.0,1
dqcngqhc,dqcncf4c,2.0,1
dqcngqhc,dqcnf6cj,2.0,1
dqcngqhc,dqcncfq5,2.0,1
dqcngqhc,dqcp1z6r,2.0,1
dqcngqhc,dqcnfffs,2.0,1
dqcngqhc,dqcnfqc3,2.0,1
dqcngqhc,dqcncx6x,2.0,1
dqcngqhc,dqcne1qu,2.0,1
dqcngqhc,dqcp1wg8,2.0,1
dqcngqhc,dqcnenmf,2.0,1
dqcnbbdq,dqcnbchm,2.0,1
dqcnbbdq,dqcnfk5z,2.0,1
dqcnbbdq,dqcnctbb,1.0,1
dqcnbbdq,dqcng06w,2.0,1
dqcnbbdq,dqcnf3uz,2.0,1
dqcnbbdq,dqcncdq7,2.0,1
dqcnbbdq,dqcp4kgx,2.0,1
dqcnbbdq,dqcp1rzr,2.0,1
dqcnbbdq,dqcnfqc3,2.0,1
dqcnbbdq,dqcn9xvx,2.0,1
dqcnbbdq,dqcn9r0y,1.0,1
dqcncsjm,dqcnbchm,2.0,1
dqcncsjm,dqcncu6f,2.0,1
dqcncsjm,dqcnfk5z,2.0,1
dqcncsjm,dqcp1rx0,2.0,1
dqcncsjm,dqcnctbb,2.0,1
dqcncsjm,dqcne6ct,2.0,1
dqcncsjm,dqcncf4c,2.0,1
dqcncsjm,dqcne4gy,2.0,1
dqcncsjm,dqcng06w,2.0,1
dqcncsjm,dqcnc7bc,2.0,1
dqcncsjm,dqcncdq7,2.0,1
dqcncsjm,dqcncwc5,2.0,1
dqcncsjm,dqcp1rzr,2.0,1
dqcncsjm,dqcng4te,2.0,1
dqcncsjm,dqcn9xvx,2.0,1
dqcncsjm,dqcp1wg8,1.0,1
dqcnbchm,dqcnfpuz,2.0,1
dqcnbchm,dqcp473c,2.0,1
dqcnbchm,dqcncvkb,1.0,1
dqcnbchm,dqcnfk5z,2.0,1
dqcnbchm,dqcncf4c,2.0,1
dqcnbchm,dqcp4kgx,2.0,1
dqcnbchm,dqcnf794,2.0,1
dqcnbchm,dqcnfqc3,1.0,1
dqcnbchm,dqcnenmf,2.0,1
dqcng43b,dqcnfpuz,2.0,1
dqcng43b,dqcncvkb,2.0,1
dqcng43b,dqcp1yv9,2.0,1
dqcng43b,dqcne6ct,2.0,1
dqcng43b,dqcngjkj,1.0,1
dqcng43b,dqcncfq5,2.0,1
dqcng43b,dqcnc7bc,2.0,1
dqcng43b,dqcng4te,1.0,1
dqcng43b,dqcncx6x,1.0,1
dqcng43b,dqcne1qu,2.0,1
dqcng43b,dqcn9xvx,2.0,1
dqcnfpuz,dqcp473c,2.0,1
dqcnfpuz,dqcncvkb,2.0,1
dqcnfpuz,dqcnfk5z,2.0,1
dqcnfpuz,dqcp1rx0,2.0,1
dqcnfpuz,dqcnctbb,2.0,1
dqcnfpuz,dqcnf6cg,2.0,1
dqcnfpuz,dqcnf6cj,2.0,1
