household_id,community,building_value,income,damage_level,population_scaled,age,race
dqcp176g,dqcp17,0.3976519912496378,0.6014101710711648,0.0,0.8571428571428571,0.47221593538486734,0.0
dqcnc7hq,dqcnc7,0.21580474813956346,0.3369548357325831,0.75,1.0,0.35942174582144537,0.0
dqcnc29k,dqcnc2,0.6639124858920796,0.3285912871490332,0.0,0.5714285714285714,0.8597629931288755,0.25
dqcngqhc,dqcngq,0.570394580201229,1.0,0.25,0.8571428571428571,0.4535278874715831,0.0
dqcnbbdq,dqcnbb,0.6920039243355213,0.6857617298342996,1.0,0.7142857142857143,0.45754332095079564,0.5
dqcncsjm,dqcncs,0.5479479906769846,0.5485416800243338,0.0,0.5714285714285714,0.6348012266544206,0.25
dqcnbchm,dqcnbc,0.7377743711197335,0.7183330186628114,0.25,1.0,0.6568440180829564,0.5
dqcng43b,dqcng4,0.6562103904046211,0.5055559930508662,0.0,0.7142857142857143,0.20209952499242226,0.5
dqcnfpuz,dqcnfp,0.8189178243248096,0.4454396587073503,0.0,0.8571428571428571,0.47917457682699155,0.25
dqcp473c,dqcp47,0.4622034579633058,0.6163511617329523,1.0,1.0,0.7708932089752334,0.5
dqchf7jt,dqchf7,0.6143267803884075,0.83803025368123,1.0,0.7142857142857143,0.7580919239425042,0.5
dqcncu6f,dqcncu,0.5521871766344837,0.6116984418679252,1.0,0.14285714285714285,0.40134252538028964,0.0
dqcncvkb,dqcncv,0.3906258321015019,0.298477172115967,0.0,0.5714285714285714,0.42398229475209315,0.5
dqcnfk5z,dqcnfk,0.7096759914796101,0.4110193633669888,0.75,0.8571428571428571,0.4561615177752734,0.0
dqcp1rx0,dqcp1r,0.5233250982998353,0.28325507488407264,0.5,0.2857142857142857,0.3951854373722339,0.5
dqcp1yv9,dqcp1y,0.5340794413671027,0.5995914709930882,0.0,0.42857142857142855,0.09412262175984876,0.5
dqcnctbb,dqcnct,0.5538996047887825,0.6203272960223345,0.0,1.0,0.7737948952177646,0.5
dqcne6ct,dqcne6,0.4654508886060161,0.8179476821986522,0.25,0.42857142857142855,0.40269855672094185,0.0
dqcngjkj,dqcngj,0.4353468223773411,0.7222038740626638,0.25,0.5714285714285714,0.40269960530886295,0.5
dqcner94,dqcner,0.7753727714177069,0.2988363535134189,0.75,0.7142857142857143,0.20913467027369273,0.0
dqcnf6cg,dqcnf6,0.5734730571931239,0.3600516623336931,0.5,0.5714285714285714,0.6123840874024715,0.25
dqcncf4c,dqcncf,0.6654314430267382,0.6909200343090767,0.0,0.42857142857142855,0.7418999441655745,0.0
dqcnf6cj,dqcnf6,0.5722027424388505,0.15579759603927662,0.5,0.8571428571428571,0.5603924955277333,0.0
dqcncfq5,dqcncf,0.622822625010285,0.45710165438071526,0.5,0.14285714285714285,0.7524454683739983,0.25
dqcne4gy,dqcne4,0.7545837487628193,0.40758201121125764,0.0,0.5714285714285714,0.7970172731707407,0.0
dqcng06w,dqcng0,0.47410550868926454,0.19045036534826232,0.25,0.7142857142857143,0.208022889023641,0.5
dqcnf3uz,dqcnf3,0.5597670413576286,0.23302286291145208,0.0,1.0,0.8534262953524188,0.0
dqcnc6tb,dqcnc6,0.7849714648610233,0.08431547331976952,1.0,0.8571428571428571,0.5824656578191209,0.5
dqcnc7bc,dqcnc7,0.254448656517691,0.36855960253174896,0.5,0.5714285714285714,0.5431146497881985,0.25
dqcp1z6r,dqcp1z,0.20690678190167824,0.07658070569152091,0.0,0.7142857142857143,0.25203866896082716,0.25
dqcncdq7,dqcncd,0.24254741247902611,0.342152306334838,0.0,1.0,0.22068755782513913,0.0
dqcp1ys8,dqcp1y,0.5299036556105122,0.6290423814291144,0.0,0.7142857142857143,0.2362199597844244,0.0
dqcp4kgx,dqcp4k,0.43696198929469104,0.461537290927037,0.0,0.7142857142857143,0.11916938609294397,0.25
dqcnc78q,dqcnc7,0.10382432106889308,0.3712853564608025,1.0,0.8571428571428571,0.6150747190464857,0.0
dqcnf794,dqcnf7,0.5878924540255969,0.4017488569804182,0.75,1.0,0.8752932967128195,1.0
dqcncwc5,dqcncw,0.509538202501118,0.02335365499037216,0.0,0.7142857142857143,0.37018980725896594,0.0
dqcnc0y3,dqcnc0,0.42080452960030224,0.0,0.0,0.5714285714285714,0.5130853733661296,0.25
dqcp1rzr,dqcp1r,0.39993632995507167,0.09288498809969384,0.0,0.7142857142857143,0.4856700385700008,1.0
dqcncf6c,dqcncf,0.7642679887793973,0.8053372533738197,0.0,0.2857142857142857,0.8035369773111087,0.0
dqcnfffs,dqcnff,0.5394866671148115,0.39587657839138124,1.0,0.14285714285714285,0.8302797807628498,0.0
dqcng4te,dqcng4,0.6807065149757474,0.2649737947217008,0.0,0.42857142857142855,0.28244790949638277,0.5
dqcnc0gn,dqcnc0,0.4528245051560896,0.003797846292117587,0.5,0.2857142857142857,0.4762886916060728,0.0
dqcnfqc3,dqcnfq,0.6895324876456688,0.2250263199177106,0.0,0.42857142857142855,0.5348081484514097,1.0
dqcncx6x,dqcncx,0.7074106978512513,0.0,0.0,1.0,0.4710903449662003,0.0
dqcne1qu,dqcne1,0.6652645995436532,0.09497759691209913,0.0,0.14285714285714285,0.14115438306130512,0.0
dqcn9xvx,dqcn9x,0.6304435626095279,0.0,0.25,0.42857142857142855,0.5513541431331717,0.0
dqcp1wg8,dqcp1w,0.6393329100362579,0.7156624145511076,0.0,0.14285714285714285,0.844712552395543,0.0
dqcp1gxv,dqcp1g,0.6173337287108491,0.3346804426684549,0.0,1.0,0.880567817450108,0.0
dqcn9r0y,dqcn9r,0.5684251381365285,0.39169345360654084,0.0,0.2857142857142857,0.4502673256550633,0.0
dqcnenmf,dqcnen,0.3056746636630034,0.0,0.0,0.42857142857142855,0.9240307217823089,0.0
