household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.3976519912496378,0.6014101710711648,0.0,0.8571428571428571,0.47221593538486734,0.0,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.21580474813956346,0.3369548357325831,0.75,1.0,0.35942174582144537,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.6639124858920796,0.3285912871490332,0.0,0.5714285714285714,0.8597629931288755,0.25,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.570394580201229,1.0,0.25,0.8571428571428571,0.4535278874715831,0.0,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.6920039243355213,0.6857617298342996,1.0,0.7142857142857143,0.45754332095079564,0.5,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.5479479906769846,0.5485416800243338,0.0,0.5714285714285714,0.6348012266544206,0.25,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.7377743711197335,0.7183330186628114,0.25,1.0,0.6568440180829564,0.5,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.6562103904046211,0.5055559930508662,0.0,0.7142857142857143,0.20209952499242226,0.5,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.8189178243248096,0.4454396587073503,0.0,0.8571428571428571,0.47917457682699155,0.25,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.4622034579633058,0.6163511617329523,1.0,1.0,0.7708932089752334,0.5,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.6143267803884075,0.83803025368123,1.0,0.7142857142857143,0.7580919239425042,0.5,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.5521871766344837,0.6116984418679252,1.0,0.14285714285714285,0.40134252538028964,0.0,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.3906258321015019,0.298477172115967,0.0,0.5714285714285714,0.42398229475209315,0.5,39.1841983795166,-77.26015090942383
dqcnfk5z,dqcnfk,0.7096759914796101,0.4110193633669888,0.75,0.8571428571428571,0.4561615177752734,0.0,39.17853355407715,-77.23955154418945
dqcp1rx0,dqcp1r,0.5233250982998353,0.28325507488407264,0.5,0.2857142857142857,0.3951854373722339,0.5,39.24050331115723,-77.27903366088867
dqcp1yv9,dqcp1y,0.5340794413671027,0.5995914709930882,0.0,0.42857142857142855,0.09412262175984876,0.5,39.236555099487305,-77.25912094116211
