household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.7933388332401246,0.004106074610287433,0.0,0.7142857142857143,0.7776563939719916,0.0,38.89800497523509,-76.55837779667107,isolated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,0.531017702465441,0.18674717902248708,0.0,0.5714285714285714,0.49310383748445386,0.0,38.990427649617814,-76.68183386930409,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,0.2795480002675226,0.00037878163918489687,0.25,0.7142857142857143,0.0823597476056446,0.0,38.98843024347386,-76.37828513499252,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,0.9003255428025237,0.3393825307441227,0.75,1.0,0.5257406430278935,1.0,39.03047137774458,-76.59414745869562,resistant,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.3223617675195626,0.24362453484257635,0.0,1.0,0.45839357524089774,0.25,38.92149168941599,-76.51567984631112,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,0.777026150504886,0.35181624728734323,0.5,0.42857142857142855,0.38375142528008366,1.0,39.06889556314515,-76.54685805802083,resistant,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0.5003117870126258,0.6739570934560483,0.75,0.42857142857142855,0.7954903810859224,0.0,38.980580659794136,-76.64141177851272,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8,0.7041587497196579,0.3007871163020429,0.0,0.8571428571428571,0.5378569370306244,0.0,38.96852624090405,-76.76930601163322,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,0.44790814301137605,0.2987786519781206,0.0,0.5714285714285714,0.10026112235994893,0.0,39.05768312557002,-76.67732075298636,isolated,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,0.4234440835485345,0.35196047979031947,0.75,0.14285714285714285,0.4431558408444338,0.0,39.12119166062419,-76.49061224736938,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,0.43801556392976837,0.7151703983502149,0.0,1.0,0.20315203374923493,1.0,39.11247442203064,-76.48450336840722,resistant,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,0.48117156747743656,0.13723167839768552,0.75,0.5714285714285714,0.33453402305608765,0.0,39.0291584647256,-76.6538363940749,isolated,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,0.4290732017359375,0.1009957808562515,0.0,0.7142857142857143,0.2527803731335723,1.0,39.11080300728586,-76.55495829846603,early_adopter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,0.3923873457288564,0.3959184362766473,0.0,1.0,0.20281710446262355,0.5,38.890440930326825,-76.5589191854751,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15,0.16139768905844615,0.6203112299559168,0.0,0.2857142857142857,0.3371149193423428,0.0,38.967871789296886,-76.39282629904255,social_follower,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,0.632641072271148,0.3389953675461578,0.0,1.0,0.633302641985239,0.0,38.975056122641966,-76.6917759614541,social_follower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0.8178610933637115,0.04058024527029871,0.0,0.7142857142857143,0.6683005383258245,0.5,38.95077822408266,-76.475955814839,isolated,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,0.7459280172889368,0.3300252142499706,0.5,0.8571428571428571,0.5929559617780661,0.0,38.99346884631674,-76.57520616000137,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,0.802886871321997,0.5351500824732183,1.0,1.0,0.21305245572444415,0.0,39.10568884876959,-76.56692322319415,social_follower,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,0.7734212104740879,0.893093381118931,0.0,0.7142857142857143,0.46799974993128657,0.25,38.986121557984056,-76.43684817435812,social_follower,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,0.6733925419359834,0.13422044099481947,0.25,1.0,0.6037457015060803,0.0,38.96797020981372,-76.52114071557398,isolated,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,0.5007013925845938,0.2913839051056761,0.0,0.14285714285714285,0.0,0.0,38.958827482440164,-76.42445515839093,isolated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,0.6150541351646456,0.3992366333133336,0.0,0.7142857142857143,0.2745126168222206,0.0,39.02600696916931,-76.47069059533108,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24,0.6029327735441893,0.5784254313671332,0.0,0.42857142857142855,0.33736224627802797,0.25,38.78633536410081,-76.48033234814416,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
25,0.46114776334583985,0.056790072027696224,0.0,0.7142857142857143,0.5644548539787417,0.25,39.07132520217975,-76.67401042774765,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26,0.4302045181008228,0.05773997497183583,1.0,0.8571428571428571,0.6012787526284074,1.0,39.08029986066623,-76.7544854440178,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,0.5808934246032641,0.012066894649302282,0.25,0.5714285714285714,0.545890153420349,0.25,39.034765029927506,-76.60058285529578,resistant,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,0.39231398852146526,0.3360560875990371,0.5,0.14285714285714285,0.4172696610804574,0.25,39.043626294044095,-76.86571681901096,social_follower,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,0.3266117809208943,0.44840153196802507,0.0,0.8571428571428571,0.392224324152997,0.25,38.93636073083626,-76.61021777873916,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,0.4843029400139024,0.003132854710769453,0.0,0.5714285714285714,0.6677231745615486,0.0,39.1000866489712,-76.56542376245345,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
31,0.59297404623692,0.43209927568243034,0.25,0.7142857142857143,0.570259694614981,0.0,38.9148161410399,-76.60023446447842,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,0.6594222540178658,0.6681846166551116,0.0,0.5714285714285714,0.39939696308369865,0.0,39.02067240983585,-76.6394573103191,resistant,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,0.5038733337992212,0.7395648874107634,0.75,0.8571428571428571,0.6789723533251512,0.25,39.00502668452146,-76.5863470710831,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34,0.6125710762921655,0.26535421655011776,0.0,0.14285714285714285,0.325482810013229,0.25,38.87111063133621,-76.63545478655004,resistant,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
35,0.7565114775989403,0.9397786321460492,0.0,0.42857142857142855,0.7358881567115718,0.5,39.065574311748996,-76.44518931709761,isolated,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36,0.5768465113919178,0.16229426757231147,1.0,1.0,0.6716772165065749,0.0,38.85730001812728,-76.51298276360419,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
37,0.38212065258045397,0.313370452721368,0.0,0.8571428571428571,0.3699513293603057,0.25,39.04016485093202,-76.60677777635135,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
38,0.686271021354993,0.14519993865494316,1.0,0.2857142857142857,0.5305458569337843,0.25,39.08793156608781,-76.56026494250784,resistant,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
39,0.7988645263918668,0.5575361739231609,0.75,0.8571428571428571,0.6152044544066084,1.0,38.95616490111637,-76.61491514226958,isolated,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,0.5243979478771931,0.4659615545197619,0.0,0.5714285714285714,0.6455118018808491,0.0,39.011597877433125,-76.64928397310327,early_adopter,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,0.8385489408702492,2.2343983281603576e-05,0.0,0.2857142857142857,0.37953100257482025,0.0,39.09440776303237,-76.63715238334972,isolated,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,0.709557504151748,0.6846484838496676,0.0,0.42857142857142855,0.057333313535962355,0.0,38.882604698694344,-76.69572061817195,social_follower,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,0.669613679616068,0.22217019326139245,0.0,0.42857142857142855,0.5488229580056776,0.0,39.14871563073074,-76.57269553258607,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
44,0.6667058171486906,0.17806366857947473,0.0,0.42857142857142855,0.3567296992873604,0.5,39.10438574204681,-76.51464559008615,isolated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,0.5200224001903246,0.0042775995628399075,0.0,0.2857142857142857,0.5137862983591778,1.0,38.92293445707076,-76.5582848094766,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46,0.46581527790212185,0.1624893515598055,0.75,0.14285714285714285,0.5403834468996557,0.0,38.97309663797227,-76.5730847483212,social_follower,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,0.35888566215848083,0.2776703131523272,0.75,1.0,1.0,0.25,39.037886891566615,-76.58205592907355,isolated,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
48,0.6204999846626108,0.43072747281314283,0.0,0.42857142857142855,0.6972139790798336,0.0,38.91564571130954,-76.61762601468014,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,0.34944533442982595,0.08306570408959048,0.5,0.2857142857142857,0.07784712142663205,0.0,39.10342340477895,-76.73533273305854,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,0.22686200403989445,0.05918502519155466,0.5,0.42857142857142855,0.43775826232307785,0.0,39.153094304668336,-76.5434130763656,resistant,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,0.41412173778124256,0.17251932986731608,0.0,0.2857142857142857,0.526639816866144,0.0,39.09723945277522,-76.68856638839537,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
52,0.37405073571032565,0.2944560540159608,0.0,0.7142857142857143,0.20351536401635703,0.25,38.93105248142896,-76.58531355711247,social_follower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,0.547091119563826,0.12179888931565246,0.0,0.7142857142857143,0.07924147843891542,0.0,39.0326438826403,-76.58928683900737,social_follower,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,0.6875717655361269,0.0521593154216815,0.25,0.14285714285714285,0.36412861172665534,0.0,38.9837711278703,-76.67562260032904,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55,0.5265256499044949,0.2825522468579428,0.0,0.42857142857142855,0.3070613884409478,0.0,39.04780878589567,-76.62177428886488,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
56,0.35183094326663605,0.6536263035890952,0.0,0.2857142857142857,0.5149246745231238,0.0,38.92366689263244,-76.65538114370169,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,0.5201060499112448,0.230364781505619,0.0,0.14285714285714285,0.46566319793884686,0.0,39.07179209853112,-76.66810636231172,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
58,0.7809177775088514,0.1392350028171356,1.0,0.14285714285714285,0.15110093776239739,0.0,38.96993158188101,-76.57143418295757,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59,0.7320789567213796,0.3779743881651054,0.0,0.7142857142857143,0.7903557062586187,1.0,38.92027402658741,-76.72824626496661,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
