household_id_1,household_id_2,timestep,link_type
1,135,0,2
1,189,0,2
2,117,0,2
4,77,0,2
4,53,0,2
4,157,0,2
4,200,0,2
4,19,0,2
5,131,0,1
5,195,0,2
6,13,0,2
6,178,0,2
6,19,0,2
8,147,0,2
8,81,0,2
8,28,0,2
8,100,0,2
8,192,0,2
10,121,0,2
10,82,0,2
11,85,0,2
11,28,0,2
11,166,0,2
11,95,0,2
11,179,0,2
11,20,0,2
13,168,0,2
13,38,0,2
13,186,0,2
13,194,0,2
14,184,0,2
14,71,0,2
14,87,0,2
15,74,0,2
15,185,0,2
15,188,0,2
16,145,0,2
16,180,0,2
16,90,0,2
16,114,0,2
16,110,0,2
17,67,0,2
18,53,0,2
18,182,0,2
18,171,0,2
18,172,0,2
18,33,0,2
19,144,0,2
19,196,0,2
19,128,0,2
19,38,0,2
20,166,0,2
20,194,0,2
21,110,0,2
22,46,0,2
25,147,0,2
25,36,0,2
25,176,0,2
25,126,0,2
25,134,0,2
25,195,0,2
25,86,0,2
25,117,0,2
25,157,0,2
26,200,0,2
27,67,0,2
27,37,0,2
27,187,0,2
27,111,0,2
28,130,0,2
28,129,0,2
28,85,0,2
29,168,0,2
29,142,0,2
29,107,0,2
29,120,0,2
29,39,0,2
29,85,0,2
29,31,0,2
30,134,0,1
30,38,0,2
30,186,0,2
30,196,0,2
31,150,0,1
31,52,0,2
32,37,0,2
32,78,0,2
32,67,0,2
33,67,0,2
33,71,0,2
33,53,0,2
33,111,0,2
34,184,0,2
36,94,0,2
36,57,0,2
37,187,0,2
37,186,0,2
37,121,0,2
37,132,0,2
37,40,0,2
37,91,0,2
38,135,0,2
38,139,0,2
39,111,0,2
40,178,0,2
40,52,0,2
40,111,0,2
40,145,0,2
40,72,0,2
40,173,0,2
40,134,0,2
42,82,0,1
42,100,0,2
42,189,0,2
42,73,0,2
42,155,0,2
42,121,0,2
43,138,0,2
44,189,0,2
46,171,0,2
46,106,0,2
46,191,0,2
46,78,0,2
46,96,0,2
47,53,0,2
48,91,0,2
51,176,0,2
51,195,0,2
51,57,0,2
51,134,0,2
51,121,0,2
51,172,0,2
52,56,0,2
52,107,0,2
52,171,0,2
52,172,0,2
53,162,0,2
53,74,0,2
53,66,0,2
53,90,0,2
53,110,0,2
53,141,0,2
53,194,0,2
53,71,0,2
53,157,0,2
53,144,0,2
53,75,0,2
54,107,0,2
54,71,0,2
54,93,0,2
54,87,0,2
54,189,0,2
56,133,0,1
56,78,0,2
56,187,0,2
57,173,0,2
57,73,0,2
57,94,0,2
57,105,0,2
57,134,0,2
59,138,0,2
59,185,0,2
59,106,0,2
60,174,0,1
62,184,0,2
63,69,0,1
63,114,0,2
63,135,0,2
64,130,0,2
64,83,0,2
64,189,0,2
64,139,0,2
66,140,0,2
67,182,0,1
67,121,0,2
67,173,0,2
67,186,0,2
67,177,0,2
67,155,0,2
67,141,0,2
67,74,0,2
67,99,0,2
67,75,0,2
68,176,0,1
68,161,0,2
69,194,0,2
70,175,0,2
71,98,0,2
71,76,0,2
71,111,0,2
71,107,0,2
71,106,0,2
72,90,0,2
72,78,0,2
72,102,0,2
73,177,0,1
73,126,0,2
73,111,0,2
74,141,0,2
74,111,0,2
75,157,0,2
75,141,0,2
76,122,0,2
76,96,0,2
76,106,0,2
76,160,0,2
77,198,0,1
77,124,0,2
77,142,0,2
77,200,0,2
78,100,0,2
78,150,0,2
78,104,0,2
78,183,0,2
78,153,0,2
78,157,0,2
79,150,0,2
80,94,0,1
80,162,0,1
80,89,0,2
80,86,0,2
80,100,0,2
80,105,0,2
