time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,135,1,0.0
1,1,repair,189,1,0.0
1,0,vacant,135,1,0.0
1,0,vacant,189,1,0.0
1,2,sell,135,1,0.0
1,2,sell,189,1,0.0
1,1,repair,117,2,0.0
1,0,vacant,117,2,0.0
1,2,sell,117,2,0.0
1,1,repair,131,3,0.0
1,1,repair,71,3,0.0
1,2,sell,131,3,0.0
1,2,sell,71,3,0.0
1,1,repair,187,4,0.0
1,1,repair,77,4,0.0
1,1,repair,124,4,0.02184645424333822
1,1,repair,53,4,0.0
1,1,repair,157,4,0.0
1,1,repair,200,4,0.0
1,1,repair,27,4,0.0
1,1,repair,19,4,0.0
1,1,repair,97,4,0.018361752638927413
1,1,repair,141,4,0.0
1,1,repair,111,4,0.0
1,0,vacant,187,4,0.0
1,0,vacant,77,4,0.0
1,0,vacant,124,4,0.0
1,0,vacant,53,4,0.0
1,0,vacant,157,4,0.0
1,0,vacant,200,4,0.0
1,0,vacant,27,4,0.0
1,0,vacant,19,4,0.0
1,0,vacant,97,4,0.0
1,0,vacant,141,4,0.02917968296039205
1,0,vacant,111,4,0.0
1,2,sell,187,4,0.0
1,2,sell,77,4,0.0
1,2,sell,124,4,0.0
1,2,sell,53,4,0.0
1,2,sell,157,4,0.0
1,2,sell,200,4,0.0
1,2,sell,27,4,0.0
1,2,sell,19,4,0.0
1,2,sell,97,4,0.0
1,2,sell,141,4,0.0
1,2,sell,111,4,0.0
1,1,repair,131,5,0.0
1,1,repair,195,5,0.0
1,1,repair,185,5,0.0
1,1,repair,141,5,0.0
1,0,vacant,131,5,0.0
1,0,vacant,195,5,0.03208404307222812
1,0,vacant,185,5,0.0
1,0,vacant,141,5,0.04089584418447091
1,2,sell,131,5,0.0
1,2,sell,195,5,0.0
1,2,sell,185,5,0.0
1,2,sell,141,5,0.0
1,1,repair,16,6,0.0
1,1,repair,13,6,0.0
1,1,repair,178,6,0.0
1,1,repair,76,6,0.0
1,1,repair,19,6,0.0
1,0,vacant,16,6,0.0
1,0,vacant,13,6,0.0
1,0,vacant,178,6,0.0
1,0,vacant,76,6,0.0
1,0,vacant,19,6,0.0
1,2,sell,16,6,0.0
1,2,sell,13,6,0.0
1,2,sell,178,6,0.0
1,2,sell,76,6,0.0
1,2,sell,19,6,0.0
1,0,vacant,161,7,0.0
1,2,sell,161,7,0.0
1,1,repair,68,8,0.0
1,1,repair,161,8,0.0
1,1,repair,140,8,0.0
1,1,repair,150,8,0.0
1,1,repair,138,8,0.0
1,1,repair,147,8,0.0
1,1,repair,81,8,0.0
1,1,repair,200,8,0.0
1,1,repair,28,8,0.0
1,1,repair,100,8,0.0
1,1,repair,192,8,0.0
1,1,repair,59,8,0.0
1,0,vacant,68,8,0.0
1,0,vacant,161,8,0.0
1,0,vacant,140,8,0.0
1,0,vacant,150,8,0.0
1,0,vacant,138,8,0.0
1,0,vacant,147,8,0.0
1,0,vacant,81,8,0.0
1,0,vacant,200,8,0.0
1,0,vacant,28,8,0.0
1,0,vacant,100,8,0.0
1,0,vacant,192,8,0.0
1,0,vacant,59,8,0.0
1,2,sell,68,8,0.0
1,2,sell,161,8,0.0
1,2,sell,140,8,0.0
1,2,sell,150,8,0.0
1,2,sell,138,8,0.0
1,2,sell,147,8,0.0
1,2,sell,81,8,0.0
1,2,sell,200,8,0.0
1,2,sell,28,8,0.0
1,2,sell,100,8,0.0
1,2,sell,192,8,0.0
1,2,sell,59,8,0.0
1,0,vacant,175,10,0.0
1,0,vacant,121,10,0.0
1,0,vacant,82,10,0.0
1,2,sell,175,10,0.0
1,2,sell,121,10,0.0
1,2,sell,82,10,0.0
1,1,repair,85,11,0.0
1,1,repair,28,11,0.0
1,1,repair,166,11,0.0
1,1,repair,83,11,0.0
1,1,repair,142,11,0.0
1,1,repair,95,11,0.0
1,1,repair,179,11,0.0
1,1,repair,81,11,0.0
1,1,repair,20,11,0.0
1,0,vacant,85,11,0.0
1,0,vacant,28,11,0.0
1,0,vacant,166,11,0.0
1,0,vacant,83,11,0.0
1,0,vacant,142,11,0.0
1,0,vacant,95,11,0.0
1,0,vacant,179,11,0.0
1,0,vacant,81,11,0.0
1,0,vacant,20,11,0.0
1,2,sell,85,11,0.0
1,2,sell,28,11,0.0
1,2,sell,166,11,0.0
1,2,sell,83,11,0.0
1,2,sell,142,11,0.0
1,2,sell,95,11,0.0
1,2,sell,179,11,0.0
1,2,sell,81,11,0.0
1,2,sell,20,11,0.0
1,1,repair,51,12,0.0
1,2,sell,51,12,0.0
1,1,repair,168,13,0.0
1,1,repair,38,13,0.0
1,1,repair,144,13,0.0
1,1,repair,186,13,0.0
1,1,repair,6,13,0.0
1,1,repair,119,13,0.0
1,1,repair,90,13,0.09555596735738074
1,1,repair,81,13,0.0
1,1,repair,194,13,0.0
1,0,vacant,168,13,0.0
1,0,vacant,38,13,0.0
1,0,vacant,144,13,0.0
1,0,vacant,186,13,0.0
1,0,vacant,6,13,0.0
1,0,vacant,119,13,0.0
1,0,vacant,90,13,0.0
1,0,vacant,81,13,0.0
1,0,vacant,194,13,0.0
1,2,sell,168,13,0.0
1,2,sell,38,13,0.0
1,2,sell,144,13,0.0
1,2,sell,186,13,0.0
1,2,sell,6,13,0.0
1,2,sell,119,13,0.0
1,2,sell,90,13,0.0
1,2,sell,81,13,0.0
1,2,sell,194,13,0.0
1,1,repair,184,14,0.0
1,1,repair,71,14,0.0
1,1,repair,87,14,0.0
1,0,vacant,184,14,0.0
1,0,vacant,71,14,0.0
1,0,vacant,87,14,0.0
1,2,sell,184,14,0.0
1,2,sell,71,14,0.0
1,2,sell,87,14,0.0
1,1,repair,164,15,0.0
1,1,repair,171,15,0.0
1,1,repair,74,15,0.0
