household_id_1,household_id_2,timestep,link_type
1,140,0,2
1,25,0,2
1,141,0,2
1,92,0,2
1,64,0,2
1,127,0,2
1,117,0,2
1,173,0,2
2,38,0,2
2,72,0,2
2,61,0,2
2,70,0,2
2,107,0,2
2,200,0,2
3,142,0,2
3,169,0,2
4,161,0,2
4,107,0,2
4,170,0,2
4,116,0,2
4,31,0,2
4,176,0,2
4,191,0,2
4,5,0,2
4,200,0,2
4,147,0,2
4,181,0,2
5,170,0,1
5,175,0,2
5,181,0,2
5,125,0,2
5,113,0,2
5,110,0,2
5,69,0,2
5,32,0,2
5,141,0,2
5,172,0,2
5,191,0,2
5,147,0,2
5,31,0,2
6,22,0,2
6,132,0,2
6,169,0,2
6,66,0,2
6,147,0,2
6,176,0,2
6,200,0,2
7,166,0,1
7,125,0,2
7,137,0,2
7,157,0,2
7,81,0,2
7,73,0,2
7,52,0,2
7,99,0,2
8,132,0,1
8,63,0,2
8,111,0,2
8,196,0,2
8,55,0,2
8,66,0,2
8,200,0,2
8,90,0,2
8,168,0,2
8,99,0,2
9,96,0,2
9,143,0,2
9,32,0,2
9,127,0,2
9,92,0,2
9,73,0,2
9,23,0,2
9,114,0,2
9,89,0,2
10,99,0,2
10,166,0,2
10,133,0,2
10,142,0,2
11,21,0,1
11,27,0,1
11,102,0,2
11,137,0,2
11,58,0,2
11,12,0,2
11,118,0,2
12,75,0,1
12,37,0,2
12,81,0,2
12,88,0,2
12,118,0,2
12,26,0,2
12,21,0,2
12,102,0,2
13,141,0,1
13,191,0,2
13,117,0,2
13,186,0,2
14,177,0,2
14,121,0,2
14,57,0,2
14,132,0,2
14,123,0,2
14,184,0,2
14,197,0,2
15,159,0,2
15,173,0,2
15,151,0,2
15,138,0,2
15,185,0,2
15,196,0,2
15,142,0,2
15,176,0,2
16,151,0,2
16,160,0,2
16,185,0,2
16,176,0,2
16,124,0,2
16,173,0,2
16,122,0,2
16,159,0,2
16,44,0,2
17,70,0,2
17,153,0,2
18,50,0,1
18,191,0,2
18,59,0,2
18,42,0,2
18,70,0,2
18,80,0,2
18,105,0,2
18,63,0,2
19,119,0,2
19,161,0,2
19,102,0,2
19,137,0,2
19,107,0,2
19,113,0,2
19,80,0,2
19,63,0,2
20,142,0,1
20,181,0,2
20,147,0,2
20,112,0,2
20,143,0,2
20,122,0,2
21,88,0,1
21,75,0,2
21,192,0,2
21,27,0,2
21,150,0,2
21,58,0,2
21,81,0,2
21,25,0,2
21,118,0,2
22,157,0,1
22,24,0,2
22,181,0,2
22,31,0,2
