household_id_1,household_id_2,timestep,link_type
1,140,0,2
1,25,0,2
1,64,0,2
1,127,0,2
1,173,0,2
2,70,0,2
2,200,0,2
3,142,0,2
4,107,0,2
4,116,0,2
4,191,0,2
4,5,0,2
4,147,0,2
5,170,0,1
5,175,0,2
5,181,0,2
5,125,0,2
5,110,0,2
5,32,0,2
5,172,0,2
6,22,0,2
6,132,0,2
6,66,0,2
6,147,0,2
6,176,0,2
6,200,0,2
7,125,0,2
7,157,0,2
7,81,0,2
7,73,0,2
8,132,0,1
8,111,0,2
8,55,0,2
8,200,0,2
8,168,0,2
9,143,0,2
9,32,0,2
9,23,0,2
9,114,0,2
10,99,0,2
11,27,0,1
11,137,0,2
11,118,0,2
12,81,0,2
13,186,0,2
14,177,0,2
14,132,0,2
14,123,0,2
14,184,0,2
15,159,0,2
15,173,0,2
15,151,0,2
15,142,0,2
16,176,0,2
16,124,0,2
16,173,0,2
18,59,0,2
18,42,0,2
18,80,0,2
18,63,0,2
19,119,0,2
19,107,0,2
19,113,0,2
19,63,0,2
20,142,0,1
20,181,0,2
20,147,0,2
21,27,0,2
21,150,0,2
22,157,0,1
22,24,0,2
22,31,0,2
22,152,0,2
22,46,0,2
22,87,0,2
22,155,0,2
22,120,0,2
23,89,0,2
23,96,0,2
23,158,0,2
23,121,0,2
23,119,0,2
23,132,0,2
23,143,0,2
23,43,0,2
24,31,0,1
24,43,0,2
24,161,0,2
24,186,0,2
24,112,0,2
25,141,0,2
25,158,0,2
25,136,0,2
25,64,0,2
25,60,0,2
26,58,0,2
26,143,0,2
26,109,0,2
26,158,0,2
26,117,0,2
26,96,0,2
26,160,0,2
27,113,0,2
27,192,0,2
27,166,0,2
28,197,0,2
30,94,0,1
30,135,0,2
30,61,0,2
30,148,0,2
31,157,0,1
31,181,0,2
31,112,0,2
31,191,0,2
31,156,0,2
31,39,0,2
31,36,0,2
32,116,0,2
32,92,0,2
32,48,0,2
32,114,0,2
33,63,0,2
34,121,0,2
34,57,0,2
35,166,0,1
35,133,0,2
35,107,0,2
38,72,0,1
38,169,0,2
38,61,0,2
38,176,0,2
39,185,0,2
39,157,0,2
39,81,0,2
39,186,0,2
39,176,0,2
39,132,0,2
39,169,0,2
40,57,0,2
40,72,0,2
40,55,0,2
40,119,0,2
41,82,0,2
41,92,0,2
41,173,0,2
41,177,0,2
41,80,0,2
41,47,0,2
41,168,0,2
42,133,0,2
42,144,0,2
43,119,0,2
43,186,0,2
43,177,0,2
43,197,0,2
44,183,0,2
46,147,0,2
47,159,0,2
