time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,140,1,0.0
1,1,repair,25,1,0.0
1,1,repair,141,1,0.0
1,1,repair,92,1,0.0
1,1,repair,64,1,0.0
1,1,repair,127,1,0.0
1,1,repair,117,1,0.0
1,1,repair,173,1,0.0
1,0,vacant,140,1,0.0
1,0,vacant,25,1,0.0
1,0,vacant,141,1,0.0
1,0,vacant,92,1,0.0
1,0,vacant,64,1,0.0
1,0,vacant,127,1,0.0
1,0,vacant,117,1,0.0
1,0,vacant,173,1,0.0
1,2,sell,140,1,0.0
1,2,sell,25,1,0.0
1,2,sell,141,1,0.0
1,2,sell,92,1,0.0
1,2,sell,64,1,0.0
1,2,sell,127,1,0.0
1,2,sell,117,1,0.0
1,2,sell,173,1,0.0
1,1,repair,38,2,0.0
1,1,repair,72,2,0.0
1,1,repair,61,2,0.0
1,1,repair,70,2,0.0
1,1,repair,107,2,0.0
1,1,repair,200,2,0.0
1,0,vacant,38,2,0.0
1,0,vacant,72,2,0.0
1,0,vacant,61,2,0.0
1,0,vacant,70,2,0.0
1,0,vacant,107,2,0.0
1,0,vacant,200,2,0.0
1,2,sell,38,2,0.0
1,2,sell,72,2,0.0
1,2,sell,61,2,0.0
1,2,sell,70,2,0.0
1,2,sell,107,2,0.0
1,2,sell,200,2,0.0
1,1,repair,142,3,0.0
1,1,repair,169,3,0.0
1,0,vacant,142,3,0.0
1,0,vacant,169,3,0.0
1,2,sell,142,3,0.0
1,2,sell,169,3,0.0
1,1,repair,161,4,0.0
1,1,repair,107,4,0.0
1,1,repair,170,4,0.0
1,1,repair,116,4,0.0
1,1,repair,31,4,0.0
1,1,repair,176,4,0.0
1,1,repair,191,4,0.0
1,1,repair,5,4,0.0
1,1,repair,200,4,0.0
1,1,repair,147,4,0.0
1,1,repair,181,4,0.0
1,0,vacant,161,4,0.0
1,0,vacant,107,4,0.0
1,0,vacant,170,4,0.0
1,0,vacant,116,4,0.0
1,0,vacant,31,4,0.0
1,0,vacant,176,4,0.0
1,0,vacant,191,4,0.0
1,0,vacant,5,4,0.0
1,0,vacant,200,4,0.0
1,0,vacant,147,4,0.0
1,0,vacant,181,4,0.0
1,2,sell,161,4,0.0
1,2,sell,107,4,0.0
1,2,sell,170,4,0.0
1,2,sell,116,4,0.0
1,2,sell,31,4,0.0
1,2,sell,176,4,0.0
1,2,sell,191,4,0.0
1,2,sell,5,4,0.0
1,2,sell,200,4,0.0
1,2,sell,147,4,0.0
1,2,sell,181,4,0.0
1,1,repair,170,5,0.0
1,1,repair,175,5,0.0
1,1,repair,181,5,0.0
1,1,repair,125,5,0.0
1,1,repair,113,5,0.0
1,1,repair,110,5,0.0
1,1,repair,69,5,0.0
1,1,repair,32,5,0.0
1,1,repair,141,5,0.0
1,1,repair,172,5,0.0
1,1,repair,191,5,0.0
1,1,repair,4,5,0.0
1,1,repair,147,5,0.0
