household_id_1,household_id_2,timestep,link_type
1,26,0,2
1,40,0,2
1,20,0,2
1,3,0,2
1,43,0,2
1,41,0,2
1,45,0,2
2,3,0,1
2,41,0,2
2,40,0,2
2,24,0,2
2,37,0,2
2,30,0,2
2,42,0,2
3,43,0,2
3,50,0,2
3,26,0,2
4,38,0,2
4,24,0,2
4,5,0,2
4,37,0,2
5,42,0,1
5,34,0,2
5,14,0,2
5,38,0,2
5,41,0,2
5,30,0,2
5,6,0,2
6,39,0,1
6,30,0,2
6,45,0,2
6,38,0,2
6,16,0,2
6,23,0,2
7,9,0,2
7,20,0,2
7,43,0,2
7,18,0,2
7,40,0,2
7,33,0,2
7,10,0,2
7,46,0,2
7,8,0,2
8,22,0,2
8,43,0,2
8,16,0,2
8,31,0,2
8,40,0,2
8,14,0,2
8,44,0,2
8,41,0,2
8,33,0,2
8,19,0,2
9,18,0,2
9,46,0,2
9,19,0,2
9,13,0,2
9,14,0,2
10,33,0,2
10,18,0,2
10,40,0,2
10,50,0,2
12,37,0,2
12,42,0,2
12,48,0,2
12,41,0,2
12,38,0,2
12,40,0,2
13,47,0,1
13,34,0,2
13,49,0,2
13,46,0,2
14,27,0,2
14,50,0,2
14,45,0,2
14,16,0,2
14,46,0,2
14,33,0,2
14,26,0,2
14,43,0,2
14,49,0,2
14,19,0,2
14,23,0,2
14,18,0,2
15,20,0,2
15,40,0,2
15,50,0,2
15,43,0,2
15,18,0,2
15,47,0,2
15,25,0,2
16,43,0,2
16,35,0,2
16,39,0,2
16,45,0,2
16,19,0,2
17,47,0,1
17,19,0,2
17,23,0,2
18,43,0,1
18,33,0,1
18,40,0,2
18,39,0,2
18,36,0,2
18,49,0,2
18,31,0,2
18,20,0,2
18,32,0,2
19,34,0,2
19,40,0,2
19,32,0,2
19,36,0,2
19,44,0,2
19,22,0,2
19,45,0,2
19,29,0,2
19,46,0,2
19,49,0,2
19,43,0,2
20,28,0,1
20,37,0,1
20,39,0,2
20,49,0,2
20,50,0,2
20,40,0,2
20,43,0,2
20,30,0,2
21,39,0,2
21,40,0,2
21,43,0,2
22,45,0,2
22,50,0,2
22,40,0,2
22,43,0,2
23,41,0,2
23,44,0,2
23,28,0,2
24,38,0,2
24,41,0,2
24,42,0,2
24,30,0,2
24,37,0,2
25,50,0,2
26,28,0,2
26,30,0,2
26,40,0,2
26,39,0,2
27,43,0,2
27,33,0,2
28,45,0,2
28,44,0,2
28,49,0,2
28,43,0,2
29,38,0,1
29,50,0,2
29,46,0,2
29,49,0,2
29,43,0,2
30,45,0,2
30,37,0,2
30,42,0,2
30,41,0,2
31,39,0,2
31,43,0,2
31,33,0,2
32,33,0,2
32,49,0,2
32,43,0,2
33,43,0,1
33,47,0,2
33,50,0,2
34,35,0,2
34,36,0,2
35,39,0,2
36,49,0,2
36,46,0,2
36,45,0,2
37,41,0,2
37,38,0,2
37,45,0,2
38,42,0,2
38,48,0,2
38,41,0,2
39,50,0,2
39,43,0,2
40,45,0,2
40,43,0,2
40,41,0,2
41,42,0,2
41,48,0,2
41,43,0,2
41,45,0,2
41,44,0,2
43,49,0,2
43,50,0,2
43,45,0,2
45,49,0,1
45,46,0,2
46,49,0,2
49,50,0,2
1,26,1,2
1,40,1,2
1,20,1,2
1,3,1,2
1,43,1,2
1,41,1,2
1,45,1,2
2,3,1,1
2,41,1,2
2,40,1,2
2,24,1,2
2,37,1,2
2,30,1,2
2,42,1,2
3,43,1,2
3,50,1,2
3,26,1,2
4,38,1,2
4,24,1,2
4,5,1,2
4,37,1,2
5,42,1,1
5,34,1,2
5,14,1,2
5,38,1,2
5,41,1,2
5,30,1,2
5,6,1,2
6,39,1,1
6,30,1,2
6,45,1,2
6,38,1,2
6,16,1,2
6,23,1,2
7,9,1,2
7,20,1,2
7,43,1,2
7,18,1,2
7,40,1,2
7,33,1,2
7,10,1,2
7,46,1,2
7,8,1,2
8,22,1,2
8,43,1,2
8,16,1,2
8,31,1,2
8,40,1,2
8,14,1,2
8,44,1,2
8,41,1,2
8,33,1,2
8,19,1,2
9,18,1,2
9,46,1,2
9,19,1,2
9,13,1,2
9,14,1,2
10,33,1,2
10,18,1,2
10,40,1,2
10,50,1,2
12,37,1,2
12,42,1,2
12,48,1,2
12,41,1,2
12,38,1,2
12,40,1,2
13,47,1,1
13,34,1,2
13,49,1,2
13,46,1,2
14,27,1,2
14,50,1,2
14,45,1,2
14,16,1,2
14,46,1,2
14,33,1,2
14,26,1,2
14,43,1,2
14,49,1,2
14,19,1,2
14,23,1,2
14,18,1,2
15,20,1,2
15,40,1,2
15,50,1,2
15,43,1,2
15,18,1,2
15,47,1,2
15,25,1,2
16,43,1,2
16,35,1,2
16,39,1,2
16,45,1,2
16,19,1,2
17,47,1,1
17,19,1,2
17,23,1,2
18,43,1,1
18,33,1,1
18,40,1,2
18,39,1,2
18,36,1,2
18,49,1,2
18,31,1,2
18,20,1,2
19,34,1,2
19,40,1,2
19,36,1,2
19,44,1,2
19,22,1,2
19,45,1,2
19,29,1,2
19,46,1,2
19,49,1,2
19,43,1,2
20,28,1,1
20,37,1,1
20,39,1,2
20,49,1,2
20,50,1,2
20,40,1,2
20,43,1,2
20,30,1,2
21,39,1,2
21,40,1,2
21,43,1,2
22,45,1,2
22,50,1,2
22,40,1,2
22,43,1,2
23,41,1,2
23,44,1,2
23,28,1,2
24,38,1,2
24,41,1,2
24,42,1,2
24,30,1,2
24,37,1,2
25,50,1,2
26,28,1,2
26,30,1,2
26,40,1,2
26,39,1,2
27,43,1,2
27,33,1,2
28,45,1,2
28,44,1,2
28,49,1,2
28,43,1,2
29,38,1,1
29,50,1,2
29,46,1,2
29,49,1,2
29,43,1,2
30,45,1,2
30,37,1,2
30,42,1,2
30,41,1,2
31,39,1,2
31,43,1,2
31,33,1,2
33,43,1,1
33,47,1,2
33,50,1,2
34,35,1,2
34,36,1,2
35,39,1,2
36,49,1,2
36,46,1,2
36,45,1,2
37,41,1,2
37,38,1,2
37,45,1,2
38,42,1,2
38,48,1,2
38,41,1,2
39,50,1,2
39,43,1,2
40,45,1,2
40,43,1,2
40,41,1,2
41,42,1,2
41,48,1,2
41,43,1,2
41,45,1,2
41,44,1,2
43,49,1,2
43,50,1,2
43,45,1,2
45,49,1,1
45,46,1,2
46,49,1,2
49,50,1,2
1,26,2,2
1,40,2,2
1,20,2,2
1,3,2,2
1,43,2,2
1,41,2,2
1,45,2,2
2,3,2,1
2,41,2,2
2,40,2,2
2,24,2,2
2,37,2,2
2,30,2,2
2,42,2,2
3,43,2,2
3,50,2,2
3,26,2,2
4,38,2,2
4,24,2,2
4,5,2,2
4,37,2,2
5,42,2,1
5,34,2,2
5,14,2,2
5,38,2,2
5,41,2,2
5,30,2,2
5,6,2,2
6,39,2,1
6,30,2,2
6,45,2,2
6,38,2,2
6,16,2,2
6,23,2,2
7,9,2,2
7,20,2,2
7,43,2,2
7,18,2,2
7,40,2,2
7,33,2,2
7,10,2,2
7,46,2,2
7,8,2,2
8,22,2,2
8,43,2,2
8,16,2,2
8,31,2,2
8,40,2,2
8,14,2,2
8,44,2,2
8,41,2,2
8,33,2,2
8,19,2,2
9,18,2,2
9,46,2,2
9,19,2,2
9,13,2,2
9,14,2,2
10,33,2,2
10,18,2,2
10,40,2,2
10,50,2,2
12,37,2,2
12,42,2,2
12,48,2,2
12,41,2,2
12,38,2,2
12,40,2,2
13,47,2,1
13,34,2,2
13,49,2,2
13,46,2,2
14,27,2,2
14,50,2,2
14,45,2,2
14,16,2,2
14,46,2,2
14,33,2,2
14,26,2,2
14,43,2,2
14,49,2,2
14,19,2,2
14,23,2,2
14,18,2,2
15,20,2,2
15,40,2,2
15,50,2,2
15,43,2,2
15,18,2,2
15,47,2,2
15,25,2,2
16,43,2,2
16,35,2,2
16,39,2,2
16,45,2,2
16,19,2,2
17,47,2,1
17,19,2,2
17,23,2,2
18,43,2,1
18,33,2,1
18,40,2,2
18,39,2,2
18,36,2,2
18,49,2,2
18,31,2,2
18,20,2,2
19,34,2,2
19,40,2,2
19,36,2,2
19,44,2,2
19,22,2,2
19,45,2,2
19,29,2,2
19,46,2,2
19,49,2,2
19,43,2,2
20,28,2,1
20,37,2,1
20,39,2,2
20,49,2,2
20,50,2,2
20,40,2,2
20,43,2,2
20,30,2,2
21,39,2,2
21,40,2,2
21,43,2,2
22,45,2,2
22,50,2,2
22,40,2,2
22,43,2,2
23,41,2,2
23,44,2,2
23,28,2,2
24,38,2,2
24,41,2,2
24,42,2,2
24,30,2,2
24,37,2,2
25,50,2,2
26,28,2,2
26,30,2,2
26,40,2,2
26,39,2,2
27,43,2,2
27,33,2,2
28,45,2,2
28,44,2,2
28,49,2,2
28,43,2,2
29,38,2,1
29,50,2,2
29,46,2,2
29,49,2,2
29,43,2,2
30,45,2,2
30,37,2,2
30,42,2,2
30,41,2,2
31,39,2,2
31,43,2,2
31,33,2,2
33,43,2,1
33,47,2,2
33,50,2,2
34,35,2,2
34,36,2,2
35,39,2,2
36,49,2,2
36,46,2,2
36,45,2,2
37,41,2,2
37,38,2,2
37,45,2,2
38,42,2,2
38,48,2,2
38,41,2,2
39,50,2,2
39,43,2,2
40,45,2,2
40,43,2,2
40,41,2,2
41,42,2,2
41,48,2,2
41,43,2,2
41,45,2,2
41,44,2,2
43,49,2,2
43,50,2,2
43,45,2,2
45,49,2,1
45,46,2,2
46,49,2,2
49,50,2,2
1,26,3,2
1,40,3,2
1,20,3,2
1,3,3,2
1,43,3,2
1,41,3,2
1,45,3,2
2,3,3,1
2,41,3,2
2,40,3,2
2,24,3,2
2,37,3,2
2,30,3,2
2,42,3,2
3,43,3,2
3,50,3,2
3,26,3,2
4,38,3,2
4,24,3,2
4,5,3,2
4,37,3,2
5,42,3,1
5,34,3,2
5,14,3,2
5,38,3,2
5,41,3,2
5,30,3,2
5,6,3,2
6,39,3,1
6,30,3,2
6,45,3,2
6,38,3,2
6,16,3,2
6,23,3,2
7,9,3,2
7,20,3,2
7,43,3,2
