household_id_1,household_id_2,timestep,link_type
1,26,0,2
1,40,0,2
1,20,0,2
1,3,0,2
1,45,0,2
2,3,0,1
2,41,0,2
2,37,0,2
2,30,0,2
4,5,0,2
4,37,0,2
5,34,0,2
5,14,0,2
5,38,0,2
5,41,0,2
5,30,0,2
5,6,0,2
6,45,0,2
6,38,0,2
6,16,0,2
7,20,0,2
7,18,0,2
7,40,0,2
7,46,0,2
8,22,0,2
8,43,0,2
8,16,0,2
8,31,0,2
8,14,0,2
9,14,0,2
10,18,0,2
10,50,0,2
12,42,0,2
13,47,0,1
13,46,0,2
14,27,0,2
14,16,0,2
14,33,0,2
15,20,0,2
15,40,0,2
15,50,0,2
15,43,0,2
15,25,0,2
16,35,0,2
16,19,0,2
18,33,0,1
18,36,0,2
18,49,0,2
18,20,0,2
18,32,0,2
19,34,0,2
19,32,0,2
19,46,0,2
20,28,0,1
20,37,0,1
20,39,0,2
20,50,0,2
20,43,0,2
20,30,0,2
21,39,0,2
21,43,0,2
22,45,0,2
23,28,0,2
24,38,0,2
24,30,0,2
24,37,0,2
25,50,0,2
26,28,0,2
26,39,0,2
27,43,0,2
28,45,0,2
28,44,0,2
28,49,0,2
29,46,0,2
29,43,0,2
30,45,0,2
31,43,0,2
31,33,0,2
32,33,0,2
32,49,0,2
33,47,0,2
33,50,0,2
34,36,0,2
35,39,0,2
36,45,0,2
37,41,0,2
37,38,0,2
38,48,0,2
39,43,0,2
40,45,0,2
41,42,0,2
41,48,0,2
43,49,0,2
43,50,0,2
45,46,0,2
46,49,0,2
49,50,0,2
1,3,1,2
1,43,1,2
1,41,1,2
1,45,1,2
2,3,1,1
2,40,1,2
2,24,1,2
4,24,1,2
5,30,1,2
5,6,1,2
6,39,1,1
7,43,1,2
8,43,1,2
8,16,1,2
8,31,1,2
8,40,1,2
8,33,1,2
8,19,1,2
9,46,1,2
9,13,1,2
10,40,1,2
10,50,1,2
12,37,1,2
12,41,1,2
12,38,1,2
12,40,1,2
13,47,1,1
13,46,1,2
14,33,1,2
14,26,1,2
14,18,1,2
15,20,1,2
15,40,1,2
15,18,1,2
15,25,1,2
16,43,1,2
16,39,1,2
16,45,1,2
16,19,1,2
18,43,1,1
18,33,1,1
18,49,1,2
19,36,1,2
19,44,1,2
19,45,1,2
19,29,1,2
19,49,1,2
19,43,1,2
20,39,1,2
20,49,1,2
20,50,1,2
20,30,1,2
21,40,1,2
21,43,1,2
22,45,1,2
22,50,1,2
22,40,1,2
22,43,1,2
23,44,1,2
23,28,1,2
24,42,1,2
24,37,1,2
25,50,1,2
26,28,1,2
26,30,1,2
26,40,1,2
26,39,1,2
27,43,1,2
27,33,1,2
28,49,1,2
28,43,1,2
29,49,1,2
29,43,1,2
30,37,1,2
33,43,1,1
33,47,1,2
36,46,1,2
36,45,1,2
37,38,1,2
39,43,1,2
40,45,1,2
40,41,1,2
41,42,1,2
41,45,1,2
43,49,1,2
43,45,1,2
45,46,1,2
1,26,2,2
1,40,2,2
1,20,2,2
1,43,2,2
1,41,2,2
1,45,2,2
2,3,2,1
2,37,2,2
3,43,2,2
3,50,2,2
3,26,2,2
4,24,2,2
4,5,2,2
5,14,2,2
5,38,2,2
5,6,2,2
6,30,2,2
6,38,2,2
6,16,2,2
7,9,2,2
7,20,2,2
7,18,2,2
7,33,2,2
8,22,2,2
8,31,2,2
8,40,2,2
8,14,2,2
8,41,2,2
8,33,2,2
9,46,2,2
9,19,2,2
10,33,2,2
10,18,2,2
12,37,2,2
12,42,2,2
12,48,2,2
12,41,2,2
12,38,2,2
12,40,2,2
13,49,2,2
14,27,2,2
14,16,2,2
14,43,2,2
14,23,2,2
14,18,2,2
15,18,2,2
15,47,2,2
15,25,2,2
16,43,2,2
16,45,2,2
18,43,2,1
18,33,2,1
18,39,2,2
18,49,2,2
19,34,2,2
19,40,2,2
19,44,2,2
19,22,2,2
19,45,2,2
19,46,2,2
19,49,2,2
19,43,2,2
20,37,2,1
20,50,2,2
20,43,2,2
21,39,2,2
21,43,2,2
22,45,2,2
22,50,2,2
22,43,2,2
23,44,2,2
24,38,2,2
24,42,2,2
26,28,2,2
26,40,2,2
27,43,2,2
27,33,2,2
28,45,2,2
28,44,2,2
28,49,2,2
28,43,2,2
29,38,2,1
29,50,2,2
29,43,2,2
30,42,2,2
31,39,2,2
31,43,2,2
31,33,2,2
33,47,2,2
33,50,2,2
34,35,2,2
34,36,2,2
36,49,2,2
36,46,2,2
36,45,2,2
37,41,2,2
37,45,2,2
39,43,2,2
41,43,2,2
41,44,2,2
43,49,2,2
46,49,2,2
1,26,3,2
1,43,3,2
1,41,3,2
2,3,3,1
2,24,3,2
2,30,3,2
3,50,3,2
4,38,3,2
4,5,3,2
4,37,3,2
5,41,3,2
5,30,3,2
6,39,3,1
7,9,3,2
7,20,3,2
7,8,3,2
8,44,3,2
8,33,3,2
8,19,3,2
9,18,3,2
9,13,3,2
10,18,3,2
10,50,3,2
12,37,3,2
12,42,3,2
12,48,3,2
12,41,3,2
12,38,3,2
12,40,3,2
13,49,3,2
13,46,3,2
14,27,3,2
14,50,3,2
14,46,3,2
14,33,3,2
14,23,3,2
14,18,3,2
15,50,3,2
15,18,3,2
15,25,3,2
16,43,3,2
16,35,3,2
16,39,3,2
16,45,3,2
17,47,3,1
17,19,3,2
17,23,3,2
18,43,3,1
18,33,3,1
18,40,3,2
18,49,3,2
18,31,3,2
19,40,3,2
19,44,3,2
19,22,3,2
19,49,3,2
20,28,3,1
20,39,3,2
20,49,3,2
20,50,3,2
20,30,3,2
21,39,3,2
21,40,3,2
21,43,3,2
22,45,3,2
22,50,3,2
23,44,3,2
23,28,3,2
24,42,3,2
25,50,3,2
26,30,3,2
26,39,3,2
27,43,3,2
28,44,3,2
28,49,3,2
28,43,3,2
29,38,3,1
29,50,3,2
29,43,3,2
30,37,3,2
30,42,3,2
31,39,3,2
31,43,3,2
31,33,3,2
33,47,3,2
34,35,3,2
36,49,3,2
36,45,3,2
37,41,3,2
37,38,3,2
37,45,3,2
38,42,3,2
38,48,3,2
39,43,3,2
40,45,3,2
40,41,3,2
41,48,3,2
41,43,3,2
41,44,3,2
43,45,3,2
45,49,3,1
45,46,3,2
46,49,3,2
1,26,4,2
1,20,4,2
2,41,4,2
2,24,4,2
2,37,4,2
2,42,4,2
3,50,4,2
4,38,4,2
4,24,4,2
4,5,4,2
4,37,4,2
5,42,4,1
5,38,4,2
5,30,4,2
6,39,4,1
6,30,4,2
6,38,4,2
6,23,4,2
7,20,4,2
7,40,4,2
7,10,4,2
8,22,4,2
8,43,4,2
8,16,4,2
8,33,4,2
9,18,4,2
9,19,4,2
9,13,4,2
9,14,4,2
10,18,4,2
10,50,4,2
12,37,4,2
12,42,4,2
12,48,4,2
12,41,4,2
12,38,4,2
13,47,4,1
13,34,4,2
14,27,4,2
14,45,4,2
14,46,4,2
14,33,4,2
14,26,4,2
14,43,4,2
14,19,4,2
14,23,4,2
15,40,4,2
15,50,4,2
15,43,4,2
15,18,4,2
15,47,4,2
16,45,4,2
17,47,4,1
17,19,4,2
18,43,4,1
18,39,4,2
18,31,4,2
19,36,4,2
19,44,4,2
19,22,4,2
19,29,4,2
19,46,4,2
19,43,4,2
20,28,4,1
20,37,4,1
20,40,4,2
20,43,4,2
20,30,4,2
22,45,4,2
22,43,4,2
23,41,4,2
23,44,4,2
23,28,4,2
24,41,4,2
24,42,4,2
26,30,4,2
26,39,4,2
27,43,4,2
28,45,4,2
30,45,4,2
30,37,4,2
30,41,4,2
31,39,4,2
31,33,4,2
33,43,4,1
33,47,4,2
33,50,4,2
34,35,4,2
34,36,4,2
35,39,4,2
36,49,4,2
36,46,4,2
36,45,4,2
37,41,4,2
37,38,4,2
37,45,4,2
38,48,4,2
39,43,4,2
40,45,4,2
41,42,4,2
41,48,4,2
41,44,4,2
43,49,4,2
43,50,4,2
43,45,4,2
45,49,4,1
46,49,4,2
49,50,4,2
1,26,5,2
1,40,5,2
1,20,5,2
1,41,5,2
1,45,5,2
2,41,5,2
2,40,5,2
2,24,5,2
2,42,5,2
3,43,5,2
3,26,5,2
4,38,5,2
4,5,5,2
4,37,5,2
5,42,5,1
5,14,5,2
5,38,5,2
5,41,5,2
5,6,5,2
6,39,5,1
6,30,5,2
6,38,5,2
6,16,5,2
7,9,5,2
7,20,5,2
7,43,5,2
7,40,5,2
7,33,5,2
7,10,5,2
7,46,5,2
8,22,5,2
8,31,5,2
8,14,5,2
8,44,5,2
8,41,5,2
8,19,5,2
9,18,5,2
9,19,5,2
10,33,5,2
10,18,5,2
12,48,5,2
12,38,5,2
12,40,5,2
13,49,5,2
13,46,5,2
14,45,5,2
14,16,5,2
14,33,5,2
14,26,5,2
14,43,5,2
14,49,5,2
15,20,5,2
15,40,5,2
15,50,5,2
15,43,5,2
15,18,5,2
15,25,5,2
16,43,5,2
16,35,5,2
16,19,5,2
17,47,5,1
17,19,5,2
17,23,5,2
18,43,5,1
18,39,5,2
18,36,5,2
18,49,5,2
18,20,5,2
19,40,5,2
19,45,5,2
19,29,5,2
19,46,5,2
19,49,5,2
19,43,5,2
20,28,5,1
20,49,5,2
20,43,5,2
22,40,5,2
22,43,5,2
23,41,5,2
23,44,5,2
23,28,5,2
24,38,5,2
24,42,5,2
25,50,5,2
26,28,5,2
26,40,5,2
26,39,5,2
27,43,5,2
27,33,5,2
28,45,5,2
28,44,5,2
28,43,5,2
29,38,5,1
29,50,5,2
29,46,5,2
29,49,5,2
29,43,5,2
30,37,5,2
30,42,5,2
31,39,5,2
31,43,5,2
33,47,5,2
34,36,5,2
36,46,5,2
37,41,5,2
37,38,5,2
38,48,5,2
39,50,5,2
41,48,5,2
41,43,5,2
41,45,5,2
41,44,5,2
43,49,5,2
43,50,5,2
43,45,5,2
45,46,5,2
49,50,5,2
1,26,6,2
1,40,6,2
1,20,6,2
1,3,6,2
1,43,6,2
2,24,6,2
2,42,6,2
3,43,6,2
3,50,6,2
4,24,6,2
4,5,6,2
5,14,6,2
