time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,26,1,0.0
1,1,repair,40,1,0.0
1,1,repair,20,1,0.0
1,1,repair,3,1,0.0
1,1,repair,43,1,0.0
1,1,repair,41,1,0.0
1,1,repair,45,1,0.0
1,0,vacant,26,1,0.0
1,0,vacant,40,1,0.0
1,0,vacant,20,1,0.0
1,0,vacant,3,1,0.0
1,0,vacant,43,1,0.0
1,0,vacant,41,1,0.0
1,0,vacant,45,1,0.0
1,2,sell,26,1,0.0
1,2,sell,40,1,0.0
1,2,sell,20,1,0.0
1,2,sell,3,1,0.0
1,2,sell,43,1,0.0
1,2,sell,41,1,0.0
1,2,sell,45,1,0.0
1,1,repair,3,2,0.0
1,1,repair,41,2,0.0
1,1,repair,40,2,0.0
1,1,repair,24,2,0.0
1,1,repair,37,2,0.0
1,1,repair,30,2,0.0
1,1,repair,42,2,0.0
1,0,vacant,3,2,0.0
1,0,vacant,41,2,0.0
1,0,vacant,40,2,0.0
1,0,vacant,24,2,0.0
1,0,vacant,37,2,0.0
1,0,vacant,30,2,0.0
1,0,vacant,42,2,0.0
1,2,sell,3,2,0.0
1,2,sell,41,2,0.0
1,2,sell,40,2,0.0
1,2,sell,24,2,0.0
1,2,sell,37,2,0.0
1,2,sell,30,2,0.0
1,2,sell,42,2,0.0
1,1,repair,2,3,0.0
1,1,repair,43,3,0.0
1,1,repair,50,3,0.0
1,1,repair,26,3,0.0
1,1,repair,1,3,0.0
1,0,vacant,2,3,0.0
1,0,vacant,43,3,0.0
1,0,vacant,50,3,0.0
1,0,vacant,26,3,0.0
1,0,vacant,1,3,0.0
1,2,sell,2,3,0.0
1,2,sell,43,3,0.0
1,2,sell,50,3,0.0
1,2,sell,26,3,0.0
1,2,sell,1,3,0.0
1,1,repair,38,4,0.0
1,1,repair,24,4,0.0
1,1,repair,5,4,0.0
1,1,repair,37,4,0.0
1,0,vacant,38,4,0.0
1,0,vacant,24,4,0.0
1,0,vacant,5,4,0.0
1,0,vacant,37,4,0.0
1,2,sell,38,4,0.0
1,2,sell,24,4,0.0
1,2,sell,5,4,0.0
1,2,sell,37,4,0.0
1,1,repair,42,5,0.0
1,1,repair,34,5,0.0
1,1,repair,14,5,0.0
1,1,repair,38,5,0.0
1,1,repair,4,5,0.0
1,1,repair,41,5,0.0
1,1,repair,30,5,0.0
1,1,repair,6,5,0.0
1,0,vacant,42,5,0.0
1,0,vacant,34,5,0.0
1,0,vacant,14,5,0.0
1,0,vacant,38,5,0.0
1,0,vacant,4,5,0.0
1,0,vacant,41,5,0.0
1,0,vacant,30,5,0.0
1,0,vacant,6,5,0.0
1,2,sell,42,5,0.0
1,2,sell,34,5,0.0
1,2,sell,14,5,0.0
1,2,sell,38,5,0.0
1,2,sell,4,5,0.0
1,2,sell,41,5,0.0
1,2,sell,30,5,0.0
1,2,sell,6,5,0.0
1,1,repair,39,6,0.0
