household_id_1,household_id_2,timestep,link_type
1,68,0,2
1,77,0,2
1,132,0,2
2,197,0,2
2,3,0,2
2,67,0,2
2,156,0,2
2,191,0,2
2,190,0,2
2,55,0,2
2,200,0,2
3,98,0,2
3,137,0,2
3,167,0,2
3,64,0,2
3,108,0,2
3,100,0,2
3,41,0,2
4,74,0,2
4,14,0,2
4,19,0,2
4,134,0,2
4,186,0,2
4,67,0,2
4,99,0,2
4,187,0,2
4,63,0,2
4,84,0,2
4,197,0,2
4,116,0,2
5,199,0,1
5,20,0,1
5,53,0,1
5,63,0,2
5,197,0,2
5,180,0,2
5,194,0,2
5,105,0,2
5,113,0,2
5,149,0,2
5,124,0,2
5,160,0,2
5,200,0,2
5,82,0,2
5,165,0,2
5,8,0,2
6,143,0,2
6,121,0,2
6,72,0,2
6,190,0,2
6,100,0,2
7,24,0,2
7,193,0,2
7,9,0,2
7,82,0,2
7,180,0,2
7,63,0,2
7,165,0,2
8,155,0,1
8,52,0,2
8,194,0,2
8,195,0,2
8,173,0,2
8,153,0,2
8,181,0,2
8,199,0,2
9,179,0,2
9,127,0,2
9,46,0,2
9,102,0,2
9,143,0,2
9,24,0,2
9,69,0,2
9,191,0,2
10,153,0,2
10,199,0,2
11,158,0,1
11,25,0,2
11,125,0,2
11,108,0,2
11,155,0,2
11,43,0,2
11,62,0,2
11,42,0,2
11,112,0,2
11,173,0,2
11,145,0,2
11,90,0,2
11,70,0,2
12,159,0,1
12,29,0,2
12,59,0,2
12,113,0,2
13,59,0,2
13,191,0,2
13,124,0,2
13,29,0,2
13,170,0,2
13,157,0,2
13,159,0,2
13,187,0,2
14,116,0,2
14,99,0,2
14,163,0,2
14,174,0,2
14,180,0,2
16,195,0,1
17,181,0,2
17,172,0,2
18,96,0,1
18,117,0,2
18,191,0,2
18,182,0,2
18,75,0,2
18,173,0,2
18,44,0,2
18,159,0,2
18,195,0,2
18,142,0,2
19,181,0,2
19,33,0,2
20,155,0,2
20,31,0,2
20,199,0,2
20,24,0,2
20,153,0,2
21,42,0,2
21,157,0,2
21,143,0,2
21,43,0,2
21,193,0,2
21,70,0,2
21,170,0,2
22,23,0,2
22,86,0,2
22,108,0,2
22,98,0,2
22,177,0,2
22,157,0,2
22,115,0,2
22,39,0,2
23,191,0,2
23,92,0,2
23,200,0,2
23,114,0,2
23,39,0,2
23,111,0,2
23,29,0,2
23,199,0,2
23,155,0,2
23,108,0,2
24,179,0,2
24,31,0,2
24,76,0,2
24,188,0,2
24,174,0,2
24,190,0,2
24,156,0,2
24,116,0,2
24,65,0,2
24,127,0,2
25,112,0,1
25,177,0,2
25,125,0,2
26,75,0,2
26,66,0,2
26,105,0,2
26,143,0,2
26,191,0,2
26,102,0,2
26,157,0,2
26,170,0,2
26,126,0,2
26,193,0,2
27,65,0,2
27,106,0,2
27,102,0,2
28,46,0,2
28,52,0,2
29,187,0,2
29,163,0,2
29,124,0,2
29,111,0,2
29,51,0,2
29,185,0,2
29,39,0,2
30,163,0,2
30,67,0,2
31,62,0,1
31,131,0,2
31,65,0,2
31,86,0,2
31,61,0,2
31,50,0,2
31,68,0,2
31,82,0,2
31,66,0,2
31,174,0,2
31,39,0,2
32,180,0,2
32,193,0,2
33,121,0,2
33,180,0,2
33,107,0,2
33,134,0,2
33,181,0,2
34,55,0,1
34,65,0,2
34,86,0,2
34,181,0,2
34,45,0,2
34,154,0,2
35,68,0,2
36,107,0,1
36,72,0,1
36,181,0,2
36,157,0,2
36,143,0,2
36,190,0,2
36,170,0,2
36,184,0,2
36,75,0,2
36,83,0,2
36,150,0,2
36,158,0,2
37,117,0,2
39,111,0,1
39,129,0,2
39,131,0,2
39,61,0,2
39,189,0,2
39,110,0,2
39,62,0,2
39,114,0,2
39,199,0,2
40,186,0,2
40,171,0,2
41,167,0,1
41,108,0,2
41,100,0,2
41,64,0,2
41,98,0,2
42,179,0,2
42,126,0,2
42,70,0,2
42,90,0,2
42,108,0,2
42,155,0,2
43,70,0,2
43,158,0,2
43,173,0,2
43,45,0,2
44,111,0,1
44,159,0,2
44,147,0,2
44,182,0,2
44,195,0,2
44,166,0,2
44,189,0,2
44,62,0,2
45,173,0,1
45,70,0,2
45,56,0,2
45,166,0,2
46,167,0,2
46,157,0,2
46,50,0,2
46,92,0,2
46,170,0,2
46,193,0,2
46,165,0,2
46,131,0,2
46,180,0,2
46,47,0,2
46,114,0,2
46,106,0,2
46,132,0,2
46,151,0,2
46,55,0,2
46,191,0,2
49,171,0,2
49,112,0,2
49,187,0,2
49,160,0,2
49,125,0,2
49,129,0,2
49,132,0,2
50,86,0,2
50,166,0,2
50,66,0,2
50,181,0,2
50,56,0,2
50,65,0,2
50,154,0,2
50,174,0,2
50,116,0,2
50,132,0,2
50,151,0,2
51,92,0,2
52,186,0,2
52,195,0,2
52,188,0,2
52,181,0,2
52,154,0,2
52,134,0,2
52,172,0,2
52,78,0,2
53,155,0,2
53,129,0,2
53,199,0,2
53,78,0,2
54,121,0,2
54,181,0,2
54,180,0,2
55,148,0,2
55,82,0,2
56,76,0,2
56,154,0,2
56,118,0,2
56,116,0,2
56,86,0,2
56,66,0,2
56,181,0,2
56,157,0,2
56,65,0,2
56,61,0,2
56,174,0,2
57,111,0,1
57,189,0,2
58,112,0,2
58,100,0,2
