time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,68,1,0.0
1,1,repair,77,1,0.0
1,1,repair,132,1,0.0
1,0,vacant,68,1,0.0
1,0,vacant,77,1,0.0
1,0,vacant,132,1,0.0
1,2,sell,68,1,0.0
1,2,sell,77,1,0.0
1,2,sell,132,1,0.0
1,0,vacant,197,2,0.0
1,0,vacant,3,2,0.0
1,0,vacant,67,2,0.0
1,0,vacant,156,2,0.0
1,0,vacant,191,2,0.0
1,0,vacant,190,2,0.0
1,0,vacant,55,2,0.0
1,0,vacant,200,2,0.0
1,2,sell,197,2,0.0
1,2,sell,3,2,0.0
1,2,sell,67,2,0.0
1,2,sell,156,2,0.0
1,2,sell,191,2,0.0
1,2,sell,190,2,0.0
1,2,sell,55,2,0.0
1,2,sell,200,2,0.0
1,1,repair,98,3,0.0
1,1,repair,137,3,0.0
1,1,repair,2,3,0.10990999362000975
1,1,repair,167,3,0.0
1,1,repair,64,3,0.0
1,1,repair,108,3,0.0895819425254778
1,1,repair,100,3,0.0
1,1,repair,41,3,0.0
1,0,vacant,98,3,0.0
1,0,vacant,137,3,0.0
1,0,vacant,2,3,0.0
1,0,vacant,167,3,0.0
1,0,vacant,64,3,0.0
1,0,vacant,108,3,0.0
1,0,vacant,100,3,0.0
1,0,vacant,41,3,0.0
1,2,sell,98,3,0.0
1,2,sell,137,3,0.0
1,2,sell,2,3,0.0
1,2,sell,167,3,0.0
1,2,sell,64,3,0.0
1,2,sell,108,3,0.0
1,2,sell,100,3,0.0
1,2,sell,41,3,0.0
1,1,repair,74,4,0.0
1,1,repair,14,4,0.0
1,1,repair,19,4,0.0
1,1,repair,134,4,0.0
1,1,repair,186,4,0.0
1,1,repair,67,4,0.0
1,1,repair,99,4,0.0
1,1,repair,187,4,0.0
1,1,repair,63,4,0.0
1,1,repair,84,4,0.0
1,1,repair,197,4,0.0
1,1,repair,116,4,0.0
1,0,vacant,74,4,0.0
1,0,vacant,14,4,0.0
1,0,vacant,19,4,0.0
1,0,vacant,134,4,0.0
1,0,vacant,186,4,0.0
1,0,vacant,67,4,0.0
1,0,vacant,99,4,0.0
1,0,vacant,187,4,0.0
1,0,vacant,63,4,0.0
1,0,vacant,84,4,0.0
1,0,vacant,197,4,0.0
1,0,vacant,116,4,0.0
1,2,sell,74,4,0.0
1,2,sell,14,4,0.0
1,2,sell,19,4,0.0
1,2,sell,134,4,0.0
1,2,sell,186,4,0.0
1,2,sell,67,4,0.0
1,2,sell,99,4,0.0
1,2,sell,187,4,0.0
1,2,sell,63,4,0.0
1,2,sell,84,4,0.0
1,2,sell,197,4,0.0
1,2,sell,116,4,0.0
1,1,repair,199,5,0.0
1,1,repair,20,5,0.0
1,1,repair,53,5,0.0
1,1,repair,63,5,0.0
