household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.2446746990737706,0.112192437040063,1.0,0.5714285714285714,0.6759575401261285,0.0,39.10882430690751,-76.56658563152877,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,0.5285654089105637,0.5644573183476156,1.0,0.4285714285714285,0.6087947229239425,0.25,39.125680953564256,-76.49752111752898,isolated,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,0.6176956186115725,0.3452052703230936,0.0,0.5714285714285714,0.8184994931338672,0.0,39.09654715837885,-76.53292790609882,social_follower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0.6996659948616977,0.422247412122577,0.0,1.0,0.7465379483948619,0.25,38.927957656525024,-76.78644069363074,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,0.463673452012071,0.7244964976546232,0.0,0.5714285714285714,0.5039904188746931,0.25,39.13758376329705,-76.62113707220306,isolated,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.3696009398964586,0.0390285848253696,0.5,0.1428571428571428,0.5748509522242838,0.0,38.978994455565065,-76.37375886297913,resistant,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,0.5162533870014625,0.5195521072842644,0.0,0.7142857142857143,0.5603294348634719,0.0,38.955081849276525,-76.6350196802864,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,0.4565866318558113,0.1532858069841948,0.0,0.1428571428571428,0.3001897127659845,0.0,38.80640370445016,-76.51725188041753,resistant,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,0.6729404284232154,0.8957933868777799,0.5,0.1428571428571428,0.3758867871734736,0.0,38.956668039053,-76.66331810135387,isolated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,0.5327647421827292,0.6102779242698354,0.5,0.5714285714285714,0.7260750791579792,0.25,39.098546246356754,-76.52941574510172,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,0.2536307148847817,0.9134994267083396,0.0,0.5714285714285714,0.6819786520035863,0.0,38.92847450328344,-76.7780452081635,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,0.547233267967218,0.6475241385986316,0.0,0.2857142857142857,0.3465225186311563,0.0,39.09238621951343,-76.5296562295,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,0.4399895052983808,0.5317949231242797,0.0,0.2857142857142857,0.4339789622818727,0.0,38.978197786643015,-76.60891797144268,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,0.7812942264454237,0.1176295218947976,0.0,0.8571428571428571,0.4422696382234887,0.25,39.07902895357513,-76.67381032813357,isolated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15,0.4955568834907482,0.5606680464991959,0.25,0.5714285714285714,0.3980957945456074,0.25,38.95255701821876,-76.62710078546797,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,0.4375937775973528,0.3807261886026233,0.5,0.4285714285714285,0.8007041747185418,0.25,38.78414922389408,-76.53390879670795,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17,0.554311834083461,0.0094906261369302,0.0,0.8571428571428571,0.468977428257984,0.0,38.94507073186161,-76.63813298449463,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,0.7177904135603866,0.2893713277744946,1.0,0.1428571428571428,0.4859837599653629,0.5,39.04700505072607,-76.63285863485667,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19,0.4564982970490768,0.5661095455688548,0.0,0.4285714285714285,0.4904859967028127,0.0,39.05984488735595,-76.65996609144455,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20,0.5877691061710105,0.1830563219147529,0.0,0.7142857142857143,0.5373939439513136,0.0,38.89286190009302,-76.65148190359774,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,0.673328571057726,0.0474883390224483,0.0,0.1428571428571428,0.8197407823510349,0.0,38.85137959558222,-76.52245724487429,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,0.5674156015255976,0.0210111512250148,0.0,0.2857142857142857,0.3342990621403865,0.5,38.96635838603478,-76.4470637937877,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23,0.6329948013418302,0.0686269186957046,0.0,0.2857142857142857,0.4068216458381457,0.25,38.75830700768855,-76.68560901593929,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24,0.4626027098273349,0.2597752620286264,0.0,0.8571428571428571,0.4022630924015628,0.0,39.00433879756503,-76.55287010924027,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25,0.7213149221937429,0.7412212633911434,0.0,1.0,0.639931016158988,0.25,38.99057532522155,-76.61991935697257,isolated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,0.5587982068001666,0.637804492169452,0.0,1.0,0.404753306511133,0.5,38.9603356942445,-76.96194768743585,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,0.3586039249401824,0.5756076352945787,0.75,0.2857142857142857,0.4368678125358037,0.0,39.059895874081,-76.75118736299832,social_follower,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,0.824943966448633,0.0789697825258118,0.25,0.7142857142857143,0.2663084998136762,0.25,38.961471490345446,-76.67277430990852,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
29,0.7698566494762841,0.4677242951594381,0.0,0.5714285714285714,0.7364097683198508,0.0,38.82573427616494,-76.68646702533353,early_adopter,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,0.3424560741326026,0.0869315091300539,0.75,0.5714285714285714,0.5571670322387207,0.0,39.07415052676728,-76.58385053137191,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31,0.4549981288639902,0.1050394468337042,1.0,1.0,0.4782328029107753,0.0,39.141308025249096,-76.5134430058272,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
32,0.4664604944194077,0.7767413975466653,0.0,0.8571428571428571,0.7979004817772422,0.0,39.17834143079739,-76.62543785311237,resistant,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,0.5663893469304336,0.0244986111230554,0.25,0.7142857142857143,0.3425958014895802,0.0,39.03933282595506,-76.4582650094024,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,0.254481398374662,0.1461505865415659,0.0,0.8571428571428571,0.8031080631908384,0.0,39.232773402887744,-76.40951321718188,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35,0.3620289009657192,0.3889454648566577,0.0,0.5714285714285714,0.851186298652328,0.25,38.963963861727336,-76.50222277257402,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,0.6647400015963486,0.7831909580816011,0.75,0.8571428571428571,0.5660389633738498,0.5,39.001513425947806,-76.562185336938,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37,0.6615740319427986,0.7453881966476829,0.0,0.4285714285714285,0.4977428010970156,0.5,39.018956251341706,-76.59396301636197,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,0.4366210739158108,0.0474320561563978,0.25,0.8571428571428571,0.3636877646924994,0.5,38.884166013876595,-76.47124692727553,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
39,0.4665069734519438,0.4696221263115743,0.0,0.2857142857142857,0.3299523030945286,0.0,39.140907869339735,-76.53952234779909,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,0.5144696051129157,0.6994786753883897,0.5,0.2857142857142857,0.345275589324998,0.0,38.993035249953905,-76.7138067743251,social_follower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,0.4447285708461505,0.8130080579565987,0.0,0.1428571428571428,0.3883172014388026,0.0,39.10646716655468,-76.63758407615215,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,0.2422567157337604,0.1734320721752935,0.0,0.1428571428571428,0.3263649725059891,0.0,38.865733180147274,-76.58383345885227,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
43,0.7092912232697567,0.0659375380901907,0.0,0.7142857142857143,0.5738320687466543,1.0,39.097765777982104,-76.77233080775008,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
44,0.3945056945319126,0.1269502493651903,0.0,1.0,0.5786673918699445,0.0,39.033456271930895,-76.5813819542049,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,0.6932349503837069,0.0227746887805626,0.25,0.7142857142857143,0.4848429381778176,0.0,39.12808519518706,-76.71698275110029,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
46,0.3587038294843732,0.208586445219833,0.0,0.1428571428571428,0.8871665714569165,0.0,39.08993511972938,-76.7603678872847,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
47,0.4865582541439653,0.6724204495887861,0.0,0.1428571428571428,0.5526378416284641,0.0,38.93342929262463,-76.49155250040948,resistant,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,0.563584297395754,0.1994623134443439,0.0,0.1428571428571428,0.777474089749306,0.0,38.93151129646625,-76.49650855361035,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,0.2582049839507828,0.0144255722675967,0.5,0.5714285714285714,0.6391548354526575,0.25,38.91024625300253,-76.65924924839848,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,0.7561396558296125,0.1239439512834343,0.0,0.4285714285714285,0.4014977539274293,1.0,39.040500253725895,-76.67071466730307,resistant,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,0.4721567788443948,0.7111906248734283,1.0,0.8571428571428571,0.2009675993713891,0.25,39.022998246022794,-76.59399306183963,early_adopter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,0.3281418058610268,0.087494529843753,0.0,0.2857142857142857,0.574156312892653,0.5,38.95504348708672,-76.57846390279215,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,0.7180212017756845,0.8952075248272996,0.0,0.5714285714285714,0.1883127037512355,0.0,38.87742524058756,-76.59475691227365,resistant,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,0.8156729931818618,0.7898467911074312,0.0,1.0,0.5595449255167215,1.0,38.983765264393135,-76.71934555389898,resistant,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,0.5345578785526873,0.423127450810825,0.0,0.2857142857142857,0.6506049992399158,0.5,39.034742606283736,-76.49198013543227,isolated,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,0.7592891658730846,0.0479877574184784,0.0,1.0,0.1349104726507927,0.25,39.18947395214376,-76.63207497105475,isolated,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,0.4341636613345211,0.4748310518837302,0.0,0.1428571428571428,0.5039315944463947,0.0,39.046337543075175,-76.62709755738705,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
58,0.5336394546829093,0.0169520978756917,0.5,0.4285714285714285,0.4376620727426094,0.0,38.87221847231944,-76.5728117330244,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,0.5471958873592613,0.3627284960790494,0.5,0.1428571428571428,0.4219200115890194,0.0,38.91980902800783,-76.68522368239962,isolated,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
60,0.5306893418230693,0.4264010597237063,0.0,1.0,0.6118152682585711,0.0,38.69980050843102,-76.55954163289067,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
61,0.6459981571525606,0.1456532203235528,1.0,0.1428571428571428,0.6003922073279664,0.25,38.99530908211193,-76.5694130416025,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
62,0.4568557941634678,0.2798041857257106,0.5,0.8571428571428571,0.3531273664232994,0.0,38.95249836287304,-76.63881482477855,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,0.7070640133171393,0.6715043635881499,0.5,1.0,0.5662539085696585,0.0,39.02899482116852,-76.56264935524105,social_follower,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,0.2855350971940653,0.7053603962224018,0.0,1.0,0.6179124953821287,0.25,38.90878421568953,-76.60312556176521,isolated,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
65,0.1024261715329406,0.4180362796962011,0.0,0.1428571428571428,0.4210119569549509,0.0,39.016200441238325,-76.57719918984813,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
