household_id,timestep,repair,vacant,sell
1,0,0,0,1
1,1,0,0,1
1,2,0,0,1
1,3,0,0,1
1,4,0,0,1
1,5,0,0,1
1,6,0,1,1
1,7,0,1,1
1,8,0,1,1
1,9,0,1,1
1,10,0,1,1
1,11,0,1,1
1,12,0,1,1
1,13,0,1,1
1,14,0,1,1
1,15,0,1,1
1,16,1,1,1
1,17,1,1,1
1,18,1,1,1
1,19,1,1,1
1,20,1,1,1
1,21,1,1,1
1,22,1,1,1
1,23,1,1,1
2,0,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
2,5,1,0,0
2,6,1,0,0
2,7,1,0,0
2,8,1,0,0
2,9,1,0,0
2,10,1,0,0
2,11,1,0,0
2,12,1,0,0
2,13,1,0,0
2,14,1,0,0
2,15,1,0,0
2,16,1,0,0
2,17,1,0,0
2,18,1,0,0
2,19,1,0,0
2,20,1,0,0
2,21,1,0,0
2,22,1,0,0
2,23,1,0,0
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,0
3,4,0,0,0
3,5,1,0,0
3,6,1,0,0
3,7,1,1,0
3,8,1,1,0
3,9,1,1,0
3,10,1,1,0
3,11,1,1,0
3,12,1,1,0
3,13,1,1,0
3,14,1,1,0
3,15,1,1,0
3,16,1,1,0
3,17,1,1,0
3,18,1,1,0
3,19,1,1,0
3,20,1,1,0
3,21,1,1,0
3,22,1,1,0
3,23,1,1,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0,0,0
4,7,0,0,0
4,8,0,0,0
4,9,0,0,0
4,10,0,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,0,0,0
4,15,0,0,0
4,16,0,0,0
4,17,0,0,1
4,18,0,0,1
4,19,0,0,1
4,20,0,0,1
4,21,0,0,1
4,22,0,0,1
4,23,0,0,1
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,0,0,0
5,7,0,0,0
5,8,0,0,0
5,9,0,0,0
5,10,0,0,0
5,11,0,0,0
5,12,0,0,0
5,13,0,0,0
5,14,0,0,0
5,15,0,0,0
5,16,0,0,0
5,17,0,0,0
5,18,0,0,0
5,19,0,0,0
5,20,0,0,0
5,21,0,0,0
5,22,0,0,0
5,23,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,0,0,0
6,7,0,0,0
6,8,0,0,0
6,9,0,0,0
6,10,0,0,0
6,11,0,0,0
6,12,0,0,0
6,13,1,0,0
6,14,1,0,0
6,15,1,0,0
6,16,1,0,0
6,17,1,0,0
6,18,1,0,0
6,19,1,0,0
6,20,1,0,0
6,21,1,0,0
6,22,1,0,0
6,23,1,0,0
7,0,0,0,0
7,1,0,0,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,0,0,0
7,6,0,0,0
7,7,0,0,0
7,8,0,0,0
7,9,0,0,0
7,10,0,0,1
7,11,0,0,1
7,12,0,0,1
7,13,0,0,1
7,14,0,0,1
7,15,0,0,1
7,16,0,0,1
7,17,0,0,1
7,18,0,0,1
7,19,0,0,1
7,20,0,0,1
7,21,0,0,1
7,22,0,0,1
7,23,0,0,1
8,0,0,0,0
8,1,0,0,0
8,2,0,0,0
8,3,0,0,0
8,4,0,0,0
8,5,0,0,0
8,6,0,0,0
8,7,0,0,0
8,8,0,0,0
8,9,0,0,0
8,10,0,0,0
8,11,0,0,0
8,12,1,0,0
8,13,1,0,0
8,14,1,0,0
8,15,1,0,0
8,16,1,0,0
8,17,1,0,0
8,18,1,0,0
8,19,1,0,0
8,20,1,0,0
8,21,1,0,0
8,22,1,0,0
8,23,1,0,0
9,0,1,0,0
9,1,1,0,0
9,2,1,0,0
9,3,1,0,0
9,4,1,0,0
9,5,1,0,0
9,6,1,0,0
9,7,1,0,0
9,8,1,0,0
9,9,1,0,0
9,10,1,0,0
9,11,1,0,0
9,12,1,0,0
9,13,1,0,0
9,14,1,0,0
9,15,1,0,0
9,16,1,0,0
9,17,1,0,0
9,18,1,0,0
9,19,1,0,0
9,20,1,0,0
9,21,1,0,0
9,22,1,0,0
9,23,1,0,0
10,0,1,0,0
10,1,1,0,0
10,2,1,0,0
10,3,1,0,0
10,4,1,0,0
10,5,1,0,0
10,6,1,0,0
10,7,1,0,0
10,8,1,0,0
10,9,1,0,0
10,10,1,0,0
10,11,1,0,0
10,12,1,0,0
10,13,1,0,0
10,14,1,0,0
10,15,1,0,0
10,16,1,0,0
10,17,1,0,0
10,18,1,0,0
10,19,1,0,0
10,20,1,0,0
10,21,1,0,0
10,22,1,0,0
10,23,1,0,0
11,0,0,0,0
11,1,0,0,0
11,2,0,0,0
11,3,0,0,0
11,4,0,0,0
11,5,0,0,0
11,6,1,0,0
11,7,1,0,0
11,8,1,0,0
11,9,1,0,0
11,10,1,0,0
11,11,1,0,0
11,12,1,0,0
11,13,1,0,0
11,14,1,0,0
11,15,1,0,0
11,16,1,0,0
11,17,1,0,0
11,18,1,0,0
11,19,1,0,0
11,20,1,0,0
11,21,1,0,0
11,22,1,0,0
11,23,1,0,0
12,0,0,0,0
12,1,0,0,0
12,2,0,0,0
12,3,0,0,0
12,4,0,0,0
12,5,0,0,1
12,6,1,0,1
12,7,1,0,1
12,8,1,0,1
12,9,1,0,1
12,10,1,0,1
12,11,1,0,1
12,12,1,0,1
12,13,1,0,1
12,14,1,0,1
12,15,1,0,1
12,16,1,0,1
12,17,1,0,1
12,18,1,0,1
12,19,1,0,1
12,20,1,0,1
12,21,1,0,1
12,22,1,0,1
12,23,1,0,1
13,0,0,0,0
13,1,0,0,0
13,2,0,0,0
13,3,0,0,0
13,4,0,0,0
13,5,0,0,0
13,6,0,0,0
13,7,0,0,0
13,8,0,0,0
13,9,0,0,0
13,10,0,0,0
13,11,0,0,0
13,12,0,0,0
13,13,0,0,0
13,14,0,0,0
13,15,0,0,0
13,16,0,0,0
13,17,0,0,0
13,18,0,0,0
13,19,0,0,0
13,20,0,0,0
13,21,0,0,0
13,22,0,0,0
13,23,0,0,0
14,0,0,0,0
14,1,0,0,0
14,2,0,0,0
14,3,0,0,0
14,4,0,0,0
14,5,0,0,0
14,6,0,0,0
14,7,0,0,0
14,8,0,0,0
14,9,0,0,0
14,10,0,0,0
14,11,0,0,0
14,12,0,0,0
14,13,0,0,0
14,14,0,0,0
14,15,0,0,0
14,16,0,0,0
14,17,0,0,0
14,18,0,0,0
14,19,0,0,0
14,20,0,0,0
14,21,0,0,0
14,22,0,0,0
14,23,0,0,0
15,0,0,0,0
15,1,0,0,0
15,2,0,0,0
15,3,0,0,0
15,4,0,0,0
15,5,0,0,0
15,6,0,0,0
15,7,0,0,0
15,8,0,0,0
15,9,0,0,0
15,10,0,0,0
15,11,0,0,0
15,12,0,0,0
15,13,0,0,0
15,14,0,0,0
15,15,0,0,0
15,16,0,0,0
15,17,0,0,0
15,18,0,0,0
15,19,0,0,0
15,20,0,0,0
15,21,0,0,0
15,22,0,0,0
15,23,0,0,0
16,0,0,0,0
16,1,0,0,0
16,2,0,0,0
16,3,0,0,0
16,4,0,0,0
16,5,0,0,0
16,6,0,0,0
16,7,0,0,0
16,8,0,0,0
16,9,0,0,0
16,10,0,0,0
16,11,0,0,0
16,12,0,0,0
16,13,0,0,0
16,14,0,0,0
16,15,1,0,0
16,16,1,0,0
16,17,1,0,0
16,18,1,0,0
16,19,1,0,0
16,20,1,0,0
16,21,1,0,0
16,22,1,0,0
16,23,1,0,0
17,0,0,0,0
17,1,0,0,0
17,2,0,0,0
17,3,0,0,0
17,4,0,0,0
17,5,0,0,0
17,6,0,0,0
17,7,0,0,0
17,8,0,0,0
17,9,0,0,0
17,10,0,0,0
17,11,0,0,0
17,12,0,0,0
17,13,0,0,0
17,14,0,0,0
17,15,0,0,0
17,16,0,0,0
17,17,0,0,0
17,18,0,0,0
17,19,0,0,0
17,20,0,0,0
17,21,0,0,0
17,22,0,0,0
17,23,0,0,0
18,0,0,1,0
18,1,0,1,0
18,2,0,1,0
18,3,0,1,0
18,4,0,1,0
18,5,0,1,0
18,6,0,1,0
18,7,0,1,0
18,8,0,1,0
18,9,0,1,0
18,10,0,1,0
18,11,0,1,0
18,12,0,1,0
18,13,0,1,0
18,14,0,1,0
18,15,0,1,0
18,16,0,1,0
18,17,0,1,0
18,18,0,1,0
18,19,0,1,0
18,20,0,1,0
18,21,0,1,0
18,22,0,1,0
18,23,0,1,0
19,0,0,0,0
19,1,0,0,0
19,2,0,0,0
19,3,0,0,0
19,4,0,0,0
19,5,0,0,0
19,6,0,0,0
19,7,0,0,0
19,8,0,0,0
19,9,0,0,0
19,10,0,0,0
19,11,0,0,0
