household_id_1,household_id_2,timestep,link_type
1,3,0,2
3,106,0,2
4,117,0,2
4,112,0,2
4,116,0,2
5,108,0,2
6,129,0,2
6,95,0,2
7,157,0,2
7,104,0,2
7,57,0,2
7,113,0,2
8,101,0,2
9,142,0,2
11,171,0,2
12,71,0,2
12,134,0,2
12,89,0,2
12,133,0,2
13,72,0,2
13,117,0,2
14,139,0,2
15,111,0,2
15,175,0,2
16,117,0,2
16,24,0,2
16,19,0,2
19,195,0,2
20,118,0,1
21,112,0,2
22,132,0,2
22,90,0,2
22,178,0,2
22,93,0,2
22,73,0,2
23,186,0,2
23,72,0,2
24,158,0,2
27,131,0,2
27,158,0,2
27,126,0,2
27,94,0,2
27,122,0,2
28,187,0,2
28,104,0,2
28,148,0,2
28,88,0,2
28,111,0,2
29,135,0,1
29,182,0,2
29,66,0,2
29,84,0,2
29,199,0,2
29,79,0,2
29,186,0,2
30,195,0,2
30,123,0,2
31,92,0,1
31,89,0,2
32,87,0,2
32,54,0,2
40,84,0,1
40,121,0,2
40,116,0,2
41,140,0,2
41,130,0,2
41,136,0,2
41,189,0,2
42,124,0,2
42,142,0,2
42,186,0,2
42,53,0,2
43,192,0,2
44,191,0,2
45,67,0,1
45,192,0,2
46,112,0,2
46,147,0,2
47,53,0,2
47,147,0,2
47,132,0,2
48,97,0,2
48,168,0,2
48,151,0,2
49,157,0,2
49,73,0,2
49,105,0,2
49,91,0,2
49,200,0,2
50,189,0,2
50,140,0,2
50,157,0,2
50,82,0,2
50,170,0,2
50,81,0,2
51,164,0,1
51,97,0,2
51,151,0,2
51,191,0,2
51,174,0,2
51,168,0,2
51,136,0,2
51,163,0,2
52,195,0,2
53,102,0,2
53,147,0,2
54,118,0,2
54,185,0,2
54,163,0,2
55,63,0,2
57,195,0,2
59,153,0,1
59,157,0,2
60,177,0,1
60,192,0,2
61,195,0,1
61,158,0,2
61,134,0,2
62,104,0,2
63,86,0,2
63,156,0,2
63,158,0,2
63,191,0,2
63,106,0,2
63,147,0,2
63,102,0,2
65,88,0,1
65,177,0,1
65,73,0,2
65,192,0,2
65,159,0,2
65,163,0,2
66,93,0,2
66,186,0,2
67,164,0,2
67,140,0,2
69,178,0,2
69,87,0,2
70,160,0,1
70,134,0,2
70,154,0,2
70,115,0,2
71,90,0,2
71,117,0,2
71,187,0,2
72,199,0,2
73,158,0,2
73,79,0,2
75,182,0,2
76,187,0,2
76,142,0,2
76,191,0,2
78,192,0,2
78,93,0,2
79,89,0,1
79,135,0,2
79,160,0,2
79,109,0,2
79,158,0,2
81,165,0,1
81,128,0,2
81,146,0,2
81,189,0,2
81,157,0,2
81,156,0,2
81,171,0,2
81,191,0,2
81,174,0,2
81,97,0,2
81,123,0,2
82,107,0,2
82,140,0,2
83,123,0,2
85,116,0,2
85,112,0,2
85,134,0,2
86,103,0,1
86,106,0,2
87,151,0,2
87,161,0,2
87,157,0,2
87,96,0,2
88,116,0,2
88,93,0,2
90,94,0,1
90,132,0,2
90,158,0,2
90,185,0,2
90,187,0,2
92,170,0,2
93,108,0,2
93,192,0,2
93,185,0,2
93,177,0,2
94,147,0,2
95,113,0,2
95,144,0,2
96,106,0,2
97,168,0,1
98,166,0,1
98,150,0,2
98,134,0,2
98,192,0,2
98,184,0,2
101,171,0,2
101,182,0,2
102,106,0,2
102,147,0,2
103,167,0,2
104,113,0,2
104,160,0,2
104,118,0,2
104,121,0,2
104,111,0,2
104,157,0,2
104,200,0,2
104,178,0,2
104,161,0,2
105,143,0,2
105,187,0,2
105,148,0,2
106,113,0,2
106,114,0,2
106,120,0,2
107,123,0,2
108,186,0,2
109,185,0,2
109,171,0,2
111,175,0,1
111,200,0,2
112,143,0,2
113,153,0,2
113,185,0,2
115,189,0,2
115,148,0,2
116,126,0,2
116,186,0,2
118,163,0,2
118,121,0,2
118,132,0,2
118,185,0,2
120,147,0,2
122,158,0,2
123,157,0,2
123,159,0,2
123,155,0,2
128,180,0,2
129,144,0,1
129,138,0,2
129,133,0,2
129,167,0,2
129,185,0,2
130,145,0,2
130,140,0,2
130,198,0,2
130,163,0,2
131,187,0,1
131,152,0,2
131,171,0,2
132,185,0,2
132,135,0,2
132,183,0,2
133,134,0,2
133,171,0,2
134,147,0,2
134,173,0,2
135,185,0,2
135,138,0,2
136,164,0,2
138,158,0,2
138,152,0,2
140,195,0,2
140,192,0,2
141,144,0,2
142,185,0,2
144,180,0,2
146,163,0,2
146,191,0,2
148,160,0,2
148,157,0,2
151,161,0,2
151,164,0,2
151,200,0,2
153,186,0,2
153,189,0,2
156,182,0,2
156,163,0,2
156,158,0,2
157,197,0,2
157,189,0,2
157,161,0,2
157,200,0,2
157,187,0,2
158,159,0,2
158,171,0,2
160,182,0,2
161,165,0,2
163,187,0,2
163,189,0,2
163,195,0,2
163,174,0,2
164,179,0,2
164,200,0,2
164,168,0,2
167,180,0,2
168,200,0,2
170,192,0,2
170,176,0,2
171,199,0,2
171,182,0,2
171,179,0,2
171,185,0,2
173,195,0,2
178,185,0,2
180,195,0,2
180,189,0,2
184,200,0,2
190,195,0,2
192,195,0,2
1,161,1,1
2,132,1,2
3,116,1,2
3,10,1,2
4,16,1,1
4,24,1,2
5,130,1,2
6,180,1,2
6,139,1,2
7,73,1,2
7,104,1,2
7,57,1,2
7,105,1,2
7,113,1,2
8,150,1,1
8,101,1,2
8,98,1,2
10,12,1,2
10,118,1,2
10,185,1,2
11,171,1,2
12,136,1,2
12,71,1,2
12,134,1,2
12,195,1,2
12,130,1,2
12,159,1,2
12,89,1,2
12,133,1,2
15,156,1,2
16,35,1,1
16,117,1,2
17,149,1,2
17,112,1,2
19,195,1,2
20,118,1,1
21,112,1,2
22,132,1,2
22,178,1,2
22,73,1,2
23,72,1,2
24,72,1,1
24,34,1,2
25,167,1,2
27,131,1,2
27,158,1,2
27,187,1,2
27,43,1,2
27,94,1,2
27,87,1,2
27,122,1,2
28,66,1,1
28,121,1,2
28,148,1,2
28,88,1,2
29,135,1,1
29,148,1,2
29,89,1,2
29,199,1,2
31,139,1,2
31,89,1,2
31,71,1,2
32,118,1,2
32,69,1,2
35,72,1,2
40,54,1,2
41,195,1,2
41,140,1,2
41,130,1,2
41,136,1,2
41,171,1,2
42,95,1,2
42,113,1,2
42,124,1,2
42,153,1,2
42,53,1,2
42,149,1,2
42,185,1,2
43,192,1,2
43,170,1,2
44,191,1,2
44,81,1,2
45,67,1,1
46,70,1,2
46,112,1,2
46,147,1,2
47,147,1,2
47,132,1,2
47,135,1,2
48,132,1,2
48,164,1,2
48,151,1,2
50,82,1,2
50,170,1,2
51,191,1,2
51,171,1,2
51,174,1,2
51,168,1,2
52,195,1,2
53,102,1,2
53,95,1,2
53,147,1,2
53,153,1,2
53,63,1,2
54,69,1,2
54,118,1,2
54,185,1,2
54,178,1,2
57,81,1,2
57,195,1,2
57,174,1,2
57,191,1,2
57,123,1,2
59,189,1,2
59,157,1,2
61,195,1,1
61,134,1,2
62,112,1,2
63,86,1,2
63,191,1,2
63,73,1,2
63,182,1,2
63,106,1,2
63,163,1,2
65,88,1,1
65,177,1,1
66,192,1,1
66,186,1,2
67,140,1,2
69,87,1,2
69,104,1,2
69,185,1,2
70,160,1,1
70,148,1,2
70,147,1,2
70,134,1,2
70,154,1,2
70,115,1,2
71,90,1,2
71,131,1,2
71,117,1,2
72,199,1,2
73,171,1,2
73,158,1,2
75,182,1,2
76,191,1,2
78,192,1,2
79,89,1,1
79,148,1,2
80,191,1,2
81,128,1,2
81,146,1,2
81,159,1,2
81,140,1,2
81,189,1,2
81,157,1,2
81,171,1,2
81,191,1,2
81,174,1,2
81,97,1,2
81,123,1,2
82,123,1,2
82,189,1,2
82,140,1,2
83,123,1,2
84,186,1,2
85,112,1,2
85,165,1,2
85,134,1,2
86,103,1,1
86,106,1,2
86,96,1,2
86,113,1,2
87,151,1,2
87,185,1,2
87,118,1,2
87,187,1,2
87,96,1,2
88,192,1,2
89,160,1,2
89,148,1,2
90,94,1,1
90,138,1,2
90,158,1,2
90,187,1,2
91,138,1,2
92,170,1,2
94,99,1,2
94,131,1,2
96,106,1,2
97,168,1,1
97,174,1,2
97,180,1,2
97,199,1,2
97,195,1,2
97,182,1,2
98,150,1,2
98,192,1,2
98,184,1,2
102,106,1,2
102,147,1,2
104,187,1,2
104,160,1,2
104,118,1,2
104,157,1,2
104,200,1,2
104,105,1,2
104,178,1,2
105,116,1,1
105,130,1,2
105,143,1,2
105,148,1,2
105,184,1,2
105,108,1,2
105,111,1,2
106,194,1,1
106,113,1,2
106,139,1,2
106,164,1,2
108,186,1,2
108,119,1,2
108,130,1,2
109,185,1,2
109,133,1,2
109,111,1,2
109,182,1,2
109,171,1,2
110,151,1,2
111,160,1,2
112,143,1,2
113,153,1,2
113,185,1,2
115,195,1,2
115,192,1,2
115,148,1,2
116,126,1,2
118,169,1,2
118,132,1,2
121,157,1,2
121,163,1,2
122,138,1,2
122,180,1,2
122,158,1,2
123,165,1,2
123,157,1,2
127,142,1,2
128,154,1,2
128,191,1,2
128,180,1,2
129,144,1,1
129,138,1,2
129,171,1,2
130,191,1,2
