time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,161,1,0.0
1,1,repair,3,1,0.0
1,0,vacant,161,1,0.0
1,0,vacant,3,1,0.0
1,0,vacant,132,2,0.0
1,2,sell,132,2,0.0
1,1,repair,116,3,0.0
1,1,repair,106,3,0.0
1,1,repair,10,3,0.12981257330193427
1,1,repair,1,3,0.0
1,1,repair,40,3,0.0
1,0,vacant,116,3,0.0
1,0,vacant,106,3,0.0
1,0,vacant,10,3,0.0
1,0,vacant,1,3,0.0
1,0,vacant,40,3,0.0
1,2,sell,116,3,0.0
1,2,sell,106,3,0.0
1,2,sell,10,3,0.0
1,2,sell,1,3,0.13561113034273078
1,2,sell,40,3,0.0
1,1,repair,72,4,0.0
1,1,repair,16,4,0.0
1,1,repair,117,4,0.0
1,1,repair,112,4,0.0
1,1,repair,24,4,0.0
1,1,repair,116,4,0.0
1,0,vacant,72,4,0.0
1,0,vacant,16,4,0.0
1,0,vacant,117,4,0.0
1,0,vacant,112,4,0.0
1,0,vacant,24,4,0.0
1,0,vacant,116,4,0.0
1,2,sell,72,4,0.0
1,2,sell,16,4,0.0
1,2,sell,117,4,0.0
1,2,sell,112,4,0.0
1,2,sell,24,4,0.0
1,2,sell,116,4,0.0
1,1,repair,108,5,0.0
1,1,repair,186,5,0.0
1,1,repair,130,5,0.0
1,0,vacant,108,5,0.0
1,0,vacant,186,5,0.0
1,0,vacant,130,5,0.0
1,2,sell,108,5,0.0
1,2,sell,186,5,0.0
1,2,sell,130,5,0.0
1,1,repair,180,6,0.0
1,1,repair,129,6,0.0
1,1,repair,95,6,0.0
1,1,repair,139,6,0.0
1,1,repair,177,6,0.0
1,1,repair,167,6,0.0
1,0,vacant,180,6,0.0
1,0,vacant,129,6,0.0
1,0,vacant,95,6,0.0
1,0,vacant,139,6,0.0
1,0,vacant,177,6,0.0
1,0,vacant,167,6,0.0
1,2,sell,180,6,0.0
1,2,sell,129,6,0.0
1,2,sell,95,6,0.0
1,2,sell,139,6,0.0
1,2,sell,177,6,0.0
1,2,sell,167,6,0.0
1,1,repair,157,7,0.0
1,1,repair,73,7,0.0
1,1,repair,104,7,0.0
1,1,repair,57,7,0.0
1,1,repair,105,7,0.0
1,1,repair,113,7,0.12313208633418818
1,1,repair,15,7,0.0
1,0,vacant,157,7,0.0
1,0,vacant,73,7,0.0
1,0,vacant,104,7,0.0
1,0,vacant,57,7,0.0
1,0,vacant,105,7,0.0
1,0,vacant,113,7,0.0
1,0,vacant,15,7,0.0
1,2,sell,157,7,0.0
1,2,sell,73,7,0.0
1,2,sell,104,7,0.0
1,2,sell,57,7,0.0
1,2,sell,105,7,0.0
1,2,sell,113,7,0.0
1,2,sell,15,7,0.0
1,1,repair,150,8,0.0
1,1,repair,101,8,0.0
1,1,repair,98,8,0.0
1,1,repair,16,8,0.0
1,1,repair,184,8,0.0
1,0,vacant,150,8,0.0
1,0,vacant,101,8,0.0
1,0,vacant,98,8,0.0
1,0,vacant,16,8,0.0
1,0,vacant,184,8,0.0
1,2,sell,150,8,0.0
1,2,sell,101,8,0.0
1,2,sell,98,8,0.0
1,2,sell,16,8,0.0
1,2,sell,184,8,0.0
1,0,vacant,142,9,0.0
1,2,sell,142,9,0.0
1,0,vacant,12,10,0.0
1,0,vacant,3,10,0.0
1,0,vacant,118,10,0.0
1,0,vacant,185,10,0.0
1,2,sell,12,10,0.0
1,2,sell,3,10,0.0
1,2,sell,118,10,0.0
1,2,sell,185,10,0.0
1,1,repair,97,11,0.0
1,1,repair,151,11,0.04635943453540328
1,1,repair,171,11,0.0
1,0,vacant,97,11,0.0
1,0,vacant,151,11,0.0
1,0,vacant,171,11,0.0
1,2,sell,97,11,0.0
1,2,sell,151,11,0.0
1,2,sell,171,11,0.0
1,1,repair,136,12,0.0
1,1,repair,33,12,0.0
1,1,repair,71,12,0.0
1,1,repair,85,12,0.0
1,1,repair,10,12,0.12833003062860954
1,1,repair,134,12,0.0
1,1,repair,195,12,0.0
1,1,repair,130,12,0.0
1,1,repair,159,12,0.0
1,1,repair,173,12,0.0
1,1,repair,89,12,0.0
1,1,repair,133,12,0.0
1,0,vacant,136,12,0.0
1,0,vacant,33,12,0.0
1,0,vacant,71,12,0.0
1,0,vacant,85,12,0.0
1,0,vacant,10,12,0.0
1,0,vacant,134,12,0.0
1,0,vacant,195,12,0.0
1,0,vacant,130,12,0.0
1,0,vacant,159,12,0.0
1,0,vacant,173,12,0.0
1,0,vacant,89,12,0.0
