household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.3323263197630572,0.7002041679633707,1.0,0.8571428571428571,0.5375774883063714,0.25,38.96629710838031,-76.66808626699755,early_adopter,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,0.7144099785200698,0.21355903142526253,0.75,0.14285714285714285,0.44769496114948576,0.0,39.113352756510935,-76.3707716437687,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,0.4814619916426998,0.437999580154409,0.0,0.14285714285714285,0.6116774539783043,0.0,38.88938661313162,-76.56839486000071,resistant,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,0.43138664256799447,0.33731495094319425,0.5,0.5714285714285714,0.1520577000519553,0.0,39.0049145230778,-76.71551046757759,resistant,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,0.31768834184342465,0.34473502617183355,0.75,0.7142857142857143,0.38948088854854945,1.0,38.79591410415783,-76.51954663957925,social_follower,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.3229554517267969,0.5628209402892492,0.0,0.42857142857142855,0.31599390147597717,0.0,38.85939844100174,-76.50556865716369,social_follower,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0.5708160943494552,0.6984823784279995,1.0,0.14285714285714285,0.3491655744564097,0.0,39.10256902080609,-76.60868582818347,isolated,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0.5553755971417536,0.636462225128331,0.75,0.2857142857142857,0.40173314286596107,0.25,39.07923026595851,-76.42642948978741,social_follower,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9,0.6512874505311238,0.2732069632056061,0.0,0.5714285714285714,0.4501648503370554,0.0,39.072912611213674,-76.63990520826017,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,0.37867202478559664,0.4256078649353673,0.0,0.14285714285714285,0.5944423329046056,0.5,38.98966896753673,-76.67578958118719,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
11,0.5367917294643588,0.16766851597828708,0.0,0.2857142857142857,0.8573418084122942,0.0,38.94761323883753,-76.61495455606655,resistant,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12,0.45055296931488276,0.01602720250680442,1.0,1.0,0.7620389259726262,1.0,39.063584175624996,-76.58074772913601,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,0.5343702838540959,0.7414674634281943,0.0,0.8571428571428571,0.38883292769484384,0.5,39.05900755924718,-76.65790596676149,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,0.23966367441673114,0.13472106246507676,0.0,0.7142857142857143,0.5604845132075358,0.0,39.029547185482976,-76.51976540741992,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,0.35963231979214855,0.5043617331176615,0.75,1.0,0.2184814631396227,0.25,39.00390382282638,-76.78497876464412,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,0.5876440877747549,0.6384351132492152,0.0,0.42857142857142855,0.7494640949502207,0.0,39.12274958738729,-76.68162326256301,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
17,0.6855596656670356,0.7856078096154245,0.0,1.0,0.7005263990449081,0.25,38.871840657985935,-76.73055678161252,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,0.6787921214612866,0.781230579344937,0.0,0.2857142857142857,0.596096743153924,0.0,38.89340799437578,-76.65787872217687,isolated,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,0.43738620764545866,0.3540174063553146,0.0,0.2857142857142857,0.8036526617640967,1.0,38.81685241227247,-76.5341030235526,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,0.3469050545688417,0.4223371038531445,0.5,0.7142857142857143,1.0,0.0,39.167203120129116,-76.54141960208885,early_adopter,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,0.5133201258000918,0.31702120198957306,0.25,0.14285714285714285,0.5920556143891873,0.25,39.00637430999122,-76.6582434965359,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
22,0.6426925636222941,0.4477106580612369,0.0,0.8571428571428571,0.4505685349485023,0.0,38.98350231491448,-76.48799464395027,isolated,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,0.5908732638016214,0.536584070438734,0.5,1.0,0.3125503129650548,0.0,39.16869965602955,-76.62347922229505,isolated,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,0.7849878179194408,0.11459227546336442,0.0,0.2857142857142857,0.4355104812464812,0.5,38.8684850338091,-76.54444891282563,social_follower,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0.38106274360452963,0.0679353948112086,0.0,0.2857142857142857,0.5537171863682815,0.0,39.06889553128903,-76.41623229239299,resistant,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,0.32709745193575557,0.826423243725122,0.25,0.42857142857142855,0.38438198368145404,0.0,39.044589417367774,-76.45079030215182,resistant,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
