household_id_1,household_id_2,timestep,link_type
1,16,0,2
1,118,0,2
1,46,0,2
1,87,0,2
1,78,0,2
1,114,0,2
1,38,0,2
3,193,0,1
3,142,0,2
3,21,0,2
3,158,0,2
3,114,0,2
3,180,0,2
5,138,0,2
5,28,0,2
5,169,0,2
5,50,0,2
5,132,0,2
5,82,0,2
6,174,0,1
6,158,0,2
7,76,0,1
7,85,0,2
7,38,0,2
7,145,0,2
7,91,0,2
7,161,0,2
8,174,0,2
9,143,0,2
10,122,0,2
10,186,0,2
10,91,0,2
10,121,0,2
10,189,0,2
10,113,0,2
10,167,0,2
10,166,0,2
10,158,0,2
10,78,0,2
10,92,0,2
10,176,0,2
10,152,0,2
10,57,0,2
10,107,0,2
10,187,0,2
11,181,0,1
11,101,0,2
11,59,0,2
11,189,0,2
11,178,0,2
13,152,0,2
13,183,0,2
13,36,0,2
13,94,0,2
13,16,0,2
14,122,0,2
15,21,0,2
15,193,0,2
16,193,0,2
16,183,0,2
16,74,0,2
16,46,0,2
16,36,0,2
16,138,0,2
16,158,0,2
16,78,0,2
16,88,0,2
17,26,0,1
17,69,0,2
17,82,0,2
17,106,0,2
17,172,0,2
17,191,0,2
17,142,0,2
17,159,0,2
17,192,0,2
18,83,0,2
18,21,0,2
18,52,0,2
18,47,0,2
18,109,0,2
19,131,0,2
19,88,0,2
19,166,0,2
19,34,0,2
19,196,0,2
19,106,0,2
19,191,0,2
19,181,0,2
19,180,0,2
20,120,0,2
20,90,0,2
21,81,0,1
21,187,0,2
21,196,0,2
21,177,0,2
21,89,0,2
21,113,0,2
21,193,0,2
21,80,0,2
21,200,0,2
21,58,0,2
21,114,0,2
21,109,0,2
21,145,0,2
22,183,0,2
23,180,0,2
23,149,0,2
24,109,0,1
24,129,0,1
24,187,0,2
24,155,0,2
24,113,0,2
24,179,0,2
24,93,0,2
24,157,0,2
24,65,0,2
24,142,0,2
24,133,0,2
25,158,0,2
26,138,0,2
26,159,0,2
27,194,0,2
27,90,0,2
27,191,0,2
27,177,0,2
28,179,0,1
28,82,0,2
28,169,0,2
28,124,0,2
28,166,0,2
28,181,0,2
28,131,0,2
28,153,0,2
29,167,0,2
29,186,0,2
29,74,0,2
29,194,0,2
29,34,0,2
30,192,0,2
30,200,0,2
30,134,0,2
30,186,0,2
30,193,0,2
30,37,0,2
30,34,0,2
31,123,0,2
31,127,0,2
31,159,0,2
31,52,0,2
31,70,0,2
32,123,0,2
32,70,0,2
33,34,0,1
34,86,0,1
34,88,0,2
34,92,0,2
34,113,0,2
34,109,0,2
34,173,0,2
34,196,0,2
34,54,0,2
34,63,0,2
34,176,0,2
34,177,0,2
34,167,0,2
34,200,0,2
34,165,0,2
34,169,0,2
35,159,0,2
36,85,0,1
36,84,0,1
36,171,0,2
36,183,0,2
36,37,0,2
36,38,0,2
36,193,0,2
36,75,0,2
36,127,0,2
37,99,0,1
37,193,0,2
37,75,0,2
37,175,0,2
38,116,0,2
38,76,0,2
38,91,0,2
38,171,0,2
38,115,0,2
38,126,0,2
39,161,0,2
39,183,0,2
39,133,0,2
39,88,0,2
39,49,0,2
39,179,0,2
39,143,0,2
39,85,0,2
40,162,0,1
40,116,0,2
40,134,0,2
40,197,0,2
40,122,0,2
40,167,0,2
40,147,0,2
40,158,0,2
41,179,0,2
41,124,0,2
42,89,0,2
42,149,0,2
42,155,0,2
42,181,0,2
42,58,0,2
42,196,0,2
44,151,0,2
44,145,0,2
44,80,0,2
45,183,0,2
46,113,0,2
46,78,0,2
46,87,0,2
46,158,0,2
47,110,0,2
47,146,0,2
47,196,0,2
48,200,0,2
49,166,0,2
49,146,0,2
49,191,0,2
49,194,0,2
49,200,0,2
49,143,0,2
49,88,0,2
50,124,0,1
50,179,0,2
52,123,0,2
52,167,0,2
52,186,0,2
52,196,0,2
53,160,0,2
53,192,0,2
53,191,0,2
54,200,0,2
54,88,0,2
54,155,0,2
54,166,0,2
55,179,0,2
55,183,0,2
55,122,0,2
55,149,0,2
55,161,0,2
55,200,0,2
57,138,0,2
58,176,0,2
58,109,0,2
58,161,0,2
58,110,0,2
58,122,0,2
58,181,0,2
58,102,0,2
58,139,0,2
58,175,0,2
58,191,0,2
58,155,0,2
58,196,0,2
58,63,0,2
59,65,0,1
59,108,0,2
59,121,0,2
59,76,0,2
59,174,0,2
59,87,0,2
59,147,0,2
59,186,0,2
59,171,0,2
60,74,0,2
61,155,0,2
61,89,0,2
63,196,0,2
63,187,0,2
63,200,0,2
63,199,0,2
63,109,0,2
63,176,0,2
65,181,0,2
65,175,0,2
65,127,0,2
65,161,0,2
65,85,0,2
65,80,0,2
65,179,0,2
66,196,0,1
66,192,0,2
66,166,0,2
66,75,0,2
66,86,0,2
66,83,0,2
68,194,0,2
69,87,0,2
69,113,0,2
69,82,0,2
69,180,0,2
