household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.4385618449508519,0.06063235523651989,0.5,0.14285714285714285,0.46418308236548533,0.25,38.857317916418886,-76.45687353613636,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,0.5485742365860888,0.0018403287224480404,1.0,0.8571428571428571,0.5665336726245457,0.0,39.25514200287926,-76.66061743928476,isolated,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,0.4118382208129032,0.14748674466607428,0.0,1.0,0.4044191941121746,1.0,38.99632314843717,-76.48490556853267,resistant,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0.6782966480646415,0.05307765213175732,0.5,0.8571428571428571,0.12143427204635075,0.0,38.78429327949741,-76.51893913129986,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5,0.33998066189597026,0.9054249025746638,0.5,0.2857142857142857,0.5786293771501915,1.0,39.2013464319596,-76.57474799270848,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.38163257852689086,0.5528197166731891,0.0,1.0,0.5017656681875636,0.5,38.95324907929298,-76.51115297350184,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,0.5877284745851591,0.059056859371056356,0.0,0.8571428571428571,0.4677960860233709,0.0,38.901281093729494,-76.7077742689754,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,0.3483060485265155,0.4898878648868003,0.25,0.42857142857142855,0.27913396721112443,0.0,39.1635846625519,-76.63900725791213,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,0.6305108141309461,0.2668301280841646,0.0,0.42857142857142855,0.1428160718641081,1.0,39.143780996057835,-76.78001150860517,isolated,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,0.44920001342322796,0.0016969948962245473,0.0,0.14285714285714285,0.4387176528566546,0.0,38.98319550983585,-76.5691415910847,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
11,0.5781888480004239,0.47667389741735067,0.0,0.7142857142857143,0.1673602175956878,0.0,38.97295106144658,-76.70213429549187,resistant,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12,0.42793609077137573,0.04655526121646786,0.0,0.8571428571428571,0.26676118886118144,0.5,38.94603668385037,-76.72795343651298,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,0.8127186966142567,0.6948267120190521,0.0,1.0,0.42783923975795196,0.25,39.110388372090476,-76.53532389448007,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,0.45332230014725017,0.5445128515619412,0.0,0.7142857142857143,0.4513174840912589,1.0,38.918591577813125,-76.45745610873797,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,0.6978834564434614,0.5357135155802225,0.0,0.42857142857142855,0.549100122963765,0.0,38.73934293209437,-76.65488763848485,resistant,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,0.32662641305689294,0.374077071529706,0.0,0.2857142857142857,0.6537024951855915,1.0,39.15329668373202,-76.56831219697425,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17,0.5417366092777305,0.5997735415254062,0.75,0.7142857142857143,0.7430708919667759,0.0,38.98287098827895,-76.45731212095437,early_adopter,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,0.45730405014877107,0.7406050500853598,0.0,0.5714285714285714,0.7641352365018107,1.0,38.98219223726662,-76.6196841535547,resistant,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,0.6175113435511044,0.13494971378136564,0.0,0.8571428571428571,0.5598901832527842,0.0,39.00274388366832,-76.51611183057415,social_follower,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,0.5330548480808661,0.046493302975987846,0.0,0.14285714285714285,0.5225264615941783,0.25,38.85419965247899,-76.66738382657371,isolated,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,0.386571394191944,0.3100470362439522,0.25,0.8571428571428571,0.520826310394791,0.0,38.98131823387345,-76.63685511649035,social_follower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,0.629782036624568,0.004542772274598253,0.0,0.14285714285714285,0.45184047510891956,0.0,39.09776414713869,-76.6314612098813,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,0.6413526778336593,0.6966912815494122,1.0,0.7142857142857143,0.6729009885589209,1.0,38.97479113520862,-76.44115134050598,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
