household_id_1,household_id_2,timestep,link_type
1,16,0,2
1,114,0,2
3,193,0,1
5,138,0,2
5,50,0,2
5,132,0,2
5,82,0,2
6,158,0,2
7,85,0,2
7,91,0,2
7,161,0,2
9,143,0,2
10,122,0,2
10,189,0,2
10,166,0,2
10,158,0,2
10,152,0,2
10,107,0,2
10,187,0,2
11,181,0,1
11,59,0,2
13,152,0,2
13,36,0,2
15,193,0,2
16,193,0,2
16,183,0,2
16,36,0,2
16,138,0,2
17,26,0,1
17,69,0,2
17,82,0,2
17,191,0,2
17,192,0,2
18,83,0,2
18,52,0,2
18,47,0,2
18,109,0,2
19,131,0,2
20,120,0,2
20,90,0,2
21,81,0,1
21,89,0,2
21,113,0,2
21,200,0,2
21,109,0,2
23,180,0,2
23,149,0,2
24,109,0,1
24,129,0,1
24,155,0,2
24,113,0,2
24,179,0,2
24,93,0,2
24,157,0,2
24,65,0,2
24,142,0,2
24,133,0,2
26,159,0,2
27,194,0,2
27,90,0,2
27,191,0,2
28,179,0,1
28,82,0,2
28,169,0,2
28,181,0,2
28,153,0,2
29,186,0,2
29,194,0,2
29,34,0,2
30,192,0,2
30,200,0,2
30,193,0,2
30,34,0,2
31,123,0,2
31,127,0,2
31,159,0,2
31,52,0,2
33,34,0,1
34,86,0,1
34,88,0,2
34,92,0,2
34,113,0,2
34,109,0,2
34,196,0,2
34,54,0,2
34,176,0,2
34,200,0,2
34,165,0,2
34,169,0,2
36,85,0,1
36,171,0,2
36,38,0,2
36,75,0,2
36,127,0,2
37,99,0,1
37,193,0,2
38,76,0,2
38,91,0,2
38,171,0,2
38,115,0,2
39,183,0,2
39,179,0,2
39,85,0,2
40,167,0,2
40,147,0,2
41,179,0,2
41,124,0,2
42,89,0,2
42,181,0,2
44,151,0,2
46,78,0,2
48,200,0,2
49,191,0,2
49,143,0,2
49,88,0,2
52,123,0,2
52,196,0,2
53,160,0,2
54,200,0,2
54,88,0,2
55,179,0,2
55,183,0,2
55,149,0,2
55,161,0,2
55,200,0,2
57,138,0,2
58,176,0,2
58,109,0,2
58,161,0,2
58,181,0,2
58,139,0,2
58,191,0,2
59,65,0,1
59,121,0,2
59,76,0,2
59,87,0,2
59,171,0,2
61,155,0,2
63,109,0,2
63,176,0,2
65,181,0,2
65,175,0,2
65,85,0,2
65,80,0,2
66,196,0,1
66,166,0,2
66,75,0,2
66,86,0,2
66,83,0,2
69,87,0,2
69,113,0,2
69,180,0,2
69,118,0,2
69,78,0,2
70,123,0,2
71,149,0,1
73,183,0,2
74,138,0,2
74,88,0,2
74,131,0,2
75,194,0,2
75,193,0,2
75,191,0,2
76,91,0,2
76,171,0,2
78,107,0,2
78,167,0,2
78,176,0,2
78,169,0,2
78,181,0,2
78,113,0,2
79,159,0,2
80,109,0,2
81,114,0,1
83,196,0,2
84,169,0,2
84,161,0,2
84,167,0,2
85,161,0,2
85,179,0,2
85,91,0,2
85,155,0,2
86,166,0,1
86,194,0,2
86,188,0,2
86,192,0,2
87,195,0,2
87,174,0,2
87,182,0,2
88,166,0,2
88,193,0,2
88,150,0,2
88,156,0,2
88,92,0,2
89,122,0,2
89,200,0,2
90,120,0,2
91,181,0,2
91,169,0,2
91,107,0,2
91,176,0,2
91,186,0,2
92,181,0,2
92,200,0,2
92,176,0,2
93,142,0,2
93,147,0,2
93,121,0,2
93,129,0,2
94,183,0,2
94,178,0,2
94,152,0,2
95,116,0,2
95,134,0,2
96,169,0,2
97,178,0,2
97,127,0,2
98,145,0,2
99,175,0,2
100,196,0,2
101,199,0,2
102,149,0,2
106,120,0,2
106,141,0,2
107,183,0,1
107,123,0,2
107,186,0,2
107,169,0,2
107,176,0,2
107,122,0,2
108,116,0,2
108,154,0,2
108,171,0,2
108,175,0,2
108,118,0,2
109,167,0,2
109,177,0,2
109,200,0,2
111,155,0,2
111,189,0,2
111,124,0,2
113,182,0,2
114,121,0,2
114,158,0,2
114,118,0,2
114,122,0,2
115,161,0,2
116,167,0,1
116,162,0,2
116,154,0,2
117,194,0,2
118,195,0,2
119,174,0,2
120,141,0,2
121,154,0,2
121,122,0,2
122,158,0,2
122,188,0,2
122,186,0,2
122,181,0,2
122,167,0,2
122,149,0,2
123,197,0,2
123,181,0,2
123,169,0,2
123,147,0,2
124,169,0,2
124,153,0,2
125,194,0,2
127,183,0,2
129,142,0,1
129,160,0,2
129,191,0,2
131,142,0,2
131,194,0,2
131,191,0,2
132,176,0,2
132,153,0,2
132,169,0,2
133,138,0,2
134,145,0,2
135,160,0,1
135,180,0,2
136,138,0,1
136,180,0,2
137,145,0,2
139,193,0,2
142,163,0,1
142,180,0,2
142,181,0,2
143,155,0,2
143,179,0,2
146,180,0,2
147,199,0,2
149,179,0,2
150,200,0,2
153,169,0,1
153,179,0,2
155,175,0,2
155,182,0,2
155,183,0,2
158,195,0,1
161,179,0,2
161,166,0,2
161,200,0,2
161,187,0,2
161,191,0,2
163,194,0,2
166,188,0,2
167,169,0,2
167,186,0,2
167,197,0,2
169,197,0,2
169,179,0,2
175,183,0,2
179,183,0,2
179,200,0,2
180,194,0,2
181,196,0,2
186,200,0,2
186,196,0,2
187,196,0,2
187,200,0,2
187,189,0,2
188,194,0,2
1,118,1,2
1,46,1,2
1,38,1,2
3,193,1,1
3,142,1,2
3,158,1,2
3,180,1,2
5,138,1,2
5,132,1,2
6,174,1,1
6,158,1,2
7,85,1,2
7,38,1,2
7,161,1,2
9,143,1,2
10,186,1,2
10,91,1,2
10,166,1,2
10,78,1,2
10,92,1,2
10,152,1,2
10,187,1,2
13,152,1,2
13,16,1,2
14,122,1,2
15,21,1,2
16,36,1,2
16,158,1,2
16,78,1,2
16,88,1,2
17,26,1,1
17,69,1,2
17,82,1,2
17,106,1,2
17,191,1,2
18,83,1,2
18,52,1,2
19,131,1,2
19,88,1,2
19,166,1,2
19,34,1,2
19,196,1,2
19,106,1,2
19,191,1,2
19,180,1,2
20,90,1,2
21,177,1,2
21,193,1,2
21,200,1,2
21,114,1,2
21,109,1,2
22,183,1,2
23,149,1,2
24,187,1,2
24,155,1,2
24,179,1,2
26,138,1,2
26,159,1,2
27,90,1,2
27,191,1,2
27,177,1,2
28,82,1,2
28,169,1,2
28,131,1,2
28,153,1,2
29,167,1,2
29,194,1,2
29,34,1,2
30,186,1,2
30,193,1,2
30,34,1,2
31,127,1,2
31,159,1,2
31,52,1,2
32,123,1,2
32,70,1,2
34,88,1,2
34,113,1,2
34,196,1,2
34,54,1,2
34,63,1,2
34,177,1,2
34,165,1,2
34,169,1,2
35,159,1,2
36,84,1,1
36,171,1,2
36,37,1,2
36,193,1,2
36,75,1,2
36,127,1,2
37,175,1,2
38,171,1,2
38,115,1,2
39,161,1,2
39,88,1,2
39,85,1,2
40,162,1,1
40,134,1,2
40,197,1,2
41,124,1,2
42,89,1,2
42,181,1,2
42,58,1,2
42,196,1,2
44,145,1,2
44,80,1,2
46,78,1,2
47,196,1,2
50,124,1,1
52,123,1,2
54,200,1,2
54,155,1,2
55,161,1,2
55,200,1,2
57,138,1,2
58,176,1,2
58,109,1,2
58,110,1,2
58,102,1,2
58,175,1,2
58,155,1,2
58,63,1,2
59,108,1,2
59,121,1,2
59,76,1,2
59,174,1,2
59,87,1,2
59,186,1,2
59,171,1,2
60,74,1,2
61,155,1,2
63,196,1,2
63,200,1,2
63,109,1,2
65,181,1,2
65,127,1,2
65,161,1,2
65,85,1,2
66,196,1,1
66,75,1,2
69,87,1,2
69,82,1,2
69,118,1,2
70,127,1,2
70,178,1,2
70,125,1,2
70,146,1,2
70,97,1,2
71,149,1,1
74,138,1,2
74,131,1,2
74,161,1,2
75,192,1,2
76,91,1,2
76,85,1,2
76,87,1,2
77,122,1,2
78,107,1,2
78,167,1,2
78,118,1,2
78,169,1,2
78,92,1,2
78,158,1,2
78,113,1,2
79,159,1,2
80,109,1,2
82,169,1,2
83,196,1,2
84,171,1,1
84,169,1,2
84,196,1,2
84,107,1,2
85,171,1,2
85,88,1,2
85,179,1,2
85,91,1,2
86,166,1,1
86,194,1,2
86,188,1,2
86,200,1,2
87,108,1,2
87,158,1,2
87,174,1,2
87,182,1,2
88,200,1,2
88,193,1,2
88,183,1,2
88,156,1,2
88,92,1,2
89,122,1,2
90,120,1,2
90,134,1,2
91,113,1,2
91,171,1,2
91,142,1,2
