time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,16,1,0.0
1,1,repair,118,1,0.0
1,1,repair,46,1,0.0
1,1,repair,87,1,0.0
1,1,repair,78,1,0.10165229523902584
1,1,repair,114,1,0.0
1,1,repair,38,1,0.0
1,0,vacant,16,1,0.0
1,0,vacant,118,1,0.0
1,0,vacant,46,1,0.0
1,0,vacant,87,1,0.0
1,0,vacant,78,1,0.0
1,0,vacant,114,1,0.0
1,0,vacant,38,1,0.0
1,2,sell,16,1,0.0
1,2,sell,118,1,0.0
1,2,sell,46,1,0.0
1,2,sell,87,1,0.0
1,2,sell,78,1,0.0
1,2,sell,114,1,0.0
1,2,sell,38,1,0.0
1,1,repair,193,3,0.0
1,1,repair,142,3,0.0
1,1,repair,21,3,0.0
1,1,repair,158,3,0.0
1,1,repair,114,3,0.0
1,1,repair,180,3,0.0
1,0,vacant,193,3,0.0
1,0,vacant,142,3,0.0
1,0,vacant,21,3,0.0
1,0,vacant,158,3,0.0
1,0,vacant,114,3,0.0
1,0,vacant,180,3,0.0
1,2,sell,193,3,0.0
1,2,sell,142,3,0.0
1,2,sell,21,3,0.0
1,2,sell,158,3,0.0
1,2,sell,114,3,0.0
1,2,sell,180,3,0.0
1,1,repair,138,5,0.0
1,1,repair,28,5,0.0
1,1,repair,169,5,0.0
1,1,repair,50,5,0.0
1,1,repair,132,5,0.0
1,1,repair,82,5,0.019956071960252644
1,0,vacant,138,5,0.0
1,0,vacant,28,5,0.0
1,0,vacant,169,5,0.0
1,0,vacant,50,5,0.0
1,0,vacant,132,5,0.0
1,0,vacant,82,5,0.0
1,2,sell,138,5,0.0
1,2,sell,28,5,0.0
1,2,sell,169,5,0.0
1,2,sell,50,5,0.0
1,2,sell,132,5,0.0
1,2,sell,82,5,0.0
1,1,repair,174,6,0.0
1,1,repair,158,6,0.0
1,0,vacant,174,6,0.0
1,0,vacant,158,6,0.0
1,2,sell,174,6,0.0
1,2,sell,158,6,0.0
1,1,repair,76,7,0.0
1,1,repair,85,7,0.0
1,1,repair,38,7,0.0
1,1,repair,145,7,0.0670140029977343
1,1,repair,91,7,0.0
1,1,repair,161,7,0.0
1,0,vacant,76,7,0.0
1,0,vacant,85,7,0.0
1,0,vacant,38,7,0.0
1,0,vacant,145,7,0.0
1,0,vacant,91,7,0.0
1,0,vacant,161,7,0.0
1,2,sell,76,7,0.0
1,2,sell,85,7,0.0
1,2,sell,38,7,0.0
1,2,sell,145,7,0.0
1,2,sell,91,7,0.0
1,2,sell,161,7,0.0
1,1,repair,174,8,0.0
1,0,vacant,174,8,0.0
1,2,sell,174,8,0.0
1,1,repair,143,9,0.0
1,0,vacant,143,9,0.0
1,2,sell,143,9,0.0
1,1,repair,122,10,0.0
1,1,repair,186,10,0.0
1,1,repair,91,10,0.0
1,1,repair,121,10,0.0
1,1,repair,189,10,0.0
1,1,repair,113,10,0.0
1,1,repair,167,10,0.0
1,1,repair,166,10,0.0
1,1,repair,158,10,0.0
1,1,repair,78,10,0.13706554696823922
1,1,repair,92,10,0.0
1,1,repair,176,10,0.0
1,1,repair,152,10,0.0
1,1,repair,57,10,0.0
1,1,repair,107,10,0.0
1,1,repair,187,10,0.0
1,0,vacant,122,10,0.0
1,0,vacant,186,10,0.0
1,0,vacant,91,10,0.0
1,0,vacant,121,10,0.0
1,0,vacant,189,10,0.0
1,0,vacant,113,10,0.0
1,0,vacant,167,10,0.0
1,0,vacant,166,10,0.0
1,0,vacant,158,10,0.0
1,0,vacant,78,10,0.0
1,0,vacant,92,10,0.0
1,0,vacant,176,10,0.0
1,0,vacant,152,10,0.0
1,0,vacant,57,10,0.0
1,0,vacant,107,10,0.0
1,0,vacant,187,10,0.0
1,2,sell,122,10,0.0
1,2,sell,186,10,0.0
1,2,sell,91,10,0.0
1,2,sell,121,10,0.0
1,2,sell,189,10,0.0
1,2,sell,113,10,0.0
1,2,sell,167,10,0.0
1,2,sell,166,10,0.0
1,2,sell,158,10,0.0
1,2,sell,78,10,0.0
1,2,sell,92,10,0.0
1,2,sell,176,10,0.0
1,2,sell,152,10,0.0
1,2,sell,57,10,0.0
1,2,sell,107,10,0.0
1,2,sell,187,10,0.0
1,1,repair,181,11,0.0
1,1,repair,101,11,0.0
1,1,repair,59,11,0.0
1,1,repair,189,11,0.0
1,1,repair,178,11,0.0
1,0,vacant,181,11,0.0
1,0,vacant,101,11,0.0
1,0,vacant,59,11,0.0
1,0,vacant,189,11,0.0
1,0,vacant,178,11,0.0
1,2,sell,181,11,0.0
1,2,sell,101,11,0.0
1,2,sell,59,11,0.0
1,2,sell,189,11,0.0
1,2,sell,178,11,0.0
1,1,repair,152,13,0.0
1,1,repair,183,13,0.0
1,1,repair,36,13,0.0
1,1,repair,94,13,0.0
1,1,repair,16,13,0.0
1,0,vacant,152,13,0.0
1,0,vacant,183,13,0.0
1,0,vacant,36,13,0.0
1,0,vacant,94,13,0.0
1,0,vacant,16,13,0.0
1,2,sell,152,13,0.0
1,2,sell,183,13,0.0
1,2,sell,36,13,0.0
1,2,sell,94,13,0.0
1,2,sell,16,13,0.0
1,1,repair,122,14,0.0
1,0,vacant,122,14,0.0
1,2,sell,122,14,0.0
1,1,repair,21,15,0.0
1,1,repair,193,15,0.0
1,0,vacant,21,15,0.0
1,0,vacant,193,15,0.0
1,2,sell,21,15,0.0
1,2,sell,193,15,0.0
1,1,repair,1,16,0.0
1,1,repair,193,16,0.0
1,1,repair,183,16,0.0
1,1,repair,74,16,0.0
1,1,repair,46,16,0.0
1,1,repair,36,16,0.0
1,1,repair,138,16,0.0
1,1,repair,158,16,0.0
1,1,repair,78,16,0.07608043860246491
1,1,repair,88,16,0.0
1,1,repair,13,16,0.0
1,0,vacant,1,16,0.0
1,0,vacant,193,16,0.0
1,0,vacant,183,16,0.0
1,0,vacant,74,16,0.0
1,0,vacant,46,16,0.0
1,0,vacant,36,16,0.0
1,0,vacant,138,16,0.0
1,0,vacant,158,16,0.0
1,0,vacant,78,16,0.0
1,0,vacant,88,16,0.0
1,0,vacant,13,16,0.0
1,2,sell,1,16,0.0
1,2,sell,193,16,0.0
1,2,sell,183,16,0.0
1,2,sell,74,16,0.0
1,2,sell,46,16,0.0
1,2,sell,36,16,0.0
1,2,sell,138,16,0.0
1,2,sell,158,16,0.0
1,2,sell,78,16,0.0
1,2,sell,88,16,0.0
1,2,sell,13,16,0.0
1,0,vacant,26,17,0.0
1,0,vacant,69,17,0.0
1,0,vacant,82,17,0.0
1,0,vacant,106,17,0.0
1,0,vacant,172,17,0.0
1,0,vacant,191,17,0.0
1,0,vacant,142,17,0.0
1,0,vacant,159,17,0.0
1,0,vacant,192,17,0.0
1,2,sell,26,17,0.0
1,2,sell,69,17,0.0
1,2,sell,82,17,0.0
1,2,sell,106,17,0.0
1,2,sell,172,17,0.0
1,2,sell,191,17,0.0
1,2,sell,142,17,0.0
1,2,sell,159,17,0.0
1,2,sell,192,17,0.0
1,1,repair,83,18,0.0
1,1,repair,21,18,0.0
1,1,repair,52,18,0.0
1,1,repair,47,18,0.0
1,1,repair,109,18,0.0
1,0,vacant,83,18,0.0
1,0,vacant,21,18,0.0
1,0,vacant,52,18,0.0
1,0,vacant,47,18,0.0
1,0,vacant,109,18,0.0
1,2,sell,83,18,0.0
1,2,sell,21,18,0.0
1,2,sell,52,18,0.0
1,2,sell,47,18,0.0
1,2,sell,109,18,0.0
1,1,repair,131,19,0.0
1,1,repair,88,19,0.0
1,1,repair,166,19,0.0
1,1,repair,34,19,0.0
1,1,repair,196,19,0.0
1,1,repair,106,19,0.0
1,1,repair,191,19,0.0
1,1,repair,181,19,0.0
1,1,repair,180,19,0.0
1,0,vacant,131,19,0.0
1,0,vacant,88,19,0.0
1,0,vacant,166,19,0.0
1,0,vacant,34,19,0.0
1,0,vacant,196,19,0.0
1,0,vacant,106,19,0.0
1,0,vacant,191,19,0.0
1,0,vacant,181,19,0.0
1,0,vacant,180,19,0.0
1,2,sell,131,19,0.0
1,2,sell,88,19,0.0
1,2,sell,166,19,0.0
1,2,sell,34,19,0.0
1,2,sell,196,19,0.0
1,2,sell,106,19,0.0
1,2,sell,191,19,0.0
