household_id_1,household_id_2,timestep,link_type
1,79,0,2
2,12,0,2
3,122,0,1
3,181,0,1
4,54,0,1
4,50,0,2
4,43,0,2
4,157,0,2
4,192,0,2
4,101,0,2
4,51,0,2
5,193,0,2
5,167,0,2
6,14,0,2
6,160,0,2
6,135,0,2
6,110,0,2
6,52,0,2
7,116,0,2
7,97,0,2
7,77,0,2
7,38,0,2
7,28,0,2
7,76,0,2
7,58,0,2
9,190,0,1
9,59,0,2
9,164,0,2
9,87,0,2
9,71,0,2
10,52,0,2
10,90,0,2
10,188,0,2
10,127,0,2
11,93,0,2
11,195,0,2
12,48,0,1
12,168,0,2
12,148,0,2
12,45,0,2
12,17,0,2
12,73,0,2
12,179,0,2
12,59,0,2
12,38,0,2
12,144,0,2
13,153,0,1
13,112,0,2
13,170,0,2
13,118,0,2
14,118,0,1
14,122,0,1
14,98,0,2
14,185,0,2
15,127,0,1
16,200,0,2
17,73,0,2
18,109,0,2
18,90,0,2
19,83,0,1
19,151,0,1
19,110,0,2
20,147,0,1
20,187,0,2
20,30,0,2
20,97,0,2
22,180,0,2
22,134,0,2
22,80,0,2
23,163,0,2
24,168,0,2
24,62,0,2
24,156,0,2
25,166,0,1
25,180,0,2
25,66,0,2
26,128,0,1
26,197,0,2
26,90,0,2
26,184,0,2
27,59,0,2
27,49,0,2
28,137,0,1
28,111,0,2
28,146,0,2
28,134,0,2
28,153,0,2
28,193,0,2
30,102,0,2
30,36,0,2
31,180,0,1
31,100,0,1
32,59,0,2
33,161,0,2
33,200,0,2
33,95,0,2
33,140,0,2
33,109,0,2
33,49,0,2
34,93,0,2
34,116,0,2
35,69,0,2
35,200,0,2
36,66,0,2
38,186,0,2
38,133,0,2
38,177,0,2
38,179,0,2
39,189,0,2
39,90,0,2
42,102,0,2
43,193,0,2
43,132,0,2
43,53,0,2
43,73,0,2
43,80,0,2
44,136,0,2
44,68,0,2
44,79,0,2
45,112,0,2
47,87,0,2
47,52,0,2
49,164,0,2
49,120,0,2
49,109,0,2
49,65,0,2
49,121,0,2
50,83,0,1
50,160,0,2
51,77,0,2
52,160,0,2
52,66,0,2
52,157,0,2
52,166,0,2
52,110,0,2
54,151,0,1
54,83,0,1
55,149,0,2
55,62,0,2
56,137,0,2
57,188,0,2
57,101,0,2
58,110,0,2
59,190,0,1
59,87,0,2
59,164,0,2
61,164,0,2
62,168,0,1
62,170,0,2
62,183,0,2
62,149,0,2
62,173,0,2
63,151,0,2
63,64,0,2
64,150,0,2
64,197,0,2
64,189,0,2
64,153,0,2
64,171,0,2
65,120,0,2
65,101,0,2
65,133,0,2
65,189,0,2
66,183,0,2
68,79,0,2
68,193,0,2
68,188,0,2
68,95,0,2
68,169,0,2
68,178,0,2
69,74,0,2
69,115,0,2
69,200,0,2
69,188,0,2
69,122,0,2
71,149,0,2
71,183,0,2
71,142,0,2
73,166,0,2
74,200,0,2
76,180,0,2
77,197,0,2
77,182,0,2
77,147,0,2
78,200,0,2
79,95,0,2
79,140,0,2
79,80,0,2
79,169,0,2
80,193,0,2
80,129,0,2
81,161,0,2
81,170,0,2
81,147,0,2
84,200,0,2
85,118,0,1
85,181,0,2
85,147,0,2
87,153,0,2
87,192,0,2
90,136,0,1
90,197,0,1
90,125,0,1
90,188,0,2
90,190,0,2
90,103,0,2
91,133,0,2
92,163,0,2
92,141,0,2
92,167,0,2
93,147,0,2
93,99,0,2
93,195,0,2
93,116,0,2
93,168,0,2
94,163,0,2
94,183,0,2
94,141,0,2
94,167,0,2
95,102,0,2
95,169,0,2
96,149,0,1
97,147,0,1
97,109,0,2
97,183,0,2
100,180,0,2
101,131,0,2
101,121,0,2
101,188,0,2
101,120,0,2
102,118,0,2
102,195,0,2
102,130,0,2
102,116,0,2
102,149,0,2
103,169,0,2
105,137,0,2
105,197,0,2
105,168,0,2
106,200,0,2
107,156,0,2
107,147,0,2
107,195,0,2
109,187,0,2
109,182,0,2
109,147,0,2
109,164,0,2
109,139,0,2
110,166,0,2
111,137,0,2
112,146,0,2
112,174,0,2
112,200,0,2
115,168,0,2
115,195,0,2
115,185,0,2
116,177,0,2
117,200,0,2
118,170,0,2
118,171,0,2
120,134,0,2
120,131,0,2
120,191,0,2
121,133,0,2
122,181,0,1
124,161,0,2
124,153,0,2
125,197,0,1
125,180,0,2
127,143,0,2
127,188,0,2
127,192,0,2
127,179,0,2
128,197,0,2
130,195,0,2
134,193,0,2
136,197,0,2
137,193,0,1
137,154,0,2
138,180,0,1
139,192,0,2
139,147,0,2
139,153,0,2
141,163,0,1
141,199,0,2
141,167,0,2
141,156,0,2
142,183,0,1
142,156,0,2
142,149,0,2
142,184,0,2
